Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,560.0,508,73.0,134,25,0,24,4,1,44,120,2.73,0.264,0.328,0.455,0.783,231.0,11.0,5.0,2,1,0,5,0.301,100,119,85
Season Totals,Last 7 days,1,20.0,16,3.0,4,0,0,1,0,0,4,3,0.75,0.25,0.4,0.438,0.838,7.0,0.0,0.0,0,0,0,0,0.25,118,147,3
Season Totals,Last 14 days,2,44.0,39,3.0,8,0,0,1,0,0,5,7,1.4,0.205,0.296,0.282,0.578,11.0,0.0,0.0,0,0,0,0,0.226,52,66,7
Season Totals,Last 28 days,5,110.0,101,12.0,27,7,0,3,1,0,8,18,2.25,0.267,0.321,0.426,0.747,43.0,1.0,0.0,1,0,0,0,0.3,92,105,17
Season Totals,Last 365 days,31,670.0,607,92.0,160,28,0,30,5,1,53,158,2.98,0.264,0.329,0.458,0.787,278.0,13.0,7.0,2,1,0,5,0.31,101,,102
Platoon Splits,vs RHB,25,291.0,263,29.0,70,10,0,13,4,1,23,49,2.13,0.266,0.329,0.453,0.781,119.0,10.0,2.0,2,1,0,2,0.282,100,120,47
Platoon Splits,vs LHB,25,269.0,245,37.0,64,15,0,11,0,0,21,71,3.38,0.261,0.327,0.457,0.784,112.0,1.0,3.0,0,0,0,3,0.325,100,116,38
Platoon Splits,vs RHB as RHP,25,291.0,263,29.0,70,10,0,13,4,1,23,49,2.13,0.266,0.329,0.453,0.781,119.0,10.0,2.0,2,1,0,2,0.282,100,125,47
Platoon Splits,vs LHB as RHP,25,269.0,245,37.0,64,15,0,11,0,0,21,71,3.38,0.261,0.327,0.457,0.784,112.0,1.0,3.0,0,0,0,3,0.325,100,112,38
Home or Away,Home,13,300.0,278,28.0,68,12,0,12,1,1,18,70,3.89,0.245,0.297,0.417,0.714,116.0,7.0,3.0,0,1,0,2,0.284,82,102,44
Home or Away,Away,12,260.0,230,45.0,66,13,0,12,3,0,26,50,1.92,0.287,0.364,0.5,0.864,115.0,4.0,2.0,2,0,0,3,0.321,121,138,41
