Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,127,127,568,453,102,151,30,1,49,119,6,0,104,135,0.333,0.464,0.729,1.192,330,18,8,0,2,16,4,0.376,100,230,71
Season Totals,Last 7 days,6,6,26,23,6,8,2,0,5,8,0,0,2,3,0.348,0.423,1.087,1.51,25,2,1,0,0,2,0,0.2,141,325,1
Season Totals,Last 14 days,13,13,58,48,14,21,5,0,8,15,1,0,9,10,0.438,0.535,1.042,1.576,50,3,1,0,0,4,0,0.433,158,334,8
Season Totals,Last 28 days,24,24,112,87,25,39,6,0,13,27,1,0,24,23,0.448,0.571,0.966,1.537,84,3,1,0,0,9,0,0.51,156,315,20
Season Totals,Last 365 days,161,160,716,569,126,179,35,1,59,140,6,0,136,179,0.315,0.452,0.691,1.142,393,19,8,0,2,21,4,0.36,92,,84
Platoon Splits,vs RHP,120,,420,346,82,118,24,1,35,89,4,0,65,97,0.341,0.451,0.72,1.171,249,11,6,0,2,9,4,0.384,96,225,58
Platoon Splits,vs LHP,69,,148,107,20,33,6,0,14,30,2,0,39,38,0.308,0.5,0.757,1.257,81,7,2,0,0,7,0,0.346,112,247,13
Platoon Splits,vs RHP as RHB,120,,420,346,,118,24,1,35,89,0,0,65,97,0.341,0.451,0.72,1.171,249,11,6,0,2,9,4,0.384,96,234,58
Platoon Splits,vs LHP as RHB,69,,148,107,,33,6,0,14,30,0,0,39,38,0.308,0.5,0.757,1.257,81,7,2,0,0,7,0,0.346,112,238,13
Platoon Splits,vs RH Starter,93,93,419,339,81,118,24,1,36,89,2,0,72,96,0.348,0.467,0.743,1.21,252,10,5,0,2,11,3,0.392,103,235,57
Platoon Splits,vs LH Starter,34,34,149,114,21,33,6,0,13,30,4,0,32,39,0.29,0.456,0.684,1.141,78,8,3,0,0,5,1,0.323,92,216,14
Home or Away,Home,62,62,270,209,55,72,13,1,24,55,4,0,57,60,0.345,0.493,0.761,1.253,159,9,4,0,0,10,1,0.384,111,243,34
Home or Away,Away,65,65,298,244,47,79,17,0,25,64,2,0,47,75,0.324,0.438,0.701,1.139,171,9,4,0,2,6,3,0.37,91,220,37
First or Second Half,1st Half,96,96,424,343,73,105,24,1,34,85,5,0,72,106,0.306,0.433,0.679,1.112,233,14,6,0,2,6,4,0.346,87,210,46
First or Second Half,2nd Half,31,31,144,110,29,46,6,0,15,34,1,0,32,29,0.418,0.556,0.882,1.437,97,4,2,0,0,10,0,0.47,141,292,25
Months,April/March,31,31,141,116,12,24,6,0,6,18,1,0,23,38,0.207,0.34,0.414,0.754,48,10,1,0,1,2,1,0.247,30,116,12
Months,May,28,28,122,97,28,35,12,0,14,27,1,0,22,29,0.361,0.479,0.918,1.397,89,1,1,0,1,2,2,0.382,129,293,9
Months,June,25,25,107,88,25,36,5,1,11,37,3,0,16,26,0.409,0.514,0.864,1.378,76,2,3,0,0,2,1,0.49,130,277,19
Months,July,24,24,112,85,19,27,2,0,8,17,0,0,25,26,0.318,0.482,0.624,1.106,53,2,2,0,0,1,0,0.373,90,202,17
Months,August,19,19,86,67,18,29,5,0,10,20,1,0,18,16,0.433,0.558,0.955,1.513,64,3,1,0,0,9,0,0.463,151,312,14
Game Outcome for Team,in Wins,75,75,344,271,83,113,24,1,36,87,6,0,67,69,0.417,0.535,0.911,1.446,247,9,4,0,2,10,3,0.458,140,241,52
Game Outcome for Team,in Losses,52,52,224,182,19,38,6,0,13,32,0,0,37,66,0.209,0.354,0.456,0.81,83,9,4,0,0,6,1,0.243,39,175,19
