Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,625.0,580,63.0,139,34,1,22,8,4,39,142,3.64,0.24,0.29,0.416,0.705,241.0,10.0,3.0,0,3,0,3,0.279,100,96,82
Season Totals,Last 7 days,1,27.0,24,0.0,7,1,0,0,0,2,2,4,2.0,0.292,0.37,0.333,0.704,8.0,1.0,1.0,0,0,0,0,0.35,108,107,6
Season Totals,Last 14 days,2,52.0,46,4.0,16,3,0,2,0,2,5,8,1.6,0.348,0.423,0.544,0.967,25.0,2.0,1.0,0,0,0,0,0.389,176,168,11
Season Totals,Last 28 days,5,129.0,116,11.0,37,11,1,5,2,2,11,22,2.0,0.319,0.38,0.56,0.94,65.0,5.0,1.0,0,1,0,0,0.356,166,155,20
Season Totals,Last 365 days,32,788.0,736,82.0,179,44,1,27,12,4,45,184,4.09,0.243,0.288,0.416,0.704,306.0,16.0,3.0,0,4,0,6,0.287,99,,107
Platoon Splits,vs RHB,25,290.0,271,27.0,63,15,0,7,3,2,17,74,4.35,0.233,0.283,0.365,0.648,99.0,5.0,2.0,0,0,0,2,0.295,85,84,41
Platoon Splits,vs LHB,25,335.0,309,34.0,76,19,1,15,5,2,22,68,3.09,0.246,0.296,0.46,0.755,142.0,5.0,1.0,0,3,0,1,0.266,113,106,41
Platoon Splits,vs RHB as RHP,25,290.0,271,27.0,63,15,0,7,3,2,17,74,4.35,0.233,0.283,0.365,0.648,99.0,5.0,2.0,0,0,0,2,0.295,85,88,41
Platoon Splits,vs LHB as RHP,25,335.0,309,34.0,76,19,1,15,5,2,22,68,3.09,0.246,0.296,0.46,0.755,142.0,5.0,1.0,0,3,0,1,0.266,113,103,41
Home or Away,Home,13,325.0,304,30.0,67,14,0,12,4,3,20,78,3.9,0.22,0.271,0.385,0.656,117.0,3.0,1.0,0,0,0,3,0.257,86,85,41
Home or Away,Away,12,300.0,276,33.0,72,20,1,10,4,1,19,64,3.37,0.261,0.31,0.449,0.759,124.0,7.0,2.0,0,3,0,0,0.302,115,108,41
First or Second Half,1st Half,19,474.0,446,48.0,96,21,0,17,5,2,27,116,4.3,0.215,0.262,0.377,0.638,168.0,5.0,1.0,0,0,0,3,0.252,81,79,58
First or Second Half,2nd Half,6,151.0,134,15.0,43,13,1,5,3,2,12,26,2.17,0.321,0.378,0.545,0.922,73.0,5.0,2.0,0,3,0,0,0.359,161,152,24
Months,April/March,6,157.0,146,15.0,31,6,0,7,1,0,11,36,3.27,0.212,0.268,0.397,0.665,58.0,2.0,0.0,0,0,0,1,0.233,88,89,18
Months,May,6,149.0,138,14.0,27,4,0,4,2,1,11,35,3.18,0.196,0.255,0.312,0.567,43.0,2.0,0.0,0,0,0,1,0.232,63,64,19
Months,June,5,121.0,117,15.0,29,9,0,3,2,1,3,28,9.33,0.248,0.273,0.402,0.674,47.0,1.0,1.0,0,0,0,1,0.302,91,86,17
Months,July,5,122.0,110,11.0,28,8,1,5,2,0,9,31,3.44,0.255,0.312,0.482,0.793,53.0,1.0,1.0,0,2,0,0,0.303,123,114,14
Months,August,3,76.0,69,8.0,24,7,0,3,1,2,5,12,2.4,0.348,0.395,0.58,0.974,40.0,4.0,1.0,0,1,0,0,0.382,176,167,14
Game Outcome for Pitcher,in Wins,11,282.0,265,17.0,42,8,0,11,2,0,16,71,4.44,0.159,0.209,0.313,0.522,83.0,2.0,1.0,0,0,0,1,0.169,47,97,23
Game Outcome for Pitcher,in Losses,6,149.0,142,30.0,54,18,0,7,3,0,6,29,4.83,0.38,0.403,0.655,1.058,93.0,5.0,0.0,0,1,0,2,0.439,196,116,29
Game Outcome for Pitcher,in No Dec.,8,194.0,173,16.0,43,8,1,4,3,4,17,42,2.47,0.249,0.32,0.376,0.695,65.0,3.0,2.0,0,2,0,0,0.302,101,100,30
Pitching Role,as Starter,25,625.0,580,63.0,139,34,1,22,8,4,39,142,3.64,0.24,0.29,0.416,0.705,241.0,10.0,3.0,0,3,0,3,0.279,100,94,82
Run Support,0-2 Runs Scored,4,102.0,98,8.0,21,5,0,4,1,0,4,27,6.75,0.214,0.245,0.388,0.633,38.0,1.0,0.0,0,0,0,1,0.254,78,67,12
Run Support,3-5 Runs Scored,13,314.0,288,34.0,76,21,1,11,3,3,24,66,2.75,0.264,0.322,0.458,0.78,132.0,9.0,1.0,0,1,0,1,0.307,121,118,43
Run Support,6+ Runs Scored,8,209.0,194,21.0,42,8,0,7,4,1,11,49,4.45,0.217,0.263,0.366,0.629,71.0,0.0,2.0,0,2,0,1,0.25,79,76,27
Batting Order Positions,Batting 1st,25,78.0,74,5.0,12,4,0,1,1,0,3,13,4.33,0.162,0.192,0.257,0.449,19.0,0.0,0.0,0,1,0,1,0.18,28,22,7
Batting Order Positions,Batting 2nd,25,77.0,72,7.0,15,1,0,4,1,1,4,25,6.25,0.208,0.26,0.389,0.649,28.0,1.0,1.0,0,0,0,1,0.256,83,69,10
Batting Order Positions,Batting 3rd,25,76.0,69,13.0,21,4,0,4,2,0,7,15,2.14,0.304,0.368,0.536,0.905,37.0,1.0,0.0,0,0,0,0,0.34,156,130,13
Batting Order Positions,Batting 4th,25,75.0,72,3.0,11,2,1,1,0,1,2,17,8.5,0.153,0.187,0.25,0.437,18.0,6.0,1.0,0,0,0,0,0.185,25,19,7
Batting Order Positions,Batting 5th,25,72.0,62,7.0,14,4,0,3,0,0,8,9,1.13,0.226,0.306,0.436,0.741,27.0,0.0,0.0,0,2,0,0,0.212,110,104,7
Batting Order Positions,Batting 6th,25,67.0,62,5.0,10,3,0,3,0,1,5,18,3.6,0.161,0.224,0.355,0.579,22.0,2.0,0.0,0,0,0,0,0.171,63,67,4
