Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,24,15,54,51,6,8,3,0,0,1,0,0,3,19,0.157,0.204,0.216,0.419,11,0,0,0,0,1,1,0.25,100,19,5
Season Totals,Last 7 days,3,3,8,7,0,1,1,0,0,1,0,0,1,4,0.143,0.25,0.286,0.536,2,0,0,0,0,0,0,0.333,155,58,0
Season Totals,Last 14 days,5,5,16,14,1,3,2,0,0,1,0,0,2,6,0.214,0.313,0.357,0.67,5,0,0,0,0,0,0,0.375,219,91,1
Season Totals,Last 28 days,9,8,25,23,3,5,2,0,0,1,0,0,2,9,0.217,0.28,0.304,0.584,7,0,0,0,0,0,0,0.357,178,62,3
Season Totals,Last 365 days,24,15,54,51,6,8,3,0,0,1,0,0,3,19,0.157,0.204,0.216,0.419,11,0,0,0,0,1,1,0.25,100,,5
Platoon Splits,vs RHP,17,,33,32,5,6,3,0,0,1,0,0,1,7,0.188,0.212,0.281,0.493,9,0,0,0,0,0,1,0.24,134,38,3
Platoon Splits,vs LHP,13,,21,19,1,2,0,0,0,0,0,0,2,12,0.105,0.191,0.105,0.296,2,0,0,0,0,1,0,0.286,42,-14,2
Platoon Splits,vs RHP as RHB,17,,33,32,,6,3,0,0,1,0,0,1,7,0.188,0.212,0.281,0.493,9,0,0,0,0,0,1,0.24,134,42,3
Platoon Splits,vs LHP as RHB,13,,21,19,,2,0,0,0,0,0,0,2,12,0.105,0.191,0.105,0.296,2,0,0,0,0,1,0,0.286,42,-16,2
Platoon Splits,vs RH Starter,13,8,32,30,3,7,3,0,0,1,0,0,2,8,0.233,0.281,0.333,0.615,10,0,0,0,0,1,1,0.318,192,73,4
Platoon Splits,vs LH Starter,11,7,22,21,3,1,0,0,0,0,0,0,1,11,0.048,0.091,0.048,0.139,1,0,0,0,0,0,0,0.1,-33,-59,1
Home or Away,Home,12,8,31,29,5,7,3,0,0,1,0,0,2,6,0.241,0.29,0.345,0.635,10,0,0,0,0,1,1,0.304,202,77,4
Home or Away,Away,12,7,23,22,1,1,0,0,0,0,0,0,1,13,0.046,0.087,0.046,0.133,1,0,0,0,0,0,0,0.111,-37,-60,1
First or Second Half,1st Half,10,4,14,14,2,1,0,0,0,0,0,0,0,6,0.071,0.071,0.071,0.143,1,0,0,0,0,0,0,0.125,-32,-59,1
First or Second Half,2nd Half,14,11,40,37,4,7,3,0,0,1,0,0,3,13,0.189,0.25,0.27,0.52,10,0,0,0,0,1,1,0.292,148,45,4
Months,June,2,1,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
