Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,85,62,249,223,29,48,10,0,3,18,2,0,19,46,0.215,0.292,0.3,0.592,67,0,5,2,0,0,1,0.259,100,68,35
Season Totals,Last 7 days,5,3,10,10,3,3,1,0,0,0,0,0,0,2,0.3,0.3,0.4,0.7,4,0,0,0,0,0,0,0.375,136,104,2
Season Totals,Last 14 days,10,7,26,25,4,10,2,0,0,2,0,0,0,5,0.4,0.4,0.48,0.88,12,0,0,1,0,0,0,0.5,198,150,8
Season Totals,Last 28 days,17,9,39,35,7,11,3,0,0,3,0,0,2,6,0.314,0.368,0.4,0.768,14,0,1,1,0,0,0,0.379,160,113,8
Season Totals,Last 365 days,116,86,331,299,38,67,14,1,3,27,5,0,25,69,0.224,0.295,0.308,0.603,92,1,5,2,0,0,1,0.282,104,,49
Platoon Splits,vs RHP,82,,222,198,25,43,10,0,3,13,1,0,18,44,0.217,0.296,0.313,0.609,62,0,4,2,0,0,1,0.265,106,73,30
Platoon Splits,vs LHP,23,,27,25,4,5,0,0,0,5,1,0,1,2,0.2,0.259,0.2,0.459,5,0,1,0,0,0,0,0.217,56,32,5
Platoon Splits,vs RHP as LHB,82,,222,198,,43,10,0,3,13,0,0,18,44,0.217,0.296,0.313,0.609,62,0,4,2,0,0,1,0.265,106,68,30
Platoon Splits,vs LHP as LHB,23,,27,25,,5,0,0,0,5,0,0,1,2,0.2,0.259,0.2,0.459,5,0,1,0,0,0,0,0.217,56,40,5
Platoon Splits,vs RH Starter,74,60,230,206,26,45,7,0,3,17,2,0,17,42,0.218,0.294,0.296,0.59,61,0,5,2,0,0,1,0.261,100,68,35
Platoon Splits,vs LH Starter,11,2,19,17,3,3,3,0,0,1,0,0,2,4,0.177,0.263,0.353,0.616,6,0,0,0,0,0,0,0.231,108,72,0
Home or Away,Home,39,29,115,100,13,23,6,0,1,8,1,0,12,14,0.23,0.325,0.32,0.645,32,0,2,1,0,0,1,0.259,118,82,16
Home or Away,Away,46,33,134,123,16,25,4,0,2,10,1,0,7,32,0.203,0.263,0.285,0.548,35,0,3,1,0,0,0,0.258,85,57,19
First or Second Half,1st Half,62,47,185,166,20,35,7,0,3,13,2,0,16,33,0.211,0.292,0.307,0.599,51,0,3,0,0,0,1,0.246,103,71,25
First or Second Half,2nd Half,23,15,64,57,9,13,3,0,0,5,0,0,3,13,0.228,0.29,0.281,0.571,16,0,2,2,0,0,0,0.296,93,61,10
Months,April/March,26,20,77,65,6,12,2,0,0,5,1,0,9,13,0.185,0.312,0.215,0.527,14,0,3,0,0,0,0,0.231,79,55,10
Months,May,17,14,55,51,7,12,2,0,1,4,1,0,4,8,0.235,0.291,0.333,0.624,17,0,0,0,0,0,1,0.262,111,81,9
Months,June,14,8,33,31,3,7,3,0,1,1,0,0,2,9,0.226,0.273,0.419,0.692,13,0,0,0,0,0,0,0.286,134,90,3
Months,July,14,12,50,45,8,6,0,0,1,5,0,0,2,10,0.133,0.204,0.2,0.404,9,0,2,1,0,0,0,0.147,37,12,5
Months,August,14,8,34,31,5,11,3,0,0,3,0,0,2,6,0.355,0.394,0.452,0.846,14,0,0,1,0,0,0,0.44,186,136,8
Game Outcome for Team,in Wins,48,35,145,128,23,35,6,0,2,15,2,0,12,24,0.273,0.35,0.367,0.717,47,0,3,2,0,0,1,0.324,143,76,27
Game Outcome for Team,in Losses,37,27,104,95,6,13,4,0,1,3,0,0,7,22,0.137,0.212,0.211,0.422,20,0,2,0,0,0,0,0.167,43,45,8
Starter or Substitute,as Starter,62,62,219,201,20,41,5,0,3,17,2,0,13,40,0.204,0.263,0.274,0.536,55,0,3,2,0,0,1,0.241,82,52,33
Starter or Substitute,as Sub,23,0,30,22,9,7,5,0,0,1,0,0,6,6,0.318,0.5,0.546,1.046,12,0,2,0,0,0,0,0.438,254,218,2
Defensive Positions,as 2B,34,,108,97,8,21,2,0,0,7,2,0,10,15,0.217,0.296,0.237,0.533,23,0,1,0,0,0,0,0.256,81,60,19
Defensive Positions,as 3B,3,,11,11,2,4,1,0,1,2,0,0,0,1,0.364,0.364,0.727,1.091,8,0,0,0,0,0,0,0.333,267,200,2
Defensive Positions,as LF,8,,19,18,,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,-100,-100,0
Defensive Positions,as RF,15,,46,42,6,11,3,0,1,3,0,0,2,10,0.262,0.311,0.405,0.716,17,0,1,1,0,0,0,0.323,142,96,7
Defensive Positions,as DH,15,,48,43,5,7,1,0,1,5,0,0,4,11,0.163,0.25,0.256,0.506,11,0,1,0,0,0,1,0.194,71,37,5
Defensive Positions,as PH,19,,19,13,6,5,3,0,0,1,0,0,4,4,0.385,0.579,0.615,1.194,8,0,2,0,0,0,0,0.556,304,274,2
Defensive Positions,as PH for DH,2,,2,1,,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,72,37,0
Defensive Positions,as PR,,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,14,,14,13,,3,0,0,1,1,,,0,3,0.231,0.286,0.462,0.747,6,0,1,0,0,0,0,0.222,152,105,2
Leading Off Inning,Leadoff Inn.,47,,67,60,,12,4,0,1,1,,,6,15,0.2,0.284,0.317,0.6,19,0,1,0,0,0,0,0.25,103,74,7
Batting Order Positions,Batting 1st,14,14,56,52,6,12,1,0,1,5,0,0,2,10,0.231,0.273,0.308,0.58,16,0,1,1,0,0,0,0.268,97,59,10
Batting Order Positions,Batting 2nd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 3rd,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,72,49,0
Batting Order Positions,Batting 4th,4,1,6,6,1,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.2,13,-8,1
Batting Order Positions,Batting 5th,5,4,12,11,0,1,0,0,0,0,0,0,1,3,0.091,0.167,0.091,0.258,1,0,0,0,0,0,0,0.125,-12,-25,1
Batting Order Positions,Batting 6th,9,7,30,30,3,9,3,0,0,2,1,0,0,6,0.3,0.3,0.4,0.7,12,0,0,0,0,0,1,0.375,136,103,6
Batting Order Positions,Batting 7th,30,28,97,85,9,18,2,0,2,9,1,0,10,16,0.212,0.302,0.306,0.608,26,0,1,1,0,0,0,0.239,106,79,14
Batting Order Positions,Batting 8th,18,7,40,34,9,7,4,0,0,2,0,0,4,8,0.206,0.325,0.324,0.649,11,0,2,0,0,0,0,0.269,120,99,3
Batting Order Positions,Batting 9th,3,1,5,3,1,0,0,0,0,0,0,0,1,1,0.0,0.4,0.0,0.4,0,0,1,0,0,0,0,0.0,38,41,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,32,,44,42,,7,0,0,0,4,,,1,4,0.167,0.186,0.167,0.353,7,0,0,1,0,0,0,0.184,20,5,7
Swung or Took First Pitch of PA,Took 1st Pitch,80,,205,181,,41,10,0,3,14,,,18,42,0.227,0.314,0.332,0.645,60,0,5,1,0,0,1,0.279,118,81,28
Count/Balls-Strikes,First Pitch,17,,19,16,5,1,0,0,0,0,0,0,0,0,0.063,0.167,0.063,0.229,1,0,2,1,0,0,0,0.063,-22,-40,1
Count/Balls-Strikes,1-0 Count,13,,14,12,1,3,0,0,0,3,0,0,0,0,0.25,0.308,0.25,0.558,3,0,1,1,0,0,0,0.25,89,34,3
Count/Balls-Strikes,2-0 Count,8,,9,9,1,2,0,0,1,2,0,0,0,0,0.222,0.222,0.556,0.778,5,0,0,0,0,0,1,0.125,162,54,1
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,23,,25,25,6,7,2,0,0,2,0,0,0,0,0.28,0.28,0.36,0.64,9,0,0,0,0,0,0,0.28,116,55,5
Count/Balls-Strikes,1-1 Count,20,,25,24,0,6,1,0,0,3,1,0,0,0,0.25,0.28,0.292,0.572,7,0,1,0,0,0,0,0.25,94,42,5
Count/Balls-Strikes,2-1 Count,6,,6,6,1,3,0,0,1,1,0,0,0,0,0.5,0.5,1.0,1.5,6,0,0,0,0,0,0,0.4,405,217,2
Count/Balls-Strikes,3-1 Count,8,,9,5,,1,1,0,0,0,0,0,4,0,0.2,0.556,0.4,0.956,2,0,0,0,0,0,0,0.2,224,43,0
Count/Balls-Strikes,0-2 Count,25,,30,30,3,6,1,0,0,3,0,0,0,9,0.2,0.2,0.233,0.433,7,0,0,0,0,0,0,0.286,46,131,5
Count/Balls-Strikes,1-2 Count,30,,35,35,8,9,1,0,1,3,0,0,0,14,0.257,0.257,0.371,0.629,13,0,0,0,0,0,0,0.4,112,203,7
Count/Balls-Strikes,2-2 Count,34,,41,41,3,7,3,0,0,0,1,0,0,13,0.171,0.171,0.244,0.415,10,0,0,0,0,0,0,0.25,40,86,4
Count/Balls-Strikes,Full Count,31,,35,20,1,3,1,0,0,1,0,0,14,10,0.15,0.514,0.2,0.714,4,0,1,0,0,0,0,0.3,143,74,2
Count/Balls-Strikes,After 1-0,56,,88,78,,16,2,0,2,10,,,8,18,0.205,0.287,0.308,0.595,24,0,1,1,0,0,1,0.241,101,49,12
Count/Balls-Strikes,After 2-0,25,,29,25,,4,1,0,1,3,,,4,8,0.16,0.276,0.32,0.596,8,0,0,0,0,0,1,0.188,102,25,2
Count/Balls-Strikes,After 3-0,5,,5,1,,0,0,0,0,0,,,4,1,0.0,0.8,0.0,0.8,0,0,0,0,0,0,0,,175,9,0
Count/Balls-Strikes,After 0-1,71,,142,129,,31,8,0,1,8,,,11,28,0.24,0.31,0.326,0.636,42,0,2,0,0,0,0,0.3,115,113,22
Count/Balls-Strikes,After 1-1,61,,102,89,,21,4,0,2,6,,,12,17,0.236,0.333,0.348,0.682,31,0,1,0,0,0,0,0.271,130,107,15
Count/Balls-Strikes,After 2-1,38,,52,43,,9,3,0,1,2,,,9,15,0.209,0.346,0.349,0.695,15,0,0,0,0,0,0,0.296,135,77,5
Count/Balls-Strikes,After 3-1,15,,18,11,,3,2,0,0,1,,,7,2,0.273,0.556,0.455,1.01,5,0,0,0,0,0,0,0.333,243,98,1
Count/Balls-Strikes,After 0-2,46,,60,56,,12,3,0,0,4,,,3,21,0.214,0.267,0.268,0.535,15,0,1,0,0,0,0,0.343,81,140,9
Count/Balls-Strikes,After 1-2,50,,70,63,,14,3,0,1,3,,,6,21,0.222,0.3,0.318,0.618,20,0,1,0,0,0,0,0.317,109,150,10
Count/Balls-Strikes,After 2-2,50,,67,55,,8,3,0,0,0,,,11,21,0.146,0.299,0.2,0.499,11,0,1,0,0,0,0,0.235,69,72,5
Count/Balls-Strikes,Zero Balls,53,,74,71,14,14,3,0,0,5,0,0,0,9,0.197,0.219,0.239,0.459,17,0,2,1,0,0,0,0.226,55,33,11
Count/Balls-Strikes,Zero Strikes,37,,43,37,7,6,0,0,1,5,0,0,1,0,0.162,0.244,0.243,0.487,9,0,3,2,0,0,1,0.139,65,5,5
Count/Balls-Strikes,Three Balls,39,,45,25,1,4,2,0,0,1,0,0,19,10,0.16,0.533,0.24,0.773,6,0,1,0,0,0,0,0.267,163,60,2
Count/Balls-Strikes,Two Strikes,73,,141,126,15,25,6,0,1,7,1,0,14,46,0.198,0.284,0.27,0.554,34,0,1,0,0,0,0,0.304,88,117,18
Count/Balls-Strikes,Batter Ahead,53,,74,52,4,12,2,0,2,7,0,0,19,10,0.231,0.452,0.385,0.837,20,0,2,1,0,0,1,0.25,184,75,8
Count/Balls-Strikes,Even Count,55,,85,81,8,14,4,0,0,3,2,0,0,13,0.173,0.202,0.222,0.425,18,0,3,1,0,0,0,0.206,43,27,10
Count/Balls-Strikes,Pitcher Ahead,60,,90,90,17,22,4,0,1,8,0,0,0,23,0.244,0.244,0.322,0.567,29,0,0,0,0,0,0,0.318,91,120,17
Number of Outs in Inning,0 outs,52,,80,71,7,16,4,0,1,2,1,0,6,18,0.225,0.295,0.324,0.619,23,0,1,2,0,0,0,0.289,109,74,11
