Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,40,31,129,123,11,22,8,0,4,17,1,0,4,38,0.179,0.211,0.342,0.552,42,0,1,0,0,0,0,0.222,100,53,10
Season Totals,Last 7 days,6,6,25,25,3,5,2,0,2,3,0,0,0,6,0.2,0.2,0.52,0.72,13,0,0,0,0,0,0,0.177,147,103,1
Season Totals,Last 14 days,9,8,34,33,3,5,2,0,2,3,0,0,0,9,0.152,0.177,0.394,0.57,13,0,1,0,0,0,0,0.136,99,56,1
Season Totals,Last 28 days,19,14,65,62,6,13,6,0,4,13,0,0,2,19,0.21,0.246,0.5,0.746,31,0,1,0,0,0,0,0.231,163,99,3
Season Totals,Last 365 days,40,31,129,123,11,22,8,0,4,17,1,0,4,38,0.179,0.211,0.342,0.552,42,0,1,0,0,0,0,0.222,100,,10
Platoon Splits,vs RHP,36,,107,102,11,19,5,0,4,13,1,0,4,27,0.186,0.217,0.353,0.57,36,0,0,0,0,0,0,0.211,106,58,10
Platoon Splits,vs LHP,16,,22,21,,3,3,0,0,4,0,0,0,11,0.143,0.182,0.286,0.468,6,0,1,0,0,0,0,0.3,70,29,0
Platoon Splits,vs RHP as LHB,36,,107,102,,19,5,0,4,13,0,0,4,27,0.186,0.217,0.353,0.57,36,0,0,0,0,0,0,0.211,106,53,10
Platoon Splits,vs LHP as LHB,16,,22,21,,3,3,0,0,4,0,0,0,11,0.143,0.182,0.286,0.468,6,0,1,0,0,0,0,0.3,70,38,0
Platoon Splits,vs RH Starter,33,28,113,109,10,21,8,0,3,16,1,0,3,33,0.193,0.214,0.349,0.563,38,0,0,0,0,0,0,0.247,104,56,10
Platoon Splits,vs LH Starter,7,3,16,14,1,1,0,0,1,1,0,0,1,5,0.071,0.188,0.286,0.473,4,0,1,0,0,0,0,0.0,73,31,0
Home or Away,Home,25,19,76,74,6,15,6,0,1,9,1,0,2,20,0.203,0.224,0.324,0.548,24,0,0,0,0,0,0,0.264,101,51,8
Home or Away,Away,15,12,53,49,5,7,2,0,3,8,0,0,2,18,0.143,0.192,0.367,0.56,18,0,1,0,0,0,0,0.143,99,55,2
First or Second Half,1st Half,20,17,63,60,5,9,2,0,0,4,1,0,2,18,0.15,0.177,0.183,0.361,11,0,0,0,0,0,0,0.214,38,3,7
First or Second Half,2nd Half,20,14,66,63,6,13,6,0,4,13,0,0,2,20,0.206,0.242,0.492,0.735,31,0,1,0,0,0,0,0.231,159,97,3
Months,April/March,4,4,15,15,1,1,0,0,0,0,0,0,0,4,0.067,0.067,0.067,0.133,1,0,0,0,0,0,0,0.091,-49,-61,1
Months,May,1,1,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
