Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,118,113,512,458,60,120,16,1,18,71,1,0,45,81,0.262,0.326,0.419,0.745,192,8,2,0,7,3,0,0.279,100,109,85
Season Totals,Last 7 days,6,5,21,19,2,3,0,0,1,2,0,0,1,1,0.158,0.191,0.316,0.506,6,1,0,0,1,0,0,0.111,34,46,2
Season Totals,Last 14 days,11,9,39,36,3,9,2,0,1,4,0,0,1,2,0.25,0.256,0.389,0.645,14,1,0,0,2,0,0,0.229,71,80,6
Season Totals,Last 28 days,22,18,80,71,8,17,3,1,1,10,0,0,5,9,0.239,0.288,0.352,0.64,25,2,1,0,3,1,0,0.25,72,77,12
Season Totals,Last 365 days,151,145,658,580,78,156,25,1,22,90,1,1,66,101,0.269,0.342,0.429,0.771,249,12,3,0,9,4,0,0.288,107,,108
Platoon Splits,vs RHP,109,,355,315,41,71,9,1,11,38,1,0,33,63,0.225,0.296,0.365,0.661,115,6,1,0,6,2,0,0.243,78,86,50
Platoon Splits,vs LHP,74,,157,143,19,49,7,0,7,33,0,0,12,18,0.343,0.395,0.539,0.933,77,2,1,0,1,1,0,0.353,150,159,35
Platoon Splits,vs RHP as LHB,109,,355,315,,71,9,1,11,38,0,0,33,63,0.225,0.296,0.365,0.661,115,6,1,0,6,2,0,0.243,78,80,50
Platoon Splits,vs LHP as RHB,74,,157,143,,49,7,0,7,33,0,0,12,18,0.343,0.395,0.539,0.933,77,2,1,0,1,1,0,0.353,150,153,35
Platoon Splits,vs RH Starter,84,81,369,330,44,83,11,0,11,44,1,0,33,60,0.252,0.32,0.385,0.705,127,6,2,0,4,0,0,0.274,90,99,61
Platoon Splits,vs LH Starter,34,32,143,128,16,37,5,1,7,27,0,0,12,21,0.289,0.343,0.508,0.851,65,2,0,0,3,3,0,0.291,127,136,24
Home or Away,Home,60,58,255,225,30,52,7,0,10,24,0,0,25,48,0.231,0.306,0.396,0.702,89,2,1,0,4,1,0,0.246,88,94,35
Home or Away,Away,58,55,257,233,30,68,9,1,8,47,1,0,20,33,0.292,0.346,0.442,0.788,103,6,1,0,3,2,0,0.308,112,124,50
