Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,123,122,510,462,61,104,20,0,21,63,11,3,37,132,0.225,0.288,0.405,0.693,187,10,6,0,5,2,3,0.264,100,93,63
Season Totals,Last 7 days,6,6,23,22,2,4,2,0,1,3,1,0,1,6,0.182,0.217,0.409,0.627,9,0,0,0,0,0,0,0.2,76,79,1
Season Totals,Last 14 days,14,14,59,54,8,19,3,0,3,9,2,0,4,14,0.352,0.407,0.574,0.981,31,0,1,0,0,0,0,0.432,183,176,13
Season Totals,Last 28 days,24,24,98,90,11,25,4,0,3,11,2,0,7,24,0.278,0.337,0.422,0.759,38,0,1,0,0,0,2,0.349,121,109,18
Season Totals,Last 365 days,149,147,614,553,79,123,25,0,29,77,12,4,49,165,0.222,0.292,0.425,0.717,235,13,7,0,5,2,3,0.258,106,,69
Platoon Splits,vs RHP,117,,378,347,45,75,12,0,16,41,10,2,25,96,0.216,0.275,0.389,0.664,135,6,4,0,2,0,3,0.249,92,86,47
Platoon Splits,vs LHP,65,,132,115,16,29,8,0,5,22,1,1,12,36,0.252,0.326,0.452,0.778,52,4,2,0,3,2,0,0.312,125,116,16
Platoon Splits,vs RHP as RHB,117,,378,347,,75,12,0,16,41,0,0,25,96,0.216,0.275,0.389,0.664,135,6,4,0,2,0,3,0.249,92,91,47
Platoon Splits,vs LHP as RHB,65,,132,115,,29,8,0,5,22,0,0,12,36,0.252,0.326,0.452,0.778,52,4,2,0,3,2,0,0.312,125,111,16
Platoon Splits,vs RH Starter,92,91,382,344,50,78,15,0,15,46,10,3,31,96,0.227,0.296,0.401,0.697,138,7,4,0,3,1,3,0.267,102,95,48
Platoon Splits,vs LH Starter,31,31,128,118,11,26,5,0,6,17,1,0,6,36,0.22,0.266,0.415,0.681,49,3,2,0,2,1,0,0.256,95,89,15
Home or Away,Home,60,60,242,219,27,44,8,0,9,26,7,2,21,65,0.201,0.273,0.361,0.633,79,5,1,0,1,1,0,0.24,84,75,27
Home or Away,Away,63,62,268,243,34,60,12,0,12,37,4,1,16,67,0.247,0.302,0.444,0.747,108,5,5,0,4,1,3,0.286,115,110,36
First or Second Half,1st Half,91,90,379,341,47,72,15,0,17,45,7,3,28,102,0.211,0.277,0.405,0.682,138,9,5,0,5,1,1,0.242,96,91,40
First or Second Half,2nd Half,32,32,131,121,14,32,5,0,4,18,4,0,9,30,0.265,0.321,0.405,0.726,49,1,1,0,0,1,2,0.322,112,101,23
Months,April/March,29,28,118,106,19,31,7,0,8,25,4,1,8,29,0.293,0.348,0.585,0.932,62,4,2,0,2,0,0,0.324,165,163,16
Months,May,25,25,107,97,9,16,3,0,4,12,0,0,7,32,0.165,0.224,0.32,0.544,31,1,1,0,2,1,0,0.191,57,55,9
Months,June,26,26,108,96,17,19,3,0,4,7,2,1,10,27,0.198,0.278,0.354,0.632,34,3,1,0,1,0,1,0.227,84,76,12
Months,July,24,24,99,92,6,16,3,0,2,10,3,1,6,23,0.174,0.232,0.272,0.504,25,2,1,0,0,1,2,0.209,48,39,11
Months,August,19,19,78,71,10,22,4,0,3,9,2,0,6,21,0.31,0.372,0.493,0.865,35,0,1,0,0,0,0,0.404,151,139,15
Game Outcome for Team,in Wins,59,59,259,227,44,57,11,0,15,46,8,3,22,56,0.251,0.324,0.498,0.822,113,6,5,0,5,2,2,0.261,136,96,31
Game Outcome for Team,in Losses,64,63,251,235,17,47,9,0,6,17,3,0,15,76,0.2,0.251,0.315,0.566,74,4,1,0,0,0,1,0.268,65,92,32
Starter or Substitute,as Starter,122,122,509,461,61,104,20,0,21,63,11,3,37,132,0.226,0.289,0.406,0.694,187,10,6,0,5,2,3,0.265,101,93,63
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as RF,105,,430,391,54,90,17,0,16,53,10,2,32,111,0.23,0.291,0.396,0.687,155,8,3,0,4,1,3,0.276,99,88,57
Defensive Positions,as DH,18,,79,70,7,14,3,0,5,10,1,1,5,21,0.2,0.279,0.457,0.736,32,2,3,0,1,1,0,0.2,109,93,6
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,87,,133,127,,28,5,0,8,8,,,4,35,0.221,0.256,0.449,0.704,57,0,2,0,0,0,1,0.238,100,98,15
Batting Order Positions,Batting 3rd,8,8,30,27,4,5,1,0,0,0,2,0,3,6,0.185,0.267,0.222,0.489,6,2,0,0,0,0,1,0.238,48,29,4
Batting Order Positions,Batting 4th,87,87,368,332,46,75,16,0,19,51,6,3,26,101,0.226,0.288,0.446,0.734,148,6,5,0,5,1,0,0.258,110,97,40
Batting Order Positions,Batting 5th,21,21,87,81,7,15,2,0,2,10,2,0,5,20,0.185,0.241,0.284,0.525,23,2,1,0,0,1,2,0.22,54,46,11
Batting Order Positions,Batting 6th,1,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 7th,6,5,22,19,4,9,1,0,0,2,1,0,3,4,0.474,0.546,0.526,1.072,10,0,0,0,0,0,0,0.6,219,216,8
Swung or Took First Pitch of PA,Swung at 1st Pitch,108,,216,201,,45,8,0,10,27,,,8,61,0.224,0.255,0.413,0.668,83,2,2,0,5,0,0,0.259,91,88,27
Swung or Took First Pitch of PA,Took 1st Pitch,119,,294,261,,59,12,0,11,36,,,29,71,0.226,0.313,0.399,0.711,104,8,4,0,0,2,3,0.268,107,98,36
Count/Balls-Strikes,First Pitch,51,,62,58,7,17,3,0,2,12,4,0,0,0,0.293,0.29,0.448,0.739,26,1,1,0,3,0,0,0.254,111,65,12
Count/Balls-Strikes,1-0 Count,28,,29,28,6,11,2,0,2,6,2,0,0,0,0.393,0.414,0.679,1.092,19,0,1,0,0,0,0,0.346,211,140,7
Count/Balls-Strikes,2-0 Count,9,,9,9,4,3,1,0,2,4,0,0,0,0,0.333,0.333,1.111,1.444,10,0,0,0,0,0,0,0.143,290,176,0
Count/Balls-Strikes,3-0 Count,10,,10,3,,2,1,0,0,0,0,0,7,0,0.667,0.9,1.0,1.9,3,0,0,0,0,2,0,0.667,459,106,1
