Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,11,10,45,41,7,14,2,0,3,14,1,1,4,15,0.342,0.4,0.61,1.01,25,0,0,0,0,0,0,0.478,100,180,9
Season Totals,Last 7 days,4,4,18,17,3,6,0,0,2,9,1,1,1,6,0.353,0.389,0.706,1.095,12,0,0,0,0,0,0,0.444,113,214,4
Season Totals,Last 14 days,9,8,37,34,6,10,1,0,2,11,1,1,3,12,0.294,0.351,0.5,0.851,17,0,0,0,0,0,0,0.4,70,139,7
Season Totals,Last 28 days,11,10,45,41,7,14,2,0,3,14,1,1,4,15,0.342,0.4,0.61,1.01,25,0,0,0,0,0,0,0.478,100,174,9
Season Totals,Last 365 days,11,10,45,41,7,14,2,0,3,14,1,1,4,15,0.342,0.4,0.61,1.01,25,0,0,0,0,0,0,0.478,100,,9
Platoon Splits,vs RHP,11,,36,32,6,10,1,0,3,10,1,1,4,11,0.313,0.389,0.625,1.014,20,0,0,0,0,0,0,0.389,100,181,6
Platoon Splits,vs LHP,5,,9,9,1,4,1,0,0,4,0,0,0,4,0.444,0.444,0.556,1.0,5,0,0,0,0,0,0,0.8,102,179,3
Platoon Splits,vs RHP as LHB,11,,36,32,,10,1,0,3,10,0,0,4,11,0.313,0.389,0.625,1.014,20,0,0,0,0,0,0,0.389,100,172,6
Platoon Splits,vs LHP as LHB,5,,9,9,,4,1,0,0,4,0,0,0,4,0.444,0.444,0.556,1.0,5,0,0,0,0,0,0,0.8,102,198,3
Platoon Splits,vs RH Starter,9,9,39,36,5,11,1,0,3,12,1,1,3,13,0.306,0.359,0.583,0.942,21,0,0,0,0,0,0,0.4,85,161,7
Platoon Splits,vs LH Starter,2,1,6,5,2,3,1,0,0,2,0,0,1,2,0.6,0.667,0.8,1.467,4,0,0,0,0,0,0,1.0,198,312,2
Home or Away,Home,5,4,19,17,4,7,1,0,1,4,0,0,2,5,0.412,0.474,0.647,1.121,11,0,0,0,0,0,0,0.546,125,209,5
Home or Away,Away,6,6,26,24,3,7,1,0,2,10,1,1,2,10,0.292,0.346,0.583,0.93,14,0,0,0,0,0,0,0.417,82,160,4
First or Second Half,2nd Half,11,10,45,41,7,14,2,0,3,14,1,1,4,15,0.342,0.4,0.61,1.01,25,0,0,0,0,0,0,0.478,100,176,9
Months,August,11,10,45,41,7,14,2,0,3,14,1,1,4,15,0.342,0.4,0.61,1.01,25,0,0,0,0,0,0,0.478,100,177,9
Game Outcome for Team,in Wins,9,8,36,32,6,13,2,0,2,11,1,1,4,11,0.406,0.472,0.656,1.129,21,0,0,0,0,0,0,0.579,126,170,9
Game Outcome for Team,in Losses,2,2,9,9,1,1,0,0,1,3,0,0,0,4,0.111,0.111,0.444,0.556,4,0,0,0,0,0,0,0.0,1,81,0
Starter or Substitute,as Starter,10,10,44,41,6,14,2,0,3,14,1,1,3,15,0.342,0.386,0.61,0.996,25,0,0,0,0,0,0,0.478,97,175,9
Starter or Substitute,as Sub,1,0,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Defensive Positions,as C,10,,44,41,6,14,2,0,3,14,1,1,3,15,0.342,0.386,0.61,0.996,25,0,0,0,0,0,0,0.478,97,185,9
Defensive Positions,as PH,1,,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Leading Off Inning,Leadoff Inn.,7,,12,12,,5,1,0,1,1,,,0,4,0.417,0.417,0.75,1.167,9,0,0,0,0,0,0,0.571,127,227,3
Batting Order Positions,Batting 5th,1,1,4,4,1,3,0,0,1,2,0,0,0,1,0.75,0.75,1.5,2.25,6,0,0,0,0,0,0,1.0,333,507,2
Batting Order Positions,Batting 6th,6,6,26,24,3,6,0,0,1,6,1,1,2,8,0.25,0.308,0.375,0.683,9,0,0,0,0,0,0,0.333,39,100,5
Batting Order Positions,Batting 7th,1,1,5,5,1,3,1,0,0,2,0,0,0,2,0.6,0.6,0.8,1.4,4,0,0,0,0,0,0,1.0,181,306,2
Batting Order Positions,Batting 8th,2,2,9,8,1,2,1,0,1,4,0,0,1,4,0.25,0.333,0.75,1.083,6,0,0,0,0,0,0,0.333,106,219,0
Batting Order Positions,Batting 9th,1,0,1,0,1,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,7,,10,10,,6,0,0,1,5,,,0,1,0.6,0.6,0.9,1.5,9,0,0,0,0,0,0,0.625,198,325,5
Swung or Took First Pitch of PA,Took 1st Pitch,11,,35,31,,8,2,0,2,9,,,4,14,0.258,0.343,0.516,0.859,16,0,0,0,0,0,0,0.4,70,138,4
Count/Balls-Strikes,First Pitch,5,,6,6,2,4,0,0,1,5,0,0,0,0,0.667,0.667,1.167,1.833,7,0,0,0,0,0,0,0.6,258,304,3
Count/Balls-Strikes,1-0 Count,3,,3,3,1,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,2,0,0,0,0,0,0,0.333,93,114,0
Count/Balls-Strikes,2-0 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,0-1 Count,5,,6,6,0,3,0,0,0,1,1,0,0,0,0.5,0.5,0.5,1.0,3,0,0,0,0,0,0,0.5,107,148,3
Count/Balls-Strikes,1-1 Count,2,,2,2,1,1,0,0,1,3,0,0,0,0,0.5,0.5,2.0,2.5,4,0,0,0,0,0,0,0.0,353,434,0
Count/Balls-Strikes,3-1 Count,2,,2,1,1,1,0,0,1,4,0,0,1,0,1.0,1.0,4.0,5.0,4,0,0,0,0,0,0,,806,671,0
Count/Balls-Strikes,0-2 Count,4,,6,6,1,2,0,0,0,0,0,0,0,3,0.333,0.333,0.333,0.667,2,0,0,0,0,0,0,0.667,38,259,2
