Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,122,534,485,58,143,43,2,13,85,5,2,37,73,0.295,0.348,0.472,0.821,229,15,6,0,6,2,4,0.321,100,129,85
Season Totals,Last 7 days,5,5,20,19,4,5,0,0,0,1,0,0,1,2,0.263,0.3,0.263,0.563,5,1,0,0,0,0,0,0.294,42,68,5
Season Totals,Last 14 days,11,11,45,42,6,11,1,0,1,7,0,0,2,4,0.262,0.311,0.357,0.668,15,3,1,0,0,0,0,0.27,65,90,9
Season Totals,Last 28 days,24,24,102,96,13,28,7,1,2,14,1,0,5,11,0.292,0.333,0.448,0.781,43,4,1,0,0,0,1,0.313,91,114,18
Season Totals,Last 365 days,157,154,672,611,74,174,52,2,20,105,5,2,46,93,0.285,0.338,0.475,0.812,290,20,7,0,8,3,4,0.304,98,,100
Platoon Splits,vs RHP,123,,377,339,38,101,31,2,7,56,3,0,26,60,0.298,0.353,0.463,0.816,157,9,6,0,6,1,4,0.338,100,129,61
Platoon Splits,vs LHP,81,,157,146,20,42,12,0,6,29,2,2,11,13,0.288,0.338,0.493,0.831,72,6,0,0,0,1,0,0.284,102,130,24
Platoon Splits,vs RHP as RHB,123,,377,339,,101,31,2,7,56,0,0,26,60,0.298,0.353,0.463,0.816,157,9,6,0,6,1,4,0.338,100,136,61
Platoon Splits,vs LHP as RHB,81,,157,146,,42,12,0,6,29,0,0,11,13,0.288,0.338,0.493,0.831,72,6,0,0,0,1,0,0.284,102,124,24
Platoon Splits,vs RH Starter,75,73,316,290,37,91,30,1,7,55,3,1,17,48,0.314,0.354,0.497,0.851,144,8,4,0,5,1,4,0.35,107,137,53
Platoon Splits,vs LH Starter,50,49,218,195,21,52,13,1,6,30,2,1,20,25,0.267,0.339,0.436,0.775,85,7,2,0,1,1,0,0.279,90,117,32
Home or Away,Home,64,62,265,236,31,63,16,1,9,47,0,2,21,33,0.267,0.332,0.458,0.79,108,9,4,0,4,2,2,0.273,92,118,37
Home or Away,Away,61,60,269,249,27,80,27,1,4,38,5,0,16,40,0.321,0.364,0.486,0.85,121,6,2,0,2,0,2,0.367,108,141,48
First or Second Half,1st Half,94,91,402,363,42,107,33,1,11,70,4,2,28,56,0.295,0.348,0.482,0.83,175,11,5,0,6,2,2,0.318,102,133,62
First or Second Half,2nd Half,31,31,132,122,16,36,10,1,2,15,1,0,9,17,0.295,0.349,0.443,0.791,54,4,1,0,0,0,2,0.33,94,119,23
Months,April/March,31,29,128,112,15,41,12,1,4,30,1,1,15,19,0.366,0.438,0.598,1.036,67,3,0,0,1,1,0,0.411,153,195,24
Months,May,26,25,111,103,12,25,10,0,1,17,1,0,3,13,0.243,0.279,0.369,0.648,38,4,3,0,2,0,2,0.264,58,86,14
Months,June,25,25,112,102,11,29,6,0,5,21,2,0,5,14,0.284,0.321,0.49,0.812,50,3,2,0,3,0,0,0.279,96,123,18
Months,July,24,24,102,90,9,25,10,1,1,5,0,1,12,19,0.278,0.363,0.444,0.807,40,1,0,0,0,1,1,0.343,98,121,13
Months,August,19,19,81,78,11,23,5,0,2,12,1,0,2,8,0.295,0.321,0.436,0.757,34,4,1,0,0,0,1,0.309,85,109,16
Game Outcome for Team,in Wins,73,72,318,291,47,94,24,1,13,59,3,2,20,45,0.323,0.374,0.546,0.921,159,11,5,0,2,2,2,0.345,123,120,56
