Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,119,107,467,434,59,120,16,0,21,70,8,3,22,61,0.277,0.313,0.459,0.771,199,6,3,1,5,0,4,0.277,100,115,83
Season Totals,Last 7 days,6,5,24,21,4,7,1,0,1,2,1,0,3,3,0.333,0.417,0.524,0.941,11,0,0,0,0,0,1,0.353,147,175,5
Season Totals,Last 14 days,10,8,38,35,5,9,1,0,1,3,1,0,3,8,0.257,0.316,0.371,0.687,13,1,0,0,0,0,1,0.308,82,95,7
Season Totals,Last 28 days,23,21,94,87,15,20,2,0,3,10,1,0,7,14,0.23,0.287,0.356,0.644,31,1,0,0,0,0,1,0.243,69,77,15
Season Totals,Last 365 days,135,120,521,483,62,131,19,0,21,77,11,3,26,70,0.271,0.311,0.441,0.752,213,7,4,1,5,0,4,0.277,95,,91
Platoon Splits,vs RHP,113,,340,314,46,95,14,0,18,59,6,3,18,45,0.303,0.342,0.519,0.861,163,4,3,1,4,0,3,0.302,122,140,63
Platoon Splits,vs LHP,68,,127,120,13,25,2,0,3,11,2,0,4,16,0.208,0.232,0.3,0.532,36,2,0,0,1,0,1,0.216,40,48,20
Platoon Splits,vs RHP as LHB,113,,340,314,,95,14,0,18,59,0,0,18,45,0.303,0.342,0.519,0.861,163,4,3,1,4,0,3,0.302,122,132,63
Platoon Splits,vs LHP as LHB,68,,127,120,,25,2,0,3,11,0,0,4,16,0.208,0.232,0.3,0.532,36,2,0,0,1,0,1,0.216,40,59,20
Platoon Splits,vs RH Starter,86,81,346,320,48,95,13,0,18,59,5,3,16,49,0.297,0.331,0.506,0.838,162,5,3,1,5,0,2,0.298,116,132,64
Platoon Splits,vs LH Starter,33,26,121,114,11,25,3,0,3,11,3,0,6,12,0.219,0.258,0.325,0.583,37,1,0,0,0,0,2,0.222,53,63,19
Home or Away,Home,62,56,239,221,35,67,9,0,9,34,5,2,11,26,0.303,0.34,0.466,0.806,103,5,3,1,3,0,3,0.307,110,122,49
Home or Away,Away,57,51,228,213,24,53,7,0,12,36,3,1,11,35,0.249,0.283,0.451,0.734,96,1,0,0,2,0,1,0.244,89,106,34
First or Second Half,1st Half,89,79,340,316,41,91,14,0,17,53,7,2,14,46,0.288,0.321,0.494,0.814,156,5,3,1,4,0,3,0.288,110,127,60
First or Second Half,2nd Half,30,28,127,118,18,29,2,0,4,17,1,1,8,15,0.246,0.291,0.364,0.656,43,1,0,0,1,0,1,0.25,72,81,23
Months,April/March,24,17,71,66,4,18,2,0,2,10,0,0,5,13,0.273,0.324,0.394,0.718,26,0,0,0,0,0,1,0.314,89,106,14
Months,May,24,22,93,90,10,26,4,0,3,8,2,0,2,11,0.289,0.304,0.433,0.738,39,2,0,0,0,0,0,0.303,92,111,19
Months,June,28,27,117,107,18,29,5,0,7,20,3,1,4,16,0.271,0.31,0.514,0.824,55,1,3,1,2,0,2,0.256,111,125,17
Months,July,25,25,113,103,16,30,3,0,6,25,2,2,6,9,0.291,0.321,0.495,0.817,51,2,0,0,3,0,0,0.264,110,120,21
Months,August,18,16,73,68,11,17,2,0,3,7,1,0,5,12,0.25,0.301,0.412,0.713,28,1,0,0,0,0,1,0.264,86,97,12
Game Outcome for Team,in Wins,59,57,242,218,42,77,10,0,14,52,8,1,15,22,0.353,0.398,0.592,0.989,129,4,3,1,3,0,1,0.341,156,136,53
Game Outcome for Team,in Losses,60,50,225,216,17,43,6,0,7,18,0,2,7,39,0.199,0.222,0.324,0.546,70,2,0,0,2,0,3,0.209,42,84,30
Starter or Substitute,as Starter,107,107,453,421,58,118,16,0,21,70,8,3,21,58,0.28,0.316,0.468,0.784,197,6,3,1,5,0,3,0.28,103,117,81
