Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,77,70,281,242,17,60,12,0,4,38,0,0,28,37,0.248,0.32,0.347,0.667,84,7,2,0,9,1,1,0.267,100,89,44
Season Totals,Last 7 days,7,6,24,20,2,7,2,0,1,4,0,0,4,0,0.35,0.458,0.6,1.058,12,0,0,0,0,0,0,0.316,216,209,4
Season Totals,Last 14 days,12,10,43,37,2,9,2,0,1,4,0,0,6,6,0.243,0.349,0.378,0.727,14,0,0,0,0,0,0,0.267,118,108,6
Season Totals,Last 28 days,22,20,84,72,6,23,4,0,2,14,0,0,9,9,0.319,0.393,0.458,0.851,33,1,1,0,2,0,0,0.333,155,135,17
Season Totals,Last 365 days,107,94,384,331,28,84,21,0,6,51,0,0,41,48,0.254,0.331,0.372,0.702,123,11,2,0,10,1,1,0.272,111,,57
Platoon Splits,vs RHP,69,,210,178,13,48,7,0,3,31,0,0,21,22,0.27,0.338,0.36,0.698,64,5,2,0,9,1,1,0.278,109,99,38
Platoon Splits,vs LHP,41,,71,64,4,12,5,0,1,7,0,0,7,15,0.188,0.268,0.313,0.58,20,2,0,0,0,0,0,0.229,74,63,6
Platoon Splits,vs RHP as RHB,69,,210,178,,48,7,0,3,31,0,0,21,22,0.27,0.338,0.36,0.698,64,5,2,0,9,1,1,0.278,109,104,38
Platoon Splits,vs LHP as RHB,41,,71,64,,12,5,0,1,7,0,0,7,15,0.188,0.268,0.313,0.58,20,2,0,0,0,0,0,0.229,74,59,6
Platoon Splits,vs RH Starter,59,53,215,186,14,45,5,0,4,32,0,0,19,26,0.242,0.302,0.333,0.636,62,4,1,0,9,1,1,0.249,90,80,36
Platoon Splits,vs LH Starter,18,17,66,56,3,15,7,0,0,6,0,0,9,11,0.268,0.379,0.393,0.772,22,3,1,0,0,0,0,0.333,132,119,8
Home or Away,Home,39,35,139,123,10,29,8,0,3,19,0,0,15,18,0.236,0.317,0.374,0.691,46,3,0,0,1,0,1,0.252,107,92,18
Home or Away,Away,38,35,142,119,7,31,4,0,1,19,0,0,13,19,0.261,0.324,0.319,0.643,38,4,2,0,8,1,0,0.28,93,86,26
First or Second Half,1st Half,52,47,185,158,11,37,8,0,2,24,0,0,19,26,0.234,0.308,0.323,0.631,51,6,1,0,7,1,0,0.256,89,80,27
First or Second Half,2nd Half,25,23,96,84,6,23,4,0,2,14,0,0,9,11,0.274,0.344,0.393,0.737,33,1,1,0,2,0,1,0.288,121,105,17
Months,April/March,21,20,78,67,2,13,1,0,1,10,0,0,9,11,0.194,0.282,0.254,0.536,17,4,0,0,2,0,0,0.211,61,56,11
Months,May,9,8,31,28,2,8,3,0,0,3,0,0,3,4,0.286,0.355,0.393,0.748,11,1,0,0,0,0,0,0.333,124,117,5
Months,June,14,11,43,36,2,6,2,0,1,5,0,0,4,7,0.167,0.256,0.306,0.561,11,0,1,0,2,0,0,0.167,68,57,3
Months,July,15,15,61,53,7,17,3,0,0,8,0,0,3,7,0.321,0.344,0.377,0.722,20,1,1,0,4,1,1,0.34,116,99,14
Months,August,18,16,68,58,4,16,3,0,2,12,0,0,9,8,0.276,0.368,0.431,0.799,25,1,0,0,1,0,0,0.286,139,123,11
Game Outcome for Team,in Wins,34,34,139,122,13,43,8,0,3,25,0,0,14,18,0.353,0.41,0.492,0.902,60,3,0,0,3,1,1,0.385,170,119,32
Game Outcome for Team,in Losses,43,36,142,120,4,17,4,0,1,13,0,0,14,19,0.142,0.232,0.2,0.432,24,4,2,0,6,0,0,0.151,30,49,12
Starter or Substitute,as Starter,70,70,274,235,17,59,12,0,4,36,0,0,28,36,0.251,0.325,0.353,0.678,83,7,2,0,9,1,1,0.27,103,92,43
Starter or Substitute,as Sub,7,0,7,7,0,1,0,0,0,2,0,0,0,1,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,0.167,-14,-13,1
Defensive Positions,as C,69,,267,229,17,55,12,0,4,37,0,0,27,36,0.24,0.315,0.345,0.66,79,7,2,0,9,1,1,0.258,98,94,39
Defensive Positions,as DH,3,,9,8,,4,0,0,0,0,0,0,1,0,0.5,0.556,0.5,1.056,4,0,0,0,0,0,0,0.5,218,189,4
Defensive Positions,as PH,6,,6,6,,1,0,0,0,1,0,0,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.2,0,5,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,42,,57,53,,12,1,0,0,0,,,4,9,0.226,0.281,0.245,0.526,13,0,0,0,0,0,0,0.273,58,54,11
Batting Order Positions,Batting 1st,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,501,452,1
Batting Order Positions,Batting 4th,9,8,35,28,0,7,0,0,0,5,0,0,7,4,0.25,0.4,0.25,0.65,7,1,0,0,0,0,0,0.292,97,86,7
Batting Order Positions,Batting 5th,11,11,44,38,3,9,2,0,2,9,0,0,4,4,0.237,0.318,0.447,0.766,17,0,1,0,1,0,0,0.212,128,111,5
Batting Order Positions,Batting 6th,23,23,92,82,5,15,4,0,0,9,0,0,5,14,0.183,0.228,0.232,0.46,19,5,1,0,4,0,1,0.208,38,36,11
Batting Order Positions,Batting 7th,17,17,70,60,6,21,4,0,0,9,0,0,6,10,0.35,0.386,0.417,0.802,25,1,0,0,4,1,0,0.389,141,135,17
Batting Order Positions,Batting 8th,12,10,34,28,2,6,2,0,1,4,0,0,6,5,0.214,0.353,0.393,0.746,11,0,0,0,0,0,0,0.227,124,128,3
Batting Order Positions,Batting 9th,4,1,5,5,1,1,0,0,1,1,0,0,0,0,0.2,0.2,0.8,1.0,4,0,0,0,0,0,0,0.0,193,206,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,50,,80,72,,21,6,0,2,16,,,1,7,0.292,0.288,0.458,0.746,33,4,1,0,6,0,0,0.275,122,110,13
Swung or Took First Pitch of PA,Took 1st Pitch,75,,201,170,,39,6,0,2,22,,,27,30,0.229,0.333,0.3,0.633,51,3,1,0,3,1,1,0.262,91,79,31
Count/Balls-Strikes,First Pitch,25,,29,26,4,9,1,0,1,7,0,0,0,0,0.346,0.31,0.5,0.81,13,3,0,0,3,0,0,0.286,141,80,7
