Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,119,119,523,480,66,124,25,2,20,60,3,0,37,68,0.258,0.316,0.444,0.759,213,12,4,0,2,0,2,0.264,100,112,77
Season Totals,Last 7 days,3,3,14,13,1,2,0,0,1,1,0,0,1,2,0.154,0.214,0.385,0.599,5,0,0,0,0,0,0,0.1,55,72,1
Season Totals,Last 14 days,8,8,38,35,8,10,2,0,5,7,0,0,3,5,0.286,0.342,0.771,1.114,27,1,0,0,0,0,0,0.2,182,204,3
Season Totals,Last 28 days,20,20,92,87,15,23,5,0,7,10,0,0,5,11,0.264,0.304,0.563,0.868,49,3,0,0,0,0,0,0.232,123,133,11
Season Totals,Last 365 days,153,153,681,614,91,162,34,3,25,76,3,1,56,81,0.264,0.332,0.451,0.783,277,20,8,0,3,0,3,0.268,107,,100
Platoon Splits,vs RHP,115,,373,340,49,94,19,1,14,36,2,0,27,56,0.277,0.335,0.462,0.797,157,8,4,0,2,0,2,0.294,110,123,60
Platoon Splits,vs LHP,67,,150,140,17,30,6,1,6,24,1,0,10,12,0.214,0.267,0.4,0.667,56,4,0,0,0,0,0,0.197,75,84,17
Platoon Splits,vs RHP as RHB,115,,373,340,,94,19,1,14,36,0,0,27,56,0.277,0.335,0.462,0.797,157,8,4,0,2,0,2,0.294,110,130,60
Platoon Splits,vs LHP as RHB,67,,150,140,,30,6,1,6,24,0,0,10,12,0.214,0.267,0.4,0.667,56,4,0,0,0,0,0,0.197,75,80,17
Platoon Splits,vs RH Starter,85,85,371,343,50,95,20,1,14,39,1,0,23,52,0.277,0.326,0.464,0.79,159,8,3,0,2,0,2,0.29,108,120,60
Platoon Splits,vs LH Starter,34,34,152,137,16,29,5,1,6,21,2,0,14,16,0.212,0.29,0.394,0.684,54,4,1,0,0,0,0,0.2,81,91,17
Home or Away,Home,55,55,235,212,33,51,11,1,12,29,2,0,21,31,0.241,0.311,0.472,0.782,100,3,1,0,1,0,1,0.229,105,114,27
Home or Away,Away,64,64,288,268,33,73,14,1,8,31,1,0,16,37,0.272,0.319,0.422,0.741,113,9,3,0,1,0,1,0.29,96,110,50
First or Second Half,1st Half,92,92,402,367,47,94,18,2,12,47,2,0,31,54,0.256,0.316,0.414,0.73,152,7,2,0,2,0,1,0.271,94,106,62
First or Second Half,2nd Half,27,27,121,113,19,30,7,0,8,13,1,0,6,14,0.266,0.314,0.54,0.854,61,5,2,0,0,0,1,0.242,121,131,15
Months,April/March,26,26,113,102,5,22,5,0,1,10,1,0,10,14,0.216,0.283,0.294,0.577,30,1,0,0,1,0,0,0.239,56,67,16
Months,May,29,29,123,113,13,25,5,1,6,16,1,0,9,17,0.221,0.276,0.443,0.719,50,3,0,0,1,0,0,0.209,87,104,13
Months,June,24,24,109,100,19,31,6,1,2,11,0,0,7,16,0.31,0.367,0.45,0.817,45,3,2,0,0,0,1,0.354,118,128,22
Months,July,25,25,108,99,16,26,4,0,5,14,1,0,7,13,0.263,0.324,0.455,0.779,45,2,2,0,0,0,1,0.259,105,111,17
Months,August,15,15,70,66,13,20,5,0,6,9,0,0,4,8,0.303,0.343,0.652,0.994,43,3,0,0,0,0,0,0.269,156,169,9
Game Outcome for Team,in Wins,64,64,290,262,55,85,19,2,15,44,2,0,24,38,0.324,0.386,0.584,0.97,153,4,3,0,1,0,2,0.333,154,131,49
Game Outcome for Team,in Losses,55,55,233,218,11,39,6,0,5,16,1,0,13,30,0.179,0.228,0.275,0.503,60,8,1,0,1,0,0,0.185,34,71,28
Starter or Substitute,as Starter,119,119,523,480,66,124,25,2,20,60,3,0,37,68,0.258,0.316,0.444,0.759,213,12,4,0,2,0,2,0.264,100,111,77
Defensive Positions,as 3B,116,,509,467,65,122,25,2,19,59,3,0,36,66,0.261,0.318,0.445,0.764,208,12,4,0,2,0,2,0.268,101,114,76
Defensive Positions,as DH,3,,14,13,1,2,0,0,1,1,0,0,1,2,0.154,0.214,0.385,0.599,5,0,0,0,0,0,0,0.1,55,57,1
Leading Off Inning,1st Batter G,3,,3,3,,1,0,0,1,1,,,0,0,0.333,0.333,1.333,1.667,4,0,0,0,0,0,0,0.0,306,331,0
Leading Off Inning,Leadoff Inn.,72,,101,94,,30,8,0,6,6,,,6,9,0.319,0.366,0.596,0.962,56,0,1,0,0,0,0,0.304,150,171,16
Batting Order Positions,Batting 1st,3,3,12,12,2,4,2,0,1,2,0,0,0,1,0.333,0.333,0.75,1.083,9,0,0,0,0,0,0,0.3,175,186,1
Batting Order Positions,Batting 2nd,63,63,286,264,48,72,12,1,12,36,2,0,18,38,0.273,0.329,0.462,0.791,122,8,4,0,0,0,2,0.28,109,108,47
Batting Order Positions,Batting 3rd,6,6,28,21,1,5,0,0,0,2,0,0,6,2,0.238,0.393,0.238,0.631,5,0,0,0,1,0,0,0.25,78,71,5
Batting Order Positions,Batting 4th,39,39,165,152,8,30,8,0,2,10,1,0,12,23,0.197,0.255,0.29,0.544,44,4,0,0,1,0,0,0.219,46,49,20
Batting Order Positions,Batting 5th,4,4,16,16,4,7,1,1,3,5,0,0,0,3,0.438,0.438,1.188,1.625,19,0,0,0,0,0,0,0.4,307,331,2
Batting Order Positions,Batting 6th,4,4,16,15,3,6,2,0,2,5,0,0,1,1,0.4,0.438,0.933,1.371,14,0,0,0,0,0,0,0.333,249,288,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,90,,150,145,,29,10,0,4,16,,,2,12,0.2,0.213,0.352,0.565,51,3,1,0,2,0,1,0.191,47,59,15
Swung or Took First Pitch of PA,Took 1st Pitch,119,,373,335,,95,15,2,16,44,,,35,56,0.284,0.357,0.484,0.84,162,9,3,0,0,0,1,0.3,122,134,62
Count/Balls-Strikes,First Pitch,63,,78,77,11,19,5,0,4,10,1,0,0,0,0.247,0.244,0.468,0.711,36,2,0,0,1,0,1,0.203,83,55,10
Count/Balls-Strikes,1-0 Count,34,,37,37,6,14,3,1,2,8,0,0,0,0,0.378,0.378,0.676,1.054,25,1,0,0,0,0,0,0.343,172,129,8
Count/Balls-Strikes,2-0 Count,10,,11,11,,2,0,0,0,2,0,0,0,0,0.182,0.182,0.182,0.364,2,0,0,0,0,0,0,0.182,-1,-18,2
Count/Balls-Strikes,3-0 Count,11,,11,3,,3,0,0,0,2,0,0,8,0,1.0,1.0,1.0,2.0,3,0,0,0,0,0,0,1.0,443,117,3
Count/Balls-Strikes,0-1 Count,48,,57,56,11,17,4,1,4,10,1,0,0,0,0.304,0.298,0.625,0.923,35,2,0,0,1,0,0,0.245,135,112,8
Count/Balls-Strikes,1-1 Count,31,,38,36,5,5,2,0,0,1,0,0,0,0,0.139,0.184,0.194,0.379,7,1,2,0,0,0,0,0.139,2,-7,3
Count/Balls-Strikes,2-1 Count,21,,22,22,6,8,2,0,3,3,0,0,0,0,0.364,0.364,0.864,1.227,19,0,0,0,0,0,0,0.263,210,154,3
Count/Balls-Strikes,3-1 Count,20,,21,8,3,2,0,0,0,2,0,0,13,0,0.25,0.714,0.25,0.964,2,0,0,0,0,0,0,0.25,183,42,2
Count/Balls-Strikes,0-2 Count,29,,30,30,3,6,0,0,1,2,0,0,0,9,0.2,0.2,0.3,0.5,9,0,0,0,0,0,0,0.25,31,161,5
Count/Balls-Strikes,1-2 Count,58,,77,76,6,15,2,0,1,3,0,0,0,25,0.197,0.208,0.263,0.471,20,3,1,0,0,0,0,0.28,25,130,12
Count/Balls-Strikes,2-2 Count,59,,68,67,9,16,4,0,2,8,1,0,0,19,0.239,0.25,0.388,0.638,26,1,1,0,0,0,0,0.304,67,184,10
Count/Balls-Strikes,Full Count,58,,73,57,6,17,3,0,3,9,0,0,16,15,0.298,0.452,0.509,0.961,29,2,0,0,0,0,1,0.359,158,153,11
Count/Balls-Strikes,After 1-0,108,,193,166,,48,9,1,9,28,,,24,25,0.289,0.389,0.518,0.907,86,5,3,0,0,0,1,0.296,140,125,29
Count/Balls-Strikes,After 2-0,57,,69,52,,18,4,0,2,11,,,16,7,0.346,0.507,0.539,1.046,28,1,1,0,0,0,0,0.372,182,118,12
Count/Balls-Strikes,After 3-0,24,,25,12,,4,0,0,0,4,,,13,1,0.333,0.68,0.333,1.013,4,0,0,0,0,0,0,0.364,191,58,4
Count/Balls-Strikes,After 0-1,117,,250,235,,57,11,1,7,22,,,13,42,0.243,0.284,0.387,0.671,91,5,1,0,1,0,0,0.267,77,121,38
Count/Balls-Strikes,After 1-1,103,,189,167,,36,7,0,6,12,,,20,33,0.216,0.307,0.365,0.672,61,5,2,0,0,0,1,0.234,80,103,23
Count/Balls-Strikes,After 2-1,71,,102,83,,26,5,0,7,14,,,18,12,0.313,0.441,0.627,1.068,52,1,1,0,0,0,1,0.297,181,171,14
Count/Balls-Strikes,After 3-1,36,,41,24,,7,1,0,0,2,,,17,3,0.292,0.585,0.333,0.919,8,1,0,0,0,0,0,0.333,161,76,6
Count/Balls-Strikes,After 0-2,71,,91,89,,20,2,0,2,9,,,1,27,0.225,0.242,0.315,0.556,28,1,1,0,0,0,0,0.3,48,146,16
Count/Balls-Strikes,After 1-2,88,,144,137,,31,6,0,2,9,,,6,45,0.226,0.264,0.314,0.578,43,5,1,0,0,0,0,0.322,55,133,23
Count/Balls-Strikes,After 2-2,83,,121,108,,28,6,0,5,17,,,12,31,0.259,0.339,0.454,0.793,49,2,1,0,0,0,1,0.319,110,172,17
Count/Balls-Strikes,Zero Balls,101,,165,163,25,42,9,1,9,22,2,0,0,9,0.258,0.255,0.491,0.745,80,4,0,0,2,0,1,0.225,92,103,23
Count/Balls-Strikes,Zero Strikes,95,,137,128,17,38,8,1,6,22,1,0,8,0,0.297,0.336,0.516,0.851,66,3,0,0,1,0,1,0.26,123,76,23
Count/Balls-Strikes,Three Balls,72,,105,68,9,22,3,0,3,13,0,0,37,15,0.324,0.562,0.5,1.062,34,2,0,0,0,0,1,0.38,191,132,16
Count/Balls-Strikes,Two Strikes,116,,248,230,24,54,9,0,7,22,1,0,16,68,0.235,0.29,0.365,0.656,84,6,2,0,0,0,1,0.303,74,156,38
Count/Balls-Strikes,Batter Ahead,94,,175,138,21,46,8,1,8,26,0,0,37,15,0.333,0.474,0.58,1.054,80,3,0,0,0,0,1,0.33,181,120,29
Count/Balls-Strikes,Even Count,104,,184,180,25,40,11,0,6,19,2,0,0,19,0.222,0.234,0.383,0.617,69,4,3,0,1,0,1,0.218,61,77,23
Count/Balls-Strikes,Pitcher Ahead,98,,164,162,20,38,6,1,6,15,1,0,0,34,0.235,0.238,0.395,0.633,64,5,1,0,1,0,0,0.26,65,141,25
Number of Outs in Inning,0 outs,99,,172,158,17,48,12,1,8,23,0,0,10,15,0.304,0.355,0.544,0.899,86,8,3,0,1,0,1,0.294,135,146,27
Number of Outs in Inning,1 out,103,,186,173,28,43,8,1,6,18,3,0,12,23,0.249,0.296,0.41,0.706,71,4,0,0,1,0,1,0.255,86,96,28
Number of Outs in Inning,2 outs,98,,165,149,21,33,5,0,6,19,0,0,15,30,0.222,0.297,0.376,0.673,56,0,1,0,0,0,0,0.239,79,92,22
Bases Occupied,RISP,87,,121,111,46,28,5,1,5,43,3,0,8,19,0.252,0.298,0.451,0.748,50,4,0,0,2,0,0,0.258,96,98,17
Bases Occupied,---,117,,288,265,13,73,16,1,13,13,0,0,21,33,0.276,0.333,0.491,0.824,130,0,2,0,0,0,1,0.274,116,137,43
Bases Occupied,Men On,110,,235,215,53,51,9,1,7,47,3,0,16,35,0.237,0.294,0.386,0.68,83,12,2,0,2,0,1,0.251,80,82,34
Bases Occupied,1--,86,,114,104,7,23,4,0,2,4,0,0,8,16,0.221,0.29,0.317,0.607,33,8,2,0,0,0,1,0.244,63,65,17
Bases Occupied,-2-,33,,41,37,6,8,1,1,2,9,0,0,4,6,0.216,0.293,0.46,0.752,17,0,0,0,0,0,0,0.207,96,103,4
Bases Occupied,--3,9,,9,8,4,2,0,0,0,4,0,0,0,1,0.25,0.222,0.25,0.472,2,0,0,0,1,0,0,0.25,27,23,2
Bases Occupied,12-,33,,36,34,12,7,1,0,1,7,3,0,2,7,0.206,0.25,0.324,0.574,11,2,0,0,0,0,0,0.231,52,60,5
Bases Occupied,1-3,17,,17,16,9,4,0,0,2,10,0,0,0,3,0.25,0.235,0.625,0.86,10,2,0,0,1,0,0,0.167,115,101,2
Bases Occupied,-23,7,,8,7,8,5,2,0,0,7,0,0,1,1,0.714,0.75,1.0,1.75,7,0,0,0,0,0,0,0.833,363,337,3
Bases Occupied,123,10,,10,9,7,2,1,0,0,6,0,0,1,1,0.222,0.3,0.333,0.633,3,0,0,0,0,0,0,0.25,70,77,1
Bases Occupied,"on 1st,",81,,121,112,23,27,5,0,4,20,3,0,6,15,0.241,0.289,0.393,0.682,44,12,2,0,1,0,1,0.245,80,80,18
Bases Occupied,"on 3rd,",26,,29,27,21,9,3,0,1,19,0,0,0,2,0.333,0.31,0.556,0.866,15,2,0,0,2,0,0,0.308,124,100,5
