Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,30,27,113,99,15,34,9,0,3,14,5,1,12,19,0.343,0.425,0.525,0.95,52,2,2,0,0,0,2,0.403,100,167,22
Season Totals,Last 7 days,6,6,23,20,4,5,1,0,2,2,1,0,3,2,0.25,0.348,0.6,0.948,12,0,0,0,0,0,1,0.188,96,172,2
Season Totals,Last 14 days,12,12,49,46,4,12,4,0,2,5,1,0,3,9,0.261,0.306,0.478,0.784,22,0,0,0,0,0,1,0.286,63,119,6
Season Totals,Last 28 days,23,22,92,83,9,29,8,0,3,13,4,1,9,14,0.349,0.413,0.554,0.967,46,2,0,0,0,0,1,0.394,103,165,18
Season Totals,Last 365 days,53,38,158,136,20,42,11,0,5,19,5,2,19,26,0.309,0.401,0.5,0.901,68,2,2,1,0,0,2,0.352,90,,26
Platoon Splits,vs RHP,24,,77,68,7,25,8,0,1,8,3,1,8,11,0.368,0.442,0.529,0.971,36,2,1,0,0,0,1,0.429,105,174,16
Platoon Splits,vs LHP,16,,36,31,8,9,1,0,2,6,2,0,4,8,0.29,0.389,0.516,0.905,16,0,1,0,0,0,1,0.333,90,152,6
Platoon Splits,vs RHP as RHB,24,,77,68,,25,8,0,1,8,0,0,8,11,0.368,0.442,0.529,0.971,36,2,1,0,0,0,1,0.429,105,182,16
Platoon Splits,vs LHP as RHB,16,,36,31,,9,1,0,2,6,0,0,4,8,0.29,0.389,0.516,0.905,16,0,1,0,0,0,1,0.333,90,146,6
Platoon Splits,vs RH Starter,19,16,68,61,6,21,7,0,1,8,3,1,6,10,0.344,0.412,0.508,0.92,31,1,1,0,0,0,0,0.4,94,159,13
Platoon Splits,vs LH Starter,11,11,45,38,9,13,2,0,2,6,2,0,6,9,0.342,0.444,0.553,0.997,21,1,1,0,0,0,2,0.407,110,180,9
