Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,123,121,525,469,62,106,27,1,10,53,1,1,44,80,0.226,0.288,0.352,0.64,165,11,1,1,10,0,3,0.247,100,80,68
Season Totals,Last 7 days,5,5,21,18,1,0,0,0,0,0,0,0,3,3,0.0,0.143,0.0,0.143,0,0,0,0,0,0,0,0.0,-50,-53,0
Season Totals,Last 14 days,12,12,54,46,6,6,1,0,0,3,0,0,6,7,0.13,0.222,0.152,0.374,7,1,0,0,2,0,1,0.146,20,10,5
Season Totals,Last 28 days,22,22,103,88,20,18,7,0,0,5,0,0,12,14,0.205,0.291,0.284,0.575,25,1,0,0,3,0,2,0.234,82,61,11
Season Totals,Last 365 days,151,147,638,577,74,130,31,2,14,60,2,1,48,100,0.225,0.281,0.359,0.64,207,14,1,1,11,0,4,0.245,100,,83
Platoon Splits,vs RHP,116,,366,333,49,77,24,1,8,46,0,0,25,53,0.231,0.279,0.381,0.66,127,6,0,0,8,0,2,0.246,105,85,44
Platoon Splits,vs LHP,83,,159,136,13,29,3,0,2,7,1,1,19,27,0.213,0.31,0.279,0.59,38,5,1,1,2,0,1,0.248,87,68,24
Platoon Splits,vs RHP as LHB,116,,366,333,,77,24,1,8,46,0,0,25,53,0.231,0.279,0.381,0.66,127,6,0,0,8,0,2,0.246,105,79,44
Platoon Splits,vs LHP as LHB,83,,159,136,,29,3,0,2,7,0,0,19,27,0.213,0.31,0.279,0.59,38,5,1,1,2,0,1,0.248,87,79,24
Platoon Splits,vs RH Starter,90,89,390,355,48,82,21,1,8,44,0,1,26,60,0.231,0.277,0.363,0.64,129,5,0,0,9,0,1,0.25,99,79,52
Platoon Splits,vs LH Starter,33,32,135,114,14,24,6,0,2,9,1,0,18,20,0.211,0.321,0.316,0.637,36,6,1,1,1,0,2,0.237,101,81,16
Home or Away,Home,61,60,252,226,22,47,11,0,4,22,1,0,21,37,0.208,0.275,0.31,0.585,70,5,1,1,3,0,3,0.229,84,63,32
Home or Away,Away,62,61,273,243,40,59,16,1,6,31,0,1,23,43,0.243,0.3,0.391,0.691,95,6,0,0,7,0,0,0.264,115,96,36
First or Second Half,1st Half,94,92,394,357,42,84,19,1,10,45,1,1,30,60,0.235,0.292,0.378,0.67,135,9,1,0,6,0,1,0.253,109,89,54
