Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,23,79,69,4,10,1,0,0,2,0,1,4,21,0.145,0.203,0.159,0.362,11,2,1,5,0,0,1,0.208,100,5,9
Season Totals,Last 7 days,2,2,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Season Totals,Last 14 days,6,6,20,19,0,1,1,0,0,0,0,0,0,5,0.053,0.053,0.105,0.158,2,1,0,1,0,0,0,0.071,-8,-57,0
Season Totals,Last 28 days,14,12,41,36,3,3,1,0,0,1,0,1,2,11,0.083,0.132,0.111,0.243,4,1,0,3,0,0,0,0.12,35,-32,2
Season Totals,Last 365 days,26,23,79,69,4,10,1,0,0,2,0,1,4,21,0.145,0.203,0.159,0.362,11,2,1,5,0,0,1,0.208,100,,9
Platoon Splits,vs RHP,23,,54,47,3,8,1,0,0,1,0,1,2,15,0.17,0.22,0.192,0.412,9,1,1,4,0,0,1,0.25,129,19,7
Platoon Splits,vs LHP,12,,25,22,1,2,0,0,0,1,0,0,2,6,0.091,0.167,0.091,0.258,2,1,0,1,0,0,0,0.125,40,-25,2
Platoon Splits,vs RHP as RHB,23,,54,47,,8,1,0,0,1,0,0,2,15,0.17,0.22,0.192,0.412,9,1,1,4,0,0,1,0.25,129,22,7
Platoon Splits,vs LHP as RHB,12,,25,22,,2,0,0,0,1,0,0,2,6,0.091,0.167,0.091,0.258,2,1,0,1,0,0,0,0.125,40,-26,2
Platoon Splits,vs RH Starter,16,13,46,38,3,6,1,0,0,1,0,1,2,13,0.158,0.22,0.184,0.404,7,0,1,5,0,0,1,0.24,124,17,5
Platoon Splits,vs LH Starter,10,10,33,31,1,4,0,0,0,1,0,0,2,8,0.129,0.182,0.129,0.311,4,2,0,0,0,0,0,0.174,71,-10,4
