Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,23,363.0,328,40.0,79,14,0,6,15,4,33,65,1.97,0.241,0.314,0.338,0.652,111.0,11.0,2.0,0,0,0,1,0.284,100,85,59
Season Totals,Last 7 days,2,53.0,49,3.0,9,0,0,1,2,1,4,10,2.5,0.184,0.245,0.245,0.49,12.0,2.0,0.0,0,0,0,0,0.211,51,45,8
Season Totals,Last 14 days,3,77.0,69,5.0,12,0,0,1,3,2,8,14,1.75,0.174,0.26,0.217,0.477,15.0,2.0,0.0,0,0,0,0,0.204,47,38,11
Season Totals,Last 28 days,5,122.0,110,13.0,24,3,0,1,3,2,12,21,1.75,0.218,0.295,0.273,0.568,30.0,2.0,0.0,0,0,0,0,0.261,75,60,20
Season Totals,Last 365 days,39,439.0,395,49.0,101,20,0,8,20,4,40,69,1.73,0.256,0.327,0.367,0.694,145.0,14.0,2.0,1,1,0,2,0.292,112,,73
Platoon Splits,vs RHB,21,190.0,171,22.0,46,10,0,4,11,2,17,31,1.82,0.269,0.342,0.398,0.74,68.0,2.0,2.0,0,0,0,0,0.309,127,111,32
Platoon Splits,vs LHB,23,173.0,157,15.0,33,4,0,2,4,2,16,34,2.13,0.21,0.283,0.274,0.557,43.0,9.0,0.0,0,0,0,1,0.256,71,57,27
Platoon Splits,vs RHB as RHP,21,190.0,171,22.0,46,10,0,4,11,2,17,31,1.82,0.269,0.342,0.398,0.74,68.0,2.0,2.0,0,0,0,0,0.309,127,115,32
Platoon Splits,vs LHB as RHP,23,173.0,157,15.0,33,4,0,2,4,2,16,34,2.13,0.21,0.283,0.274,0.557,43.0,9.0,0.0,0,0,0,1,0.256,71,54,27
Home or Away,Home,11,184.0,167,24.0,44,10,0,3,8,1,16,33,2.06,0.264,0.332,0.377,0.709,63.0,6.0,1.0,0,0,0,1,0.313,117,103,31
Home or Away,Away,12,179.0,161,16.0,35,4,0,3,7,3,17,32,1.88,0.217,0.296,0.298,0.594,48.0,5.0,1.0,0,0,0,0,0.254,82,67,28
First or Second Half,1st Half,17,218.0,197,26.0,52,9,0,5,9,2,19,41,2.16,0.264,0.335,0.386,0.721,76.0,9.0,2.0,0,0,0,1,0.311,121,105,38
First or Second Half,2nd Half,6,145.0,131,14.0,27,5,0,1,6,2,14,24,1.71,0.206,0.283,0.267,0.55,35.0,2.0,0.0,0,0,0,0,0.245,69,55,21
Months,April/March,9,49.0,44,8.0,14,2,0,1,2,0,5,6,1.2,0.318,0.388,0.432,0.82,19.0,1.0,0.0,0,0,0,1,0.351,151,136,11
Months,May,1,22.0,19,0.0,3,0,0,0,1,0,3,4,1.33,0.158,0.273,0.158,0.431,3.0,2.0,0.0,0,0,0,0,0.2,34,30,3
Months,June,5,98.0,86,13.0,25,4,0,2,4,1,10,21,2.1,0.291,0.378,0.407,0.785,35.0,5.0,2.0,0,0,0,0,0.365,141,121,19
Months,July,4,96.0,91,9.0,20,6,0,2,5,1,5,18,3.6,0.22,0.26,0.352,0.612,32.0,1.0,0.0,0,0,0,0,0.254,87,67,12
Months,August,4,98.0,88,10.0,17,2,0,1,3,2,10,16,1.6,0.193,0.276,0.25,0.526,22.0,2.0,0.0,0,0,0,0,0.225,62,49,14
Game Outcome for Pitcher,in Wins,6,140.0,125,8.0,26,3,0,2,7,1,14,30,2.14,0.208,0.293,0.28,0.573,35.0,8.0,1.0,0,0,0,0,0.258,76,121,21
Game Outcome for Pitcher,in Losses,6,107.0,98,22.0,32,7,0,2,1,1,8,17,2.13,0.327,0.383,0.459,0.842,45.0,1.0,1.0,0,0,0,0,0.38,158,77,23
Game Outcome for Pitcher,in No Dec.,11,116.0,105,10.0,21,4,0,2,7,2,11,18,1.64,0.2,0.276,0.295,0.571,31.0,2.0,0.0,0,0,0,1,0.224,75,65,15
Game Outcome for Pitcher,in Sv Situ,1,6.0,5,2.0,1,0,0,1,0,0,1,1,1.0,0.2,0.333,0.8,1.133,4.0,0.0,0.0,0,0,0,0,0.0,243,232,0
