Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,104,94,395,366,35,78,15,0,13,41,3,2,26,75,0.213,0.266,0.361,0.627,132,10,1,0,2,1,0,0.232,100,75,50
Season Totals,Last 7 days,6,5,22,20,1,4,1,0,0,0,1,0,2,6,0.2,0.273,0.25,0.523,5,0,0,0,0,0,0,0.286,72,54,3
Season Totals,Last 14 days,11,10,45,42,6,10,2,0,3,5,1,0,3,11,0.238,0.289,0.5,0.789,21,0,0,0,0,0,0,0.25,147,115,5
Season Totals,Last 28 days,24,21,90,85,12,22,7,0,5,13,1,0,5,19,0.259,0.3,0.518,0.818,44,1,0,0,0,0,0,0.279,156,119,10
Season Totals,Last 365 days,139,126,531,491,48,106,22,1,16,53,3,3,37,94,0.216,0.271,0.363,0.634,178,14,1,0,2,1,0,0.235,102,,67
Platoon Splits,vs RHP,96,,316,290,29,68,13,0,11,36,2,2,24,50,0.235,0.291,0.393,0.684,114,7,0,0,2,1,0,0.247,118,92,44
Platoon Splits,vs LHP,47,,79,76,6,10,2,0,2,5,1,0,2,25,0.132,0.165,0.237,0.401,18,3,1,0,0,0,0,0.163,28,11,6
Platoon Splits,vs RHP as LHB,96,,316,290,,68,13,0,11,36,0,0,24,50,0.235,0.291,0.393,0.684,114,7,0,0,2,1,0,0.247,118,86,44
Platoon Splits,vs LHP as LHB,47,,79,76,,10,2,0,2,5,0,0,2,25,0.132,0.165,0.237,0.401,18,3,1,0,0,0,0,0.163,28,19,6
Platoon Splits,vs RH Starter,86,80,340,314,32,71,13,0,12,39,3,2,23,57,0.226,0.279,0.382,0.662,120,9,1,0,2,0,0,0.239,111,85,46
Platoon Splits,vs LH Starter,18,14,55,52,3,7,2,0,1,2,0,0,3,18,0.135,0.182,0.231,0.413,12,1,0,0,0,1,0,0.182,32,16,4
Home or Away,Home,50,47,198,181,20,44,7,0,8,25,2,0,14,32,0.243,0.298,0.414,0.712,75,7,1,0,2,1,0,0.252,127,96,29
Home or Away,Away,54,47,197,185,15,34,8,0,5,16,1,2,12,43,0.184,0.234,0.308,0.542,57,3,0,0,0,0,0,0.212,73,54,21
First or Second Half,1st Half,75,69,287,264,22,53,8,0,7,26,2,1,20,51,0.201,0.258,0.311,0.568,82,8,1,0,2,1,0,0.221,83,61,38
First or Second Half,2nd Half,29,25,108,102,13,25,7,0,6,15,1,1,6,24,0.245,0.287,0.49,0.777,50,2,0,0,0,0,0,0.264,144,110,12
Months,April/March,27,26,110,106,8,22,2,0,3,13,1,1,4,22,0.208,0.236,0.311,0.548,33,1,0,0,0,0,0,0.235,75,56,17
Months,May,23,22,89,83,4,14,3,0,0,4,1,0,5,13,0.169,0.214,0.205,0.418,17,5,0,0,1,0,0,0.197,37,22,11
Months,June,15,12,49,41,5,9,1,0,3,5,0,0,7,12,0.22,0.327,0.463,0.79,19,2,0,0,1,1,0,0.222,151,118,5
Months,July,23,19,83,76,9,17,5,0,2,9,0,1,6,14,0.224,0.289,0.368,0.658,28,2,1,0,0,0,0,0.25,111,80,10
Months,August,16,15,64,60,9,16,4,0,5,10,1,0,4,14,0.267,0.313,0.583,0.896,35,0,0,0,0,0,0,0.268,179,142,7
