Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,116,115,481,442,47,106,27,0,14,52,2,0,31,107,0.24,0.295,0.396,0.691,175,12,5,0,3,0,1,0.284,100,93,65
Season Totals,Last 7 days,6,6,25,23,2,5,1,0,0,0,0,0,2,5,0.217,0.28,0.261,0.541,6,0,0,0,0,0,0,0.278,61,59,4
Season Totals,Last 14 days,11,11,47,43,6,12,4,0,1,1,0,0,4,9,0.279,0.34,0.442,0.782,19,0,0,0,0,0,0,0.333,127,117,7
Season Totals,Last 28 days,22,22,94,86,12,22,7,0,3,8,1,0,8,18,0.256,0.319,0.442,0.761,38,1,0,0,0,0,0,0.292,120,107,12
Season Totals,Last 365 days,153,150,623,578,62,143,33,0,19,69,2,0,36,138,0.247,0.297,0.403,0.7,233,15,6,0,3,0,4,0.293,102,,91
Platoon Splits,vs RHP,113,,379,344,39,78,20,0,11,38,2,0,27,88,0.227,0.29,0.381,0.671,131,11,5,0,3,0,1,0.27,95,89,47
Platoon Splits,vs LHP,48,,102,98,8,28,7,0,3,14,0,0,4,19,0.286,0.314,0.449,0.763,44,1,0,0,0,0,0,0.329,120,111,18
Platoon Splits,vs RHP as RHB,113,,379,344,,78,20,0,11,38,0,0,27,88,0.227,0.29,0.381,0.671,131,11,5,0,3,0,1,0.27,95,94,47
Platoon Splits,vs LHP as RHB,48,,102,98,,28,7,0,3,14,0,0,4,19,0.286,0.314,0.449,0.763,44,1,0,0,0,0,0,0.329,120,106,18
Platoon Splits,vs RH Starter,90,89,375,344,38,82,22,0,10,36,2,0,24,90,0.238,0.296,0.39,0.686,134,10,5,0,2,0,1,0.293,99,92,50
Platoon Splits,vs LH Starter,26,26,106,98,9,24,5,0,4,16,0,0,7,17,0.245,0.293,0.418,0.711,41,2,0,0,1,0,0,0.256,105,97,15
Home or Away,Home,58,58,239,219,28,53,14,0,10,30,0,0,14,52,0.242,0.297,0.443,0.74,97,7,4,0,2,0,1,0.27,113,103,29
Home or Away,Away,58,57,242,223,19,53,13,0,4,22,2,0,17,55,0.238,0.293,0.35,0.643,78,5,1,0,1,0,0,0.297,88,84,36
First or Second Half,1st Half,89,88,368,337,34,80,19,0,11,43,1,0,23,85,0.237,0.294,0.392,0.685,132,10,5,0,3,0,1,0.283,98,93,50
First or Second Half,2nd Half,27,27,113,105,13,26,8,0,3,9,1,0,8,22,0.248,0.301,0.41,0.71,43,2,0,0,0,0,0,0.288,106,95,15
Months,April/March,28,28,116,105,7,20,5,0,0,6,1,0,8,32,0.191,0.259,0.238,0.497,25,4,2,0,1,0,0,0.27,48,44,15
Months,May,26,25,104,96,7,20,6,0,4,13,0,0,7,21,0.208,0.269,0.396,0.665,38,4,1,0,0,0,1,0.225,91,90,10
Months,June,25,25,105,98,17,33,4,0,6,20,0,0,4,18,0.337,0.371,0.561,0.933,55,1,2,0,1,0,0,0.36,167,156,23
Months,July,22,22,92,85,7,16,5,0,3,9,0,0,6,25,0.188,0.239,0.353,0.592,30,3,0,0,1,0,0,0.224,70,60,8
Months,August,15,15,64,58,9,17,7,0,1,4,1,0,6,11,0.293,0.359,0.466,0.825,27,0,0,0,0,0,0,0.348,139,128,9
Game Outcome for Team,in Wins,29,28,121,112,21,35,9,0,6,23,1,0,6,14,0.313,0.355,0.554,0.909,62,4,2,0,1,0,1,0.312,160,116,20
Game Outcome for Team,in Losses,87,87,360,330,26,71,18,0,8,29,1,0,25,93,0.215,0.275,0.342,0.617,113,8,3,0,2,0,0,0.273,80,109,45
Starter or Substitute,as Starter,115,115,479,440,47,106,27,0,14,52,2,0,31,106,0.241,0.297,0.398,0.694,175,12,5,0,3,0,1,0.285,101,94,65
Starter or Substitute,as Sub,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 1B,105,,430,396,40,93,22,0,13,51,2,0,26,89,0.235,0.288,0.389,0.677,154,11,5,0,3,0,1,0.269,96,85,58
Defensive Positions,as DH,11,,50,45,7,13,5,0,1,1,0,0,5,17,0.289,0.36,0.467,0.827,21,1,0,0,0,0,0,0.444,140,121,7
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,82,,110,102,,26,8,0,4,4,,,6,24,0.255,0.309,0.451,0.76,46,0,2,0,0,0,0,0.297,119,116,14
Batting Order Positions,Batting 2nd,29,29,122,109,14,27,7,0,7,24,0,0,11,21,0.248,0.312,0.505,0.816,55,6,0,0,2,0,0,0.241,133,111,13
Batting Order Positions,Batting 3rd,21,20,87,83,6,15,3,0,2,6,0,0,3,24,0.181,0.218,0.289,0.508,24,1,1,0,0,0,1,0.228,47,30,10
Batting Order Positions,Batting 4th,38,38,157,144,15,35,11,0,3,12,1,0,12,40,0.243,0.306,0.382,0.688,55,2,1,0,0,0,0,0.317,100,88,21
Batting Order Positions,Batting 5th,27,27,110,101,11,27,5,0,2,10,0,0,5,21,0.267,0.318,0.376,0.694,38,3,3,0,1,0,0,0.317,103,93,20
Batting Order Positions,Batting 6th,1,1,5,5,1,2,1,0,0,0,1,0,0,1,0.4,0.4,0.6,1.0,3,0,0,0,0,0,0,0.5,187,189,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,79,,142,137,,41,9,0,7,25,,,4,19,0.299,0.317,0.518,0.835,71,3,0,0,1,0,1,0.304,138,135,25
Swung or Took First Pitch of PA,Took 1st Pitch,115,,339,305,,65,18,0,7,27,,,27,88,0.213,0.286,0.341,0.627,104,9,5,0,2,0,0,0.274,83,75,40
Count/Balls-Strikes,First Pitch,52,,64,62,11,21,5,0,5,13,0,0,0,0,0.339,0.359,0.661,1.021,41,1,2,0,0,0,0,0.281,189,123,11
Count/Balls-Strikes,1-0 Count,25,,26,25,5,9,2,0,2,6,0,0,0,0,0.36,0.346,0.68,1.026,17,1,0,0,1,0,0,0.292,189,120,5
Count/Balls-Strikes,2-0 Count,12,,12,12,2,6,1,0,2,4,0,0,0,0,0.5,0.5,1.083,1.583,13,0,0,0,0,0,0,0.4,343,220,3
Count/Balls-Strikes,3-0 Count,6,,6,2,,0,0,0,0,1,0,0,4,0,0.0,0.667,0.0,0.667,0,0,0,0,0,0,0,0.0,126,-29,0
Count/Balls-Strikes,0-1 Count,35,,41,40,4,17,5,0,2,6,0,0,0,0,0.425,0.415,0.7,1.115,28,2,0,0,1,0,1,0.385,217,162,10
Count/Balls-Strikes,1-1 Count,35,,40,38,4,6,1,0,1,3,0,0,0,0,0.158,0.2,0.263,0.463,10,1,2,0,0,0,0,0.135,34,12,4
Count/Balls-Strikes,2-1 Count,19,,21,21,2,7,3,0,0,2,0,0,0,0,0.333,0.333,0.476,0.81,10,0,0,0,0,0,0,0.333,133,79,4
Count/Balls-Strikes,3-1 Count,24,,26,11,3,3,1,0,1,3,0,0,15,0,0.273,0.692,0.636,1.329,7,0,0,0,0,0,0,0.2,295,99,1
Count/Balls-Strikes,0-2 Count,46,,55,53,0,9,2,0,0,6,1,0,0,24,0.17,0.182,0.208,0.389,11,2,1,0,1,0,0,0.3,14,107,7
Count/Balls-Strikes,1-2 Count,55,,75,75,3,12,3,0,0,6,1,0,0,40,0.16,0.16,0.2,0.36,15,1,0,0,0,0,0,0.343,5,76,9
Count/Balls-Strikes,2-2 Count,52,,65,65,9,7,2,0,1,1,0,0,0,25,0.108,0.108,0.185,0.292,12,4,0,0,0,0,0,0.154,-17,29,4
Count/Balls-Strikes,Full Count,40,,50,38,4,9,2,0,0,1,0,0,12,18,0.237,0.42,0.29,0.71,11,0,0,0,0,0,0,0.45,115,79,7
