Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,47,28,116,100,12,21,4,0,1,12,5,2,15,28,0.21,0.319,0.28,0.599,28,3,1,0,0,0,0,0.282,100,72,16
Season Totals,Last 7 days,3,1,6,6,1,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,1,1,0,0,0,0,0,0.2,12,-1,1
Season Totals,Last 14 days,5,2,9,9,1,2,0,0,0,0,0,0,0,2,0.222,0.222,0.222,0.444,2,1,0,0,0,0,0,0.286,49,27,2
Season Totals,Last 28 days,11,5,24,18,2,5,1,0,0,2,0,1,6,4,0.278,0.458,0.333,0.792,6,2,0,0,0,0,0,0.357,163,126,4
Season Totals,Last 365 days,80,55,226,199,23,47,8,1,1,22,7,3,22,54,0.236,0.319,0.302,0.62,60,7,3,0,2,0,1,0.315,108,,37
Platoon Splits,vs RHP,28,,55,47,4,10,2,0,0,6,4,0,7,16,0.213,0.327,0.255,0.583,12,2,1,0,0,0,0,0.323,94,69,8
Platoon Splits,vs LHP,31,,61,53,8,11,2,0,1,6,1,2,8,12,0.208,0.312,0.302,0.613,16,1,0,0,0,0,0,0.25,105,74,8
Platoon Splits,vs RHP as RHB,28,,55,47,,10,2,0,0,6,0,0,7,16,0.213,0.327,0.255,0.583,12,2,1,0,0,0,0,0.323,94,74,8
Platoon Splits,vs LHP as RHB,31,,61,53,,11,2,0,1,6,0,0,8,12,0.208,0.312,0.302,0.613,16,1,0,0,0,0,0,0.25,105,70,8
Platoon Splits,vs RH Starter,25,9,53,46,4,9,1,0,0,6,2,0,6,16,0.196,0.302,0.217,0.519,10,1,1,0,0,0,0,0.3,72,51,8
Platoon Splits,vs LH Starter,22,19,63,54,8,12,3,0,1,6,3,2,9,12,0.222,0.333,0.333,0.667,18,2,0,0,0,0,0,0.268,123,89,8
Home or Away,Home,21,11,47,41,4,9,2,0,0,4,4,1,5,18,0.22,0.319,0.268,0.587,11,1,1,0,0,0,0,0.391,96,67,7
Home or Away,Away,26,17,69,59,8,12,2,0,1,8,1,1,10,10,0.203,0.319,0.288,0.607,17,2,0,0,0,0,0,0.229,103,76,9
First or Second Half,1st Half,34,22,89,79,10,16,3,0,1,10,5,1,9,23,0.203,0.292,0.279,0.571,22,1,1,0,0,0,0,0.273,91,64,12
First or Second Half,2nd Half,13,6,27,21,2,5,1,0,0,2,0,1,6,5,0.238,0.407,0.286,0.693,6,2,0,0,0,0,0,0.313,130,99,4
Months,April/March,4,2,9,7,2,0,0,0,0,0,0,0,2,1,0.0,0.222,0.0,0.222,0,0,0,0,0,0,0,0.0,-30,-29,0
Months,May,10,5,23,20,4,4,0,0,1,2,2,0,3,7,0.2,0.304,0.35,0.654,7,0,0,0,0,0,0,0.25,120,89,3
Months,June,11,7,28,26,1,6,2,0,0,4,1,1,1,8,0.231,0.286,0.308,0.593,8,1,1,0,0,0,0,0.333,100,67,4
Months,July,13,10,36,33,3,6,1,0,0,4,2,0,3,9,0.182,0.25,0.212,0.462,7,0,0,0,0,0,0,0.25,54,30,5
Months,August,9,4,20,14,2,5,1,0,0,2,0,1,6,3,0.357,0.55,0.429,0.979,6,2,0,0,0,0,0,0.455,226,181,4
Game Outcome for Team,in Wins,20,13,59,48,8,12,1,0,0,6,3,1,10,12,0.25,0.39,0.271,0.661,13,2,1,0,0,0,0,0.333,119,67,11
Game Outcome for Team,in Losses,27,15,57,52,4,9,3,0,1,6,2,1,5,16,0.173,0.246,0.289,0.534,15,1,0,0,0,0,0,0.229,80,82,5
Starter or Substitute,as Starter,28,28,94,83,10,18,4,0,1,9,4,2,11,19,0.217,0.309,0.301,0.61,25,2,0,0,0,0,0,0.27,104,74,13
Starter or Substitute,as Sub,19,0,22,17,2,3,0,0,0,3,1,0,4,9,0.177,0.364,0.177,0.54,3,1,1,0,0,0,0,0.375,77,70,3
Defensive Positions,as 1B,4,,7,7,,1,1,0,0,1,0,0,0,2,0.143,0.143,0.286,0.429,2,1,0,0,0,0,0,0.2,47,15,0
Defensive Positions,as 2B,13,,41,33,6,8,2,0,1,4,3,1,8,4,0.242,0.39,0.394,0.784,13,1,0,0,0,0,0,0.25,163,133,5
Defensive Positions,as 3B,17,,54,49,5,11,1,0,0,6,2,1,5,16,0.225,0.296,0.245,0.541,12,1,0,0,0,0,0,0.333,80,57,10
Defensive Positions,as LF,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as PH,13,,13,10,1,1,0,0,0,1,0,0,2,6,0.1,0.308,0.1,0.408,1,0,1,0,0,0,0,0.25,32,33,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,1st Batter G,3,,3,1,,0,0,0,0,0,,,2,0,0.0,0.667,0.0,0.667,0,0,0,0,0,0,0,0.0,109,117,0
Leading Off Inning,Leadoff Inn.,20,,21,18,,1,0,0,0,0,,,3,5,0.056,0.191,0.056,0.246,1,0,0,0,0,0,0,0.077,-20,-23,1
Batting Order Positions,Batting 1st,8,3,17,13,3,2,0,0,0,1,2,0,4,3,0.154,0.353,0.154,0.507,2,0,0,0,0,0,0,0.2,66,46,2
Batting Order Positions,Batting 2nd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 3rd,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 5th,2,0,2,1,1,1,0,0,0,1,0,0,1,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,571,463,1
Batting Order Positions,Batting 6th,5,1,7,6,0,0,0,0,0,0,0,0,1,3,0.0,0.143,0.0,0.143,0,1,0,0,0,0,0,0.0,-55,-53,0
Batting Order Positions,Batting 7th,5,3,11,9,2,4,2,0,1,2,1,0,2,3,0.444,0.546,1.0,1.546,9,0,0,0,0,0,0,0.6,428,340,1
Batting Order Positions,Batting 8th,11,9,40,34,3,8,1,0,0,6,1,1,5,6,0.235,0.35,0.265,0.615,9,1,1,0,0,0,0,0.286,104,92,7
Batting Order Positions,Batting 9th,13,12,37,35,3,6,1,0,0,2,1,1,2,11,0.171,0.216,0.2,0.416,7,1,0,0,0,0,0,0.25,39,35,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,21,,25,23,,3,1,0,0,2,,,1,6,0.13,0.2,0.174,0.374,4,2,1,0,0,0,0,0.177,25,12,2
Swung or Took First Pitch of PA,Took 1st Pitch,39,,91,77,,18,3,0,1,10,,,14,22,0.234,0.352,0.312,0.663,24,1,0,0,0,0,0,0.315,122,88,14
Count/Balls-Strikes,First Pitch,4,,4,4,1,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-0 Count,5,,5,5,1,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,34,-7,1
Count/Balls-Strikes,2-0 Count,1,,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-0 Count,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,7,,7,6,,2,0,0,0,1,0,0,0,0,0.333,0.429,0.333,0.762,2,0,1,0,0,0,0,0.333,153,94,2
Count/Balls-Strikes,1-1 Count,9,,9,9,2,5,0,0,1,4,0,0,0,0,0.556,0.556,0.889,1.445,8,1,0,0,0,0,0,0.5,392,240,4
Count/Balls-Strikes,2-1 Count,6,,6,6,,2,1,0,0,1,0,0,0,0,0.333,0.333,0.5,0.833,3,0,0,0,0,0,0,0.333,183,83,1
Count/Balls-Strikes,3-1 Count,4,,4,3,,2,1,0,0,1,0,0,1,0,0.667,0.75,1.0,1.75,3,0,0,0,0,0,0,0.667,492,164,1
Count/Balls-Strikes,0-2 Count,6,,6,6,3,1,1,0,0,0,0,0,0,3,0.167,0.167,0.333,0.5,2,0,0,0,0,0,0,0.333,71,154,0
Count/Balls-Strikes,1-2 Count,20,,24,24,1,3,0,0,0,0,1,0,0,10,0.125,0.125,0.125,0.25,3,2,0,0,0,0,0,0.214,-16,25,3
