Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,112,4
Season Totals,Last 7 days,5,5,20,19,2,5,2,0,0,2,0,0,1,2,0.263,0.3,0.368,0.668,7,0,0,0,0,0,0,0.294,77,96,3
Season Totals,Last 14 days,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,114,4
Season Totals,Last 28 days,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,108,4
Season Totals,Last 365 days,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,,4
Platoon Splits,vs RHP,8,,21,19,2,4,2,0,0,0,0,1,2,1,0.211,0.286,0.316,0.602,6,1,0,0,0,0,0,0.222,60,71,2
Platoon Splits,vs LHP,6,,15,14,2,5,3,0,0,3,0,0,1,2,0.357,0.4,0.571,0.971,8,0,0,0,0,0,0,0.417,155,169,2
Platoon Splits,vs RHP as RHB,8,,21,19,,4,2,0,0,0,0,0,2,1,0.211,0.286,0.316,0.602,6,1,0,0,0,0,0,0.222,60,76,2
Platoon Splits,vs LHP as RHB,6,,15,14,,5,3,0,0,3,0,0,1,2,0.357,0.4,0.571,0.971,8,0,0,0,0,0,0,0.417,155,162,2
Platoon Splits,vs RH Starter,5,5,21,18,2,4,1,0,0,0,0,1,3,1,0.222,0.333,0.278,0.611,5,1,0,0,0,0,0,0.235,66,76,3
Platoon Splits,vs LH Starter,4,4,15,15,2,5,4,0,0,3,0,0,0,2,0.333,0.333,0.6,0.933,9,0,0,0,0,0,0,0.385,142,156,1
Home or Away,Home,2,2,8,8,1,2,1,0,0,0,0,0,0,1,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.286,64,71,1
Home or Away,Away,7,7,28,25,3,7,4,0,0,3,0,1,3,2,0.28,0.357,0.44,0.797,11,1,0,0,0,0,0,0.304,111,127,3
First or Second Half,2nd Half,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,109,4
Months,August,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,110,4
Game Outcome for Team,in Wins,3,3,13,12,4,6,4,0,0,1,0,0,1,0,0.5,0.539,0.833,1.372,10,0,0,0,0,0,0,0.5,258,226,2
Game Outcome for Team,in Losses,6,6,23,21,0,3,1,0,0,2,0,1,2,3,0.143,0.217,0.191,0.408,4,1,0,0,0,0,0,0.167,10,40,2
Starter or Substitute,as Starter,9,9,36,33,4,9,5,0,0,3,0,1,3,3,0.273,0.333,0.424,0.758,14,1,0,0,0,0,0,0.3,100,112,4
Defensive Positions,as 1B,5,,21,18,3,5,3,0,0,1,0,1,3,1,0.278,0.381,0.444,0.825,8,0,0,0,0,0,0,0.294,119,128,2
Defensive Positions,as DH,4,,15,15,1,4,2,0,0,2,0,0,0,2,0.267,0.267,0.4,0.667,6,1,0,0,0,0,0,0.308,75,77,2
Leading Off Inning,Leadoff Inn.,7,,12,10,,2,1,0,0,0,,,2,1,0.2,0.333,0.3,0.633,3,0,0,0,0,0,0,0.222,71,85,1
Batting Order Positions,Batting 3rd,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,3,3,12,10,0,1,0,0,0,0,0,1,2,1,0.1,0.25,0.1,0.35,1,1,0,0,0,0,0,0.111,-1,3,1
Batting Order Positions,Batting 5th,2,2,7,7,0,2,1,0,0,2,0,0,0,1,0.286,0.286,0.429,0.714,3,0,0,0,0,0,0,0.333,87,96,1
Batting Order Positions,Batting 6th,2,2,9,8,3,4,3,0,0,1,0,0,1,0,0.5,0.556,0.875,1.431,7,0,0,0,0,0,0,0.5,273,312,1
Batting Order Positions,Batting 7th,1,1,4,4,1,2,1,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25,3,0,0,0,0,0,0,0.5,227,260,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,9,,19,18,,6,3,0,0,1,,,1,1,0.333,0.368,0.5,0.868,9,0,0,0,0,0,0,0.353,128,148,3
