Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,120,119,497,454,51,114,18,1,5,50,23,3,24,73,0.251,0.303,0.328,0.631,149,10,12,2,5,1,3,0.286,100,79,90
Season Totals,Last 7 days,6,6,24,20,1,2,0,0,0,0,3,0,4,7,0.1,0.25,0.1,0.35,2,0,0,0,0,0,0,0.154,13,9,2
Season Totals,Last 14 days,12,12,47,41,3,7,1,0,0,3,6,0,6,8,0.171,0.277,0.195,0.472,8,1,0,0,0,1,1,0.212,51,38,6
Season Totals,Last 28 days,24,24,94,87,7,23,4,0,0,5,7,0,7,14,0.264,0.319,0.31,0.629,27,2,0,0,0,1,1,0.315,100,76,19
Season Totals,Last 365 days,152,150,631,580,71,149,24,2,9,67,32,6,28,98,0.257,0.305,0.352,0.657,204,12,15,2,6,2,3,0.292,108,,114
Platoon Splits,vs RHP,113,,353,318,35,81,14,0,4,37,18,3,22,52,0.255,0.313,0.337,0.65,107,6,7,2,4,1,2,0.29,106,85,63
Platoon Splits,vs LHP,79,,144,136,16,33,4,1,1,13,5,0,2,21,0.243,0.278,0.309,0.587,42,4,5,0,1,0,1,0.278,86,65,27
Platoon Splits,vs RHP as LHB,113,,353,318,,81,14,0,4,37,0,0,22,52,0.255,0.313,0.337,0.65,107,6,7,2,4,1,2,0.29,106,79,63
Platoon Splits,vs LHP as LHB,79,,144,136,,33,4,1,1,13,0,0,2,21,0.243,0.278,0.309,0.587,42,4,5,0,1,0,1,0.278,86,76,27
Platoon Splits,vs RH Starter,91,91,379,345,38,85,14,0,4,34,18,3,23,57,0.246,0.302,0.322,0.624,111,7,6,2,3,1,2,0.282,98,77,67
Platoon Splits,vs LH Starter,29,28,118,109,13,29,4,1,1,16,5,0,1,16,0.266,0.305,0.349,0.654,38,3,6,0,2,0,1,0.298,107,84,23
Home or Away,Home,53,52,210,195,24,47,8,0,3,23,8,1,7,32,0.241,0.282,0.328,0.611,64,5,5,1,2,0,2,0.272,93,70,36
Home or Away,Away,67,67,287,259,27,67,10,1,2,27,15,2,17,41,0.259,0.318,0.328,0.646,85,5,7,1,3,1,1,0.297,105,86,54
First or Second Half,1st Half,89,88,379,345,43,87,13,1,5,45,15,3,16,54,0.252,0.304,0.339,0.643,117,6,12,1,5,0,2,0.282,104,83,68
First or Second Half,2nd Half,31,31,118,109,8,27,5,0,0,5,8,0,8,19,0.248,0.299,0.294,0.593,32,4,0,1,0,1,1,0.3,88,67,22
Months,April/March,27,27,122,107,17,30,5,1,1,17,4,1,5,19,0.28,0.347,0.374,0.721,40,3,7,1,2,0,1,0.326,129,108,23
Months,May,27,27,117,107,17,29,4,0,3,16,5,2,6,16,0.271,0.325,0.393,0.717,42,1,3,0,1,0,0,0.292,127,107,22
Months,June,22,22,93,87,6,15,2,0,1,5,5,0,4,11,0.172,0.226,0.23,0.456,20,1,2,0,0,0,1,0.187,45,29,12
Months,July,24,23,86,81,4,21,4,0,0,7,2,0,2,15,0.259,0.271,0.309,0.579,25,4,0,1,2,0,0,0.309,84,60,17
Months,August,20,20,79,72,7,19,3,0,0,5,7,0,7,12,0.264,0.329,0.306,0.635,22,1,0,0,0,1,1,0.317,102,80,16
Game Outcome for Team,in Wins,69,68,295,265,41,73,14,1,4,39,17,3,16,43,0.276,0.338,0.381,0.719,101,9,10,2,2,1,3,0.314,128,75,54
Game Outcome for Team,in Losses,51,51,202,189,10,41,4,0,1,11,6,0,8,30,0.217,0.253,0.254,0.507,48,1,2,0,3,0,0,0.248,61,73,36
Starter or Substitute,as Starter,119,119,497,454,51,114,18,1,5,50,23,3,24,73,0.251,0.303,0.328,0.631,149,10,12,2,5,1,3,0.286,100,78,90
Starter or Substitute,as Sub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Defensive Positions,as 2B,119,,497,454,51,114,18,1,5,50,23,3,24,73,0.251,0.303,0.328,0.631,149,10,12,2,5,1,3,0.286,100,87,90
Leading Off Inning,1st Batter G,1,,1,1,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,65,,85,78,,17,2,0,1,1,,,5,16,0.218,0.282,0.282,0.565,22,0,2,0,0,0,0,0.262,79,64,14
Batting Order Positions,Batting 1st,1,1,5,5,0,2,0,0,0,2,0,0,0,0,0.4,0.4,0.4,0.8,2,1,0,0,0,0,0,0.4,154,121,2
Batting Order Positions,Batting 2nd,60,59,260,234,35,60,8,0,5,30,12,3,14,38,0.256,0.321,0.355,0.675,83,3,9,1,2,0,1,0.285,114,80,47
Batting Order Positions,Batting 3rd,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 6th,48,48,189,175,14,46,8,1,0,15,11,0,10,29,0.263,0.303,0.32,0.623,56,5,1,1,2,1,1,0.311,98,83,37
Batting Order Positions,Batting 7th,8,8,30,27,2,6,2,0,0,3,0,0,0,5,0.222,0.267,0.296,0.563,8,1,2,0,1,0,1,0.261,78,65,4
Batting Order Positions,Batting 8th,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,99,,165,154,,33,7,1,0,9,,,4,21,0.214,0.239,0.273,0.512,42,4,2,2,3,1,0,0.243,62,49,25
Swung or Took First Pitch of PA,Took 1st Pitch,119,,332,300,,81,11,0,5,41,,,20,52,0.27,0.334,0.357,0.691,107,6,10,0,2,0,3,0.31,119,94,65
Count/Balls-Strikes,First Pitch,40,,45,42,7,12,3,1,0,2,9,1,0,0,0.286,0.302,0.405,0.707,17,1,1,2,0,0,0,0.286,123,61,8
Count/Balls-Strikes,1-0 Count,29,,34,33,3,12,2,0,1,10,3,1,0,0,0.364,0.382,0.515,0.898,17,2,1,0,0,0,0,0.344,183,102,9
Count/Balls-Strikes,2-0 Count,6,,6,6,6,2,0,0,1,2,0,0,0,0,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.2,264,131,1
Count/Balls-Strikes,3-0 Count,4,,5,0,1,0,0,0,0,0,0,0,5,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,49,,63,61,6,18,3,0,1,9,3,0,0,0,0.295,0.302,0.393,0.695,24,1,1,0,1,0,0,0.279,120,68,14
Count/Balls-Strikes,1-1 Count,39,,46,44,3,11,2,0,0,4,1,1,0,0,0.25,0.261,0.296,0.556,13,2,1,0,1,0,0,0.244,76,36,9
Count/Balls-Strikes,2-1 Count,19,,20,20,2,6,1,0,0,2,2,0,0,0,0.3,0.3,0.35,0.65,7,0,0,0,0,0,0,0.3,106,48,5
Count/Balls-Strikes,3-1 Count,13,,13,9,4,5,2,0,1,5,0,0,4,0,0.556,0.692,1.111,1.803,10,0,0,0,0,1,0,0.5,467,174,2
Count/Balls-Strikes,0-2 Count,44,,56,52,5,10,1,0,0,1,2,0,0,18,0.192,0.25,0.212,0.462,11,0,4,0,0,0,1,0.294,47,153,9
Count/Balls-Strikes,1-2 Count,69,,96,93,6,17,1,0,1,6,1,0,0,29,0.183,0.188,0.226,0.413,21,3,1,0,2,0,1,0.246,31,103,15
Count/Balls-Strikes,2-2 Count,48,,59,56,3,12,0,0,0,8,2,0,0,12,0.214,0.237,0.214,0.452,12,1,2,0,1,0,1,0.267,44,112,12
Count/Balls-Strikes,Full Count,43,,54,38,5,9,3,0,0,1,0,0,15,14,0.237,0.463,0.316,0.779,12,0,1,0,0,0,0,0.375,149,97,6
Count/Balls-Strikes,After 1-0,101,,182,164,,45,7,0,2,25,,,13,19,0.274,0.346,0.354,0.7,58,4,5,0,0,0,1,0.301,122,75,36
Count/Balls-Strikes,After 2-0,37,,42,33,,8,2,0,1,7,,,9,5,0.242,0.405,0.394,0.799,13,0,0,0,0,0,1,0.259,154,67,5
Count/Balls-Strikes,After 3-0,13,,14,5,,1,1,0,0,1,,,9,0,0.2,0.714,0.4,1.114,2,0,0,0,0,0,0,0.2,258,76,0
Count/Balls-Strikes,After 0-1,114,,269,248,,57,8,0,3,23,,,10,54,0.23,0.271,0.298,0.57,74,5,6,0,5,1,2,0.276,80,90,46
Count/Balls-Strikes,After 1-1,104,,190,173,,35,5,0,1,18,,,9,32,0.202,0.258,0.249,0.507,43,4,5,0,3,1,0,0.238,61,55,29
Count/Balls-Strikes,After 2-1,59,,76,68,,19,3,0,1,12,,,4,12,0.279,0.342,0.368,0.71,25,0,3,0,1,1,1,0.321,125,81,15
Count/Balls-Strikes,After 3-1,30,,33,25,,8,3,0,1,6,,,8,5,0.32,0.485,0.56,1.045,14,0,0,0,0,1,0,0.368,231,110,4
