Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,46,45,194,169,17,39,8,0,0,9,6,1,18,31,0.231,0.314,0.278,0.593,47,3,4,0,3,0,4,0.277,100,70,31
Season Totals,Last 7 days,5,5,21,16,2,3,1,0,0,3,1,0,4,2,0.188,0.333,0.25,0.583,4,1,0,0,1,0,1,0.2,96,75,2
Season Totals,Last 14 days,10,10,38,30,3,5,1,0,0,3,1,0,5,3,0.167,0.316,0.2,0.516,6,1,2,0,1,0,1,0.179,73,52,4
Season Totals,Last 28 days,13,13,52,41,4,10,2,0,0,3,2,0,7,5,0.244,0.385,0.293,0.677,12,1,3,0,1,0,1,0.27,128,93,8
Season Totals,Last 365 days,46,45,194,169,17,39,8,0,0,9,6,1,18,31,0.231,0.314,0.278,0.593,47,3,4,0,3,0,4,0.277,100,,31
Platoon Splits,vs RHP,45,,165,144,14,32,8,0,0,7,5,1,15,27,0.222,0.309,0.278,0.587,40,2,4,0,2,0,2,0.269,98,69,24
Platoon Splits,vs LHP,13,,29,25,3,7,0,0,0,2,1,0,3,4,0.28,0.345,0.28,0.625,7,1,0,0,1,0,2,0.318,111,79,7
Platoon Splits,vs RHP as RHB,45,,165,144,,32,8,0,0,7,0,0,15,27,0.222,0.309,0.278,0.587,40,2,4,0,2,0,2,0.269,98,74,24
Platoon Splits,vs LHP as RHB,13,,29,25,,7,0,0,0,2,0,0,3,4,0.28,0.345,0.28,0.625,7,1,0,0,1,0,2,0.318,111,75,7
Platoon Splits,vs RH Starter,39,38,162,143,15,31,8,0,0,7,4,1,14,27,0.217,0.296,0.273,0.569,39,3,3,0,2,0,2,0.263,93,63,23
Platoon Splits,vs LH Starter,7,7,32,26,2,8,0,0,0,2,2,0,4,4,0.308,0.406,0.308,0.714,8,0,1,0,1,0,2,0.348,140,106,8
Home or Away,Home,18,17,71,61,7,11,5,0,0,1,1,1,8,7,0.18,0.296,0.262,0.558,16,1,2,0,0,0,1,0.204,89,58,6
Home or Away,Away,28,28,123,108,10,28,3,0,0,8,5,0,10,24,0.259,0.325,0.287,0.612,31,2,2,0,3,0,3,0.322,107,78,25
First or Second Half,1st Half,26,25,109,98,11,24,5,0,0,4,3,1,9,20,0.245,0.312,0.296,0.608,29,1,1,0,1,0,3,0.304,106,75,19
First or Second Half,2nd Half,20,20,85,71,6,15,3,0,0,5,3,0,9,11,0.211,0.318,0.254,0.571,18,2,3,0,2,0,1,0.242,93,63,12
Months,April/March,19,19,83,75,9,20,3,0,0,3,3,1,6,15,0.267,0.325,0.307,0.632,23,0,1,0,1,0,3,0.328,114,83,17
Months,July,14,13,59,53,4,9,3,0,0,3,1,0,5,11,0.17,0.237,0.226,0.464,12,2,0,0,1,0,0,0.209,57,29,6
Months,August,13,13,52,41,4,10,2,0,0,3,2,0,7,5,0.244,0.385,0.293,0.677,12,1,3,0,1,0,1,0.27,128,95,8
Game Outcome for Team,in Wins,18,17,77,68,12,16,3,0,0,5,1,1,6,16,0.235,0.312,0.279,0.591,19,1,2,0,1,0,2,0.302,100,47,13
Game Outcome for Team,in Losses,28,28,117,101,5,23,5,0,0,4,5,0,12,15,0.228,0.316,0.277,0.593,28,2,2,0,2,0,2,0.261,100,104,18
Starter or Substitute,as Starter,45,45,194,169,17,39,8,0,0,9,6,1,18,31,0.231,0.314,0.278,0.593,47,3,4,0,3,0,4,0.277,100,70,31
Starter or Substitute,as Sub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Defensive Positions,as 3B,39,,168,145,14,33,5,0,0,9,6,1,16,30,0.228,0.316,0.262,0.578,38,3,4,0,3,0,4,0.28,95,67,28
Defensive Positions,as DH,6,,26,24,3,6,3,0,0,0,0,0,2,1,0.25,0.308,0.375,0.683,9,0,0,0,0,0,0,0.261,133,83,3
Leading Off Inning,1st Batter G,32,,32,32,,8,1,0,0,0,,,0,6,0.25,0.25,0.281,0.531,9,0,0,0,0,0,0,0.308,81,50,7
Leading Off Inning,Leadoff Inn.,39,,62,56,,15,2,0,0,0,,,5,10,0.268,0.339,0.304,0.642,17,0,1,0,0,0,1,0.326,117,88,13
Batting Order Positions,Batting 1st,32,32,142,128,13,29,6,0,0,6,4,1,11,26,0.227,0.289,0.273,0.562,35,2,1,0,2,0,3,0.279,90,56,23
Batting Order Positions,Batting 2nd,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0,0,1,0,0,0,0,0.0,-20,-24,0
Batting Order Positions,Batting 4th,2,2,8,7,0,1,0,0,0,0,0,0,1,0,0.143,0.25,0.143,0.393,1,1,0,0,0,0,0,0.143,31,13,1
Batting Order Positions,Batting 5th,3,3,13,10,2,1,1,0,0,1,1,0,2,3,0.1,0.308,0.2,0.508,2,0,1,0,0,0,0,0.143,70,47,0
