Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,123,531,479,77,114,20,2,38,86,2,0,41,103,0.238,0.305,0.526,0.831,252,6,7,0,4,0,1,0.222,100,129,54
Season Totals,Last 7 days,6,6,25,24,3,4,0,0,2,6,0,0,1,5,0.167,0.2,0.417,0.617,10,0,0,0,0,0,0,0.118,45,76,2
Season Totals,Last 14 days,12,12,53,46,7,8,1,0,4,8,0,0,7,15,0.174,0.283,0.457,0.74,21,1,0,0,0,0,0,0.148,80,106,3
Season Totals,Last 28 days,26,26,116,102,21,22,4,0,9,18,1,0,13,26,0.216,0.302,0.52,0.821,53,3,0,0,1,0,0,0.191,98,122,9
Season Totals,Last 365 days,159,157,684,622,96,154,32,2,43,114,4,0,49,139,0.248,0.31,0.513,0.823,319,11,9,0,4,0,1,0.25,99,,77
Platoon Splits,vs RHP,120,,386,351,55,84,15,2,27,64,2,0,28,67,0.239,0.301,0.524,0.825,184,5,4,0,3,0,1,0.219,98,128,40
Platoon Splits,vs LHP,64,,145,128,22,30,5,0,11,22,0,0,13,36,0.234,0.317,0.531,0.849,68,1,3,0,1,0,0,0.232,105,133,14
Platoon Splits,vs RHP as LHB,120,,386,351,,84,15,2,27,64,0,0,28,67,0.239,0.301,0.524,0.825,184,5,4,0,3,0,1,0.219,98,120,40
Platoon Splits,vs LHP as RHB,64,,145,128,,30,5,0,11,22,0,0,13,36,0.234,0.317,0.531,0.849,68,1,3,0,1,0,0,0.232,105,127,14
Platoon Splits,vs RH Starter,88,87,374,340,57,81,13,1,28,62,2,0,28,68,0.238,0.3,0.529,0.829,180,5,3,0,3,0,1,0.215,99,128,39
Platoon Splits,vs LH Starter,36,36,157,139,20,33,7,1,10,24,0,0,13,35,0.237,0.319,0.518,0.837,72,1,4,0,1,0,0,0.242,103,131,15
Home or Away,Home,62,61,258,230,41,54,10,1,16,36,0,0,21,45,0.235,0.306,0.496,0.802,114,4,4,0,3,0,1,0.221,95,119,27
Home or Away,Away,62,62,273,249,36,60,10,1,22,50,2,0,20,58,0.241,0.304,0.554,0.858,138,2,3,0,1,0,0,0.224,105,139,27
First or Second Half,1st Half,91,90,382,346,49,82,16,2,24,58,0,0,27,72,0.237,0.301,0.503,0.804,174,3,6,0,3,0,1,0.229,94,123,40
First or Second Half,2nd Half,33,33,149,133,28,32,4,0,14,28,2,0,14,31,0.241,0.315,0.587,0.902,78,3,1,0,1,0,0,0.202,115,143,14
Months,April/March,28,28,121,108,14,23,9,1,4,18,0,0,9,21,0.213,0.289,0.426,0.715,46,0,3,0,1,0,1,0.226,76,103,9
Months,May,23,22,92,82,13,17,2,0,5,11,0,0,7,20,0.207,0.294,0.415,0.708,34,0,3,0,0,0,0,0.211,75,102,10
Months,June,28,28,121,110,19,29,3,0,13,26,0,0,9,20,0.264,0.314,0.646,0.96,71,1,0,0,2,0,0,0.203,126,159,13
Months,July,25,25,108,99,17,30,3,1,9,18,1,0,8,19,0.303,0.361,0.626,0.987,62,3,1,0,0,0,0,0.296,137,164,17
Months,August,20,20,89,80,14,15,3,0,7,13,1,0,8,23,0.188,0.258,0.488,0.746,39,2,0,0,1,0,0,0.157,77,102,5
Game Outcome for Team,in Wins,70,70,310,275,60,81,15,2,28,67,2,0,28,58,0.295,0.368,0.669,1.037,184,4,5,0,2,0,1,0.278,148,144,36
Game Outcome for Team,in Losses,54,53,221,204,17,33,5,0,10,19,0,0,13,45,0.162,0.217,0.333,0.551,68,2,2,0,2,0,0,0.152,35,85,18
Starter or Substitute,as Starter,123,123,530,478,77,114,20,2,38,86,2,0,41,103,0.239,0.306,0.527,0.833,252,6,7,0,4,0,1,0.223,101,129,54
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as RF,102,,442,402,69,103,18,2,34,79,1,0,30,82,0.256,0.315,0.565,0.879,227,6,6,0,4,0,1,0.238,110,136,49
Defensive Positions,as DH,21,,88,76,8,11,2,0,4,7,1,0,11,21,0.145,0.261,0.329,0.59,25,0,1,0,0,0,0,0.137,48,58,5
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,90,,133,119,,29,4,0,9,9,,,14,31,0.244,0.323,0.504,0.828,60,0,0,0,0,0,0,0.253,102,134,16
Batting Order Positions,Batting 2nd,17,17,78,67,13,13,3,0,5,9,1,0,10,19,0.194,0.295,0.463,0.758,31,1,0,0,1,0,0,0.182,85,97,5
Batting Order Positions,Batting 3rd,26,26,112,108,15,26,2,0,9,20,1,0,3,22,0.241,0.268,0.509,0.777,55,2,1,0,0,0,0,0.221,85,94,15
Batting Order Positions,Batting 4th,45,45,193,170,26,43,11,2,11,34,0,0,16,32,0.253,0.332,0.535,0.867,91,2,5,0,2,0,1,0.248,111,132,19
Batting Order Positions,Batting 5th,35,35,147,133,23,32,4,0,13,23,0,0,12,30,0.241,0.306,0.564,0.87,75,1,1,0,1,0,0,0.209,108,136,15
Batting Order Positions,Batting 9th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,101,,161,150,,34,8,1,11,30,,,6,27,0.227,0.273,0.513,0.787,77,3,4,0,1,0,0,0.204,87,118,14
Swung or Took First Pitch of PA,Took 1st Pitch,123,,370,329,,80,12,1,27,56,,,35,76,0.243,0.319,0.532,0.851,175,3,3,0,3,0,1,0.231,106,135,40
Count/Balls-Strikes,First Pitch,44,,52,52,13,15,5,1,4,10,0,0,0,0,0.289,0.289,0.654,0.942,34,2,0,0,0,0,0,0.229,119,101,5
Count/Balls-Strikes,1-0 Count,26,,29,28,7,8,1,1,3,6,0,0,0,0,0.286,0.276,0.714,0.99,20,0,0,0,1,0,0,0.192,126,105,3
Count/Balls-Strikes,2-0 Count,12,,12,12,1,4,2,0,1,4,0,0,0,0,0.333,0.333,0.75,1.083,9,0,0,0,0,0,0,0.273,152,118,1
Count/Balls-Strikes,3-0 Count,9,,9,3,1,3,0,0,1,1,0,0,6,0,1.0,1.0,2.0,3.0,6,0,0,0,0,0,0,1.0,608,228,2
Count/Balls-Strikes,0-1 Count,39,,43,40,11,17,2,0,8,17,0,0,0,0,0.425,0.419,1.075,1.494,43,0,1,0,2,0,0,0.265,242,237,7
Count/Balls-Strikes,1-1 Count,39,,41,39,7,9,0,0,3,6,0,0,0,0,0.231,0.268,0.462,0.73,18,0,2,0,0,0,1,0.167,76,70,6
Count/Balls-Strikes,2-1 Count,22,,25,25,7,10,3,0,2,8,0,0,0,0,0.4,0.4,0.76,1.16,19,1,0,0,0,0,0,0.348,176,147,5
Count/Balls-Strikes,3-1 Count,22,,23,8,,1,1,0,0,1,0,0,15,0,0.125,0.696,0.25,0.946,2,0,0,0,0,0,0,0.125,176,39,0
Count/Balls-Strikes,0-2 Count,43,,51,49,9,10,2,0,3,6,0,0,0,21,0.204,0.235,0.429,0.664,21,1,2,0,0,0,0,0.28,59,240,5
Count/Balls-Strikes,1-2 Count,78,,96,93,9,16,3,0,7,14,0,0,0,37,0.172,0.188,0.43,0.618,40,0,2,0,1,0,0,0.18,43,186,6
Count/Balls-Strikes,2-2 Count,55,,73,73,3,11,0,0,1,4,0,0,0,26,0.151,0.151,0.192,0.343,14,2,0,0,0,0,0,0.217,-14,56,10
Count/Balls-Strikes,Full Count,60,,77,57,9,10,1,0,5,9,2,0,20,19,0.175,0.39,0.456,0.846,26,0,0,0,0,0,0,0.152,115,123,4
Count/Balls-Strikes,After 1-0,108,,214,182,,45,7,1,16,36,,,29,29,0.247,0.355,0.56,0.916,102,2,2,0,1,0,1,0.21,123,125,21
Count/Balls-Strikes,After 2-0,59,,80,58,,17,3,0,5,15,,,22,9,0.293,0.488,0.603,1.091,35,1,0,0,0,0,0,0.273,175,128,9
Count/Balls-Strikes,After 3-0,20,,23,10,,4,0,0,2,2,,,13,1,0.4,0.739,1.0,1.739,10,0,0,0,0,0,0,0.286,332,197,2
Count/Balls-Strikes,After 0-1,118,,265,245,,54,8,0,18,40,,,12,74,0.22,0.268,0.474,0.741,116,2,5,0,3,0,0,0.231,78,140,28
Count/Balls-Strikes,After 1-1,111,,201,185,,38,5,0,12,26,,,13,45,0.205,0.269,0.427,0.696,79,2,3,0,0,0,1,0.203,69,107,21
Count/Balls-Strikes,After 2-1,83,,115,98,,26,5,0,5,17,,,17,22,0.265,0.374,0.469,0.843,46,2,0,0,0,0,0,0.296,112,114,16
Count/Balls-Strikes,After 3-1,47,,50,30,,4,1,0,1,3,,,20,9,0.133,0.48,0.267,0.747,8,0,0,0,0,0,0,0.15,108,43,2
Count/Balls-Strikes,After 0-2,88,,126,116,,19,4,0,6,12,,,6,49,0.164,0.222,0.353,0.576,41,1,3,0,1,0,0,0.21,40,151,9
Count/Balls-Strikes,After 1-2,105,,165,151,,21,3,0,9,18,,,11,59,0.139,0.206,0.338,0.544,51,1,2,0,1,0,0,0.143,32,116,9
Count/Balls-Strikes,After 2-2,84,,123,108,,18,1,0,5,11,,,15,36,0.167,0.268,0.315,0.583,34,2,0,0,0,0,0,0.194,48,100,12
Count/Balls-Strikes,Zero Balls,98,,146,141,33,42,9,1,15,33,0,0,0,21,0.298,0.308,0.695,1.003,98,3,3,0,2,0,0,0.252,133,169,17
Count/Balls-Strikes,Zero Strikes,77,,102,95,22,30,8,2,9,21,0,0,6,0,0.316,0.353,0.726,1.079,69,2,0,0,1,0,0,0.241,154,117,11
Count/Balls-Strikes,Three Balls,78,,109,68,10,14,2,0,6,11,2,0,41,19,0.206,0.505,0.5,1.005,34,0,0,0,0,0,0,0.186,161,121,6
Count/Balls-Strikes,Two Strikes,121,,297,272,30,47,6,0,16,33,2,0,20,103,0.173,0.239,0.371,0.61,101,3,4,0,1,0,0,0.201,49,137,25
Count/Balls-Strikes,Batter Ahead,105,,175,133,25,36,8,1,12,29,2,0,41,19,0.271,0.44,0.617,1.057,82,1,0,0,1,0,0,0.233,162,120,15
Count/Balls-Strikes,Even Count,99,,166,164,23,35,5,1,8,20,0,0,0,26,0.213,0.223,0.402,0.625,66,4,2,0,0,0,1,0.208,50,77,21
Count/Balls-Strikes,Pitcher Ahead,109,,190,182,29,43,7,0,18,37,0,0,0,58,0.236,0.253,0.571,0.824,104,1,5,0,3,0,0,0.229,92,205,18
Number of Outs in Inning,0 outs,106,,190,171,27,46,5,0,15,30,0,0,18,37,0.269,0.337,0.561,0.898,96,4,0,0,1,0,0,0.258,117,145,26
Number of Outs in Inning,1 out,103,,167,151,16,32,6,2,8,21,2,0,11,40,0.212,0.27,0.437,0.707,66,2,2,0,3,0,0,0.226,71,94,16
Number of Outs in Inning,2 outs,102,,174,157,34,36,9,0,15,35,0,0,12,26,0.229,0.305,0.573,0.878,90,0,5,0,0,0,1,0.181,109,146,12
Bases Occupied,RISP,91,,135,121,41,29,6,0,7,44,0,0,9,18,0.24,0.289,0.463,0.752,56,4,1,0,4,0,1,0.22,83,98,16
Bases Occupied,---,118,,291,261,21,60,10,2,21,21,0,0,26,63,0.23,0.309,0.525,0.834,137,0,4,0,0,0,0,0.22,101,138,27
Bases Occupied,Men On,115,,240,218,56,54,10,0,17,65,2,0,15,40,0.248,0.3,0.528,0.828,115,6,3,0,4,0,1,0.224,99,118,27
Bases Occupied,1--,77,,105,97,15,25,4,0,10,21,2,0,6,22,0.258,0.314,0.608,0.923,59,2,2,0,0,0,0,0.231,119,142,11
Bases Occupied,-2-,43,,46,42,10,11,2,0,2,11,0,0,4,6,0.262,0.326,0.452,0.779,19,0,0,0,0,0,0,0.265,93,111,7
Bases Occupied,--3,11,,11,11,3,5,1,0,0,5,0,0,0,2,0.455,0.455,0.546,1.0,6,0,0,0,0,0,0,0.556,153,160,4
Bases Occupied,12-,38,,43,39,10,9,3,0,2,11,0,0,3,5,0.231,0.302,0.462,0.764,18,2,1,0,0,0,0,0.219,87,111,4
Bases Occupied,1-3,19,,19,13,5,2,0,0,1,8,0,0,2,2,0.154,0.211,0.385,0.595,5,1,0,0,4,0,1,0.071,42,43,1
Bases Occupied,-23,8,,7,7,6,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,123,10,,9,9,7,2,0,0,2,9,0,0,0,1,0.222,0.222,0.889,1.111,8,1,0,0,0,0,0,0.0,142,176,0
Bases Occupied,"on 1st,",83,,110,97,22,27,3,0,10,34,2,0,8,18,0.278,0.327,0.619,0.946,60,6,1,0,4,0,0,0.233,125,143,14
Bases Occupied,"on 3rd,",20,,21,15,12,5,0,0,2,15,0,0,2,3,0.333,0.333,0.733,1.067,11,2,0,0,4,0,0,0.214,149,141,3
Bases Occupied,"on 3rd, 2 out",23,,25,25,9,4,1,0,1,7,0,0,0,4,0.16,0.16,0.32,0.48,8,0,0,0,0,0,1,0.15,13,31,2
Bases Occupied,"0 out, ---",91,,135,121,9,28,4,0,9,9,0,0,14,31,0.231,0.311,0.488,0.799,59,0,0,0,0,0,0,0.235,95,125,15
Bases Occupied,"0 out, 1--",27,,30,28,6,10,1,0,4,8,0,0,2,3,0.357,0.4,0.821,1.221,23,2,0,0,0,0,0,0.286,187,209,5
Bases Occupied,"0 out, -2-",8,,8,8,2,3,0,0,0,1,0,0,0,2,0.375,0.375,0.375,0.75,3,0,0,0,0,0,0,0.5,94,105,3
Bases Occupied,"0 out, --3",1,,1,1,,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,418,357,1
Bases Occupied,"0 out, 12-",6,,6,6,3,1,0,0,0,1,0,0,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0,0,0.2,-14,-10,1
Bases Occupied,"0 out, 1-3",7,,7,4,3,2,0,0,1,5,0,0,2,0,0.5,0.571,1.25,1.821,5,1,0,0,1,0,0,0.25,325,284,1
Bases Occupied,"0 out, -23",,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"0 out, 123",3,,3,3,2,1,0,0,1,5,0,0,0,0,0.333,0.333,1.333,1.667,4,1,0,0,0,0,0,0.0,263,264,0
Bases Occupied,"1 out, ---",72,,86,80,4,17,3,2,4,4,0,0,5,22,0.213,0.267,0.45,0.717,36,0,1,0,0,0,0,0.241,73,106,8
Bases Occupied,"1 out, 1--",34,,37,34,3,8,0,0,3,6,2,0,3,10,0.235,0.297,0.5,0.797,17,0,0,0,0,0,0,0.238,92,111,5
Bases Occupied,"1 out, -2-",12,,12,10,1,1,1,0,0,1,0,0,2,2,0.1,0.25,0.2,0.45,2,0,0,0,0,0,0,0.125,20,26,0
Bases Occupied,"1 out, --3",3,,3,3,2,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0,0,0.5,73,56,1
Bases Occupied,"1 out, 12-",22,,22,20,3,5,2,0,1,6,0,0,1,3,0.25,0.318,0.5,0.818,10,2,1,0,0,0,0,0.25,99,125,2
Bases Occupied,"1 out, 1-3",3,,3,0,1,0,0,0,0,3,0,0,0,0,,0.0,,,0,0,0,0,3,0,0,0.0,,,0
