Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,74,49,218,199,23,51,15,0,4,18,2,1,9,51,0.256,0.309,0.392,0.701,78,2,7,1,2,1,2,0.322,100,97,32
Season Totals,Last 7 days,1,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.25,45,48,1
Season Totals,Last 14 days,1,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.25,45,44,1
Season Totals,Last 28 days,11,11,43,42,5,11,2,0,1,4,2,0,0,11,0.262,0.279,0.381,0.66,16,1,1,0,0,0,0,0.333,88,81,8
Season Totals,Last 365 days,106,77,337,306,42,78,20,0,8,34,4,1,18,86,0.255,0.313,0.399,0.711,122,4,9,1,3,1,2,0.326,103,,50
Platoon Splits,vs RHP,58,,138,127,12,27,5,0,3,11,2,1,4,28,0.213,0.261,0.323,0.584,41,1,5,0,2,0,2,0.245,67,65,19
Platoon Splits,vs LHP,43,,80,72,11,24,10,0,1,7,0,0,5,23,0.333,0.392,0.514,0.906,37,1,2,1,0,1,0,0.479,158,152,13
Platoon Splits,vs RHP as RHB,58,,138,127,,27,5,0,3,11,0,0,4,28,0.213,0.261,0.323,0.584,41,1,5,0,2,0,2,0.245,67,69,19
Platoon Splits,vs LHP as RHB,43,,80,72,,24,10,0,1,7,0,0,5,23,0.333,0.392,0.514,0.906,37,1,2,1,0,1,0,0.479,158,146,13
Platoon Splits,vs RH Starter,50,26,128,119,14,32,7,0,4,15,2,1,2,28,0.269,0.305,0.429,0.733,51,0,5,0,2,0,2,0.315,108,105,21
Platoon Splits,vs LH Starter,24,23,90,80,9,19,8,0,0,3,0,0,7,23,0.238,0.315,0.338,0.652,27,2,2,1,0,1,0,0.333,88,85,11
Home or Away,Home,35,25,110,103,11,24,7,0,1,9,2,0,4,27,0.233,0.273,0.33,0.603,34,0,2,0,1,1,0,0.303,73,68,16
Home or Away,Away,39,24,108,96,12,27,8,0,3,9,0,1,5,24,0.281,0.346,0.458,0.804,44,2,5,1,1,0,2,0.343,129,128,16
First or Second Half,1st Half,58,36,163,149,18,38,13,0,3,14,0,1,7,38,0.255,0.307,0.403,0.709,60,1,5,0,2,1,1,0.318,102,100,22
First or Second Half,2nd Half,16,13,55,50,5,13,2,0,1,4,2,0,2,13,0.26,0.315,0.36,0.675,18,1,2,1,0,0,1,0.333,94,88,10
Months,April/March,19,11,50,45,4,5,0,0,0,2,0,0,4,11,0.111,0.2,0.111,0.311,5,1,1,0,0,1,0,0.147,-7,-8,5
