Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,76,55,207,187,39,48,13,1,1,15,7,2,18,34,0.257,0.325,0.353,0.678,66,2,1,1,0,0,1,0.309,100,92,33
Season Totals,Last 7 days,6,5,18,16,3,7,2,0,0,4,0,0,2,2,0.438,0.5,0.563,1.063,9,0,0,0,0,0,0,0.5,213,213,5
Season Totals,Last 14 days,12,10,33,31,5,11,3,0,0,5,0,0,2,4,0.355,0.394,0.452,0.846,14,0,0,0,0,0,0,0.407,149,141,8
Season Totals,Last 28 days,24,20,72,64,11,18,4,1,0,6,1,0,7,7,0.281,0.361,0.375,0.736,24,0,1,0,0,0,0,0.316,117,105,13
Season Totals,Last 365 days,76,55,207,187,39,48,13,1,1,15,7,2,18,34,0.257,0.325,0.353,0.678,66,2,1,1,0,0,1,0.309,100,,33
Platoon Splits,vs RHP,49,,145,133,31,35,10,1,1,13,6,1,11,25,0.263,0.324,0.376,0.7,50,2,1,0,0,0,1,0.318,106,98,23
Platoon Splits,vs LHP,36,,62,54,8,13,3,0,0,2,1,1,7,9,0.241,0.328,0.296,0.624,16,0,0,1,0,0,0,0.289,85,78,10
Platoon Splits,vs RHP as RHB,49,,145,133,,35,10,1,1,13,0,0,11,25,0.263,0.324,0.376,0.7,50,2,1,0,0,0,1,0.318,106,104,23
Platoon Splits,vs LHP as RHB,36,,62,54,,13,3,0,0,2,0,0,7,9,0.241,0.328,0.296,0.624,16,0,0,1,0,0,0,0.289,85,74,10
Platoon Splits,vs RH Starter,55,38,153,140,30,37,11,0,1,13,4,2,11,27,0.264,0.322,0.364,0.687,51,2,1,1,0,0,0,0.321,102,94,25
Platoon Splits,vs LH Starter,21,17,54,47,9,11,2,1,0,2,3,0,7,7,0.234,0.333,0.319,0.652,15,0,0,0,0,0,1,0.275,93,86,8
Home or Away,Home,39,27,101,91,21,27,7,1,1,5,3,0,9,19,0.297,0.36,0.429,0.789,39,1,0,1,0,0,0,0.366,132,119,18
Home or Away,Away,37,28,106,96,18,21,6,0,0,10,4,2,9,15,0.219,0.293,0.281,0.574,27,1,1,0,0,0,1,0.259,69,66,15
First or Second Half,1st Half,47,33,124,113,27,30,9,0,1,9,6,2,11,23,0.266,0.331,0.372,0.702,42,2,0,0,0,0,1,0.326,107,100,20
First or Second Half,2nd Half,29,22,83,74,12,18,4,1,0,6,1,0,7,11,0.243,0.317,0.324,0.641,24,0,1,1,0,0,0,0.286,89,80,13
Months,April/March,22,18,68,62,16,14,6,0,1,6,2,0,6,12,0.226,0.294,0.371,0.665,23,0,0,0,0,0,1,0.265,96,90,7
Months,May,8,5,15,14,3,3,1,0,0,0,2,0,1,4,0.214,0.267,0.286,0.552,4,1,0,0,0,0,0,0.3,63,61,2
Months,June,13,9,35,32,7,12,2,0,0,3,2,2,3,6,0.375,0.429,0.438,0.866,14,1,0,0,0,0,0,0.462,156,145,10
Months,July,14,7,34,30,4,3,1,0,0,1,1,0,3,6,0.1,0.182,0.133,0.315,4,0,0,1,0,0,0,0.125,-6,-11,2
Months,August,19,16,55,49,9,16,3,1,0,5,0,0,5,6,0.327,0.4,0.429,0.829,21,0,1,0,0,0,0,0.372,145,133,12
Game Outcome for Team,in Wins,42,30,118,105,30,31,10,1,0,12,5,1,12,21,0.295,0.368,0.41,0.777,43,2,0,1,0,0,1,0.369,129,90,20
Game Outcome for Team,in Losses,34,25,89,82,9,17,3,0,1,3,2,1,6,13,0.207,0.27,0.281,0.55,23,0,1,0,0,0,0,0.235,62,88,13
Starter or Substitute,as Starter,55,55,194,176,31,44,12,1,1,14,6,2,17,32,0.25,0.32,0.347,0.666,61,2,1,0,0,0,1,0.301,97,89,30
Starter or Substitute,as Sub,21,0,13,11,8,4,1,0,0,1,1,0,1,2,0.364,0.417,0.455,0.871,5,0,0,1,0,0,0,0.444,157,165,3
Defensive Positions,as 2B,14,,41,36,8,10,3,0,0,4,1,0,5,6,0.278,0.366,0.361,0.727,13,0,0,0,0,0,0,0.333,115,116,7
