Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,62,35,157,128,16,28,3,0,1,13,3,2,21,44,0.219,0.338,0.266,0.603,34,4,4,0,4,0,1,0.31,100,74,24
Season Totals,Last 7 days,4,3,10,8,1,3,0,0,0,0,1,1,1,1,0.375,0.5,0.375,0.875,3,1,1,0,0,0,0,0.429,189,160,3
Season Totals,Last 14 days,8,5,19,16,2,5,1,0,0,0,1,1,2,6,0.313,0.421,0.375,0.796,6,1,1,0,0,0,0,0.5,166,126,4
Season Totals,Last 28 days,13,7,27,22,3,8,2,0,0,1,1,1,4,9,0.364,0.482,0.455,0.936,10,1,1,0,0,0,0,0.615,213,161,6
Season Totals,Last 365 days,89,48,218,181,25,46,9,0,1,16,3,2,28,62,0.254,0.362,0.32,0.683,58,4,5,0,4,0,2,0.369,127,,36
Platoon Splits,vs RHP,24,,40,32,5,8,1,0,1,4,0,0,6,13,0.25,0.375,0.375,0.75,12,0,1,0,1,0,1,0.368,152,114,6
Platoon Splits,vs LHP,53,,117,96,11,20,2,0,0,9,3,2,15,31,0.208,0.325,0.229,0.554,22,4,3,0,3,0,0,0.294,82,60,18
Platoon Splits,vs RHP as RHB,24,,40,32,,8,1,0,1,4,0,0,6,13,0.25,0.375,0.375,0.75,12,0,1,0,1,0,1,0.368,152,120,6
Platoon Splits,vs LHP as RHB,53,,117,96,,20,2,0,0,9,0,0,15,31,0.208,0.325,0.229,0.554,22,4,3,0,3,0,0,0.294,82,56,18
Platoon Splits,vs RH Starter,31,4,48,33,7,6,0,0,1,5,1,0,11,14,0.182,0.417,0.273,0.689,9,2,3,0,1,0,0,0.263,126,102,5
Platoon Splits,vs LH Starter,31,31,109,95,9,22,3,0,0,8,2,2,10,30,0.232,0.303,0.263,0.566,25,2,1,0,3,0,1,0.324,89,62,19
Home or Away,Home,24,16,70,59,7,13,1,0,1,8,3,1,7,15,0.22,0.314,0.288,0.602,17,1,2,0,2,0,1,0.267,101,70,11
Home or Away,Away,38,19,87,69,9,15,2,0,0,5,0,1,14,29,0.217,0.356,0.246,0.603,17,3,2,0,2,0,0,0.357,98,78,13
First or Second Half,1st Half,46,26,121,99,12,19,1,0,1,9,2,1,16,33,0.192,0.314,0.232,0.546,23,3,3,0,3,0,1,0.265,80,59,17
First or Second Half,2nd Half,16,9,36,29,4,9,2,0,0,4,1,1,5,11,0.31,0.417,0.379,0.796,11,1,1,0,1,0,0,0.474,166,125,7
Months,April/March,19,8,36,29,3,3,0,0,0,1,1,1,7,7,0.103,0.278,0.103,0.381,3,3,0,0,0,0,0,0.136,21,15,3
Months,May,6,3,13,10,0,2,0,0,0,0,0,0,1,5,0.2,0.385,0.2,0.585,2,0,2,0,0,0,0,0.4,89,77,2
Months,June,15,10,55,43,9,12,1,0,1,8,1,0,8,16,0.279,0.382,0.372,0.754,16,0,1,0,3,0,1,0.379,153,113,10
Months,July,11,8,29,26,2,3,0,0,0,3,0,0,2,9,0.115,0.172,0.115,0.288,3,0,0,0,1,0,0,0.167,-6,-18,3
Months,August,11,6,24,20,2,8,2,0,0,1,1,1,3,7,0.4,0.5,0.5,1.0,10,1,1,0,0,0,0,0.615,236,181,6
Game Outcome for Team,in Wins,27,13,64,55,11,15,2,0,1,8,2,2,5,18,0.273,0.344,0.364,0.707,20,1,2,0,2,0,1,0.368,139,73,12
Game Outcome for Team,in Losses,35,22,93,73,5,13,1,0,0,5,1,0,16,26,0.178,0.333,0.192,0.525,14,3,2,0,2,0,0,0.265,71,84,12
Starter or Substitute,as Starter,35,35,123,107,9,23,3,0,0,9,2,2,11,38,0.215,0.285,0.243,0.528,26,2,1,0,4,0,1,0.315,76,52,20
Starter or Substitute,as Sub,27,0,34,21,7,5,0,0,1,4,1,0,10,6,0.238,0.529,0.381,0.91,8,2,3,0,0,0,0,0.286,200,184,4
Defensive Positions,as LF,14,,41,37,7,14,2,0,0,4,1,1,4,12,0.378,0.439,0.432,0.871,16,1,0,0,0,0,1,0.56,192,150,12
Defensive Positions,as CF,7,,22,20,1,3,0,0,0,1,0,0,1,6,0.15,0.182,0.15,0.332,3,0,0,0,1,0,0,0.2,10,-2,3
Defensive Positions,as RF,26,,72,59,4,9,1,0,1,6,1,1,9,23,0.153,0.264,0.22,0.484,13,2,1,0,3,0,0,0.211,61,37,7
