Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,87,72,304,260,32,66,14,1,9,36,1,0,36,62,0.254,0.343,0.419,0.762,109,3,2,1,5,0,2,0.294,100,114,42
Season Totals,Last 7 days,4,2,12,11,0,2,1,0,0,0,0,0,1,4,0.182,0.25,0.273,0.523,3,0,0,0,0,0,0,0.286,38,52,1
Season Totals,Last 14 days,11,8,41,39,1,11,3,0,1,7,0,0,2,10,0.282,0.317,0.436,0.753,17,0,0,0,0,0,0,0.357,97,109,7
Season Totals,Last 28 days,20,17,86,78,5,25,5,1,2,14,0,0,6,19,0.321,0.361,0.487,0.848,38,0,0,0,2,0,0,0.39,121,131,17
Season Totals,Last 365 days,106,90,379,330,40,82,20,1,13,49,1,0,39,76,0.249,0.326,0.433,0.76,143,6,2,1,6,0,2,0.279,98,,48
Platoon Splits,vs RHP,82,,254,217,30,57,14,1,9,32,1,0,30,50,0.263,0.348,0.461,0.809,100,2,1,1,5,0,2,0.295,112,127,33
Platoon Splits,vs LHP,37,,50,43,2,9,0,0,0,4,0,0,6,12,0.209,0.32,0.209,0.529,9,1,1,0,0,0,0,0.29,43,53,9
Platoon Splits,vs RHP as LHB,82,,254,217,,57,14,1,9,32,0,0,30,50,0.263,0.348,0.461,0.809,100,2,1,1,5,0,2,0.295,112,120,33
Platoon Splits,vs LHP as LHB,37,,50,43,,9,0,0,0,4,0,0,6,12,0.209,0.32,0.209,0.529,9,1,1,0,0,0,0,0.29,43,63,9
Platoon Splits,vs RH Starter,70,66,266,231,30,59,12,1,9,34,1,0,28,54,0.255,0.332,0.433,0.765,100,3,1,1,5,0,2,0.289,100,114,37
Platoon Splits,vs LH Starter,17,6,38,29,2,7,2,0,0,2,0,0,8,8,0.241,0.421,0.31,0.731,9,0,1,0,0,0,0,0.333,97,111,5
Home or Away,Home,42,33,139,113,14,29,7,0,2,13,0,0,22,26,0.257,0.384,0.372,0.756,42,1,2,1,1,0,1,0.314,101,113,20
Home or Away,Away,45,39,165,147,18,37,7,1,7,23,1,0,14,36,0.252,0.309,0.456,0.765,67,2,0,0,4,0,1,0.278,99,116,22
First or Second Half,1st Half,61,50,194,167,24,36,9,0,6,20,1,0,23,40,0.216,0.309,0.377,0.687,63,2,1,0,3,0,1,0.242,80,94,21
First or Second Half,2nd Half,26,22,110,93,8,30,5,1,3,16,0,0,13,22,0.323,0.404,0.495,0.898,46,1,1,1,2,0,1,0.386,136,148,21
Months,April/March,19,17,65,51,7,10,2,0,1,3,1,0,12,9,0.196,0.339,0.294,0.633,15,1,0,0,2,0,0,0.209,69,84,7
Months,May,15,14,48,47,3,10,5,0,0,2,0,0,1,10,0.213,0.229,0.319,0.548,15,0,0,0,0,0,0,0.27,43,57,5
Months,June,16,12,50,42,9,10,2,0,2,8,0,0,6,17,0.238,0.34,0.429,0.769,18,0,1,0,1,0,1,0.333,102,114,6
Months,July,22,17,81,65,12,18,1,1,5,14,0,0,12,13,0.277,0.388,0.554,0.941,36,2,1,1,2,0,1,0.265,145,155,11
Months,August,15,12,60,55,1,18,4,0,1,9,0,0,5,13,0.327,0.383,0.455,0.838,25,0,0,0,0,0,0,0.415,120,133,13
Game Outcome for Team,in Wins,46,43,186,157,23,40,9,1,4,25,1,0,22,40,0.255,0.341,0.401,0.742,63,1,1,1,5,0,1,0.305,95,80,26
Game Outcome for Team,in Losses,41,29,118,103,9,26,5,0,5,11,0,0,14,22,0.252,0.348,0.447,0.794,46,2,1,0,0,0,1,0.276,108,169,16
Starter or Substitute,as Starter,72,72,287,248,29,64,13,1,9,34,1,0,31,60,0.258,0.339,0.427,0.767,106,3,2,1,5,0,2,0.299,101,115,41
Starter or Substitute,as Sub,15,0,17,12,3,2,1,0,0,2,0,0,5,2,0.167,0.412,0.25,0.662,3,0,0,0,0,0,0,0.2,80,107,1
Defensive Positions,as C,78,,293,251,29,64,13,1,9,34,1,0,34,60,0.255,0.343,0.422,0.765,106,3,2,1,5,0,2,0.294,100,122,41
Defensive Positions,as PH,11,,11,9,3,2,1,0,0,2,0,0,2,2,0.222,0.364,0.333,0.697,3,0,0,0,0,0,0,0.286,86,119,1
Leading Off Inning,Leadoff Inn.,42,,57,48,,11,1,0,4,4,,,9,14,0.229,0.351,0.5,0.851,24,0,0,0,0,0,0,0.233,122,141,6
Batting Order Positions,Batting 3rd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,18,17,82,71,7,25,3,1,3,16,0,0,8,17,0.352,0.415,0.549,0.964,39,1,1,0,2,0,0,0.415,152,162,18
Batting Order Positions,Batting 5th,4,4,17,16,0,4,1,0,0,0,0,0,1,4,0.25,0.294,0.313,0.607,5,0,0,0,0,0,0,0.333,60,70,3
Batting Order Positions,Batting 6th,12,10,40,35,4,10,3,0,3,7,0,0,4,6,0.286,0.359,0.629,0.988,22,1,0,1,0,0,1,0.269,155,183,4
Batting Order Positions,Batting 7th,11,9,38,30,8,9,2,0,2,5,0,0,6,8,0.3,0.421,0.567,0.988,17,0,1,0,1,0,0,0.333,158,185,5
Batting Order Positions,Batting 8th,30,26,100,89,10,15,5,0,1,6,0,0,10,22,0.169,0.25,0.258,0.508,23,0,0,0,1,0,1,0.209,35,56,9
Batting Order Positions,Batting 9th,11,6,27,19,3,3,0,0,0,2,1,0,7,5,0.158,0.37,0.158,0.528,3,1,0,0,1,0,0,0.2,46,77,3
Swung or Took First Pitch of PA,Swung at 1st Pitch,63,,107,100,,22,4,0,4,11,,,3,21,0.22,0.243,0.38,0.623,38,3,1,0,3,0,0,0.231,62,76,14
Swung or Took First Pitch of PA,Took 1st Pitch,80,,197,160,,44,10,1,5,25,,,33,41,0.275,0.398,0.444,0.842,71,0,1,1,2,0,2,0.336,122,136,28
Count/Balls-Strikes,First Pitch,33,,39,36,6,10,1,0,1,4,0,0,0,0,0.278,0.282,0.389,0.671,14,1,1,0,2,0,0,0.243,75,52,8
Count/Balls-Strikes,1-0 Count,17,,19,18,4,7,2,0,0,2,0,0,0,0,0.389,0.368,0.5,0.868,9,0,0,0,1,0,0,0.368,127,95,5
Count/Balls-Strikes,2-0 Count,7,,7,7,,1,0,0,0,1,0,0,0,0,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,0.143,-24,-35,1
Count/Balls-Strikes,3-0 Count,6,,6,0,1,0,0,0,0,0,0,0,6,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,24,,28,27,4,11,5,0,1,2,1,0,0,0,0.407,0.393,0.704,1.097,19,1,0,0,1,0,0,0.37,183,156,5
Count/Balls-Strikes,1-1 Count,20,,24,23,2,10,2,0,1,2,0,0,0,0,0.435,0.435,0.652,1.087,15,0,0,1,0,0,1,0.409,182,157,7
Count/Balls-Strikes,2-1 Count,8,,9,9,1,3,0,0,1,2,0,0,0,0,0.333,0.333,0.667,1.0,6,0,0,0,0,0,0,0.25,156,111,2
Count/Balls-Strikes,3-1 Count,12,,13,7,2,2,1,0,0,0,0,0,6,0,0.286,0.615,0.429,1.044,3,0,0,0,0,0,0,0.286,182,56,1
Count/Balls-Strikes,0-2 Count,28,,33,32,3,3,0,0,2,5,0,0,0,17,0.094,0.121,0.281,0.403,9,0,1,0,0,0,0,0.077,2,102,1
Count/Balls-Strikes,1-2 Count,34,,36,36,4,6,0,1,1,7,0,0,0,16,0.167,0.167,0.306,0.472,11,0,0,0,0,0,0,0.263,22,123,4
Count/Balls-Strikes,2-2 Count,39,,52,51,4,12,3,0,2,10,0,0,0,21,0.235,0.231,0.412,0.643,21,1,0,0,1,0,1,0.345,66,182,7
Count/Balls-Strikes,Full Count,31,,38,14,1,1,0,0,0,1,0,0,24,8,0.071,0.658,0.071,0.729,1,0,0,0,0,0,0,0.167,109,66,1
Count/Balls-Strikes,After 1-0,66,,118,91,,25,6,0,2,12,,,24,19,0.275,0.419,0.407,0.825,37,0,0,1,2,0,2,0.319,119,107,17
Count/Balls-Strikes,After 2-0,40,,47,29,,6,1,0,0,3,,,18,8,0.207,0.511,0.241,0.752,7,0,0,0,0,0,0,0.286,107,55,5
Count/Balls-Strikes,After 3-0,17,,17,4,,1,1,0,0,0,,,13,0,0.25,0.824,0.5,1.324,2,0,0,0,0,0,0,0.25,260,110,0
Count/Balls-Strikes,After 0-1,73,,147,133,,31,7,1,6,20,,,12,43,0.233,0.299,0.436,0.735,58,2,1,0,1,0,0,0.294,91,141,17
Count/Balls-Strikes,After 1-1,64,,110,93,,22,4,0,4,12,,,15,32,0.237,0.339,0.409,0.748,38,1,0,1,1,0,2,0.31,96,125,14
Count/Balls-Strikes,After 2-1,51,,64,47,,7,0,0,1,4,,,17,17,0.149,0.375,0.213,0.588,10,1,0,0,0,0,1,0.207,60,50,6
Count/Balls-Strikes,After 3-1,19,,24,8,,2,1,0,0,0,,,16,0,0.25,0.75,0.375,1.125,3,0,0,0,0,0,0,0.25,208,114,1
Count/Balls-Strikes,After 0-2,45,,61,57,,10,1,1,3,13,,,3,22,0.175,0.23,0.386,0.616,22,0,1,0,0,0,0,0.219,59,168,5
Count/Balls-Strikes,After 1-2,54,,73,66,,16,3,1,3,16,,,6,28,0.242,0.301,0.455,0.756,30,0,0,0,1,0,0,0.361,96,201,9
Count/Balls-Strikes,After 2-2,52,,79,64,,13,3,0,2,11,,,14,29,0.203,0.342,0.344,0.686,22,1,0,0,1,0,1,0.324,82,135,8
Count/Balls-Strikes,Zero Balls,63,,100,95,13,24,6,0,4,11,1,0,0,17,0.253,0.26,0.442,0.702,42,2,2,0,3,0,0,0.26,81,93,14
Count/Balls-Strikes,Zero Strikes,52,,71,61,11,18,3,0,1,7,0,0,6,0,0.295,0.352,0.393,0.746,24,1,1,0,3,0,0,0.27,96,59,14
Count/Balls-Strikes,Three Balls,44,,57,21,4,3,1,0,0,1,0,0,36,8,0.143,0.684,0.191,0.875,4,0,0,0,0,0,0,0.231,145,74,2
Count/Balls-Strikes,Two Strikes,75,,159,133,12,22,3,1,5,23,0,0,24,62,0.165,0.296,0.316,0.611,42,1,1,0,1,0,1,0.254,62,140,13
Count/Balls-Strikes,Batter Ahead,60,,92,55,9,14,3,0,1,6,0,0,36,8,0.255,0.544,0.364,0.907,20,0,0,0,1,0,0,0.277,145,90,10
Count/Balls-Strikes,Even Count,63,,115,110,12,32,6,0,4,16,0,0,0,21,0.291,0.29,0.455,0.744,50,2,1,1,3,0,2,0.318,93,114,22
Count/Balls-Strikes,Pitcher Ahead,58,,97,95,11,20,5,1,4,14,1,0,0,33,0.211,0.217,0.411,0.627,39,1,1,0,1,0,0,0.271,61,136,10
Number of Outs in Inning,0 outs,63,,92,80,9,16,3,0,5,9,0,0,12,25,0.2,0.304,0.425,0.729,34,2,0,0,0,0,0,0.22,90,101,8
Number of Outs in Inning,1 out,66,,112,91,10,31,7,0,3,16,0,0,14,16,0.341,0.414,0.517,0.931,47,1,1,1,5,0,2,0.364,144,159,21
Number of Outs in Inning,2 outs,59,,100,89,13,19,4,1,1,11,1,0,10,21,0.214,0.3,0.315,0.615,28,0,1,0,0,0,0,0.269,63,78,13
Bases Occupied,RISP,56,,84,71,22,18,2,1,2,28,0,0,8,18,0.254,0.31,0.394,0.704,28,0,0,0,5,0,0,0.286,84,88,13
Bases Occupied,---,77,,149,128,6,33,6,0,6,6,0,0,19,32,0.258,0.362,0.445,0.808,57,0,2,0,0,0,1,0.3,112,135,21
Bases Occupied,Men On,69,,155,132,26,33,8,1,3,30,1,0,17,30,0.25,0.325,0.394,0.719,52,3,0,1,5,0,1,0.289,89,93,21
