Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,46,38,168,142,20,26,6,0,7,23,0,1,20,44,0.183,0.28,0.373,0.653,53,2,1,0,5,0,2,0.198,100,83,13
Season Totals,Last 7 days,5,4,13,11,1,1,0,0,0,1,0,0,1,5,0.091,0.154,0.091,0.245,1,1,0,0,1,0,0,0.143,-21,-25,1
Season Totals,Last 14 days,8,6,22,20,2,2,0,0,0,1,0,0,1,7,0.1,0.136,0.1,0.236,2,1,0,0,1,0,0,0.143,-25,-31,2
Season Totals,Last 28 days,15,13,50,41,8,7,2,0,1,4,0,0,6,12,0.171,0.26,0.293,0.553,12,1,0,0,3,0,1,0.194,71,53,4
Season Totals,Last 365 days,46,38,168,142,20,26,6,0,7,23,0,1,20,44,0.183,0.28,0.373,0.653,53,2,1,0,5,0,2,0.198,100,,13
Platoon Splits,vs RHP,41,,127,109,15,21,6,0,6,20,0,1,13,34,0.193,0.276,0.413,0.688,45,2,1,0,4,0,2,0.206,109,92,9
Platoon Splits,vs LHP,27,,41,33,5,5,0,0,1,3,0,0,7,10,0.152,0.293,0.242,0.535,8,0,0,0,1,0,0,0.174,70,53,4
Platoon Splits,vs RHP as LHB,41,,127,109,,21,6,0,6,20,0,0,13,34,0.193,0.276,0.413,0.688,45,2,1,0,4,0,2,0.206,109,86,9
Platoon Splits,vs LHP as LHB,27,,41,33,,5,0,0,1,3,0,0,7,10,0.152,0.293,0.242,0.535,8,0,0,0,1,0,0,0.174,70,63,4
Platoon Splits,vs RH Starter,31,31,132,112,19,21,6,0,7,22,0,1,16,37,0.188,0.28,0.429,0.709,48,2,0,0,4,0,2,0.194,115,97,8
Platoon Splits,vs LH Starter,15,7,36,30,1,5,0,0,0,1,0,0,4,7,0.167,0.278,0.167,0.445,5,0,1,0,1,0,0,0.208,44,30,5
Home or Away,Home,25,21,94,78,12,14,2,0,4,12,0,0,13,25,0.18,0.298,0.359,0.657,28,2,1,0,2,0,2,0.196,103,83,8
Home or Away,Away,21,17,74,64,8,12,4,0,3,11,0,1,7,19,0.188,0.257,0.391,0.647,25,0,0,0,3,0,0,0.2,97,82,5
First or Second Half,1st Half,24,20,92,79,10,18,3,0,6,19,0,1,11,21,0.228,0.315,0.494,0.809,39,1,0,0,2,0,1,0.222,145,125,9
First or Second Half,2nd Half,22,18,76,63,10,8,3,0,1,4,0,0,9,23,0.127,0.237,0.222,0.459,14,1,1,0,3,0,1,0.167,44,30,4
Months,June,12,9,40,33,4,9,2,0,0,2,0,1,6,5,0.273,0.375,0.333,0.708,11,0,0,0,1,0,0,0.31,123,102,7
Months,July,23,20,94,81,11,15,4,0,7,20,0,0,9,30,0.185,0.266,0.494,0.76,40,1,1,0,3,0,1,0.17,127,102,4
Months,August,11,9,34,28,5,2,0,0,0,1,0,0,5,9,0.071,0.206,0.071,0.277,2,1,0,0,1,0,1,0.1,-7,-17,2
Game Outcome for Team,in Wins,21,20,83,70,14,13,3,0,4,12,0,0,10,24,0.186,0.277,0.4,0.677,28,1,0,0,3,0,1,0.2,106,62,6
Game Outcome for Team,in Losses,25,18,85,72,6,13,3,0,3,11,0,1,10,20,0.181,0.282,0.347,0.63,25,1,1,0,2,0,1,0.196,94,114,7
Starter or Substitute,as Starter,38,38,158,135,19,25,6,0,7,23,0,1,18,44,0.185,0.272,0.385,0.657,52,2,0,0,5,0,2,0.202,100,83,12
Starter or Substitute,as Sub,8,0,10,7,1,1,0,0,0,0,0,0,2,0,0.143,0.4,0.143,0.543,1,0,1,0,0,0,0,0.143,81,72,1
Defensive Positions,as 1B,43,,164,139,19,25,6,0,7,23,0,1,19,44,0.18,0.274,0.374,0.649,52,2,1,0,5,0,2,0.194,98,77,12
Defensive Positions,as PH,4,,4,3,1,1,0,0,0,0,0,0,1,0,0.333,0.5,0.333,0.833,1,0,0,0,0,0,0,0.333,168,166,1
Leading Off Inning,1st Batter G,10,,10,10,,2,1,0,1,1,,,0,4,0.2,0.2,0.6,0.8,6,0,0,0,0,0,0,0.2,132,110,0
Leading Off Inning,Leadoff Inn.,29,,41,34,,7,1,0,1,1,,,7,8,0.206,0.342,0.324,0.665,11,0,0,0,0,0,1,0.24,109,94,5
Batting Order Positions,Batting 1st,10,10,48,44,8,8,1,0,6,13,0,0,4,17,0.182,0.25,0.614,0.864,27,1,0,0,0,0,0,0.095,154,127,1
Batting Order Positions,Batting 2nd,1,1,4,4,0,2,1,0,0,0,0,1,0,0,0.5,0.5,0.75,1.25,3,0,0,0,0,0,0,0.5,280,227,1
Batting Order Positions,Batting 3rd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,1.0,,,0,0,1,0,0,0,0,,,,0
Batting Order Positions,Batting 4th,6,4,21,16,0,1,0,0,0,2,0,0,4,7,0.063,0.238,0.063,0.301,1,0,0,0,1,0,0,0.1,2,-10,1
Batting Order Positions,Batting 5th,1,1,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-11,-21,0
Batting Order Positions,Batting 6th,9,7,33,27,4,6,3,0,0,4,0,0,5,5,0.222,0.333,0.333,0.667,9,0,0,0,1,0,1,0.261,108,97,3
Batting Order Positions,Batting 7th,5,4,18,15,1,5,1,0,0,2,0,0,1,2,0.333,0.333,0.4,0.733,6,0,0,0,2,0,0,0.333,126,114,4
Batting Order Positions,Batting 8th,10,8,28,24,6,3,0,0,1,1,0,0,4,8,0.125,0.25,0.25,0.5,6,0,0,0,0,0,1,0.133,56,54,2
Batting Order Positions,Batting 9th,3,3,11,9,1,1,0,0,0,1,0,0,1,4,0.111,0.182,0.111,0.293,1,1,0,0,1,0,0,0.167,-5,-3,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,38,,53,47,,7,1,0,2,3,,,5,12,0.149,0.226,0.298,0.524,14,1,0,0,1,0,2,0.147,61,50,4
Swung or Took First Pitch of PA,Took 1st Pitch,42,,115,95,,19,5,0,5,20,,,15,32,0.2,0.304,0.411,0.715,39,1,1,0,4,0,0,0.226,119,99,9
Count/Balls-Strikes,First Pitch,16,,18,17,3,2,0,0,0,1,0,0,0,0,0.118,0.111,0.118,0.229,2,0,0,0,1,0,2,0.111,-29,-47,2
Count/Balls-Strikes,1-0 Count,10,,11,11,5,3,0,0,3,8,0,0,0,0,0.273,0.273,1.091,1.364,12,0,0,0,0,0,0,0.0,290,170,0
Count/Balls-Strikes,2-0 Count,3,,3,3,,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1,0,0,0,0,0,0,0.333,108,50,1
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,9,,13,13,4,7,1,0,2,6,0,0,0,0,0.539,0.539,1.077,1.615,14,0,0,0,0,0,0,0.455,381,273,4
Count/Balls-Strikes,1-1 Count,14,,14,14,1,3,2,0,0,0,0,1,0,0,0.214,0.214,0.357,0.571,5,1,0,0,0,0,0,0.214,72,34,1
Count/Balls-Strikes,2-1 Count,7,,8,8,2,3,1,0,1,1,0,0,0,0,0.375,0.375,0.875,1.25,7,0,0,0,0,0,0,0.286,269,159,1
Count/Balls-Strikes,3-1 Count,10,,10,6,,1,0,0,0,0,0,0,4,0,0.167,0.5,0.167,0.667,1,0,0,0,0,0,0,0.167,123,-2,1
Count/Balls-Strikes,0-2 Count,10,,11,11,,1,0,0,0,0,0,0,0,8,0.091,0.091,0.091,0.182,1,0,0,0,0,0,0,0.333,-43,-2,1
Count/Balls-Strikes,1-2 Count,18,,20,19,1,0,0,0,0,1,0,0,0,12,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0.0,-100,-100,0
Count/Balls-Strikes,2-2 Count,21,,29,27,1,4,1,0,1,2,0,0,0,15,0.148,0.172,0.296,0.469,8,0,1,0,1,0,0,0.25,41,106,2
Count/Balls-Strikes,Full Count,23,,28,13,3,1,1,0,0,4,0,0,13,9,0.077,0.5,0.154,0.654,2,0,0,0,2,0,0,0.167,120,57,0
Count/Balls-Strikes,After 1-0,35,,68,53,,10,3,0,4,15,,,10,16,0.189,0.309,0.472,0.781,25,1,1,0,4,0,0,0.162,137,93,3
Count/Balls-Strikes,After 2-0,14,,16,9,,3,1,0,0,2,,,7,2,0.333,0.625,0.444,1.069,4,0,0,0,0,0,0,0.429,242,122,2
Count/Balls-Strikes,After 3-0,8,,8,4,,2,1,0,0,2,,,4,1,0.5,0.75,0.75,1.5,3,0,0,0,0,0,0,0.667,369,149,1
Count/Balls-Strikes,After 0-1,40,,82,72,,14,3,0,3,7,,,10,28,0.194,0.293,0.361,0.654,26,1,0,0,0,0,0,0.268,101,117,8
Count/Balls-Strikes,After 1-1,41,,78,66,,10,4,0,2,6,,,7,24,0.152,0.231,0.303,0.534,20,1,1,0,4,0,0,0.182,64,61,4
Count/Balls-Strikes,After 2-1,26,,36,27,,5,1,0,2,3,,,8,10,0.185,0.361,0.444,0.806,12,0,0,0,1,0,0,0.188,148,105,2
Count/Balls-Strikes,After 3-1,17,,17,11,,2,1,0,0,2,,,6,3,0.182,0.471,0.273,0.743,3,0,0,0,0,0,0,0.25,141,42,1
Count/Balls-Strikes,After 0-2,26,,32,26,,1,0,0,0,0,,,6,18,0.039,0.219,0.039,0.257,1,1,0,0,0,0,0,0.125,-12,25,1
Count/Balls-Strikes,After 1-2,35,,54,42,,2,1,0,0,3,,,8,25,0.048,0.204,0.071,0.275,3,1,1,0,3,0,0,0.1,-8,16,1
Count/Balls-Strikes,After 2-2,33,,50,35,,4,1,0,1,4,,,11,21,0.114,0.32,0.229,0.549,8,0,1,0,3,0,0,0.188,76,89,2
Count/Balls-Strikes,Zero Balls,28,,42,41,7,10,1,0,2,7,0,0,0,8,0.244,0.238,0.415,0.653,17,0,0,0,1,0,2,0.25,96,80,7
Count/Balls-Strikes,Zero Strikes,27,,35,31,8,6,0,0,3,9,0,0,3,0,0.194,0.257,0.484,0.741,15,0,0,0,1,0,2,0.103,122,51,3
Count/Balls-Strikes,Three Balls,28,,41,19,3,2,1,0,0,4,0,0,20,9,0.105,0.537,0.158,0.695,3,0,0,0,2,0,0,0.167,134,39,1
Count/Balls-Strikes,Two Strikes,42,,88,70,5,6,2,0,1,7,0,0,13,44,0.086,0.227,0.157,0.384,11,1,1,0,4,0,0,0.172,23,52,3
Count/Balls-Strikes,Batter Ahead,35,,63,41,10,9,2,0,4,13,0,0,20,9,0.22,0.46,0.561,1.021,23,0,0,0,2,0,0,0.167,215,113,3
Count/Balls-Strikes,Even Count,37,,61,58,5,9,3,0,1,3,0,1,0,15,0.155,0.164,0.259,0.423,15,1,1,0,2,0,2,0.182,28,22,5
Count/Balls-Strikes,Pitcher Ahead,31,,44,43,5,8,1,0,2,7,0,0,0,20,0.186,0.182,0.349,0.531,15,1,0,0,1,0,0,0.273,59,100,5
Number of Outs in Inning,0 outs,35,,61,52,7,12,3,0,2,7,0,0,8,11,0.231,0.328,0.404,0.732,21,1,0,0,1,0,1,0.25,126,104,7
Number of Outs in Inning,1 out,35,,61,51,9,5,1,0,2,9,0,0,6,19,0.098,0.18,0.235,0.416,12,1,0,0,4,0,1,0.088,27,16,2
Number of Outs in Inning,2 outs,30,,46,39,4,9,2,0,3,7,0,1,6,14,0.231,0.348,0.513,0.861,20,0,1,0,0,0,0,0.273,162,144,4
