Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,91,79,323,289,41,75,9,2,6,34,17,4,29,80,0.26,0.331,0.367,0.698,106,3,3,0,2,0,3,0.337,100,98,58
Season Totals,Last 7 days,1,1,5,5,1,2,1,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,3,0,0,0,0,0,0,0.4,184,190,1
Season Totals,Last 14 days,3,2,8,8,1,2,1,0,0,0,1,1,0,0,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.25,78,75,1
Season Totals,Last 28 days,11,7,29,26,1,9,2,0,0,6,3,1,2,2,0.346,0.379,0.423,0.802,11,0,0,0,1,0,0,0.36,130,123,7
Season Totals,Last 365 days,102,87,354,314,48,81,12,2,8,38,17,4,35,85,0.258,0.336,0.385,0.722,121,5,3,0,2,0,3,0.327,106,,59
Platoon Splits,vs RHP,75,,216,193,34,47,6,2,4,20,13,2,19,64,0.244,0.319,0.358,0.677,69,1,3,0,1,0,1,0.341,94,92,35
Platoon Splits,vs LHP,55,,107,96,7,28,3,0,2,14,4,2,10,16,0.292,0.355,0.385,0.741,37,2,0,0,1,0,2,0.329,112,108,23
Platoon Splits,vs RHP as RHB,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Platoon Splits,vs RHP as LHB,75,,215,192,,47,6,2,4,20,0,0,19,64,0.245,0.321,0.359,0.68,69,1,3,0,1,0,1,0.344,95,87,35
Platoon Splits,vs LHP as RHB,55,,107,96,,28,3,0,2,14,0,0,10,16,0.292,0.355,0.385,0.741,37,2,0,0,1,0,2,0.329,112,103,23
Platoon Splits,vs RH Starter,58,47,202,181,35,50,5,2,4,21,9,2,17,58,0.276,0.347,0.392,0.739,71,1,3,0,1,0,1,0.383,112,109,39
Platoon Splits,vs LH Starter,33,32,121,108,6,25,4,0,2,13,8,2,12,22,0.232,0.306,0.324,0.63,35,2,0,0,1,0,2,0.271,81,78,19
Home or Away,Home,42,37,142,128,11,23,3,0,2,11,11,2,13,44,0.18,0.254,0.25,0.504,32,1,0,0,1,0,2,0.253,45,42,18
Home or Away,Away,49,42,181,161,30,52,6,2,4,23,6,2,16,36,0.323,0.392,0.46,0.852,74,2,3,0,1,0,1,0.393,144,144,40
First or Second Half,1st Half,77,70,286,255,38,62,7,2,6,28,14,2,27,77,0.243,0.322,0.357,0.679,91,3,3,0,1,0,3,0.324,95,93,47
