Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,128,128,565,511,110,178,37,11,25,92,26,12,41,85,0.348,0.398,0.611,1.009,312,3,6,0,7,6,5,0.375,100,180,105
Season Totals,Last 7 days,6,6,28,25,5,7,3,0,0,2,1,0,3,3,0.28,0.357,0.4,0.757,10,0,0,0,0,1,1,0.318,55,123,4
Season Totals,Last 14 days,11,11,50,43,11,16,4,1,3,8,1,2,6,6,0.372,0.46,0.721,1.181,31,0,1,0,0,2,1,0.382,134,230,8
Season Totals,Last 28 days,24,24,110,97,26,36,9,1,7,22,3,2,11,12,0.371,0.436,0.701,1.137,68,1,1,0,1,2,1,0.367,124,208,19
Season Totals,Last 365 days,160,160,708,638,134,211,41,15,29,107,38,18,53,105,0.331,0.381,0.578,0.96,369,7,6,0,11,7,6,0.353,90,,126
Platoon Splits,vs RHP,127,,464,416,88,145,29,10,22,76,20,8,37,74,0.349,0.405,0.625,1.03,260,2,6,0,5,5,1,0.379,104,187,84
Platoon Splits,vs LHP,46,,101,95,22,33,8,1,3,16,6,4,4,11,0.347,0.366,0.547,0.914,52,1,0,0,2,1,4,0.361,82,152,21
Platoon Splits,vs RHP as RHB,127,,464,416,,145,29,10,22,76,0,0,37,74,0.349,0.405,0.625,1.03,260,2,6,0,5,5,1,0.379,104,195,84
Platoon Splits,vs LHP as RHB,46,,101,95,,33,8,1,3,16,0,0,4,11,0.347,0.366,0.547,0.914,52,1,0,0,2,1,4,0.361,82,146,21
Platoon Splits,vs RH Starter,103,103,454,408,94,150,28,8,25,78,22,8,36,70,0.368,0.421,0.659,1.08,269,1,5,0,5,5,0,0.393,114,199,89
Platoon Splits,vs LH Starter,25,25,111,103,16,28,9,3,0,14,4,4,5,15,0.272,0.306,0.418,0.724,43,2,1,0,2,1,5,0.311,45,102,16
Home or Away,Home,67,67,290,260,66,103,27,9,12,50,13,8,25,34,0.396,0.448,0.708,1.156,184,2,2,0,3,3,2,0.419,128,216,55
Home or Away,Away,61,61,275,251,44,75,10,2,13,42,13,4,16,51,0.299,0.346,0.51,0.856,128,1,4,0,4,3,3,0.325,70,141,50
First or Second Half,1st Half,97,97,425,387,75,125,25,9,16,63,22,9,28,71,0.323,0.369,0.558,0.928,216,2,4,0,6,4,4,0.356,84,159,75
First or Second Half,2nd Half,31,31,140,124,35,53,12,2,9,29,4,3,13,14,0.427,0.486,0.774,1.26,96,1,2,0,1,2,1,0.431,149,243,30
Months,April/March,31,31,135,124,25,39,9,4,4,17,9,4,8,27,0.315,0.363,0.548,0.911,68,2,2,0,1,0,1,0.372,81,158,22
Months,May,28,28,126,111,26,35,7,2,5,25,7,2,12,17,0.315,0.373,0.55,0.923,61,0,0,0,3,3,3,0.326,84,163,21
Months,June,27,27,116,108,14,33,6,3,3,12,6,2,7,19,0.306,0.353,0.5,0.853,54,0,1,0,0,1,0,0.349,71,136,21
Months,July,23,23,100,90,26,44,8,1,7,22,2,2,6,10,0.489,0.52,0.833,1.353,75,0,2,0,2,0,0,0.493,167,264,28
Months,August,19,19,88,78,19,27,7,1,6,16,2,2,8,12,0.346,0.409,0.692,1.101,54,1,1,0,1,2,1,0.344,116,200,13
Game Outcome for Team,in Wins,72,72,321,282,79,110,18,10,18,63,15,9,30,44,0.39,0.452,0.716,1.168,202,1,5,0,4,5,4,0.411,131,177,64
Game Outcome for Team,in Losses,56,56,244,229,31,68,19,1,7,29,11,3,11,41,0.297,0.328,0.48,0.808,110,2,1,0,3,1,1,0.332,61,172,41
Starter or Substitute,as Starter,128,128,565,511,110,178,37,11,25,92,26,12,41,85,0.348,0.398,0.611,1.009,312,3,6,0,7,6,5,0.375,100,179,105
Defensive Positions,as SS,128,,565,511,110,178,37,11,25,92,26,12,41,85,0.348,0.398,0.611,1.009,312,3,6,0,7,6,5,0.375,100,170,105
Leading Off Inning,Leadoff Inn.,76,,90,81,,32,4,0,7,7,,,9,8,0.395,0.456,0.704,1.159,57,0,0,0,0,0,1,0.379,130,228,21
Batting Order Positions,Batting 2nd,128,128,565,511,110,178,37,11,25,92,26,12,41,85,0.348,0.398,0.611,1.009,312,3,6,0,7,6,5,0.375,100,163,105
Swung or Took First Pitch of PA,Swung at 1st Pitch,104,,175,167,,64,15,3,9,35,,,6,20,0.383,0.406,0.671,1.076,112,1,1,0,1,1,2,0.396,112,202,37
Swung or Took First Pitch of PA,Took 1st Pitch,127,,390,344,,114,22,8,16,57,,,35,65,0.331,0.395,0.581,0.976,200,2,5,0,6,5,3,0.364,94,171,68
Count/Balls-Strikes,First Pitch,56,,66,64,16,26,6,1,4,18,9,6,0,0,0.406,0.424,0.719,1.143,46,0,2,0,0,0,1,0.367,124,153,15
Count/Balls-Strikes,1-0 Count,40,,46,44,18,22,4,2,6,14,3,1,0,0,0.5,0.5,1.091,1.591,48,0,1,0,1,0,1,0.41,204,237,10
Count/Balls-Strikes,2-0 Count,14,,14,13,1,6,3,0,1,5,0,1,0,0,0.462,0.429,0.923,1.352,12,0,0,0,1,0,0,0.385,159,174,2
Count/Balls-Strikes,3-0 Count,11,,12,0,1,0,0,0,0,0,0,0,12,0,,1.0,,,0,0,0,0,0,5,0,,,,0
Count/Balls-Strikes,0-1 Count,54,,65,64,17,26,5,1,5,16,6,0,0,0,0.406,0.4,0.75,1.15,48,1,0,0,1,0,1,0.35,123,167,15
Count/Balls-Strikes,1-1 Count,44,,48,48,10,25,4,1,2,7,3,2,0,0,0.521,0.521,0.771,1.292,37,0,0,0,0,0,0,0.5,157,207,18
Count/Balls-Strikes,2-1 Count,28,,30,29,11,8,0,1,2,3,1,1,0,0,0.276,0.267,0.552,0.818,16,0,0,0,1,0,1,0.214,57,73,5
Count/Balls-Strikes,3-1 Count,22,,23,12,1,3,1,1,0,2,0,0,11,0,0.25,0.609,0.5,1.109,6,0,0,0,0,1,0,0.25,135,66,1
Count/Balls-Strikes,0-2 Count,52,,56,53,3,14,2,2,1,7,1,0,0,17,0.264,0.286,0.434,0.72,23,0,2,0,1,0,0,0.361,43,275,9
Count/Balls-Strikes,1-2 Count,60,,78,78,12,20,4,2,2,8,1,0,0,29,0.256,0.256,0.436,0.692,34,1,0,0,0,0,1,0.383,36,229,12
Count/Balls-Strikes,2-2 Count,58,,66,65,11,13,5,0,0,7,1,1,0,26,0.2,0.197,0.277,0.474,18,0,0,0,1,0,0,0.325,-5,113,8
Count/Balls-Strikes,Full Count,51,,61,41,9,15,3,0,2,5,1,0,18,13,0.366,0.557,0.585,1.143,24,1,1,0,1,0,0,0.482,136,199,10
Count/Balls-Strikes,After 1-0,116,,221,185,,66,15,6,12,37,,,31,29,0.357,0.448,0.697,1.145,129,1,2,0,3,5,2,0.367,127,182,33
Count/Balls-Strikes,After 2-0,62,,84,57,,18,4,1,3,9,,,25,12,0.316,0.524,0.579,1.103,33,1,1,0,1,5,1,0.349,126,130,10
Count/Balls-Strikes,After 3-0,19,,21,4,,2,1,1,0,1,,,17,1,0.5,0.905,1.25,2.155,5,0,0,0,0,5,0,0.667,332,268,0
Count/Balls-Strikes,After 0-1,124,,278,262,,86,16,4,9,37,,,10,56,0.328,0.353,0.523,0.875,137,2,2,0,4,1,2,0.383,74,187,57
Count/Balls-Strikes,After 1-1,106,,197,182,,59,13,3,4,22,,,13,41,0.324,0.366,0.495,0.86,90,0,0,0,2,1,0,0.396,73,158,39
Count/Balls-Strikes,After 2-1,81,,112,92,,20,3,1,2,9,,,17,20,0.217,0.339,0.337,0.676,31,1,1,0,2,1,1,0.25,40,72,14
Count/Balls-Strikes,After 3-1,36,,38,24,,5,3,1,0,2,,,14,5,0.208,0.5,0.417,0.917,10,1,0,0,0,1,0,0.263,94,80,1
Count/Balls-Strikes,After 0-2,78,,107,100,,27,5,3,3,13,,,3,32,0.27,0.299,0.47,0.769,47,1,2,0,2,0,1,0.358,52,235,16
Count/Balls-Strikes,After 1-2,87,,137,129,,37,9,2,4,15,,,7,47,0.287,0.321,0.481,0.802,62,1,0,0,1,0,1,0.418,59,220,22
Count/Balls-Strikes,After 2-2,83,,112,94,,26,6,0,2,12,,,15,34,0.277,0.375,0.404,0.779,38,0,1,0,2,0,0,0.4,60,168,18
Count/Balls-Strikes,Zero Balls,111,,187,181,36,66,13,4,10,41,16,6,0,17,0.365,0.374,0.646,1.021,117,1,4,0,2,0,2,0.359,100,181,39
Count/Balls-Strikes,Zero Strikes,93,,138,121,36,54,13,3,11,37,12,8,12,0,0.446,0.5,0.876,1.376,106,0,3,0,2,5,2,0.384,169,181,27
Count/Balls-Strikes,Three Balls,73,,96,53,11,18,4,1,2,7,1,0,41,13,0.34,0.625,0.566,1.191,30,1,1,0,1,6,0,0.41,150,160,11
Count/Balls-Strikes,Two Strikes,119,,261,237,35,62,14,4,5,27,4,1,18,85,0.262,0.318,0.418,0.736,99,2,3,0,3,0,1,0.38,48,187,39
Count/Balls-Strikes,Batter Ahead,105,,186,139,41,54,11,4,11,29,5,3,41,13,0.389,0.522,0.763,1.284,106,1,2,0,4,6,2,0.361,156,167,28
Count/Balls-Strikes,Even Count,107,,180,177,37,64,15,2,6,32,13,9,0,26,0.362,0.367,0.571,0.937,101,0,2,0,1,0,1,0.397,86,170,41
Count/Balls-Strikes,Pitcher Ahead,110,,199,195,32,60,11,5,8,31,8,0,0,46,0.308,0.312,0.539,0.85,105,2,2,0,2,0,2,0.364,66,223,36
Number of Outs in Inning,0 outs,102,,160,148,22,59,10,2,8,21,10,2,11,18,0.399,0.438,0.655,1.093,97,2,0,0,1,0,2,0.415,117,200,39
Number of Outs in Inning,1 out,122,,248,219,48,73,16,7,10,39,12,6,20,42,0.333,0.387,0.607,0.994,133,1,3,0,6,4,2,0.364,97,174,40
Number of Outs in Inning,2 outs,95,,157,144,40,46,11,2,7,32,4,4,10,25,0.319,0.376,0.569,0.945,82,0,3,0,0,2,1,0.348,88,167,26
