Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,72,65,267,236,23,37,6,0,1,10,0,0,24,60,0.157,0.243,0.195,0.438,46,9,4,0,3,0,5,0.202,100,26,30
Season Totals,Last 7 days,5,5,20,18,2,2,0,0,0,0,0,0,2,7,0.111,0.2,0.111,0.311,2,2,0,0,0,0,0,0.182,39,-5,2
Season Totals,Last 14 days,10,9,39,31,4,5,1,0,0,2,0,0,7,10,0.161,0.308,0.194,0.501,6,2,0,0,1,0,0,0.227,126,48,4
Season Totals,Last 28 days,20,17,73,63,4,8,2,0,0,2,0,0,8,19,0.127,0.233,0.159,0.392,10,4,1,0,1,0,0,0.178,77,12,6
Season Totals,Last 365 days,105,98,414,370,40,71,16,1,9,37,0,0,33,98,0.192,0.268,0.314,0.582,116,13,7,0,4,0,7,0.232,171,,45
Platoon Splits,vs RHP,67,,203,178,19,26,4,0,1,6,0,0,20,46,0.146,0.246,0.185,0.432,33,5,4,0,1,0,4,0.189,96,25,21
Platoon Splits,vs LHP,33,,64,58,4,11,2,0,0,4,0,0,4,14,0.19,0.234,0.224,0.459,13,4,0,0,2,0,1,0.239,111,30,9
Platoon Splits,vs RHP as RHB,67,,203,178,,26,4,0,1,6,0,0,20,46,0.146,0.246,0.185,0.432,33,5,4,0,1,0,4,0.189,96,29,21
Platoon Splits,vs LHP as RHB,33,,64,58,,11,2,0,0,4,0,0,4,14,0.19,0.234,0.224,0.459,13,4,0,0,2,0,1,0.239,111,27,9
Platoon Splits,vs RH Starter,55,49,201,178,18,25,3,0,1,6,0,0,18,47,0.14,0.229,0.174,0.403,31,6,3,0,2,0,3,0.182,84,17,21
Platoon Splits,vs LH Starter,17,16,66,58,5,12,3,0,0,4,0,0,6,13,0.207,0.288,0.259,0.547,15,3,1,0,1,0,2,0.261,151,56,9
Home or Away,Home,34,29,120,110,9,14,2,0,0,1,0,0,7,30,0.127,0.192,0.146,0.337,16,2,2,0,1,0,0,0.173,53,-4,12
