Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,77,69,305,270,40,66,15,2,16,48,5,0,29,78,0.244,0.328,0.493,0.821,133,7,5,0,1,2,2,0.283,100,128,33
Season Totals,Last 7 days,6,6,28,25,4,5,1,0,2,4,0,0,2,11,0.2,0.286,0.48,0.766,12,0,1,0,0,1,0,0.25,85,117,2
Season Totals,Last 14 days,12,12,54,49,7,8,3,0,3,7,2,0,4,15,0.163,0.241,0.408,0.649,20,0,1,0,0,1,2,0.161,56,78,2
Season Totals,Last 28 days,23,22,100,91,13,24,9,0,5,18,4,0,8,26,0.264,0.33,0.528,0.858,48,0,1,0,0,1,2,0.317,108,131,10
Season Totals,Last 365 days,103,94,412,361,55,90,20,2,21,68,6,0,40,104,0.249,0.335,0.49,0.825,177,10,8,0,3,2,3,0.289,102,,47
Platoon Splits,vs RHP,76,,251,220,34,50,10,2,13,34,5,0,26,63,0.227,0.319,0.468,0.787,103,7,4,0,1,2,1,0.255,92,119,25
Platoon Splits,vs LHP,29,,54,50,6,16,5,0,3,14,0,0,3,15,0.32,0.37,0.6,0.97,30,0,1,0,0,0,1,0.406,135,167,8
Platoon Splits,vs RHP as LHB,76,,251,220,,50,10,2,13,34,0,0,26,63,0.227,0.319,0.468,0.787,103,7,4,0,1,2,1,0.255,92,112,25
Platoon Splits,vs LHP as LHB,29,,54,50,,16,5,0,3,14,0,0,3,15,0.32,0.37,0.6,0.97,30,0,1,0,0,0,1,0.406,135,186,8
Platoon Splits,vs RH Starter,62,61,260,230,35,54,12,2,15,39,5,0,25,65,0.235,0.319,0.5,0.819,115,6,4,0,1,1,1,0.258,99,127,25
Platoon Splits,vs LH Starter,15,8,45,40,5,12,3,0,1,9,0,0,4,13,0.3,0.378,0.45,0.828,18,1,1,0,0,1,1,0.423,107,133,8
Home or Away,Home,41,36,155,135,15,32,6,2,6,22,4,0,17,36,0.237,0.336,0.444,0.78,60,4,3,0,0,2,2,0.28,92,115,18
Home or Away,Away,36,33,150,135,25,34,9,0,10,26,1,0,12,42,0.252,0.32,0.541,0.861,73,3,2,0,1,0,0,0.286,107,141,15
First or Second Half,1st Half,49,42,185,161,25,40,6,2,9,27,1,0,19,46,0.248,0.341,0.478,0.819,77,6,4,0,1,1,0,0.29,101,130,23
First or Second Half,2nd Half,28,27,120,109,15,26,9,0,7,21,4,0,10,32,0.239,0.308,0.514,0.822,56,1,1,0,0,1,2,0.271,98,122,10
Months,April/March,8,7,30,27,3,5,1,0,1,4,0,0,2,7,0.185,0.267,0.333,0.6,9,2,1,0,0,0,0,0.211,49,72,3
Months,May,10,8,33,26,3,4,1,2,0,4,0,0,6,7,0.154,0.333,0.346,0.68,9,1,1,0,0,1,0,0.211,72,98,1
Months,June,19,17,75,66,12,17,2,0,5,15,1,0,6,21,0.258,0.333,0.515,0.849,34,0,2,0,1,0,0,0.293,106,133,10
Months,July,23,20,91,80,13,26,7,0,6,12,1,0,11,21,0.325,0.407,0.638,1.044,51,4,0,0,0,0,0,0.377,154,181,13
Months,August,17,17,76,71,9,14,4,0,4,13,3,0,4,22,0.197,0.25,0.423,0.673,30,0,1,0,0,1,2,0.222,62,83,6
Game Outcome for Team,in Wins,37,32,151,134,32,51,14,2,12,40,3,0,14,34,0.381,0.444,0.784,1.227,105,2,2,0,1,2,0,0.438,194,189,23
Game Outcome for Team,in Losses,40,37,154,136,8,15,1,0,4,8,2,0,15,44,0.11,0.214,0.206,0.42,28,5,3,0,0,0,2,0.125,7,44,10
Starter or Substitute,as Starter,69,69,292,259,39,64,15,1,16,45,5,0,28,75,0.247,0.329,0.498,0.827,129,7,4,0,1,1,2,0.284,101,129,32
Starter or Substitute,as Sub,8,0,13,11,1,2,0,1,0,3,0,0,1,3,0.182,0.308,0.364,0.671,4,0,1,0,0,1,0,0.25,68,104,1
Defensive Positions,as 1B,3,,13,11,2,2,1,0,1,2,0,0,2,4,0.182,0.308,0.546,0.853,6,0,0,0,0,0,0,0.167,105,129,0
Defensive Positions,as 2B,45,,181,164,18,36,8,1,5,24,3,0,14,48,0.22,0.287,0.372,0.659,61,5,2,0,1,0,2,0.277,63,92,22
Defensive Positions,as DH,27,,107,91,19,27,6,0,10,19,2,0,13,24,0.297,0.402,0.692,1.094,63,2,3,0,0,2,0,0.298,163,187,11
Defensive Positions,as PH,8,,8,7,1,1,0,1,0,3,0,0,0,3,0.143,0.25,0.429,0.679,3,0,1,0,0,0,0,0.25,63,108,0
Defensive Positions,as PH for DH,4,,4,3,,0,0,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25,0,0,1,0,0,0,0,0.0,-24,-31,0
Leading Off Inning,Leadoff Inn.,46,,57,50,,9,3,0,4,4,,,5,18,0.18,0.281,0.48,0.761,24,0,2,0,0,1,0,0.179,83,113,2
Batting Order Positions,Batting 2nd,49,49,208,186,26,42,8,0,11,28,4,0,17,54,0.226,0.303,0.446,0.749,83,5,4,0,1,1,1,0.254,83,95,23
Batting Order Positions,Batting 3rd,19,15,70,60,10,19,5,0,4,11,1,0,9,15,0.317,0.414,0.6,1.014,36,0,1,0,0,1,1,0.366,148,158,10
Batting Order Positions,Batting 4th,3,3,11,10,1,2,1,1,0,1,0,0,1,3,0.2,0.273,0.5,0.773,5,1,0,0,0,0,0,0.286,85,105,0
Batting Order Positions,Batting 5th,2,2,9,7,2,2,1,0,1,5,0,0,2,4,0.286,0.444,0.857,1.302,6,1,0,0,0,0,0,0.5,209,252,0
Batting Order Positions,Batting 7th,2,0,3,3,1,1,0,1,0,3,0,0,0,1,0.333,0.333,1.0,1.333,3,0,0,0,0,0,0,0.5,204,270,0
Batting Order Positions,Batting 8th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 9th,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,70,,142,134,,31,7,2,8,29,,,7,34,0.231,0.268,0.493,0.76,66,3,0,0,1,0,2,0.247,82,111,14
Swung or Took First Pitch of PA,Took 1st Pitch,72,,163,136,,35,8,0,8,19,,,22,44,0.257,0.38,0.493,0.873,67,4,5,0,0,2,0,0.321,116,143,19
Count/Balls-Strikes,First Pitch,32,,43,41,9,20,5,2,4,15,2,0,0,0,0.488,0.512,1.0,1.512,41,1,2,0,0,0,0,0.432,259,228,9
Count/Balls-Strikes,1-0 Count,13,,14,14,2,7,5,0,0,4,0,0,0,0,0.5,0.5,0.857,1.357,12,0,0,0,0,0,0,0.5,226,196,2
Count/Balls-Strikes,2-0 Count,3,,3,3,,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333,2,0,0,0,0,0,0,0.667,239,201,2
Count/Balls-Strikes,3-0 Count,9,,9,0,,0,0,0,0,0,0,0,9,0,,1.0,,,0,0,0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,21,,23,22,,3,0,0,0,2,0,0,0,0,0.136,0.174,0.136,0.31,3,1,1,0,0,0,1,0.136,-19,-21,3
Count/Balls-Strikes,1-1 Count,20,,25,24,7,7,2,0,4,8,0,0,0,0,0.292,0.32,0.875,1.195,21,2,1,0,0,0,1,0.15,175,164,1
Count/Balls-Strikes,2-1 Count,14,,15,14,2,5,1,0,0,1,0,0,0,0,0.357,0.333,0.429,0.762,6,0,0,0,1,0,0,0.333,89,70,4
Count/Balls-Strikes,3-1 Count,8,,9,5,2,2,0,0,1,1,1,0,4,0,0.4,0.667,1.0,1.667,5,0,0,0,0,0,0,0.25,306,153,1
Count/Balls-Strikes,0-2 Count,22,,26,26,5,3,0,0,2,2,0,0,0,15,0.115,0.115,0.346,0.462,9,0,0,0,0,0,0,0.111,5,127,1
Count/Balls-Strikes,1-2 Count,39,,47,46,5,6,0,0,2,4,0,0,0,32,0.13,0.149,0.261,0.41,12,0,1,0,0,0,0,0.333,-2,94,4
Count/Balls-Strikes,2-2 Count,35,,42,42,5,5,1,0,1,2,2,0,0,23,0.119,0.119,0.214,0.333,9,0,0,0,0,0,0,0.222,-20,46,3
Count/Balls-Strikes,Full Count,37,,49,33,3,6,1,0,2,8,0,0,16,8,0.182,0.449,0.394,0.843,13,3,0,0,0,0,0,0.174,117,117,3
Count/Balls-Strikes,After 1-0,61,,112,92,,29,8,0,7,18,,,19,25,0.315,0.438,0.63,1.068,58,1,1,0,0,2,0,0.367,161,164,14
Count/Balls-Strikes,After 2-0,30,,34,22,,6,0,0,1,4,,,12,4,0.273,0.529,0.409,0.939,9,1,0,0,0,2,0,0.294,144,95,5
Count/Balls-Strikes,After 3-0,14,,14,3,,0,0,0,0,0,,,11,0,0.0,0.786,0.0,0.786,0,1,0,0,0,2,0,0.0,140,7,0
Count/Balls-Strikes,After 0-1,70,,150,137,,17,2,0,5,15,,,10,53,0.124,0.193,0.248,0.442,34,5,2,0,1,0,2,0.15,9,46,10
Count/Balls-Strikes,After 1-1,65,,125,107,,20,4,0,8,18,,,15,39,0.187,0.296,0.449,0.745,48,3,2,0,1,0,1,0.197,81,122,8
Count/Balls-Strikes,After 2-1,48,,61,48,,10,1,0,3,6,,,12,13,0.208,0.361,0.417,0.777,20,1,0,0,1,0,0,0.212,95,98,6
Count/Balls-Strikes,After 3-1,21,,25,15,,4,0,0,2,4,,,10,1,0.267,0.56,0.667,1.227,10,2,0,0,0,0,0,0.167,206,147,2
Count/Balls-Strikes,After 0-2,50,,66,64,,10,1,0,3,5,,,2,35,0.156,0.182,0.313,0.494,20,1,0,0,0,0,0,0.269,19,115,6
Count/Balls-Strikes,After 1-2,60,,96,89,,14,2,0,3,10,,,6,50,0.157,0.219,0.281,0.5,25,1,1,0,0,0,0,0.306,24,101,9
Count/Balls-Strikes,After 2-2,50,,75,65,,9,2,0,2,7,,,10,30,0.139,0.253,0.262,0.515,17,1,0,0,0,0,0,0.212,30,77,5
Count/Balls-Strikes,Zero Balls,58,,92,89,14,26,5,2,6,19,2,0,0,15,0.292,0.315,0.596,0.911,53,2,3,0,0,0,1,0.294,117,148,13
Count/Balls-Strikes,Zero Strikes,46,,69,58,11,29,10,2,4,20,2,0,9,0,0.5,0.58,0.948,1.528,55,1,2,0,0,2,0,0.463,269,215,13
Count/Balls-Strikes,Three Balls,48,,67,38,5,8,1,0,3,9,1,0,29,8,0.211,0.552,0.474,1.026,18,3,0,0,0,2,0,0.185,164,123,4
Count/Balls-Strikes,Two Strikes,73,,164,147,18,20,2,0,7,16,2,0,16,78,0.136,0.226,0.293,0.518,43,3,1,0,0,0,0,0.21,28,102,11
Count/Balls-Strikes,Batter Ahead,58,,99,69,9,22,7,0,3,15,1,0,29,8,0.319,0.515,0.551,1.066,38,3,0,0,1,2,0,0.322,169,123,12
Count/Balls-Strikes,Even Count,58,,110,107,21,32,8,2,9,25,4,0,0,23,0.299,0.318,0.664,0.982,71,3,3,0,0,0,1,0.307,132,173,13
Count/Balls-Strikes,Pitcher Ahead,59,,96,94,10,12,0,0,4,8,0,0,0,47,0.128,0.146,0.255,0.401,24,1,2,0,0,0,1,0.186,-4,52,8
Number of Outs in Inning,0 outs,59,,98,89,10,20,6,1,7,19,0,0,7,29,0.225,0.296,0.551,0.847,49,4,2,0,0,1,0,0.245,102,129,6
Number of Outs in Inning,1 out,64,,123,106,15,34,8,1,4,20,4,0,14,27,0.321,0.407,0.528,0.935,56,3,2,0,1,0,1,0.395,131,160,21
Number of Outs in Inning,2 outs,53,,84,75,15,12,1,0,5,9,1,0,8,22,0.16,0.25,0.373,0.623,28,0,1,0,0,1,1,0.146,52,77,6
Bases Occupied,RISP,49,,73,65,28,21,4,1,6,34,3,0,7,14,0.323,0.384,0.692,1.076,45,1,0,0,1,2,0,0.326,157,182,10
Bases Occupied,---,73,,176,154,8,33,8,0,8,8,0,0,18,50,0.214,0.313,0.422,0.735,65,0,4,0,0,0,2,0.26,81,112,17
Bases Occupied,Men On,69,,129,116,32,33,7,2,8,40,5,0,11,28,0.285,0.349,0.586,0.935,68,7,1,0,1,2,0,0.309,125,147,16
Bases Occupied,1--,49,,56,51,4,12,3,1,2,6,2,0,4,14,0.235,0.304,0.451,0.755,23,6,1,0,0,0,0,0.286,84,102,6
Bases Occupied,-2-,26,,29,24,7,10,3,0,3,11,0,0,5,5,0.417,0.517,0.917,1.434,22,0,0,0,0,1,0,0.438,244,285,4
Bases Occupied,--3,6,,6,3,2,0,0,0,0,1,0,0,2,3,0.0,0.333,0.0,0.333,0,0,0,0,1,1,0,0.0,2,-4,0
Bases Occupied,12-,15,,21,21,6,6,1,0,2,9,2,0,0,3,0.286,0.286,0.619,0.905,13,0,0,0,0,0,0,0.25,113,145,3
Bases Occupied,1-3,6,,6,6,4,1,0,0,0,2,1,0,0,1,0.167,0.167,0.167,0.333,1,1,0,0,0,0,0,0.2,-15,-16,1
Bases Occupied,-23,4,,4,4,4,1,0,0,0,2,0,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.333,27,26,1
Bases Occupied,123,8,,7,7,5,3,0,1,1,9,0,0,0,1,0.429,0.429,1.143,1.572,8,0,0,0,0,0,0,0.4,263,306,1
Bases Occupied,"on 1st,",44,,60,56,11,18,4,2,4,22,4,0,3,13,0.321,0.367,0.679,1.045,38,7,1,0,0,0,0,0.359,150,170,8
Bases Occupied,"on 3rd,",12,,12,11,10,4,0,1,1,13,0,0,0,3,0.364,0.333,0.818,1.152,9,1,0,0,1,0,0,0.375,167,158,2
Bases Occupied,"on 3rd, 2 out",11,,11,9,5,1,0,0,0,1,1,0,2,3,0.111,0.273,0.111,0.384,1,0,0,0,0,1,0,0.167,6,13,1
Bases Occupied,"0 out, ---",50,,60,54,4,9,3,0,4,4,0,0,4,21,0.167,0.25,0.444,0.694,24,0,2,0,0,0,0,0.172,66,94,2
Bases Occupied,"0 out, 1--",22,,21,21,1,6,2,1,1,4,0,0,0,7,0.286,0.286,0.619,0.905,13,3,0,0,0,0,0,0.385,113,128,2
Bases Occupied,"0 out, -2-",7,,8,5,2,3,1,0,1,4,0,0,3,1,0.6,0.75,1.4,2.15,7,0,0,0,0,1,0,0.667,413,478,1
Bases Occupied,"0 out, 12-",4,,4,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 1-3",2,,2,2,,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, -23",2,,2,2,,1,0,0,0,2,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,154,140,1
Bases Occupied,"0 out, 123",1,,1,1,2,1,0,0,1,4,0,0,0,0,1.0,1.0,4.0,5.0,4,0,0,0,0,0,0,,1016,1010,0
Bases Occupied,"1 out, ---",52,,78,66,1,17,4,0,1,1,0,0,11,17,0.258,0.372,0.364,0.735,24,0,1,0,0,0,1,0.333,87,118,12
Bases Occupied,"1 out, 1--",23,,21,17,1,5,1,0,1,2,2,0,3,4,0.294,0.429,0.529,0.958,9,3,1,0,0,0,0,0.333,138,160,3
Bases Occupied,"1 out, -2-",10,,9,9,3,6,2,0,1,5,0,0,0,1,0.667,0.667,1.222,1.889,11,0,0,0,0,0,0,0.714,351,411,3
Bases Occupied,"1 out, --3",3,,3,2,1,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 12-",7,,8,8,2,4,1,0,1,6,2,0,0,2,0.5,0.5,1.0,1.5,8,0,0,0,0,0,0,0.6,255,304,2
Bases Occupied,"1 out, 1-3",,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"1 out, -23",1,,1,1,3,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"1 out, 123",4,,3,3,2,2,0,1,0,5,0,0,0,0,0.667,0.667,1.333,2.0,4,0,0,0,0,0,0,0.667,374,432,1
