Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,105,87,367,324,41,78,11,3,12,47,14,3,37,123,0.241,0.316,0.404,0.72,131,2,1,0,5,0,3,0.34,100,102,52
Season Totals,Last 7 days,5,4,15,13,1,3,1,0,1,3,0,0,1,7,0.231,0.267,0.539,0.805,7,0,0,0,1,0,0,0.333,118,129,1
Season Totals,Last 14 days,11,8,31,28,3,7,1,0,1,4,0,0,2,12,0.25,0.29,0.393,0.683,11,0,0,0,1,0,0,0.375,89,92,5
Season Totals,Last 28 days,24,19,81,73,8,16,1,1,3,11,2,0,6,29,0.219,0.284,0.384,0.668,28,0,1,0,1,0,2,0.31,85,83,11
Season Totals,Last 365 days,134,112,467,407,56,99,16,3,16,63,17,3,53,156,0.243,0.328,0.415,0.743,169,2,1,0,6,0,3,0.344,107,,64
Platoon Splits,vs RHP,101,,300,265,38,66,10,2,12,42,12,3,32,96,0.249,0.327,0.438,0.764,116,1,0,0,3,0,3,0.338,112,115,42
Platoon Splits,vs LHP,47,,67,59,3,12,1,1,0,5,2,0,5,27,0.203,0.269,0.254,0.523,15,1,1,0,2,0,0,0.353,48,49,10
Platoon Splits,vs RHP as LHB,101,,300,265,,66,10,2,12,42,0,0,32,96,0.249,0.327,0.438,0.764,116,1,0,0,3,0,3,0.338,112,108,42
Platoon Splits,vs LHP as LHB,47,,67,59,,12,1,1,0,5,0,0,5,27,0.203,0.269,0.254,0.523,15,1,1,0,2,0,0,0.353,48,58,10
Platoon Splits,vs RH Starter,74,73,291,258,34,65,9,2,10,38,10,2,31,95,0.252,0.33,0.419,0.749,108,1,0,0,2,0,2,0.355,108,110,44
Platoon Splits,vs LH Starter,31,14,76,66,7,13,2,1,2,9,4,1,6,28,0.197,0.263,0.349,0.612,23,1,1,0,3,0,1,0.282,69,71,8
Home or Away,Home,55,46,195,176,29,48,8,2,9,25,7,1,19,63,0.273,0.344,0.494,0.838,87,1,0,0,0,0,2,0.375,131,130,29
Home or Away,Away,50,41,172,148,12,30,3,1,3,22,7,2,18,60,0.203,0.285,0.297,0.582,44,1,1,0,5,0,1,0.3,64,68,23
First or Second Half,1st Half,75,64,270,236,32,62,10,2,9,35,11,3,31,86,0.263,0.344,0.436,0.781,103,2,0,0,3,0,1,0.368,117,120,41
First or Second Half,2nd Half,30,23,97,88,9,16,1,1,3,12,3,0,6,37,0.182,0.237,0.318,0.555,28,0,1,0,2,0,2,0.26,54,53,11
Months,April/March,28,24,102,93,10,25,2,1,6,17,3,0,7,33,0.269,0.314,0.505,0.819,47,1,0,0,2,0,0,0.339,124,131,16
Months,May,22,18,76,64,10,16,4,0,0,8,5,2,11,18,0.25,0.355,0.313,0.668,20,1,0,0,1,0,1,0.34,90,96,12
Months,June,15,13,56,47,6,14,3,0,1,6,1,1,9,22,0.298,0.411,0.426,0.836,20,0,0,0,0,0,0,0.542,136,136,10
Months,July,21,17,72,66,9,12,1,1,4,9,3,0,5,25,0.182,0.236,0.409,0.645,27,0,0,0,1,0,1,0.211,76,73,6
Months,August,19,15,61,54,6,11,1,1,1,7,2,0,5,25,0.204,0.279,0.315,0.594,17,0,1,0,1,0,1,0.345,66,66,8
Game Outcome for Team,in Wins,57,49,206,177,29,53,8,1,9,34,10,2,25,58,0.299,0.384,0.509,0.892,90,2,1,0,3,0,2,0.389,147,114,35
Game Outcome for Team,in Losses,48,38,161,147,12,25,3,2,3,13,4,1,12,65,0.17,0.23,0.279,0.509,41,0,0,0,2,0,1,0.272,42,73,17
Starter or Substitute,as Starter,87,87,346,305,40,76,10,3,12,46,14,3,36,112,0.249,0.327,0.42,0.746,128,2,1,0,4,0,2,0.346,107,109,51
Starter or Substitute,as Sub,18,0,21,19,1,2,1,0,0,1,0,0,1,11,0.105,0.143,0.158,0.301,3,0,0,0,1,0,1,0.222,-16,-8,1
Defensive Positions,as LF,68,,241,216,26,49,4,2,8,31,7,2,22,79,0.227,0.295,0.375,0.67,81,2,0,0,3,0,1,0.311,86,89,35
Defensive Positions,as CF,32,,97,86,14,25,5,0,4,14,3,1,9,34,0.291,0.361,0.488,0.849,42,0,1,0,1,0,2,0.429,135,143,16
Defensive Positions,as RF,5,,15,10,1,3,1,1,0,1,4,0,5,2,0.3,0.533,0.6,1.133,6,0,0,0,0,0,0,0.375,217,214,1
Defensive Positions,as PH,14,,14,12,,1,1,0,0,1,0,0,1,8,0.083,0.143,0.167,0.31,2,0,0,0,1,0,0,0.2,-13,-3,0
Leading Off Inning,Leadoff Inn.,55,,81,70,,17,3,0,2,2,,,11,25,0.243,0.346,0.371,0.717,26,0,0,0,0,0,0,0.349,101,108,12
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 3rd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 4th,8,8,33,27,1,5,2,0,0,1,2,0,6,12,0.185,0.333,0.259,0.593,7,0,0,0,0,0,0,0.333,70,67,3
Batting Order Positions,Batting 5th,19,19,82,74,9,12,1,1,1,8,4,0,7,24,0.162,0.232,0.243,0.475,18,0,0,0,1,0,2,0.22,34,33,9
Batting Order Positions,Batting 6th,20,20,80,75,9,19,3,1,5,16,3,0,4,30,0.253,0.288,0.52,0.808,39,1,0,0,1,0,0,0.342,120,131,10
Batting Order Positions,Batting 7th,28,25,101,87,18,29,3,1,5,15,3,3,13,30,0.333,0.416,0.563,0.979,49,1,0,0,1,0,0,0.453,171,183,20
Batting Order Positions,Batting 8th,19,14,57,49,4,12,2,0,1,6,1,0,6,18,0.245,0.333,0.347,0.68,17,0,1,0,1,0,1,0.355,91,109,9
Batting Order Positions,Batting 9th,9,1,13,11,0,1,0,0,0,1,1,0,1,8,0.091,0.154,0.091,0.245,1,0,0,0,1,0,0,0.25,-29,-19,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,55,,77,73,,16,2,2,6,10,,,4,18,0.219,0.26,0.548,0.808,40,2,0,0,0,0,0,0.204,118,121,6
Swung or Took First Pitch of PA,Took 1st Pitch,99,,290,251,,62,9,1,6,37,,,33,105,0.247,0.331,0.363,0.694,91,0,1,0,5,0,3,0.386,95,95,46
Count/Balls-Strikes,First Pitch,24,,27,27,7,7,1,1,1,2,1,1,0,0,0.259,0.259,0.482,0.741,13,2,0,0,0,0,0,0.231,101,62,4
Count/Balls-Strikes,1-0 Count,20,,22,21,0,7,1,0,0,5,1,0,0,0,0.333,0.318,0.381,0.699,8,0,0,0,1,0,0,0.318,95,60,6
Count/Balls-Strikes,2-0 Count,3,,3,3,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,1,0,0,0,0,0,1,0.333,88,50,1
Count/Balls-Strikes,3-0 Count,6,,7,0,,0,0,0,0,0,0,0,7,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,22,,23,22,8,11,4,1,2,7,3,2,0,0,0.5,0.478,1.046,1.524,23,0,0,0,1,0,1,0.429,310,249,4
Count/Balls-Strikes,1-1 Count,23,,24,24,2,6,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5,6,0,0,0,0,0,0,0.25,41,25,6
Count/Balls-Strikes,2-1 Count,16,,17,16,6,10,0,0,1,6,1,0,0,0,0.625,0.588,0.813,1.401,13,0,0,0,1,0,0,0.563,287,211,9
Count/Balls-Strikes,3-1 Count,26,,31,19,1,9,1,1,1,4,0,0,11,0,0.474,0.645,0.79,1.435,15,0,0,0,1,0,0,0.421,299,116,6
Count/Balls-Strikes,0-2 Count,19,,20,19,4,5,1,0,1,3,2,0,0,13,0.263,0.3,0.474,0.774,9,0,1,0,0,0,0,0.8,112,302,3
Count/Balls-Strikes,1-2 Count,47,,56,56,2,6,1,0,1,6,2,0,0,39,0.107,0.107,0.179,0.286,10,0,0,0,0,0,0,0.313,-22,36,4
Count/Balls-Strikes,2-2 Count,49,,65,64,6,7,2,0,2,5,3,0,0,42,0.109,0.108,0.234,0.342,15,0,0,0,1,0,1,0.238,-8,47,3
Count/Balls-Strikes,Full Count,55,,72,53,5,9,0,0,3,8,0,0,19,29,0.17,0.389,0.34,0.729,18,0,0,0,0,0,0,0.286,107,88,6
Count/Balls-Strikes,After 1-0,79,,139,108,,31,1,0,4,20,,,28,33,0.287,0.425,0.407,0.832,44,0,0,0,3,0,1,0.365,135,108,26
Count/Balls-Strikes,After 2-0,42,,53,33,,15,0,0,3,10,,,20,8,0.455,0.66,0.727,1.388,24,0,0,0,0,0,1,0.546,289,190,12
Count/Balls-Strikes,After 3-0,16,,18,5,,1,0,0,0,0,,,13,1,0.2,0.778,0.2,0.978,1,0,0,0,0,0,0,0.25,196,45,1
Count/Balls-Strikes,After 0-1,94,,200,188,,40,9,2,7,25,,,9,89,0.213,0.25,0.394,0.644,74,0,1,0,2,0,2,0.351,77,110,22
Count/Balls-Strikes,After 1-1,81,,164,145,,23,2,1,2,12,,,16,69,0.159,0.238,0.228,0.465,33,0,0,0,3,0,1,0.273,32,42,18
Count/Balls-Strikes,After 2-1,66,,101,82,,29,1,1,5,20,,,17,25,0.354,0.455,0.573,1.029,47,0,0,0,2,0,1,0.444,186,161,22
Count/Balls-Strikes,After 3-1,42,,51,32,,14,1,1,2,9,,,18,5,0.438,0.628,0.719,1.346,23,0,0,0,1,0,0,0.462,276,170,10
Count/Balls-Strikes,After 0-2,58,,77,75,,15,3,0,4,11,,,1,45,0.2,0.221,0.4,0.621,30,0,1,0,0,0,0,0.423,69,169,8
Count/Balls-Strikes,After 1-2,79,,128,120,,11,3,0,3,9,,,7,83,0.092,0.141,0.192,0.332,23,0,0,0,1,0,0,0.229,-8,34,5
Count/Balls-Strikes,After 2-2,75,,117,104,,11,2,0,4,8,,,12,66,0.106,0.197,0.24,0.437,25,0,0,0,1,0,1,0.2,22,50,5
Count/Balls-Strikes,Zero Balls,57,,70,68,19,23,6,2,4,12,6,3,0,13,0.338,0.343,0.662,1.005,45,2,1,0,1,0,1,0.365,172,174,11
Count/Balls-Strikes,Zero Strikes,49,,59,51,7,15,2,1,1,7,3,1,7,0,0.294,0.373,0.431,0.804,22,2,0,0,1,0,1,0.275,125,71,11
Count/Balls-Strikes,Three Balls,74,,110,72,6,18,1,1,4,12,0,0,37,29,0.25,0.5,0.458,0.958,33,0,0,0,1,0,0,0.35,172,110,12
Count/Balls-Strikes,Two Strikes,98,,213,192,17,27,4,0,7,22,7,0,19,123,0.141,0.221,0.271,0.492,52,0,1,0,1,0,1,0.318,37,92,16
Count/Balls-Strikes,Batter Ahead,85,,152,112,12,36,2,1,5,23,3,0,37,29,0.321,0.48,0.491,0.971,55,0,0,0,3,0,1,0.383,173,103,28
Count/Balls-Strikes,Even Count,75,,116,115,15,20,3,1,3,8,4,1,0,42,0.174,0.172,0.296,0.468,34,2,0,0,1,0,1,0.239,28,33,13
Count/Balls-Strikes,Pitcher Ahead,71,,99,97,14,22,6,1,4,16,7,2,0,52,0.227,0.232,0.433,0.665,42,0,1,0,1,0,1,0.429,81,151,11
Number of Outs in Inning,0 outs,68,,120,104,10,25,3,1,3,11,1,0,14,36,0.24,0.325,0.375,0.7,39,1,0,0,2,0,0,0.328,96,96,18
Number of Outs in Inning,1 out,80,,123,110,20,35,6,1,7,24,3,1,9,41,0.318,0.366,0.582,0.948,64,1,1,0,3,0,1,0.431,160,161,21
Number of Outs in Inning,2 outs,81,,124,110,11,18,2,1,2,12,10,2,14,46,0.164,0.258,0.255,0.513,28,0,0,0,0,0,2,0.258,45,48,13
Bases Occupied,RISP,72,,112,91,30,24,2,1,2,32,4,1,15,36,0.264,0.357,0.374,0.731,34,0,1,0,5,0,0,0.379,106,97,19
Bases Occupied,---,90,,198,180,6,43,9,1,6,6,0,0,18,63,0.239,0.308,0.4,0.708,72,0,0,0,0,0,2,0.333,97,105,27
Bases Occupied,Men On,87,,169,144,35,35,2,2,6,41,14,3,19,60,0.243,0.325,0.41,0.735,59,2,1,0,5,0,1,0.349,104,97,25
Bases Occupied,1--,48,,57,53,5,11,0,1,4,9,10,2,4,24,0.208,0.263,0.472,0.735,25,2,0,0,0,0,1,0.28,100,94,6
Bases Occupied,-2-,38,,44,38,12,11,0,1,2,9,0,0,5,16,0.29,0.386,0.5,0.886,19,0,1,0,0,0,0,0.45,146,140,8
Bases Occupied,--3,9,,9,5,4,1,0,0,0,3,0,0,2,2,0.2,0.333,0.2,0.533,1,0,0,0,2,0,0,0.2,55,44,1
Bases Occupied,12-,24,,27,22,4,6,2,0,0,6,0,0,5,9,0.273,0.407,0.364,0.771,8,0,0,0,0,0,0,0.462,119,120,4
Bases Occupied,1-3,9,,5,3,3,1,0,0,0,2,4,1,1,0,0.333,0.4,0.333,0.733,1,0,0,0,1,0,0,0.25,109,88,1
Bases Occupied,-23,15,,15,14,5,3,0,0,0,6,0,0,1,5,0.214,0.267,0.214,0.481,3,0,0,0,0,0,0,0.333,38,23,3
Bases Occupied,123,12,,12,9,2,2,0,0,0,6,0,0,1,4,0.222,0.25,0.222,0.472,2,0,0,0,2,0,0,0.286,34,35,2
Bases Occupied,"on 1st,",47,,61,54,13,17,0,1,4,19,4,1,4,21,0.315,0.344,0.574,0.918,31,2,0,0,3,0,1,0.406,151,138,12
Bases Occupied,"on 3rd,",16,,16,9,11,4,0,0,0,11,2,0,2,2,0.444,0.375,0.444,0.819,4,0,0,0,5,0,0,0.333,129,96,4
Bases Occupied,"on 3rd, 2 out",22,,25,22,3,3,0,0,0,6,2,1,3,9,0.136,0.24,0.136,0.376,3,0,0,0,0,0,0,0.231,10,9,3
Bases Occupied,"0 out, ---",53,,82,71,2,17,3,0,2,2,0,0,11,25,0.239,0.342,0.366,0.708,26,0,0,0,0,0,0,0.341,99,104,12
Bases Occupied,"0 out, 1--",17,,19,18,2,3,0,0,1,2,0,0,1,7,0.167,0.211,0.333,0.544,6,1,0,0,0,0,0,0.2,49,40,2
Bases Occupied,"0 out, -2-",8,,9,8,1,2,0,1,0,2,0,0,1,2,0.25,0.333,0.5,0.833,4,0,0,0,0,0,0,0.333,129,125,1
Bases Occupied,"0 out, 12-",5,,5,4,,1,0,0,0,1,0,0,1,2,0.25,0.4,0.25,0.65,1,0,0,0,0,0,0,0.5,89,81,1
Bases Occupied,"0 out, 1-3",1,,1,0,3,0,0,0,0,1,1,0,0,0,,0.0,,,0,0,0,0,1,0,0,0.0,,,0
Bases Occupied,"0 out, -23",2,,2,2,1,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0,1,0,0,0,0,0,0,0.5,182,142,1
Bases Occupied,"0 out, 123",2,,2,1,1,1,0,0,0,2,0,0,0,0,1.0,0.5,1.0,1.5,1,0,0,0,1,0,0,0.5,306,256,1
Bases Occupied,"1 out, ---",53,,66,63,2,16,6,0,2,2,0,0,3,26,0.254,0.288,0.444,0.732,28,0,0,0,0,0,0,0.4,101,111,8
Bases Occupied,"1 out, 1--",23,,21,21,3,8,0,1,3,7,2,1,0,8,0.381,0.381,0.905,1.286,19,1,0,0,0,0,1,0.5,245,233,4
Bases Occupied,"1 out, -2-",18,,18,14,5,7,0,0,2,6,0,0,3,3,0.5,0.611,0.929,1.54,13,0,1,0,0,0,0,0.556,323,319,5
Bases Occupied,"1 out, --3",3,,3,0,2,0,0,0,0,2,0,0,1,0,,0.333,,,0,0,0,0,2,0,0,0.0,,,0
Bases Occupied,"1 out, 12-",7,,7,6,4,2,0,0,0,2,0,0,1,2,0.333,0.429,0.333,0.762,2,0,0,0,0,0,0,0.5,118,120,2
Bases Occupied,"1 out, 1-3",2,,2,1,0,1,0,0,0,1,1,0,1,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,464,378,1
Bases Occupied,"1 out, -23",2,,2,2,4,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 123",4,,4,3,,1,0,0,0,3,0,0,0,2,0.333,0.25,0.333,0.583,1,0,0,0,1,0,0,0.5,62,62,1
Bases Occupied,"2 out, ---",41,,50,46,2,10,0,1,2,2,0,0,4,12,0.217,0.28,0.391,0.671,18,0,0,0,0,0,2,0.25,85,98,7
Bases Occupied,"2 out, 1--",21,,17,14,0,0,0,0,0,0,8,1,3,9,0.0,0.177,0.0,0.177,0,0,0,0,0,0,0,0.0,-44,-44,0
Bases Occupied,"2 out, -2-",19,,17,16,6,2,0,0,0,1,0,0,1,11,0.125,0.177,0.125,0.302,2,0,0,0,0,0,0,0.4,-13,-18,2
Bases Occupied,"2 out, --3",6,,6,5,2,1,0,0,0,1,0,0,1,2,0.2,0.333,0.2,0.533,1,0,0,0,0,0,0,0.333,55,57,1
Bases Occupied,"2 out, 12-",15,,15,12,,3,2,0,0,3,0,0,3,5,0.25,0.4,0.417,0.817,5,0,0,0,0,0,0,0.429,130,136,1
Bases Occupied,"2 out, 1-3",7,,2,2,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"2 out, -23",11,,11,10,,2,0,0,0,4,0,0,1,5,0.2,0.273,0.2,0.473,2,0,0,0,0,0,0,0.4,36,32,2
Bases Occupied,"2 out, 123",6,,6,5,1,0,0,0,0,1,0,0,1,2,0.0,0.167,0.0,0.167,0,0,0,0,0,0,0,0.0,-47,-45,0
