Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,24,566.0,503,74.0,134,26,0,19,10,2,51,122,2.39,0.266,0.341,0.431,0.772,217.0,13.0,8.0,0,4,0,5,0.314,100,117,89
Season Totals,Last 7 days,2,49.0,41,6.0,9,1,0,1,0,0,7,8,1.14,0.22,0.327,0.317,0.644,13.0,0.0,0.0,0,1,0,0,0.242,69,91,7
Season Totals,Last 14 days,3,74.0,62,7.0,13,1,0,1,1,1,10,13,1.3,0.21,0.324,0.274,0.599,17.0,0.0,1.0,0,1,0,0,0.245,59,73,11
Season Totals,Last 28 days,5,124.0,106,12.0,25,4,0,3,1,1,15,26,1.73,0.236,0.339,0.359,0.697,38.0,1.0,2.0,0,1,0,0,0.282,83,94,18
Season Totals,Last 365 days,31,732.0,653,100.0,180,36,1,26,14,3,65,154,2.37,0.276,0.347,0.453,0.8,296.0,20.0,9.0,0,5,0,7,0.322,107,,117
Platoon Splits,vs RHB,24,270.0,243,30.0,63,10,0,6,6,0,20,70,3.5,0.259,0.322,0.375,0.697,91.0,9.0,4.0,0,3,0,2,0.335,81,98,47
Platoon Splits,vs LHB,24,296.0,260,40.0,71,16,0,13,4,2,31,52,1.68,0.273,0.358,0.485,0.843,126.0,4.0,4.0,0,1,0,3,0.296,118,132,42
Platoon Splits,vs RHB as RHP,24,270.0,243,30.0,63,10,0,6,6,0,20,70,3.5,0.259,0.322,0.375,0.697,91.0,9.0,4.0,0,3,0,2,0.335,81,103,47
Platoon Splits,vs LHB as RHP,24,296.0,260,40.0,71,16,0,13,4,2,31,52,1.68,0.273,0.358,0.485,0.843,126.0,4.0,4.0,0,1,0,3,0.296,118,129,42
Home or Away,Home,12,283.0,248,42.0,72,11,0,9,8,2,29,56,1.93,0.29,0.368,0.444,0.811,110.0,7.0,3.0,0,3,0,3,0.339,111,132,52
Home or Away,Away,12,283.0,255,32.0,62,15,0,10,2,0,22,66,3.0,0.243,0.315,0.42,0.734,107.0,6.0,5.0,0,1,0,2,0.289,90,103,37
First or Second Half,1st Half,17,397.0,357,56.0,99,19,0,14,9,1,33,85,2.58,0.277,0.348,0.448,0.796,160.0,11.0,6.0,0,1,0,5,0.328,106,124,66
First or Second Half,2nd Half,7,169.0,146,18.0,35,7,0,5,1,1,18,37,2.06,0.24,0.325,0.39,0.716,57.0,2.0,2.0,0,3,0,0,0.28,86,98,23
Months,April/March,5,110.0,102,11.0,21,6,0,4,2,0,7,26,3.71,0.206,0.264,0.382,0.646,39.0,2.0,1.0,0,0,0,2,0.236,66,83,11
Months,May,4,89.0,79,13.0,20,4,0,4,1,1,8,18,2.25,0.253,0.337,0.456,0.793,36.0,2.0,2.0,0,0,0,2,0.281,105,127,12
Months,June,5,119.0,101,23.0,35,8,0,3,4,0,14,20,1.43,0.347,0.437,0.515,0.952,52.0,5.0,3.0,0,1,0,1,0.405,148,166,24
Months,July,6,152.0,140,17.0,40,5,0,6,2,0,9,39,4.33,0.286,0.329,0.45,0.779,63.0,4.0,1.0,0,2,0,0,0.351,101,112,29
Months,August,4,96.0,81,10.0,18,3,0,2,1,1,13,19,1.46,0.222,0.333,0.333,0.667,27.0,0.0,1.0,0,1,0,0,0.262,75,88,13
Game Outcome for Pitcher,in Wins,11,263.0,237,24.0,57,7,0,7,5,1,21,64,3.05,0.241,0.316,0.359,0.674,85.0,6.0,5.0,0,0,0,2,0.301,76,158,43
Game Outcome for Pitcher,in Losses,6,132.0,115,30.0,38,10,0,6,3,0,15,18,1.2,0.33,0.409,0.574,0.983,66.0,4.0,1.0,0,1,0,3,0.348,153,103,22
Game Outcome for Pitcher,in No Dec.,7,171.0,151,20.0,39,9,0,6,2,1,15,40,2.67,0.258,0.328,0.437,0.765,66.0,3.0,2.0,0,3,0,0,0.306,97,118,24
Pitching Role,as Starter,24,566.0,503,74.0,134,26,0,19,10,2,51,122,2.39,0.266,0.341,0.431,0.772,217.0,13.0,8.0,0,4,0,5,0.314,100,114,89
Run Support,0-2 Runs Scored,4,97.0,84,18.0,26,6,0,2,3,0,12,12,1.0,0.31,0.392,0.452,0.844,38.0,2.0,0.0,0,1,0,2,0.338,120,128,18
Run Support,3-5 Runs Scored,9,209.0,185,26.0,48,6,0,9,3,2,20,43,2.15,0.26,0.34,0.438,0.778,81.0,4.0,3.0,0,1,0,1,0.291,101,119,33
Run Support,6+ Runs Scored,11,260.0,234,30.0,60,14,0,8,4,0,19,67,3.53,0.256,0.323,0.419,0.742,98.0,7.0,5.0,0,2,0,2,0.323,92,108,38
Batting Order Positions,Batting 1st,24,74.0,70,6.0,21,4,0,3,2,0,3,17,5.67,0.3,0.324,0.486,0.81,34.0,1.0,0.0,0,1,0,0,0.353,108,119,14
Batting Order Positions,Batting 2nd,24,71.0,60,4.0,13,3,0,1,3,1,8,13,1.63,0.217,0.338,0.317,0.655,19.0,1.0,3.0,0,0,0,0,0.261,73,77,9
Batting Order Positions,Batting 3rd,24,69.0,59,10.0,15,4,0,2,2,0,9,14,1.56,0.254,0.362,0.424,0.786,25.0,4.0,1.0,0,0,0,1,0.302,105,103,9
Batting Order Positions,Batting 4th,24,67.0,59,13.0,18,2,0,3,0,0,8,14,1.75,0.305,0.388,0.492,0.88,29.0,3.0,0.0,0,0,0,1,0.357,128,139,13
Batting Order Positions,Batting 5th,24,64.0,55,6.0,12,0,0,2,0,1,6,14,2.33,0.218,0.297,0.327,0.624,18.0,2.0,1.0,0,2,0,0,0.244,63,75,10
Batting Order Positions,Batting 6th,24,59.0,54,8.0,18,5,0,3,0,0,3,17,5.67,0.333,0.373,0.593,0.966,32.0,0.0,1.0,0,1,0,1,0.429,147,178,10
Batting Order Positions,Batting 7th,24,57.0,54,16.0,21,5,0,5,1,0,3,7,2.33,0.389,0.421,0.759,1.18,41.0,2.0,0.0,0,0,0,0,0.381,200,236,11
Batting Order Positions,Batting 8th,24,54.0,47,4.0,8,3,0,0,2,0,5,11,2.2,0.17,0.278,0.234,0.512,11.0,0.0,2.0,0,0,0,1,0.222,36,59,5
Batting Order Positions,Batting 9th,24,51.0,45,3.0,8,0,0,0,0,0,6,15,2.5,0.178,0.275,0.178,0.452,8.0,0.0,0.0,0,0,0,1,0.267,22,50,8
Batting Order Positions,"Bat1-2,non-P",24,145.0,130,10.0,34,7,0,4,5,1,11,30,2.73,0.262,0.331,0.408,0.739,53.0,2.0,3.0,0,1,0,0,0.309,92,98,23
Batting Order Positions,"Bat3-6,non-P",24,259.0,227,37.0,63,11,0,10,2,1,26,59,2.27,0.278,0.355,0.458,0.813,104.0,9.0,3.0,0,3,0,3,0.329,110,122,42
Batting Order Positions,"Bat7-9,non-P",24,162.0,146,23.0,37,8,0,5,3,0,14,33,2.36,0.253,0.327,0.411,0.738,60.0,2.0,2.0,0,0,0,2,0.296,91,124,24
Swung or Took First Pitch of PA,Swung at 1st Pitch,24,186.0,175,29.0,50,9,0,7,,,7,33,4.71,0.286,0.323,0.457,0.78,80.0,4.0,3.0,0,1,0,1,0.316,101,122,34
