Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,113,95,352,308,41,65,15,0,6,27,9,6,33,67,0.211,0.297,0.318,0.615,98,7,6,2,3,1,3,0.248,100,74,44
Season Totals,Last 7 days,5,4,16,15,2,5,0,0,1,1,1,0,1,2,0.333,0.375,0.533,0.908,8,0,0,0,0,0,0,0.333,194,164,4
Season Totals,Last 14 days,10,7,27,26,3,7,0,0,1,3,1,0,1,2,0.269,0.296,0.385,0.681,10,0,0,0,0,0,0,0.261,121,92,6
Season Totals,Last 28 days,22,16,61,57,6,13,2,0,3,8,2,0,4,7,0.228,0.279,0.421,0.7,24,1,0,0,0,0,0,0.213,126,90,8
Season Totals,Last 365 days,117,99,368,323,43,69,17,0,6,30,9,6,34,72,0.214,0.298,0.322,0.62,104,7,6,2,3,1,3,0.254,102,,46
Platoon Splits,vs RHP,96,,247,216,28,49,11,0,4,20,7,6,24,39,0.227,0.313,0.333,0.646,72,6,4,1,2,1,0,0.257,110,84,34
Platoon Splits,vs LHP,56,,105,92,13,16,4,0,2,7,2,0,9,28,0.174,0.26,0.283,0.542,26,1,2,1,1,0,3,0.222,77,53,10
Platoon Splits,vs RHP as LHB,96,,247,216,,49,11,0,4,20,0,0,24,39,0.227,0.313,0.333,0.646,72,6,4,1,2,1,0,0.257,110,78,34
Platoon Splits,vs LHP as RHB,56,,105,92,,16,4,0,2,7,0,0,9,28,0.174,0.26,0.283,0.542,26,1,2,1,1,0,3,0.222,77,49,10
Platoon Splits,vs RH Starter,78,68,242,212,29,50,9,0,4,20,9,6,21,44,0.236,0.315,0.335,0.65,71,4,5,1,3,1,1,0.275,111,85,37
Platoon Splits,vs LH Starter,35,27,110,96,12,15,6,0,2,7,0,0,12,23,0.156,0.257,0.281,0.538,27,3,1,1,0,0,2,0.183,75,52,7
Home or Away,Home,54,45,160,142,13,31,7,0,1,10,3,4,13,29,0.218,0.3,0.289,0.589,41,7,4,0,1,0,1,0.266,92,66,23
Home or Away,Away,59,50,192,166,28,34,8,0,5,17,6,2,20,38,0.205,0.295,0.343,0.638,57,0,2,2,2,1,2,0.232,107,83,21
First or Second Half,1st Half,83,75,277,238,34,50,13,0,3,17,7,6,29,53,0.21,0.306,0.303,0.608,72,5,5,2,3,1,2,0.254,98,74,34
First or Second Half,2nd Half,30,20,75,70,7,15,2,0,3,10,2,0,4,14,0.214,0.267,0.371,0.638,26,2,1,0,0,0,1,0.226,107,75,10
Months,April/March,26,24,94,82,12,17,7,0,0,4,4,1,9,18,0.207,0.29,0.293,0.583,24,3,1,1,1,0,2,0.262,90,69,10
Months,May,23,23,86,70,14,14,2,0,0,5,3,2,14,13,0.2,0.337,0.229,0.566,16,0,1,0,1,0,0,0.241,86,69,12
Months,June,22,19,65,58,7,13,3,0,2,5,0,2,3,16,0.224,0.297,0.379,0.676,22,1,3,1,0,0,0,0.275,119,88,8
Months,July,24,15,55,50,3,9,1,0,2,6,0,1,3,14,0.18,0.236,0.32,0.556,16,2,1,0,1,1,1,0.2,80,51,6
Months,August,18,14,52,48,5,12,2,0,2,7,2,0,4,6,0.25,0.308,0.417,0.724,20,1,0,0,0,0,0,0.25,135,100,8
Game Outcome for Team,in Wins,67,54,211,180,31,42,10,0,2,18,6,5,24,33,0.233,0.325,0.322,0.648,58,3,2,2,3,0,3,0.27,111,59,30
Game Outcome for Team,in Losses,46,41,141,128,10,23,5,0,4,9,3,1,9,34,0.18,0.255,0.313,0.568,40,4,4,0,0,1,0,0.211,84,93,14
Starter or Substitute,as Starter,95,95,342,300,39,62,14,0,5,23,9,6,33,66,0.207,0.296,0.303,0.6,91,7,6,1,2,1,3,0.247,95,70,43
Starter or Substitute,as Sub,18,0,10,8,2,3,1,0,1,4,0,0,0,1,0.375,0.333,0.875,1.208,7,0,0,1,1,0,0,0.286,287,256,1
Defensive Positions,as SS,103,,350,306,40,65,15,0,6,27,9,6,33,67,0.212,0.299,0.32,0.619,98,7,6,2,3,1,3,0.25,101,70,44
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,2,,2,2,,0,0,0,0,0,,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,61,,81,71,,13,2,0,1,1,,,10,14,0.183,0.284,0.254,0.538,18,0,0,0,0,0,0,0.214,76,58,10
Batting Order Positions,Batting 1st,2,2,8,8,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 2nd,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 3rd,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,2,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,,,,0
Batting Order Positions,Batting 5th,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,0.0,,,0,0,0,0,1,0,0,0.0,,,0
Batting Order Positions,Batting 7th,2,0,2,2,1,2,0,0,1,3,0,0,0,0,1.0,1.0,2.5,3.5,5,0,0,0,0,0,0,1.0,1023,881,1
Batting Order Positions,Batting 8th,32,24,90,81,7,12,5,0,2,6,1,0,5,24,0.148,0.233,0.284,0.517,23,2,4,0,0,1,1,0.182,68,57,5
Batting Order Positions,Batting 9th,69,68,245,212,32,51,10,0,3,17,8,6,28,40,0.241,0.332,0.33,0.662,70,5,2,1,2,0,2,0.281,116,114,38
Swung or Took First Pitch of PA,Swung at 1st Pitch,84,,128,122,,21,5,0,0,6,,,2,20,0.172,0.191,0.213,0.404,26,3,1,2,1,0,3,0.204,31,18,16
Swung or Took First Pitch of PA,Took 1st Pitch,97,,224,186,,44,10,0,6,21,,,31,47,0.237,0.357,0.387,0.744,72,4,5,0,2,1,0,0.282,142,109,28
Count/Balls-Strikes,First Pitch,46,,54,50,3,10,2,0,0,6,2,0,0,0,0.2,0.226,0.24,0.466,12,1,2,1,1,0,1,0.196,52,9,8
Count/Balls-Strikes,1-0 Count,21,,23,23,5,6,1,0,2,4,1,2,0,0,0.261,0.261,0.565,0.826,13,1,0,0,0,0,0,0.191,166,75,3
Count/Balls-Strikes,2-0 Count,10,,10,9,2,5,3,0,1,8,0,0,0,0,0.556,0.5,1.222,1.722,11,1,0,0,1,0,0,0.444,453,243,1
Count/Balls-Strikes,3-0 Count,4,,4,1,1,0,0,0,0,0,0,0,3,0,0.0,0.75,0.0,0.75,0,0,0,0,0,1,0,0.0,153,-21,0
Count/Balls-Strikes,0-1 Count,32,,34,32,8,8,0,0,1,3,1,1,0,0,0.25,0.273,0.344,0.617,11,2,1,1,0,0,0,0.226,100,50,7
Count/Balls-Strikes,1-1 Count,22,,23,22,4,6,1,0,0,0,1,2,0,0,0.273,0.304,0.318,0.623,7,0,1,0,0,0,0,0.273,102,54,5
Count/Balls-Strikes,2-1 Count,10,,10,9,3,4,1,0,1,1,0,0,0,0,0.444,0.5,0.889,1.389,8,1,1,0,0,0,0,0.375,348,198,2
Count/Balls-Strikes,3-1 Count,16,,18,7,2,3,2,0,1,2,0,0,11,0,0.429,0.778,1.143,1.921,8,1,0,0,0,0,0,0.333,521,191,0
Count/Balls-Strikes,0-2 Count,29,,31,31,3,4,1,0,0,0,2,1,0,14,0.129,0.129,0.161,0.29,5,0,0,0,0,0,1,0.235,-6,54,3
Count/Balls-Strikes,1-2 Count,47,,57,56,5,11,3,0,0,0,1,0,0,23,0.196,0.211,0.25,0.461,14,0,1,0,0,0,0,0.333,50,126,8
Count/Balls-Strikes,2-2 Count,38,,43,42,2,2,0,0,0,1,1,0,0,22,0.048,0.047,0.048,0.094,2,0,0,0,1,0,0,0.095,-69,-56,2
Count/Balls-Strikes,Full Count,36,,45,26,3,6,1,0,0,2,0,0,19,8,0.231,0.556,0.269,0.825,7,0,0,0,0,0,1,0.333,172,104,5
Count/Balls-Strikes,After 1-0,78,,125,98,,25,7,0,5,17,,,24,21,0.255,0.408,0.48,0.888,47,3,2,0,1,1,0,0.274,188,121,13
Count/Balls-Strikes,After 2-0,36,,43,29,,9,4,0,2,11,,,13,6,0.31,0.512,0.655,1.167,19,2,0,0,1,1,0,0.318,278,144,3
Count/Balls-Strikes,After 3-0,12,,14,7,,3,1,0,1,2,,,7,1,0.429,0.714,1.0,1.714,7,1,0,0,0,1,0,0.4,455,193,1
Count/Balls-Strikes,After 0-1,91,,172,159,,30,6,0,1,4,,,9,45,0.189,0.24,0.245,0.485,39,3,2,1,1,0,2,0.254,58,63,23
