Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,121,120,519,466,50,124,27,1,10,56,4,4,37,63,0.266,0.333,0.393,0.726,183,3,12,0,4,0,2,0.287,100,105,86
Season Totals,Last 7 days,6,6,23,21,2,4,0,0,1,2,1,1,2,0,0.191,0.261,0.333,0.594,7,0,0,0,0,0,0,0.15,63,74,3
Season Totals,Last 14 days,11,11,44,39,3,9,3,0,1,3,1,1,4,3,0.231,0.318,0.385,0.703,15,0,1,0,0,0,0,0.229,94,99,5
Season Totals,Last 28 days,23,23,92,82,6,23,5,0,1,8,1,1,7,8,0.281,0.348,0.378,0.726,31,1,2,0,1,0,0,0.297,101,102,17
Season Totals,Last 365 days,121,120,519,466,50,124,27,1,10,56,4,4,37,63,0.266,0.333,0.393,0.726,183,3,12,0,4,0,2,0.287,100,,86
Platoon Splits,vs RHP,114,,364,326,36,88,16,0,10,44,4,3,29,48,0.27,0.343,0.411,0.754,134,2,8,0,1,0,2,0.29,108,113,62
Platoon Splits,vs LHP,82,,155,140,14,36,11,1,0,12,0,1,8,15,0.257,0.31,0.35,0.66,49,1,4,0,3,0,0,0.281,82,85,24
Platoon Splits,vs RHP as LHB,114,,364,326,,88,16,0,10,44,0,0,29,48,0.27,0.343,0.411,0.754,134,2,8,0,1,0,2,0.29,108,106,62
Platoon Splits,vs LHP as LHB,82,,155,140,,36,11,1,0,12,0,0,8,15,0.257,0.31,0.35,0.66,49,1,4,0,3,0,0,0.281,82,98,24
Platoon Splits,vs RH Starter,87,87,381,340,37,89,17,1,10,41,3,2,28,50,0.262,0.336,0.406,0.742,138,2,11,0,2,0,2,0.28,104,109,61
Platoon Splits,vs LH Starter,34,33,138,126,13,35,10,0,0,15,1,2,9,13,0.278,0.326,0.357,0.683,45,1,1,0,2,0,0,0.304,89,93,25
Home or Away,Home,61,61,254,231,23,62,15,0,5,30,3,2,16,30,0.268,0.327,0.398,0.725,92,1,5,0,2,0,1,0.288,100,101,42
Home or Away,Away,60,59,265,235,27,62,12,1,5,26,1,2,21,33,0.264,0.34,0.387,0.727,91,2,7,0,2,0,1,0.286,101,108,44
First or Second Half,1st Half,91,90,397,355,43,98,22,1,8,45,3,3,29,53,0.276,0.345,0.411,0.756,146,1,10,0,3,0,2,0.303,108,114,67
First or Second Half,2nd Half,30,30,122,111,7,26,5,0,2,11,1,1,8,10,0.234,0.295,0.333,0.628,37,2,2,0,1,0,0,0.24,73,75,19
Months,April/March,29,29,132,114,13,26,6,1,3,16,0,2,10,18,0.228,0.311,0.377,0.688,43,0,5,0,3,0,0,0.24,89,97,16
Months,May,23,22,101,90,13,24,8,0,1,9,0,0,8,14,0.267,0.347,0.389,0.735,35,0,3,0,0,0,1,0.307,103,113,15
Months,June,26,26,106,99,10,30,4,0,4,16,2,1,5,16,0.303,0.349,0.465,0.814,46,0,2,0,0,0,0,0.329,123,126,22
Months,July,24,24,103,94,9,25,4,0,1,10,1,0,7,8,0.266,0.32,0.34,0.661,32,3,1,0,1,0,1,0.279,83,83,20
Months,August,19,19,77,69,5,19,5,0,1,5,1,1,7,7,0.275,0.351,0.391,0.742,27,0,1,0,0,0,0,0.295,105,108,13
Game Outcome for Team,in Wins,60,60,260,234,40,78,18,1,6,35,3,2,18,21,0.333,0.389,0.496,0.884,116,1,5,0,3,0,1,0.343,143,113,53
Game Outcome for Team,in Losses,61,60,259,232,10,46,9,0,4,21,1,2,19,42,0.198,0.278,0.289,0.567,67,2,7,0,1,0,1,0.225,57,94,33
Starter or Substitute,as Starter,120,120,518,465,50,124,27,1,10,56,4,4,37,62,0.267,0.334,0.394,0.728,183,3,12,0,4,0,2,0.287,101,105,86
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as 2B,27,,102,88,5,17,3,0,1,13,1,2,10,14,0.193,0.284,0.261,0.546,23,2,2,0,2,0,0,0.213,52,62,13
Defensive Positions,as 3B,9,,27,22,4,7,1,0,2,4,0,0,3,1,0.318,0.444,0.636,1.081,14,0,2,0,0,0,0,0.263,195,203,4
Defensive Positions,as LF,88,,363,333,39,95,22,0,7,37,3,2,22,40,0.285,0.342,0.414,0.756,138,1,7,0,1,0,1,0.307,108,114,66
Defensive Positions,as RF,1,,1,1,,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,709,700,0
