Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,110,105,439,409,53,113,24,1,10,45,1,0,25,98,0.276,0.321,0.413,0.734,169,10,3,0,2,1,3,0.34,100,106,78
Season Totals,Last 7 days,6,6,24,23,1,5,1,0,0,1,0,0,0,5,0.217,0.25,0.261,0.511,6,1,1,0,0,0,0,0.278,41,51,4
Season Totals,Last 14 days,12,12,51,49,6,14,3,0,2,8,0,0,0,12,0.286,0.294,0.469,0.764,23,1,1,0,1,0,0,0.333,105,113,9
Season Totals,Last 28 days,24,24,100,92,12,28,8,0,3,12,0,0,5,25,0.304,0.35,0.489,0.839,45,2,2,0,1,0,0,0.385,127,129,17
Season Totals,Last 365 days,140,134,563,522,66,143,29,1,14,56,1,0,34,119,0.274,0.323,0.414,0.737,216,16,5,0,2,1,4,0.33,101,,99
Platoon Splits,vs RHP,100,,316,295,35,77,18,1,6,36,1,0,16,75,0.261,0.304,0.39,0.694,115,8,3,0,2,1,1,0.329,89,95,52
Platoon Splits,vs LHP,51,,123,114,18,36,6,0,4,9,0,0,9,23,0.316,0.366,0.474,0.84,54,2,0,0,0,0,2,0.368,129,134,26
Platoon Splits,vs RHP as RHB,100,,316,295,,77,18,1,6,36,0,0,16,75,0.261,0.304,0.39,0.694,115,8,3,0,2,1,1,0.329,89,101,52
Platoon Splits,vs LHP as RHB,51,,123,114,,36,6,0,4,9,0,0,9,23,0.316,0.366,0.474,0.84,54,2,0,0,0,0,2,0.368,129,128,26
Platoon Splits,vs RH Starter,73,71,292,274,36,77,19,1,6,34,1,0,13,65,0.281,0.319,0.423,0.742,116,9,3,0,2,0,1,0.346,102,107,51
Platoon Splits,vs LH Starter,37,34,147,135,17,36,5,0,4,11,0,0,12,33,0.267,0.327,0.393,0.719,53,1,0,0,0,1,2,0.327,97,102,27
Home or Away,Home,51,50,213,195,31,65,11,0,6,28,1,0,15,40,0.333,0.385,0.482,0.867,94,6,2,0,1,0,3,0.393,137,140,48
Home or Away,Away,59,55,226,214,22,48,13,1,4,17,0,0,10,58,0.224,0.261,0.351,0.612,75,4,1,0,1,1,0,0.288,66,73,30
First or Second Half,1st Half,79,74,310,290,33,76,15,1,6,29,1,0,18,69,0.262,0.307,0.383,0.689,111,7,1,0,1,1,3,0.324,88,95,54
First or Second Half,2nd Half,31,31,129,119,20,37,9,0,4,16,0,0,7,29,0.311,0.357,0.487,0.844,58,3,2,0,1,0,0,0.379,129,132,24
Months,April/March,25,22,91,85,11,20,5,1,1,7,0,0,6,25,0.235,0.286,0.353,0.639,30,1,0,0,0,0,1,0.322,75,83,13
Months,May,27,26,112,107,9,31,4,0,1,10,1,0,5,22,0.29,0.321,0.355,0.677,38,2,0,0,0,0,0,0.357,86,96,26
Months,June,14,13,52,48,8,16,5,0,3,10,0,0,3,9,0.333,0.365,0.625,0.99,30,2,0,0,1,1,1,0.351,165,170,8
Months,July,25,25,104,95,13,21,3,0,2,7,0,0,8,24,0.221,0.289,0.316,0.604,30,3,1,0,0,0,1,0.275,66,67,16
Months,August,19,19,80,74,12,25,7,0,3,11,0,0,3,18,0.338,0.375,0.554,0.929,41,2,2,0,1,0,0,0.407,151,155,15
Game Outcome for Team,in Wins,43,42,184,171,33,55,10,1,5,25,1,0,11,42,0.322,0.37,0.48,0.849,82,4,2,0,0,1,1,0.403,132,105,39
Game Outcome for Team,in Losses,67,63,255,238,20,58,14,0,5,20,0,0,14,56,0.244,0.286,0.366,0.652,87,6,1,0,2,0,2,0.296,78,121,39
Starter or Substitute,as Starter,105,105,436,407,51,112,23,1,10,43,1,0,24,98,0.275,0.319,0.41,0.729,167,10,3,0,2,0,3,0.339,99,104,78
Starter or Substitute,as Sub,5,0,3,2,2,1,1,0,0,2,0,0,1,0,0.5,0.667,1.0,1.667,2,0,0,0,0,1,0,0.5,350,401,0
Defensive Positions,as 2B,104,,418,389,51,107,23,1,10,43,1,0,24,93,0.275,0.321,0.417,0.737,162,9,3,0,2,0,3,0.337,101,116,73
Defensive Positions,as DH,5,,20,20,1,6,1,0,0,2,0,0,0,5,0.3,0.3,0.35,0.65,7,1,0,0,0,0,0,0.4,78,75,5
Defensive Positions,as PH,1,,1,0,,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,Leadoff Inn.,65,,92,87,,25,4,1,2,2,,,5,21,0.287,0.326,0.425,0.751,37,0,0,0,0,0,2,0.359,105,115,18
Batting Order Positions,Batting 1st,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 2nd,23,23,103,97,9,24,2,0,2,4,0,0,5,16,0.247,0.291,0.33,0.621,32,1,1,0,0,0,1,0.279,71,65,20
Batting Order Positions,Batting 3rd,2,2,8,7,0,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393,1,1,0,0,0,0,0,0.25,13,7,1
Batting Order Positions,Batting 4th,13,13,56,55,3,10,3,0,1,7,0,0,1,17,0.182,0.196,0.291,0.487,16,3,0,0,0,0,0,0.243,32,31,6
Batting Order Positions,Batting 5th,38,38,154,141,22,46,12,0,5,20,1,0,10,30,0.326,0.37,0.518,0.888,73,5,1,0,2,0,1,0.38,141,145,29
Batting Order Positions,Batting 6th,17,16,67,62,13,20,5,0,1,6,0,0,4,17,0.323,0.373,0.452,0.825,28,0,1,0,0,0,0,0.432,126,141,14
Batting Order Positions,Batting 7th,10,10,38,37,4,10,2,1,0,4,0,0,1,11,0.27,0.29,0.378,0.668,14,0,0,0,0,0,1,0.385,82,93,7
Batting Order Positions,Batting 8th,4,3,11,9,1,2,0,0,1,4,0,0,2,4,0.222,0.364,0.556,0.919,5,0,0,0,0,0,0,0.25,148,176,1
Batting Order Positions,Batting 9th,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,1,0,0.0,56,77,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,96,,190,185,,53,8,1,6,27,,,3,44,0.287,0.3,0.438,0.738,81,5,1,0,1,0,3,0.346,100,110,38
Swung or Took First Pitch of PA,Took 1st Pitch,103,,249,224,,60,16,0,4,18,,,22,54,0.268,0.337,0.393,0.73,88,5,2,0,1,1,0,0.335,100,104,40
Count/Balls-Strikes,First Pitch,51,,63,62,13,24,4,1,3,14,1,0,0,0,0.387,0.397,0.629,1.026,39,3,1,0,0,0,1,0.356,176,129,16
Count/Balls-Strikes,1-0 Count,18,,20,20,4,8,3,0,0,1,0,0,0,0,0.4,0.4,0.55,0.95,11,1,0,0,0,0,0,0.4,158,113,5
Count/Balls-Strikes,2-0 Count,8,,8,8,1,2,2,0,0,2,0,0,0,0,0.25,0.25,0.5,0.75,4,0,0,0,0,0,0,0.25,99,53,0
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,0,0,0,4,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,33,,35,35,7,17,4,0,1,4,0,0,0,0,0.486,0.486,0.686,1.171,24,2,0,0,0,0,0,0.471,218,181,12
Count/Balls-Strikes,1-1 Count,33,,41,41,7,14,3,0,1,3,0,0,0,0,0.342,0.342,0.488,0.829,20,0,0,0,0,0,0,0.325,124,98,10
Count/Balls-Strikes,2-1 Count,21,,21,21,2,7,1,0,1,2,0,0,0,0,0.333,0.333,0.524,0.857,11,0,0,0,0,0,0,0.3,131,87,5
Count/Balls-Strikes,3-1 Count,17,,18,11,3,3,0,0,1,1,0,0,7,0,0.273,0.556,0.546,1.101,6,0,0,0,0,0,0,0.2,205,65,2
Count/Balls-Strikes,0-2 Count,27,,35,33,5,8,0,0,1,4,0,0,0,12,0.242,0.286,0.333,0.619,11,1,2,0,0,0,0,0.35,70,230,7
Count/Balls-Strikes,1-2 Count,66,,83,82,2,10,5,0,1,7,0,0,0,44,0.122,0.121,0.22,0.34,18,1,0,0,1,0,0,0.237,-9,60,4
Count/Balls-Strikes,2-2 Count,43,,51,50,7,12,0,0,1,5,0,0,0,22,0.24,0.235,0.3,0.535,15,2,0,0,1,0,2,0.393,46,143,11
Count/Balls-Strikes,Full Count,42,,60,46,2,8,2,0,0,2,0,0,14,20,0.174,0.367,0.217,0.584,10,0,0,0,0,0,0,0.308,67,46,6
Count/Balls-Strikes,After 1-0,82,,139,123,,35,12,0,1,9,,,16,25,0.285,0.367,0.407,0.773,50,3,0,0,0,1,0,0.351,113,93,22
Count/Balls-Strikes,After 2-0,34,,42,32,,6,2,0,0,2,,,10,8,0.188,0.381,0.25,0.631,8,1,0,0,0,1,0,0.25,79,31,4
Count/Balls-Strikes,After 3-0,10,,11,3,,0,0,0,0,0,,,8,1,0.0,0.727,0.0,0.727,0,0,0,0,0,1,0,0.0,127,-1,0
Count/Balls-Strikes,After 0-1,98,,236,223,,54,8,0,6,22,,,9,73,0.242,0.275,0.359,0.634,80,4,2,0,2,0,2,0.329,73,110,40
Count/Balls-Strikes,After 1-1,90,,178,168,,40,8,0,4,14,,,9,48,0.238,0.275,0.357,0.632,60,2,0,0,1,0,2,0.308,72,90,28
Count/Balls-Strikes,After 2-1,60,,79,72,,16,2,0,2,4,,,7,23,0.222,0.291,0.333,0.624,24,1,0,0,0,0,2,0.298,71,59,12
Count/Balls-Strikes,After 3-1,24,,29,19,,4,0,0,1,1,,,10,5,0.211,0.483,0.368,0.851,7,0,0,0,0,0,0,0.231,140,66,3
Count/Balls-Strikes,After 0-2,69,,100,91,,18,3,0,2,10,,,6,42,0.198,0.26,0.297,0.557,27,1,2,0,1,0,0,0.333,53,148,13
Count/Balls-Strikes,After 1-2,85,,146,134,,24,6,0,2,13,,,10,62,0.179,0.233,0.269,0.502,36,2,0,0,2,0,0,0.306,38,103,16
Count/Balls-Strikes,After 2-2,71,,99,87,,19,2,0,1,7,,,11,37,0.218,0.303,0.276,0.579,24,2,0,0,1,0,2,0.36,61,99,16
Count/Balls-Strikes,Zero Balls,82,,133,130,25,49,8,1,5,22,1,0,0,12,0.377,0.391,0.569,0.96,74,6,3,0,0,0,1,0.389,160,169,35
Count/Balls-Strikes,Zero Strikes,70,,95,90,18,34,9,1,3,17,1,0,4,0,0.378,0.411,0.6,1.011,54,4,1,0,0,1,1,0.356,173,110,21
Count/Balls-Strikes,Three Balls,54,,82,57,5,11,2,0,1,3,0,0,25,20,0.193,0.439,0.281,0.72,16,0,0,0,0,1,0,0.278,105,53,8
Count/Balls-Strikes,Two Strikes,101,,229,211,16,38,7,0,3,18,0,0,14,98,0.18,0.236,0.256,0.492,54,4,2,0,2,0,2,0.313,36,93,28
Count/Balls-Strikes,Batter Ahead,76,,131,106,12,28,8,0,2,8,0,0,25,20,0.264,0.405,0.396,0.801,42,1,0,0,0,1,0,0.31,122,68,18
Count/Balls-Strikes,Even Count,88,,155,153,27,50,7,1,5,22,1,0,0,22,0.327,0.329,0.484,0.813,74,5,1,0,1,0,3,0.354,120,135,37
Count/Balls-Strikes,Pitcher Ahead,87,,153,150,14,35,9,0,3,15,0,0,0,56,0.233,0.242,0.353,0.595,53,4,2,0,1,0,0,0.348,61,130,23
Number of Outs in Inning,0 outs,80,,135,128,12,38,6,1,3,10,0,0,7,27,0.297,0.333,0.43,0.763,55,7,0,0,0,0,2,0.357,108,112,28
Number of Outs in Inning,1 out,93,,170,156,24,46,9,0,5,18,1,0,10,40,0.295,0.341,0.449,0.79,70,3,2,0,2,0,1,0.363,115,120,32
Number of Outs in Inning,2 outs,84,,134,125,17,29,9,0,2,17,0,0,8,31,0.232,0.284,0.352,0.636,44,0,1,0,0,1,0,0.294,74,82,18
Bases Occupied,RISP,69,,102,91,38,25,8,0,3,35,0,0,8,21,0.275,0.333,0.462,0.795,42,4,1,0,2,1,0,0.319,116,111,14
Bases Occupied,---,105,,269,253,5,67,14,1,5,5,0,0,14,66,0.265,0.309,0.387,0.696,98,0,2,0,0,0,3,0.341,90,102,47
Bases Occupied,Men On,89,,170,156,48,46,10,0,5,40,1,0,11,32,0.295,0.341,0.455,0.796,71,10,1,0,2,1,0,0.339,116,113,31
Bases Occupied,1--,63,,68,65,10,21,2,0,2,5,1,0,3,11,0.323,0.353,0.446,0.799,29,6,0,0,0,0,0,0.365,118,116,17
Bases Occupied,-2-,35,,42,34,10,7,2,0,0,3,0,0,7,7,0.206,0.357,0.265,0.622,9,0,1,0,0,1,0,0.259,75,72,5
Bases Occupied,--3,9,,10,9,4,3,1,0,0,4,0,0,0,3,0.333,0.3,0.444,0.744,4,0,0,0,1,0,0,0.429,101,91,2
Bases Occupied,12-,23,,25,25,10,6,2,0,1,8,0,0,0,5,0.24,0.24,0.44,0.68,11,2,0,0,0,0,0,0.263,81,86,3
Bases Occupied,1-3,12,,10,8,7,5,2,0,1,9,0,0,1,1,0.625,0.6,1.25,1.85,10,0,0,0,1,0,0,0.571,390,340,2
Bases Occupied,-23,7,,7,7,2,3,1,0,0,6,0,0,0,3,0.429,0.429,0.571,1.0,4,0,0,0,0,0,0,0.75,172,150,2
Bases Occupied,123,8,,8,8,5,1,0,0,1,5,0,0,0,2,0.125,0.125,0.5,0.625,4,2,0,0,0,0,0,0.0,60,55,0
Bases Occupied,"on 1st,",51,,65,60,20,17,3,0,3,16,1,0,4,12,0.283,0.323,0.483,0.806,29,10,0,0,1,0,0,0.304,118,111,11
Bases Occupied,"on 3rd,",17,,18,15,15,7,1,0,2,17,0,0,1,3,0.467,0.444,0.933,1.378,14,2,0,0,2,0,0,0.417,264,213,4
Bases Occupied,"on 3rd, 2 out",16,,17,17,3,5,3,0,0,7,0,0,0,6,0.294,0.294,0.471,0.765,8,0,0,0,0,0,0,0.455,106,111,2
Bases Occupied,"0 out, ---",65,,93,88,2,25,4,1,2,2,0,0,5,23,0.284,0.323,0.421,0.743,37,0,0,0,0,0,2,0.365,102,112,18
Bases Occupied,"0 out, 1--",21,,21,21,1,6,1,0,0,1,0,0,0,3,0.286,0.286,0.333,0.619,7,4,0,0,0,0,0,0.333,70,63,5
Bases Occupied,"0 out, -2-",12,,12,10,2,4,1,0,0,1,0,0,2,0,0.4,0.5,0.5,1.0,5,0,0,0,0,0,0,0.4,177,174,3
Bases Occupied,"0 out, --3",2,,2,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 12-",4,,4,4,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,2,0,0,0,0,0,0.25,38,35,1
Bases Occupied,"0 out, 1-3",,,,,2,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"0 out, -23",1,,1,1,1,1,0,0,0,2,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,454,385,1
Bases Occupied,"0 out, 123",2,,2,2,1,1,0,0,1,4,0,0,0,0,0.5,0.5,2.0,2.5,4,1,0,0,0,0,0,0.0,540,447,0
Bases Occupied,"1 out, ---",79,,112,107,3,34,7,0,3,3,0,0,3,27,0.318,0.348,0.467,0.816,50,0,2,0,0,0,1,0.403,122,137,24
Bases Occupied,"1 out, 1--",22,,22,19,5,4,0,0,0,0,1,0,3,5,0.211,0.318,0.211,0.529,4,2,0,0,0,0,0,0.286,50,50,4
Bases Occupied,"1 out, -2-",13,,14,11,3,1,0,0,0,0,0,0,3,2,0.091,0.286,0.091,0.377,1,0,0,0,0,0,0,0.111,11,9,1
Bases Occupied,"1 out, --3",4,,4,3,2,1,0,0,0,2,0,0,0,1,0.333,0.25,0.333,0.583,1,0,0,0,1,0,0,0.333,59,34,1
Bases Occupied,"1 out, 12-",9,,9,9,4,2,1,0,1,4,0,0,0,4,0.222,0.222,0.667,0.889,6,0,0,0,0,0,0,0.25,131,135,0
Bases Occupied,"1 out, 1-3",5,,5,3,3,3,1,0,1,6,0,0,1,0,1.0,0.8,2.333,3.133,7,0,0,0,1,0,0,0.667,714,574,1
