Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,109,108,453,401,61,115,21,2,29,83,7,1,45,134,0.287,0.362,0.566,0.928,227,3,4,0,3,2,2,0.357,100,157,63
Season Totals,Last 7 days,4,4,17,15,0,2,0,0,0,0,0,0,2,5,0.133,0.235,0.133,0.369,2,0,0,0,0,0,0,0.2,-12,11,2
Season Totals,Last 14 days,9,9,39,36,6,9,1,0,1,2,0,0,2,11,0.25,0.308,0.361,0.669,13,0,1,0,0,0,0,0.333,49,87,7
Season Totals,Last 28 days,21,21,88,81,13,22,2,0,6,14,1,0,6,19,0.272,0.33,0.519,0.848,42,1,1,0,0,0,0,0.286,83,129,14
Season Totals,Last 365 days,143,140,587,521,79,145,26,2,39,101,9,1,57,184,0.278,0.354,0.561,0.915,292,3,6,0,3,2,2,0.352,97,,78
Platoon Splits,vs RHP,106,,361,320,46,91,16,2,20,61,6,0,36,108,0.284,0.363,0.534,0.897,171,3,4,0,1,1,2,0.368,95,150,53
Platoon Splits,vs LHP,45,,92,81,15,24,5,0,9,22,1,1,9,26,0.296,0.359,0.691,1.05,56,0,0,0,2,1,0,0.313,121,186,10
Platoon Splits,vs RHP as RHB,106,,361,320,,91,16,2,20,61,0,0,36,108,0.284,0.363,0.534,0.897,171,3,4,0,1,1,2,0.368,95,157,53
Platoon Splits,vs LHP as RHB,45,,92,81,,24,5,0,9,22,0,0,9,26,0.296,0.359,0.691,1.05,56,0,0,0,2,1,0,0.313,121,178,10
Platoon Splits,vs RH Starter,87,86,360,317,48,88,20,1,20,59,6,0,38,109,0.278,0.358,0.536,0.895,170,3,3,0,2,2,1,0.358,94,149,47
Platoon Splits,vs LH Starter,22,22,93,84,13,27,1,1,9,24,1,1,7,25,0.321,0.376,0.679,1.055,57,0,1,0,1,0,1,0.353,124,189,16
Home or Away,Home,53,53,220,190,26,54,11,0,12,35,4,0,25,59,0.284,0.373,0.532,0.904,101,2,3,0,2,2,0,0.347,97,149,31
Home or Away,Away,56,55,233,211,35,61,10,2,17,48,3,1,20,75,0.289,0.352,0.597,0.949,126,1,1,0,1,0,2,0.367,103,165,32
First or Second Half,1st Half,83,82,344,302,44,88,18,2,21,62,5,1,36,112,0.291,0.369,0.573,0.942,173,2,3,0,3,1,2,0.39,103,163,47
First or Second Half,2nd Half,26,26,109,99,17,27,3,0,8,21,2,0,9,22,0.273,0.339,0.546,0.885,54,1,1,0,0,1,0,0.275,90,140,16
Months,April/March,20,19,77,68,8,14,3,0,5,13,1,0,8,31,0.206,0.299,0.471,0.769,32,0,1,0,0,0,0,0.281,66,118,6
Months,May,26,26,113,100,16,33,8,0,6,22,1,0,12,33,0.33,0.407,0.59,0.997,59,0,1,0,0,1,1,0.443,117,185,19
Months,June,25,25,102,93,5,21,4,2,4,12,0,1,8,37,0.226,0.284,0.441,0.725,41,2,0,0,1,0,1,0.321,56,99,11
Months,July,24,24,102,87,24,34,5,0,11,30,5,0,12,18,0.391,0.461,0.828,1.288,72,0,1,0,2,1,0,0.383,174,244,18
Months,August,14,14,59,53,8,13,1,0,3,6,0,0,5,15,0.245,0.322,0.434,0.756,23,1,1,0,0,0,0,0.286,66,109,9
Game Outcome for Team,in Wins,46,46,191,166,37,59,8,1,19,55,6,1,20,42,0.355,0.424,0.759,1.183,126,0,2,0,3,1,0,0.37,151,178,31
Game Outcome for Team,in Losses,63,62,262,235,24,56,13,1,10,28,1,0,25,92,0.238,0.317,0.43,0.747,101,3,2,0,0,1,2,0.346,64,153,32
Starter or Substitute,as Starter,108,108,451,399,60,114,21,2,28,82,7,1,45,133,0.286,0.361,0.559,0.92,223,3,4,0,3,2,2,0.357,99,154,63
Starter or Substitute,as Sub,1,0,2,2,1,1,0,0,1,1,0,0,0,1,0.5,0.5,2.0,2.5,4,0,0,0,0,0,0,,392,634,0
Defensive Positions,as LF,9,,37,36,4,10,3,0,2,7,0,0,1,10,0.278,0.297,0.528,0.825,19,0,0,0,0,0,1,0.333,75,129,5
Defensive Positions,as RF,5,,17,16,6,8,2,0,3,6,0,0,1,7,0.5,0.529,1.188,1.717,19,0,0,0,0,1,0,0.833,256,354,3
Defensive Positions,as DH,95,,398,348,51,97,16,2,24,70,7,1,43,116,0.279,0.362,0.543,0.905,189,3,4,0,3,1,1,0.346,96,139,55
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,72,,95,90,,25,7,0,4,4,,,4,26,0.278,0.316,0.489,0.805,44,0,1,0,0,0,1,0.35,74,127,14
Batting Order Positions,Batting 2nd,7,7,31,29,4,6,1,0,0,1,0,0,2,8,0.207,0.258,0.241,0.5,7,0,0,0,0,0,1,0.286,14,34,5
Batting Order Positions,Batting 3rd,51,51,219,192,26,54,8,2,10,31,4,1,23,68,0.281,0.365,0.5,0.865,96,0,3,0,1,1,1,0.383,89,121,34
Batting Order Positions,Batting 4th,47,47,189,166,30,52,11,0,18,50,3,0,20,52,0.313,0.386,0.705,1.091,117,3,1,0,2,1,0,0.347,131,189,23
Batting Order Positions,Batting 5th,1,1,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 6th,3,2,11,11,1,3,1,0,1,1,0,0,0,4,0.273,0.273,0.636,0.909,7,0,0,0,0,0,0,0.333,88,156,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,97,,192,180,,51,11,1,13,39,,,10,53,0.283,0.323,0.572,0.895,103,2,1,0,1,1,1,0.33,90,149,26
Swung or Took First Pitch of PA,Took 1st Pitch,107,,261,221,,64,10,1,16,44,,,35,81,0.29,0.391,0.561,0.952,124,1,3,0,2,1,1,0.381,107,164,37
Count/Balls-Strikes,First Pitch,47,,58,57,11,28,9,0,5,21,2,0,0,0,0.491,0.5,0.912,1.412,52,0,1,0,0,0,0,0.442,199,209,14
Count/Balls-Strikes,1-0 Count,20,,21,21,4,11,1,0,4,9,0,0,0,0,0.524,0.524,1.143,1.667,24,1,0,0,0,0,0,0.412,247,253,6
Count/Balls-Strikes,2-0 Count,15,,15,14,3,9,1,0,1,5,0,0,0,0,0.643,0.6,0.929,1.529,13,0,0,0,1,0,0,0.571,230,224,7
Count/Balls-Strikes,3-0 Count,8,,8,1,,0,0,0,0,1,0,0,7,0,0.0,0.875,0.0,0.875,0,0,0,0,0,1,0,0.0,142,-7,0
Count/Balls-Strikes,0-1 Count,22,,27,25,7,10,0,0,4,11,0,0,0,0,0.4,0.407,0.88,1.287,22,0,1,0,1,0,0,0.273,168,195,6
Count/Balls-Strikes,1-1 Count,26,,27,27,8,11,1,0,3,6,0,0,0,0,0.407,0.407,0.778,1.185,21,1,0,0,0,0,1,0.333,150,173,7
Count/Balls-Strikes,2-1 Count,28,,28,26,3,10,4,1,2,6,0,0,0,0,0.385,0.393,0.846,1.239,22,0,1,0,1,0,0,0.32,158,159,3
Count/Balls-Strikes,3-1 Count,21,,22,6,4,2,1,0,1,2,0,0,16,0,0.333,0.818,1.0,1.818,6,0,0,0,0,1,0,0.2,303,174,0
Count/Balls-Strikes,0-2 Count,40,,49,49,5,7,1,0,3,6,0,1,0,29,0.143,0.143,0.347,0.49,17,1,0,0,0,0,0,0.235,1,145,3
Count/Balls-Strikes,1-2 Count,51,,66,65,4,7,1,1,0,3,3,0,0,39,0.108,0.121,0.154,0.275,10,0,1,0,0,0,0,0.269,-39,34,5
Count/Balls-Strikes,2-2 Count,51,,66,66,9,13,2,0,3,6,2,0,0,41,0.197,0.197,0.364,0.561,24,0,0,0,0,0,1,0.455,19,145,8
