Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,121,505,454,72,122,21,4,21,61,24,5,39,130,0.269,0.327,0.471,0.799,214,12,3,4,5,1,2,0.328,100,122,76
Season Totals,Last 7 days,6,6,25,22,4,7,1,1,1,1,0,0,3,2,0.318,0.4,0.591,0.991,13,2,0,0,0,0,0,0.316,148,187,4
Season Totals,Last 14 days,12,11,47,44,8,14,2,1,1,3,3,0,3,9,0.318,0.362,0.477,0.839,21,2,0,0,0,0,0,0.382,112,137,10
Season Totals,Last 28 days,25,23,97,91,13,21,4,1,4,8,4,0,5,30,0.231,0.268,0.429,0.697,39,2,0,0,1,0,0,0.293,73,89,12
Season Totals,Last 365 days,157,154,625,569,85,149,28,8,23,80,29,6,42,168,0.262,0.313,0.461,0.774,262,15,3,6,5,1,4,0.329,93,,90
Platoon Splits,vs RHP,117,,364,324,53,87,11,4,17,49,21,5,30,102,0.269,0.331,0.485,0.815,157,10,2,4,4,1,1,0.335,104,128,55
Platoon Splits,vs LHP,63,,141,130,19,35,10,0,4,12,3,0,9,28,0.269,0.319,0.439,0.758,57,2,1,0,1,0,1,0.313,91,110,21
Platoon Splits,vs RHP as RHB,117,,364,324,,87,11,4,17,49,0,0,30,102,0.269,0.331,0.485,0.815,157,10,2,4,4,1,1,0.335,104,134,55
Platoon Splits,vs LHP as RHB,63,,141,130,,35,10,0,4,12,0,0,9,28,0.269,0.319,0.439,0.758,57,2,1,0,1,0,1,0.313,91,105,21
Platoon Splits,vs RH Starter,83,80,333,299,48,75,10,3,10,36,18,4,25,99,0.251,0.309,0.405,0.714,121,9,2,3,4,0,1,0.335,81,100,52
Platoon Splits,vs LH Starter,41,41,172,155,24,47,11,1,11,25,6,1,14,31,0.303,0.363,0.6,0.963,93,3,1,1,1,1,1,0.316,138,166,24
Home or Away,Home,58,56,234,209,36,69,14,3,10,35,13,4,19,51,0.33,0.386,0.569,0.956,119,7,2,1,3,1,1,0.391,139,162,42
Home or Away,Away,66,65,271,245,36,53,7,1,11,26,11,1,20,79,0.216,0.276,0.388,0.664,95,5,1,3,2,0,1,0.268,67,88,34
First or Second Half,1st Half,92,91,377,333,55,92,16,2,15,42,20,4,33,94,0.276,0.343,0.472,0.815,157,9,3,4,4,1,2,0.338,105,129,59
First or Second Half,2nd Half,32,30,128,121,17,30,5,2,6,19,4,1,6,36,0.248,0.281,0.471,0.752,57,3,0,0,1,0,0,0.3,86,104,17
Months,April/March,28,28,111,103,18,32,7,1,3,8,4,1,6,34,0.311,0.355,0.485,0.84,50,2,1,1,0,0,0,0.439,112,139,21
Months,May,26,26,110,91,18,20,3,1,2,7,10,1,17,25,0.22,0.343,0.341,0.683,31,0,0,2,0,0,0,0.281,77,100,14
Months,June,25,24,103,94,9,21,1,0,2,12,5,1,2,25,0.223,0.245,0.298,0.543,28,6,2,1,4,0,2,0.268,38,52,18
Months,July,25,24,99,90,15,30,7,1,11,27,2,2,9,24,0.333,0.394,0.8,1.194,72,2,0,0,0,1,0,0.346,190,216,11
Months,August,20,19,82,76,12,19,3,1,3,7,3,0,5,22,0.25,0.293,0.434,0.727,33,2,0,0,1,0,0,0.308,82,100,12
Game Outcome for Team,in Wins,45,44,194,163,43,53,9,2,11,34,13,2,26,40,0.325,0.417,0.607,1.024,99,6,1,2,2,1,1,0.368,156,145,31
Game Outcome for Team,in Losses,79,77,311,291,29,69,12,2,10,27,11,3,13,90,0.237,0.272,0.395,0.667,115,6,2,2,3,0,1,0.304,67,125,45
Starter or Substitute,as Starter,121,121,503,452,72,122,21,4,21,61,24,4,39,129,0.27,0.329,0.474,0.802,214,12,3,4,5,1,2,0.329,101,123,76
Starter or Substitute,as Sub,3,0,2,2,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as CF,119,,492,442,69,118,21,4,19,57,23,4,38,127,0.267,0.326,0.462,0.787,204,12,3,4,5,1,2,0.329,98,125,74
Defensive Positions,as DH,3,,12,11,3,4,0,0,2,4,1,0,1,3,0.364,0.417,0.909,1.326,10,0,0,0,0,0,0,0.333,221,243,2
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,0,,,,,,0,1,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,11,,11,10,,2,0,0,0,0,,,0,4,0.2,0.273,0.2,0.473,2,0,1,0,0,0,0,0.333,26,37,2
Leading Off Inning,Leadoff Inn.,84,,127,118,,29,6,1,6,6,,,5,41,0.246,0.288,0.466,0.754,55,0,2,2,0,0,0,0.324,87,112,16
Batting Order Positions,Batting 1st,12,11,48,43,2,5,0,0,1,6,1,0,0,14,0.116,0.146,0.186,0.332,8,4,2,0,3,0,0,0.129,-16,-10,4
Batting Order Positions,Batting 2nd,19,19,86,78,12,21,1,1,1,8,5,0,5,21,0.269,0.313,0.346,0.66,27,2,0,3,0,0,1,0.357,69,76,18
Batting Order Positions,Batting 3rd,24,24,102,95,16,24,4,1,5,14,4,0,6,28,0.253,0.294,0.474,0.768,45,2,0,0,1,0,0,0.302,91,94,14
