Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,121,111,485,435,57,112,17,4,7,50,37,6,40,85,0.258,0.321,0.363,0.684,158,7,2,5,3,0,4,0.304,100,93,84
Season Totals,Last 7 days,6,6,25,21,3,7,1,1,0,1,3,1,4,5,0.333,0.44,0.476,0.916,10,0,0,0,0,0,0,0.438,168,166,5
Season Totals,Last 14 days,13,12,50,43,7,9,1,2,1,4,4,1,6,9,0.209,0.306,0.395,0.701,17,0,0,1,0,0,0,0.242,104,95,5
Season Totals,Last 28 days,23,20,88,79,10,16,1,2,1,7,6,1,6,15,0.203,0.264,0.304,0.568,24,2,1,1,1,0,0,0.234,66,57,12
Season Totals,Last 365 days,157,141,599,537,70,133,18,4,7,57,47,6,47,108,0.248,0.31,0.335,0.645,180,10,3,8,4,0,5,0.296,89,,104
Platoon Splits,vs RHP,115,,395,354,48,94,15,3,7,41,29,5,33,65,0.266,0.328,0.384,0.712,136,6,1,5,2,0,4,0.306,108,101,69
Platoon Splits,vs LHP,56,,90,81,9,18,2,1,0,9,8,1,7,20,0.222,0.289,0.272,0.561,22,1,1,0,1,0,0,0.29,65,59,15
Platoon Splits,vs RHP as LHB,115,,395,354,,94,15,3,7,41,0,0,33,65,0.266,0.328,0.384,0.712,136,6,1,5,2,0,4,0.306,108,95,69
Platoon Splits,vs LHP as LHB,56,,90,81,,18,2,1,0,9,0,0,7,20,0.222,0.289,0.272,0.561,22,1,1,0,1,0,0,0.29,65,70,15
Platoon Splits,vs RH Starter,91,91,395,355,50,98,16,3,7,44,29,5,31,66,0.276,0.333,0.397,0.731,141,6,1,5,3,0,4,0.319,113,106,72
Platoon Splits,vs LH Starter,30,20,90,80,7,14,1,1,0,6,8,1,9,19,0.175,0.267,0.213,0.479,17,1,1,0,0,0,0,0.23,42,38,12
Home or Away,Home,60,57,233,204,27,42,4,2,2,20,21,1,24,43,0.206,0.291,0.275,0.566,56,4,1,3,1,0,1,0.25,66,60,34
Home or Away,Away,61,54,252,231,30,70,13,2,5,30,16,5,16,42,0.303,0.348,0.442,0.79,102,3,1,2,2,0,3,0.35,130,125,50
First or Second Half,1st Half,93,87,375,336,45,93,16,2,6,38,30,5,33,63,0.277,0.341,0.39,0.731,131,5,1,3,2,0,4,0.323,114,108,69
First or Second Half,2nd Half,28,24,110,99,12,19,1,2,1,12,7,1,7,22,0.192,0.25,0.273,0.523,27,2,1,2,1,0,0,0.234,53,46,15
Months,April/March,27,26,104,93,15,29,6,0,2,12,14,0,10,14,0.312,0.375,0.441,0.816,41,3,0,0,1,0,0,0.346,138,134,21
Months,May,26,23,101,88,9,25,6,0,1,9,5,1,8,19,0.284,0.347,0.386,0.733,34,1,1,3,1,0,2,0.348,114,113,18
Months,June,27,26,117,107,16,30,2,2,3,16,9,3,10,23,0.28,0.342,0.421,0.763,45,1,0,0,0,0,2,0.333,123,113,23
Months,July,24,21,96,89,9,15,2,0,0,7,4,1,6,17,0.169,0.221,0.191,0.412,17,1,0,1,0,0,0,0.208,22,16,13
Months,August,17,15,67,58,8,13,1,2,1,6,5,1,6,12,0.224,0.303,0.362,0.665,21,1,1,1,1,0,0,0.261,94,85,9
Game Outcome for Team,in Wins,70,67,299,263,47,79,10,3,4,33,31,4,29,44,0.3,0.37,0.407,0.776,107,1,1,4,2,0,2,0.346,127,89,62
Game Outcome for Team,in Losses,51,44,186,172,10,33,7,1,3,17,6,2,11,41,0.192,0.243,0.297,0.54,51,6,1,1,1,0,2,0.233,58,83,22
Starter or Substitute,as Starter,111,111,471,421,57,110,17,4,7,49,36,6,40,81,0.261,0.326,0.371,0.697,156,6,2,5,3,0,4,0.307,104,96,82
Starter or Substitute,as Sub,10,0,14,14,0,2,0,0,0,1,1,0,0,4,0.143,0.143,0.143,0.286,2,1,0,0,0,0,0,0.2,-16,-13,2
