Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,27,27,99,93,8,20,6,0,2,8,3,0,6,26,0.215,0.263,0.344,0.607,32,1,0,0,0,0,1,0.277,100,70,12
Season Totals,Last 7 days,5,5,17,14,1,3,1,0,0,0,1,0,3,3,0.214,0.353,0.286,0.639,4,0,0,0,0,0,0,0.273,117,89,2
Season Totals,Last 14 days,10,10,37,34,2,7,2,0,1,5,1,0,3,7,0.206,0.27,0.353,0.623,12,0,0,0,0,0,1,0.231,105,73,4
Season Totals,Last 28 days,22,22,82,76,8,18,6,0,2,7,2,0,6,19,0.237,0.293,0.395,0.687,30,1,0,0,0,0,1,0.291,126,87,10
Season Totals,Last 365 days,27,27,99,93,8,20,6,0,2,8,3,0,6,26,0.215,0.263,0.344,0.607,32,1,0,0,0,0,1,0.277,100,,12
Platoon Splits,vs RHP,26,,78,76,7,17,5,0,2,7,2,0,2,23,0.224,0.244,0.368,0.612,28,0,0,0,0,0,1,0.294,100,71,10
Platoon Splits,vs LHP,11,,21,17,1,3,1,0,0,1,1,0,4,3,0.177,0.333,0.235,0.569,4,1,0,0,0,0,0,0.214,95,64,2
Platoon Splits,vs RHP as LHB,26,,78,76,,17,5,0,2,7,0,0,2,23,0.224,0.244,0.368,0.612,28,0,0,0,0,0,1,0.294,100,65,10
Platoon Splits,vs LHP as RHB,11,,21,17,,3,1,0,0,1,0,0,4,3,0.177,0.333,0.235,0.569,4,1,0,0,0,0,0,0.214,95,60,2
Platoon Splits,vs RH Starter,22,22,81,77,7,16,5,0,2,7,2,0,4,24,0.208,0.247,0.351,0.598,27,1,0,0,0,0,0,0.275,96,67,9
Platoon Splits,vs LH Starter,5,5,18,16,1,4,1,0,0,1,1,0,2,2,0.25,0.333,0.313,0.646,5,0,0,0,0,0,1,0.286,118,84,3
