Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,112,112,492,429,69,118,28,0,26,73,5,4,61,107,0.275,0.364,0.522,0.886,224,14,0,0,2,10,3,0.309,100,147,64
Season Totals,Last 7 days,5,5,20,20,2,3,1,0,0,0,0,0,0,7,0.15,0.15,0.2,0.35,4,1,0,0,0,0,0,0.231,-21,2,2
Season Totals,Last 14 days,11,11,45,41,6,10,3,0,0,2,0,0,4,9,0.244,0.311,0.317,0.628,13,1,0,0,0,0,1,0.313,46,80,7
Season Totals,Last 28 days,24,24,104,96,9,22,6,0,3,8,0,1,8,28,0.229,0.289,0.385,0.674,37,3,0,0,0,2,1,0.292,53,84,13
Season Totals,Last 365 days,145,145,632,538,94,148,34,1,35,98,9,4,90,133,0.275,0.378,0.537,0.915,289,16,1,0,3,14,4,0.303,107,,78
Platoon Splits,vs RHP,105,,310,273,48,72,15,0,18,47,3,3,36,64,0.264,0.348,0.517,0.865,141,6,0,0,1,9,3,0.281,95,141,39
Platoon Splits,vs LHP,83,,182,156,21,46,13,0,8,26,2,1,25,43,0.295,0.39,0.532,0.922,83,8,0,0,1,1,0,0.359,109,156,25
Platoon Splits,vs RHP as LHB,105,,310,273,,72,15,0,18,47,0,0,36,64,0.264,0.348,0.517,0.865,141,6,0,0,1,9,3,0.281,95,133,39
Platoon Splits,vs LHP as LHB,83,,182,156,,46,13,0,8,26,0,0,25,43,0.295,0.39,0.532,0.922,83,8,0,0,1,1,0,0.359,109,174,25
Platoon Splits,vs RH Starter,67,67,290,256,50,71,17,0,21,55,1,2,33,63,0.277,0.359,0.59,0.948,151,9,0,0,1,5,2,0.289,112,162,33
Platoon Splits,vs LH Starter,45,45,202,173,19,47,11,0,5,18,4,2,28,44,0.272,0.371,0.422,0.793,73,5,0,0,1,5,1,0.336,83,124,31
Home or Away,Home,59,59,258,221,41,64,13,0,16,45,2,1,35,49,0.29,0.384,0.566,0.949,125,7,0,0,2,3,1,0.304,114,161,35
Home or Away,Away,53,53,234,208,28,54,15,0,10,28,3,3,26,58,0.26,0.342,0.476,0.818,99,7,0,0,0,7,2,0.314,85,132,29
First or Second Half,1st Half,81,81,357,302,56,91,21,0,21,61,4,3,53,76,0.301,0.403,0.58,0.983,175,10,0,0,2,8,2,0.338,122,175,49
First or Second Half,2nd Half,31,31,135,127,13,27,7,0,5,12,1,1,8,31,0.213,0.259,0.386,0.645,49,4,0,0,0,2,1,0.242,45,76,15
Months,April/March,27,27,119,100,13,23,5,0,6,18,1,2,18,27,0.23,0.345,0.46,0.805,46,7,0,0,1,3,0,0.25,83,129,12
Months,May,26,26,113,96,19,30,5,0,7,24,2,0,16,27,0.313,0.407,0.583,0.99,56,0,0,0,1,3,1,0.365,124,183,18
Months,June,23,23,104,91,20,34,10,0,7,16,1,1,13,18,0.374,0.452,0.714,1.166,65,3,0,0,0,2,1,0.409,161,220,17
Months,July,17,17,75,67,9,10,2,0,4,9,1,0,8,15,0.149,0.24,0.358,0.598,24,2,0,0,0,1,0,0.125,35,62,4
Months,August,19,19,81,75,8,21,6,0,2,6,0,1,6,20,0.28,0.333,0.44,0.773,33,2,0,0,0,1,1,0.359,76,114,13
Game Outcome for Team,in Wins,65,65,293,251,49,85,18,0,20,63,2,4,40,58,0.339,0.427,0.649,1.076,163,7,0,0,2,6,1,0.371,142,156,47
Game Outcome for Team,in Losses,47,47,199,178,20,33,10,0,6,10,3,0,21,49,0.185,0.271,0.343,0.614,61,7,0,0,0,4,2,0.22,40,108,17
Starter or Substitute,as Starter,112,112,492,429,69,118,28,0,26,73,5,4,61,107,0.275,0.364,0.522,0.886,224,14,0,0,2,10,3,0.309,100,146,64
Defensive Positions,as 1B,111,,487,426,67,117,28,0,26,73,4,4,59,106,0.275,0.361,0.524,0.885,223,14,0,0,2,9,3,0.307,99,141,63
Defensive Positions,as DH,1,,5,3,2,1,0,0,0,0,1,0,2,1,0.333,0.6,0.333,0.933,1,0,0,0,0,1,0,0.5,129,164,1
Leading Off Inning,Leadoff Inn.,73,,97,91,,27,8,0,5,5,,,6,21,0.297,0.34,0.55,0.89,50,0,0,0,0,1,0,0.339,99,151,14
Batting Order Positions,Batting 3rd,112,112,492,429,69,118,28,0,26,73,5,4,61,107,0.275,0.364,0.522,0.886,224,14,0,0,2,10,3,0.309,100,125,64
Swung or Took First Pitch of PA,Swung at 1st Pitch,101,,222,212,,53,17,0,15,32,,,10,48,0.25,0.284,0.543,0.826,115,8,0,0,0,0,2,0.255,82,129,21
Swung or Took First Pitch of PA,Took 1st Pitch,109,,270,217,,65,11,0,11,41,,,51,59,0.3,0.43,0.502,0.932,109,6,0,0,2,10,1,0.362,114,161,43
Count/Balls-Strikes,First Pitch,53,,66,66,10,15,6,0,4,12,0,0,0,0,0.227,0.227,0.5,0.727,33,5,0,0,0,0,1,0.177,58,56,5
Count/Balls-Strikes,1-0 Count,23,,26,25,6,13,3,0,2,10,1,1,0,0,0.52,0.5,0.88,1.38,22,2,0,0,1,0,0,0.458,206,200,8
Count/Balls-Strikes,2-0 Count,9,,9,9,3,4,0,0,0,1,1,0,0,0,0.444,0.444,0.444,0.889,4,0,0,0,0,0,0,0.444,107,101,4
Count/Balls-Strikes,3-0 Count,21,,22,4,,0,0,0,0,1,0,0,18,0,0.0,0.818,0.0,0.818,0,0,0,0,0,10,0,0.0,125,-13,0
Count/Balls-Strikes,0-1 Count,32,,34,34,6,9,1,0,1,2,1,1,0,0,0.265,0.265,0.382,0.647,13,1,0,0,0,0,0,0.242,46,55,7
Count/Balls-Strikes,1-1 Count,40,,45,45,10,20,4,0,6,15,0,0,0,0,0.444,0.444,0.933,1.378,42,2,0,0,0,0,0,0.359,201,214,10
Count/Balls-Strikes,2-1 Count,17,,19,19,1,6,1,0,0,0,1,0,0,0,0.316,0.316,0.368,0.684,7,0,0,0,0,0,0,0.316,57,56,5
Count/Balls-Strikes,3-1 Count,24,,28,9,2,5,0,0,0,0,0,0,19,0,0.556,0.857,0.556,1.413,5,0,0,0,0,0,0,0.556,242,110,5
Count/Balls-Strikes,0-2 Count,35,,46,46,7,7,1,0,2,5,1,0,0,24,0.152,0.152,0.304,0.457,14,2,0,0,0,0,0,0.25,0,132,4
Count/Balls-Strikes,1-2 Count,42,,52,51,8,8,3,0,1,3,0,2,0,28,0.157,0.154,0.275,0.428,14,0,0,0,1,0,1,0.304,-5,103,4
Count/Balls-Strikes,2-2 Count,45,,56,56,10,15,4,0,6,14,0,0,0,29,0.268,0.268,0.661,0.929,37,2,0,0,0,0,1,0.429,100,295,5
Count/Balls-Strikes,Full Count,62,,89,65,6,16,5,0,4,10,0,0,24,26,0.246,0.449,0.508,0.957,33,0,0,0,0,0,0,0.343,121,152,7
Count/Balls-Strikes,After 1-0,101,,192,141,,48,9,0,8,31,,,49,30,0.34,0.505,0.575,1.08,81,4,0,0,2,10,1,0.381,149,169,31
Count/Balls-Strikes,After 2-0,63,,84,45,,11,1,0,1,8,,,39,13,0.244,0.595,0.333,0.929,15,1,0,0,0,10,0,0.323,127,92,9
Count/Balls-Strikes,After 3-0,36,,42,11,,2,0,0,0,1,,,31,3,0.182,0.786,0.182,0.968,2,0,0,0,0,10,0,0.25,151,43,2
Count/Balls-Strikes,After 0-1,103,,234,222,,55,13,0,14,30,,,12,77,0.248,0.286,0.496,0.782,110,5,0,0,0,0,1,0.313,73,154,28
Count/Balls-Strikes,After 1-1,98,,192,174,,55,14,0,12,29,,,17,46,0.316,0.375,0.603,0.978,105,3,0,0,1,0,2,0.368,119,191,29
Count/Balls-Strikes,After 2-1,69,,104,83,,22,4,0,5,13,,,21,27,0.265,0.414,0.494,0.908,41,1,0,0,0,0,0,0.333,108,131,13
