Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,115,518,463,72,114,25,6,18,60,25,11,36,107,0.246,0.319,0.443,0.762,205,3,15,1,3,3,1,0.282,100,112,65
Season Totals,Last 7 days,6,6,26,23,1,3,0,0,1,1,3,1,1,8,0.13,0.231,0.261,0.492,6,0,2,0,0,0,0,0.143,31,43,2
Season Totals,Last 14 days,10,9,40,34,4,6,2,0,1,2,5,1,2,13,0.177,0.275,0.324,0.599,11,0,3,0,1,0,0,0.238,59,68,3
Season Totals,Last 28 days,23,22,100,89,12,16,4,0,3,11,9,1,6,26,0.18,0.26,0.326,0.586,29,1,4,0,1,0,0,0.213,55,61,9
Season Totals,Last 365 days,152,150,676,606,95,147,31,8,24,77,39,12,48,134,0.243,0.313,0.439,0.752,266,4,16,1,5,5,2,0.272,97,,84
Platoon Splits,vs RHP,104,,355,313,49,71,16,3,14,40,18,7,28,67,0.227,0.311,0.431,0.742,135,3,11,1,2,3,0,0.244,95,108,38
Platoon Splits,vs LHP,71,,163,150,23,43,9,3,4,20,7,4,8,40,0.287,0.337,0.467,0.804,70,0,4,0,1,0,1,0.365,111,123,27
Platoon Splits,vs RHP as LHB,104,,355,313,,71,16,3,14,40,0,0,28,67,0.227,0.311,0.431,0.742,135,3,11,1,2,3,0,0.244,95,101,38
Platoon Splits,vs LHP as LHB,71,,163,150,,43,9,3,4,20,0,0,8,40,0.287,0.337,0.467,0.804,70,0,4,0,1,0,1,0.365,111,139,27
Platoon Splits,vs RH Starter,84,83,368,328,52,78,17,5,13,42,20,8,28,75,0.238,0.313,0.439,0.752,144,3,9,1,2,3,0,0.269,97,110,43
Platoon Splits,vs LH Starter,33,32,150,135,20,36,8,1,5,18,5,3,8,32,0.267,0.333,0.452,0.785,61,0,6,0,1,0,1,0.313,106,119,22
Home or Away,Home,55,54,240,221,30,52,8,1,8,31,6,5,12,46,0.235,0.288,0.389,0.677,86,2,5,0,2,1,1,0.26,78,87,35
Home or Away,Away,62,61,278,242,42,62,17,5,10,29,19,6,24,61,0.256,0.347,0.492,0.838,119,1,10,1,1,2,0,0.302,120,137,30
First or Second Half,1st Half,89,88,398,354,59,95,21,6,15,48,15,10,30,80,0.268,0.343,0.489,0.831,173,2,11,1,2,3,1,0.307,118,133,53
First or Second Half,2nd Half,28,27,120,109,13,19,4,0,3,12,10,1,6,27,0.174,0.242,0.294,0.535,32,1,4,0,1,0,0,0.2,42,48,12
Months,April/March,26,26,119,105,22,31,5,4,7,17,7,2,11,20,0.295,0.373,0.619,0.992,65,0,2,1,0,2,0,0.308,157,180,15
Months,May,27,26,116,112,10,23,5,0,2,9,1,2,1,29,0.205,0.216,0.304,0.519,34,1,1,0,2,0,1,0.253,36,49,16
Months,June,22,22,97,83,18,31,10,1,4,16,6,5,11,14,0.374,0.464,0.663,1.127,55,0,3,0,0,0,0,0.415,195,211,16
Months,July,26,26,118,102,15,18,3,1,2,10,6,1,10,27,0.177,0.288,0.284,0.572,29,1,6,0,0,1,0,0.219,54,59,12
Months,August,16,15,68,61,7,11,2,0,3,8,5,1,3,17,0.18,0.25,0.361,0.611,22,1,3,0,1,0,0,0.191,60,68,6
Game Outcome for Team,in Wins,52,51,237,212,49,56,16,4,11,37,17,5,20,50,0.264,0.338,0.533,0.871,113,2,4,0,1,2,1,0.296,126,107,25
Game Outcome for Team,in Losses,65,64,281,251,23,58,9,2,7,23,8,6,16,57,0.231,0.304,0.367,0.67,92,1,11,1,2,1,0,0.27,78,128,40
Starter or Substitute,as Starter,115,115,517,462,71,114,25,6,18,60,25,11,36,107,0.247,0.32,0.444,0.764,205,3,15,1,3,3,1,0.282,101,113,65
Starter or Substitute,as Sub,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as SS,115,,517,462,71,114,25,6,18,60,25,11,36,107,0.247,0.32,0.444,0.764,205,3,15,1,3,3,1,0.282,101,106,65
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,102,,102,97,,21,5,0,4,4,,,3,20,0.217,0.255,0.392,0.647,38,0,2,0,0,0,0,0.233,68,78,12
Leading Off Inning,Leadoff Inn.,112,,195,179,,42,9,3,8,8,,,13,35,0.235,0.297,0.453,0.75,81,0,3,0,0,0,0,0.25,95,112,22
Batting Order Positions,Batting 1st,102,102,458,407,63,103,21,5,17,57,24,11,35,92,0.253,0.328,0.455,0.783,185,3,12,1,3,3,0,0.286,106,112,60
Batting Order Positions,Batting 2nd,13,13,59,55,8,11,4,1,1,3,1,0,1,15,0.2,0.254,0.364,0.618,20,0,3,0,0,0,1,0.256,62,61,5
Batting Order Positions,Batting 5th,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
