Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,10,224.0,194,36.0,54,13,1,9,5,1,25,34,1.36,0.278,0.366,0.495,0.861,96.0,3.0,3.0,0,2,1,1,0.294,100,141,31
Season Totals,Last 7 days,2,49.0,46,7.0,14,2,0,2,0,0,2,9,4.5,0.304,0.347,0.478,0.825,22.0,2.0,1.0,0,0,0,0,0.343,91,140,10
Season Totals,Last 14 days,2,49.0,46,7.0,14,2,0,2,0,0,2,9,4.5,0.304,0.347,0.478,0.825,22.0,2.0,1.0,0,0,0,0,0.343,91,132,10
Season Totals,Last 28 days,3,75.0,66,13.0,21,6,0,2,2,0,7,10,1.43,0.318,0.387,0.5,0.887,33.0,2.0,1.0,0,1,1,1,0.346,107,144,13
Season Totals,Last 365 days,10,224.0,194,36.0,54,13,1,9,5,1,25,34,1.36,0.278,0.366,0.495,0.861,96.0,3.0,3.0,0,2,1,1,0.294,100,,31
Platoon Splits,vs RHB,10,158.0,136,27.0,40,9,0,8,5,0,19,27,1.42,0.294,0.38,0.537,0.917,73.0,3.0,1.0,0,2,1,1,0.311,112,158,23
Platoon Splits,vs LHB,8,66.0,58,3.0,14,4,1,1,0,1,6,7,1.17,0.241,0.333,0.397,0.73,23.0,0.0,2.0,0,0,0,0,0.26,71,103,8
Platoon Splits,vs RHB as LHP,10,158.0,136,27.0,40,9,0,8,5,0,19,27,1.42,0.294,0.38,0.537,0.917,73.0,3.0,1.0,0,2,1,1,0.311,112,148,23
Platoon Splits,vs LHB as LHP,8,66.0,58,3.0,14,4,1,1,0,1,6,7,1.17,0.241,0.333,0.397,0.73,23.0,0.0,2.0,0,0,0,0,0.26,71,118,8
Home or Away,Home,7,168.0,151,21.0,43,11,1,6,4,1,13,30,2.31,0.285,0.351,0.49,0.841,74.0,3.0,3.0,0,1,1,1,0.319,95,138,25
Home or Away,Away,3,56.0,43,15.0,11,2,0,3,1,0,12,4,0.33,0.256,0.411,0.512,0.922,22.0,0.0,0.0,0,1,0,0,0.216,116,156,6
First or Second Half,1st Half,7,149.0,128,23.0,33,7,1,7,3,1,18,24,1.33,0.258,0.356,0.492,0.848,63.0,1.0,2.0,0,1,0,0,0.265,97,138,18
First or Second Half,2nd Half,3,75.0,66,13.0,21,6,0,2,2,0,7,10,1.43,0.318,0.387,0.5,0.887,33.0,2.0,1.0,0,1,1,1,0.346,107,145,13
Months,June,5,114.0,101,12.0,23,5,1,4,3,0,10,17,1.7,0.228,0.307,0.416,0.723,42.0,0.0,2.0,0,1,0,0,0.235,68,100,13
Months,July,3,61.0,47,17.0,17,6,0,3,2,1,13,8,0.62,0.362,0.492,0.681,1.173,32.0,1.0,0.0,0,1,1,1,0.378,172,219,8
Months,August,2,49.0,46,7.0,14,2,0,2,0,0,2,9,4.5,0.304,0.347,0.478,0.825,22.0,2.0,1.0,0,0,0,0,0.343,91,128,10
Game Outcome for Pitcher,in Wins,1,21.0,20,2.0,5,2,0,2,0,0,0,3,,0.25,0.286,0.65,0.936,13.0,0.0,1.0,0,0,0,0,0.2,110,248,1
