Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,24,551.0,486,66.0,130,24,4,19,8,9,50,97,1.94,0.268,0.348,0.451,0.799,219.0,14.0,11.0,2,2,0,3,0.298,100,124,83
Season Totals,Last 7 days,1,22.0,19,3.0,6,1,0,2,0,0,2,5,2.5,0.316,0.409,0.684,1.093,13.0,2.0,1.0,0,0,0,0,0.333,169,209,3
Season Totals,Last 14 days,1,22.0,19,3.0,6,1,0,2,0,0,2,5,2.5,0.316,0.409,0.684,1.093,13.0,2.0,1.0,0,0,0,0,0.333,169,199,3
Season Totals,Last 28 days,3,67.0,56,13.0,20,6,0,4,0,0,7,11,1.57,0.357,0.455,0.679,1.133,38.0,2.0,3.0,1,0,0,0,0.39,181,208,10
Season Totals,Last 365 days,30,688.0,608,76.0,158,32,6,22,13,9,63,117,1.86,0.26,0.341,0.441,0.782,268.0,19.0,13.0,2,2,0,4,0.289,96,,98
Platoon Splits,vs RHB,24,279.0,250,34.0,70,7,2,11,3,4,18,50,2.78,0.28,0.349,0.456,0.805,114.0,6.0,9.0,1,1,0,1,0.311,101,128,50
Platoon Splits,vs LHB,24,272.0,236,27.0,60,17,2,8,5,5,32,47,1.47,0.254,0.347,0.445,0.792,105.0,8.0,2.0,1,1,0,2,0.286,98,119,33
Platoon Splits,vs RHB as RHP,24,279.0,250,34.0,70,7,2,11,3,4,18,50,2.78,0.28,0.349,0.456,0.805,114.0,6.0,9.0,1,1,0,1,0.311,101,133,50
Platoon Splits,vs LHB as RHP,24,272.0,236,27.0,60,17,2,8,5,5,32,47,1.47,0.254,0.347,0.445,0.792,105.0,8.0,2.0,1,1,0,2,0.286,98,116,33
Home or Away,Home,11,267.0,236,29.0,61,11,2,9,3,5,26,45,1.73,0.259,0.342,0.436,0.779,103.0,8.0,4.0,1,0,0,3,0.286,95,121,39
Home or Away,Away,13,284.0,250,37.0,69,13,2,10,5,4,24,52,2.17,0.276,0.353,0.464,0.817,116.0,6.0,7.0,1,2,0,0,0.311,104,125,44
First or Second Half,1st Half,19,434.0,385,47.0,99,14,3,14,8,8,39,78,2.0,0.257,0.335,0.418,0.753,161.0,10.0,7.0,1,2,0,2,0.288,89,113,68
