Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,596.0,540,67.0,128,29,4,24,12,3,45,153,3.4,0.237,0.305,0.439,0.744,237.0,5.0,9.0,0,2,0,0,0.285,100,107,71
Season Totals,Last 7 days,2,41.0,39,4.0,11,4,0,0,0,0,2,10,5.0,0.282,0.317,0.385,0.702,15.0,0.0,0.0,0,0,0,0,0.379,92,106,7
Season Totals,Last 14 days,3,66.0,59,4.0,14,5,0,0,0,0,7,16,2.29,0.237,0.318,0.322,0.64,19.0,0.0,0.0,0,0,0,0,0.326,78,84,9
Season Totals,Last 28 days,5,112.0,102,9.0,22,6,1,3,0,0,10,31,3.1,0.216,0.286,0.382,0.668,39.0,0.0,0.0,0,0,0,0,0.279,81,83,12
Season Totals,Last 365 days,33,738.0,667,95.0,164,39,4,30,15,4,55,191,3.47,0.246,0.312,0.451,0.763,301.0,5.0,11.0,0,5,0,1,0.297,105,,91
Platoon Splits,vs RHB,26,490.0,442,51.0,106,24,3,21,12,3,37,122,3.3,0.24,0.31,0.45,0.76,199.0,4.0,9.0,0,2,0,0,0.282,104,114,58
Platoon Splits,vs LHB,20,106.0,98,10.0,22,5,1,3,0,0,8,31,3.88,0.225,0.283,0.388,0.671,38.0,1.0,0.0,0,0,0,0,0.297,81,85,13
Platoon Splits,vs RHB as LHP,26,490.0,442,51.0,106,24,3,21,12,3,37,122,3.3,0.24,0.31,0.45,0.76,199.0,4.0,9.0,0,2,0,0,0.282,104,105,58
Platoon Splits,vs LHB as LHP,20,106.0,98,10.0,22,5,1,3,0,0,8,31,3.88,0.225,0.283,0.388,0.671,38.0,1.0,0.0,0,0,0,0,0.297,81,99,13
Home or Away,Home,11,260.0,235,23.0,46,10,2,10,5,1,20,72,3.6,0.196,0.269,0.383,0.652,90.0,1.0,4.0,0,1,0,0,0.234,75,84,24
Home or Away,Away,15,336.0,305,44.0,82,19,2,14,7,2,25,81,3.24,0.269,0.333,0.482,0.815,147.0,4.0,5.0,0,1,0,0,0.322,119,124,47
First or Second Half,1st Half,20,459.0,415,57.0,104,23,3,20,12,3,33,112,3.39,0.251,0.318,0.465,0.783,193.0,5.0,9.0,0,2,0,0,0.295,110,119,58
First or Second Half,2nd Half,6,137.0,125,10.0,24,6,1,4,0,0,12,41,3.42,0.192,0.263,0.352,0.615,44.0,0.0,0.0,0,0,0,0,0.25,66,69,13
Months,April/March,6,136.0,119,9.0,25,7,0,3,7,2,14,30,2.14,0.21,0.302,0.345,0.646,41.0,1.0,2.0,0,1,0,0,0.253,77,86,15
Months,May,6,143.0,133,15.0,31,4,3,7,3,0,6,32,5.33,0.233,0.287,0.466,0.753,62.0,1.0,4.0,0,0,0,0,0.255,100,114,17
Months,June,5,122.0,112,24.0,36,11,0,6,0,0,6,30,5.0,0.321,0.369,0.58,0.949,65.0,3.0,3.0,0,1,0,0,0.39,153,160,19
Months,July,5,108.0,98,12.0,19,1,1,7,2,1,10,37,3.7,0.194,0.269,0.439,0.707,43.0,0.0,0.0,0,0,0,0,0.222,88,90,10
