Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,119,111,470,414,50,98,23,0,18,55,4,0,48,80,0.237,0.323,0.423,0.746,175,10,6,0,2,2,1,0.252,100,109,57
Season Totals,Last 7 days,6,6,24,22,4,3,1,0,1,1,0,0,2,3,0.136,0.208,0.318,0.527,7,0,0,0,0,0,0,0.111,40,52,1
Season Totals,Last 14 days,12,12,49,41,9,6,1,0,3,6,1,0,7,7,0.146,0.265,0.39,0.656,16,0,0,0,1,0,0,0.094,74,84,2
Season Totals,Last 28 days,24,24,98,85,13,18,3,0,4,9,1,0,10,20,0.212,0.296,0.388,0.684,33,3,1,0,2,0,0,0.222,83,88,11
Season Totals,Last 365 days,149,141,600,528,71,131,30,1,23,75,4,0,63,99,0.248,0.333,0.439,0.773,232,15,6,0,3,2,2,0.264,107,,77
Platoon Splits,vs RHP,111,,342,296,30,62,16,0,9,33,4,0,39,58,0.21,0.31,0.355,0.665,105,6,5,0,2,1,1,0.229,80,88,37
Platoon Splits,vs LHP,62,,128,118,20,36,7,0,9,22,0,0,9,22,0.305,0.359,0.593,0.953,70,4,1,0,0,1,0,0.31,151,162,20
Platoon Splits,vs RHP as LHB,111,,342,296,,62,16,0,9,33,0,0,39,58,0.21,0.31,0.355,0.665,105,6,5,0,2,1,1,0.229,80,82,37
Platoon Splits,vs LHP as RHB,62,,128,118,,36,7,0,9,22,0,0,9,22,0.305,0.359,0.593,0.953,70,4,1,0,0,1,0,0.31,151,155,20
Platoon Splits,vs RH Starter,82,74,318,279,31,61,17,0,10,33,1,0,33,54,0.219,0.311,0.387,0.698,108,4,5,0,1,1,1,0.236,88,96,34
Platoon Splits,vs LH Starter,37,37,152,135,19,37,6,0,8,22,3,0,15,26,0.274,0.349,0.496,0.845,67,6,1,0,1,1,0,0.284,125,135,23
Home or Away,Home,57,51,213,184,22,41,9,0,7,22,2,0,28,39,0.223,0.329,0.386,0.715,71,5,1,0,0,1,1,0.246,93,99,25
Home or Away,Away,62,60,257,230,28,57,14,0,11,33,2,0,20,41,0.248,0.319,0.452,0.771,104,5,5,0,2,1,0,0.256,106,118,32
First or Second Half,1st Half,89,81,344,307,35,75,17,0,13,41,2,0,33,54,0.244,0.326,0.427,0.752,131,7,4,0,0,2,1,0.258,102,112,45
