Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,28,23,85,82,9,17,1,1,5,10,0,0,1,18,0.207,0.224,0.427,0.65,35,1,1,0,1,0,0,0.2,100,78,10
Season Totals,Last 7 days,4,2,10,10,1,5,0,0,1,2,0,0,0,2,0.5,0.5,0.8,1.3,8,0,0,0,0,0,0,0.571,311,269,4
Season Totals,Last 14 days,8,4,18,18,1,5,0,0,1,2,0,0,0,3,0.278,0.278,0.444,0.722,8,0,0,0,0,0,0,0.286,128,97,4
Season Totals,Last 28 days,16,11,43,41,4,8,0,1,3,5,0,0,1,10,0.195,0.209,0.463,0.673,19,0,0,0,1,0,0,0.172,102,77,4
Season Totals,Last 365 days,48,39,139,130,16,28,5,1,8,15,0,0,4,29,0.215,0.241,0.454,0.695,59,2,1,2,2,0,0,0.211,114,,14
Platoon Splits,vs RHP,20,,46,45,5,8,1,0,2,5,0,0,1,10,0.178,0.196,0.333,0.529,15,1,0,0,0,0,0,0.182,66,46,5
Platoon Splits,vs LHP,19,,39,37,4,9,0,1,3,5,0,0,0,8,0.243,0.256,0.541,0.797,20,0,1,0,1,0,0,0.222,141,116,5
Platoon Splits,vs RHP as RHB,20,,46,45,,8,1,0,2,5,0,0,1,10,0.178,0.196,0.333,0.529,15,1,0,0,0,0,0,0.182,66,51,5
Platoon Splits,vs LHP as RHB,19,,39,37,,9,0,1,3,5,0,0,0,8,0.243,0.256,0.541,0.797,20,0,1,0,1,0,0,0.222,141,110,5
Platoon Splits,vs RH Starter,14,9,39,39,3,8,1,0,1,3,0,0,0,7,0.205,0.205,0.308,0.513,12,1,0,0,0,0,0,0.226,64,43,6
Platoon Splits,vs LH Starter,14,14,46,43,6,9,0,1,4,7,0,0,1,11,0.209,0.239,0.535,0.774,23,0,1,0,1,0,0,0.172,132,110,4
Home or Away,Home,17,14,53,51,6,13,1,1,4,9,0,0,1,9,0.255,0.264,0.549,0.813,28,1,0,0,1,0,0,0.231,146,118,7
Home or Away,Away,11,9,32,31,3,4,0,0,1,1,0,0,0,9,0.129,0.156,0.226,0.382,7,0,1,0,0,0,0,0.143,23,8,3
First or Second Half,1st Half,12,12,42,41,5,9,1,0,2,5,0,0,0,8,0.22,0.238,0.39,0.628,16,1,1,0,0,0,0,0.226,98,75,6
First or Second Half,2nd Half,16,11,43,41,4,8,0,1,3,5,0,0,1,10,0.195,0.209,0.463,0.673,19,0,0,0,1,0,0,0.172,102,79,4
Months,May,6,6,22,22,0,3,1,0,0,1,0,0,0,5,0.136,0.136,0.182,0.318,4,1,0,0,0,0,0,0.177,3,-9,2
Months,June,6,6,20,19,5,6,0,0,2,4,0,0,0,3,0.316,0.35,0.632,0.982,12,0,1,0,0,0,0,0.286,204,167,4
Months,July,3,3,9,7,2,2,0,1,1,2,0,0,1,2,0.286,0.333,1.0,1.333,7,0,0,0,1,0,0,0.2,283,245,0
Months,August,13,8,34,34,2,6,0,0,2,3,0,0,0,8,0.177,0.177,0.353,0.529,12,0,0,0,0,0,0,0.167,61,42,4
Game Outcome for Team,in Wins,12,11,41,39,5,8,1,1,3,6,0,0,1,9,0.205,0.22,0.513,0.732,20,1,0,0,1,0,0,0.179,118,69,3
Game Outcome for Team,in Losses,16,12,44,43,4,9,0,0,2,4,0,0,0,9,0.209,0.227,0.349,0.576,15,0,1,0,0,0,0,0.219,83,94,7
Starter or Substitute,as Starter,23,23,77,74,9,16,1,1,5,10,0,0,1,16,0.216,0.234,0.46,0.693,34,1,1,0,1,0,0,0.204,112,89,9
Starter or Substitute,as Sub,5,0,8,8,0,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.167,-15,-23,1
Defensive Positions,as 2B,13,,37,35,4,7,0,1,3,5,0,0,1,9,0.2,0.216,0.514,0.731,18,0,0,0,1,0,0,0.167,117,108,3
Defensive Positions,as 3B,3,,8,8,2,2,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,2,0,0,0,0,0,0,0.286,70,44,2
Defensive Positions,as SS,10,,35,34,3,8,1,0,2,5,0,0,0,7,0.235,0.257,0.441,0.698,15,1,1,0,0,0,0,0.24,118,86,5
Defensive Positions,as PH,4,,4,4,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,Other,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,14,,19,18,,2,0,0,0,0,,,0,3,0.111,0.158,0.111,0.269,2,0,1,0,0,0,0,0.133,-4,-20,2
Batting Order Positions,Batting 2nd,2,2,7,6,1,1,0,0,1,1,0,0,1,2,0.167,0.286,0.667,0.952,4,0,0,0,0,0,0,0.0,184,141,0
Batting Order Positions,Batting 5th,2,1,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.25,36,13,1
