Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,121,476,450,63,118,19,4,13,61,17,8,15,116,0.262,0.293,0.409,0.702,184,6,6,2,3,1,8,0.324,100,96,82
Season Totals,Last 7 days,6,6,23,23,1,6,3,0,0,3,0,1,0,5,0.261,0.261,0.391,0.652,9,0,0,0,0,0,1,0.333,85,89,3
Season Totals,Last 14 days,13,13,50,49,5,14,3,0,0,3,1,1,0,9,0.286,0.3,0.347,0.647,17,0,1,0,0,0,1,0.35,87,84,11
Season Totals,Last 28 days,25,25,98,92,13,28,3,0,1,6,3,2,3,17,0.304,0.347,0.37,0.717,34,1,3,0,0,0,3,0.365,109,100,24
Season Totals,Last 365 days,153,138,565,533,74,138,25,4,15,66,20,9,19,144,0.259,0.291,0.405,0.697,216,8,7,2,4,1,8,0.325,98,,94
Platoon Splits,vs RHP,117,,345,329,44,88,13,2,10,50,15,5,8,76,0.268,0.291,0.41,0.701,135,5,4,1,3,0,3,0.317,100,96,63
Platoon Splits,vs LHP,75,,131,121,19,30,6,2,3,11,2,3,7,40,0.248,0.3,0.405,0.705,49,1,2,1,0,1,5,0.346,101,96,19
Platoon Splits,vs RHP as RHB,117,,345,329,,88,13,2,10,50,0,0,8,76,0.268,0.291,0.41,0.701,135,5,4,1,3,0,3,0.317,100,102,63
Platoon Splits,vs LHP as RHB,75,,131,121,,30,6,2,3,11,0,0,7,40,0.248,0.3,0.405,0.705,49,1,2,1,0,1,5,0.346,101,91,19
Platoon Splits,vs RH Starter,88,84,330,311,47,83,13,3,10,47,13,6,9,80,0.267,0.296,0.424,0.72,132,4,5,2,3,1,3,0.326,105,101,57
Platoon Splits,vs LH Starter,37,37,146,139,16,35,6,1,3,14,4,2,6,36,0.252,0.288,0.374,0.662,52,2,1,0,0,0,5,0.32,90,85,25
Home or Away,Home,62,60,229,215,27,55,12,1,5,24,7,4,7,55,0.256,0.294,0.391,0.685,84,3,5,1,1,0,3,0.321,96,89,37
Home or Away,Away,63,61,247,235,36,63,7,3,8,37,10,4,8,61,0.268,0.293,0.426,0.718,100,3,1,1,2,1,5,0.327,104,103,45
First or Second Half,1st Half,93,89,347,329,45,81,16,4,11,52,11,6,11,94,0.246,0.273,0.42,0.692,138,4,2,2,3,1,5,0.308,95,93,50
First or Second Half,2nd Half,32,32,129,121,18,37,3,0,2,9,6,2,4,22,0.306,0.349,0.38,0.729,46,2,4,0,0,0,3,0.361,112,104,32
Months,April/March,30,27,110,102,15,19,6,2,2,17,4,2,4,29,0.186,0.218,0.343,0.561,35,1,1,0,3,0,1,0.23,58,59,9
Months,May,27,26,97,92,13,22,3,0,5,16,3,1,3,25,0.239,0.263,0.435,0.698,40,1,0,2,0,0,2,0.274,96,98,14
Months,June,24,24,93,89,11,28,4,0,1,8,3,3,3,25,0.315,0.344,0.393,0.737,35,1,1,0,0,0,2,0.429,114,107,23
Months,July,24,24,99,94,14,27,3,2,4,14,5,0,2,24,0.287,0.323,0.489,0.813,46,2,3,0,0,1,1,0.349,130,119,18
Months,August,20,20,77,73,10,22,3,0,1,6,2,2,3,13,0.301,0.338,0.384,0.721,28,1,1,0,0,0,2,0.356,109,102,18
Game Outcome for Team,in Wins,66,64,263,245,49,71,13,4,13,54,13,4,9,56,0.29,0.322,0.535,0.857,131,2,4,2,3,1,3,0.324,141,103,41
Game Outcome for Team,in Losses,59,57,213,205,14,47,6,0,0,7,4,4,6,60,0.229,0.258,0.259,0.517,53,4,2,0,0,0,5,0.324,51,77,41
Starter or Substitute,as Starter,121,121,471,445,62,116,19,3,13,59,17,8,15,115,0.261,0.292,0.405,0.697,180,6,6,2,3,1,8,0.322,98,94,81
Starter or Substitute,as Sub,4,0,5,5,1,2,0,1,0,2,0,0,0,1,0.4,0.4,0.8,1.2,4,0,0,0,0,0,0,0.5,232,257,1
Defensive Positions,as 2B,4,,5,5,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 3B,1,,2,2,,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as SS,69,,237,228,28,64,13,2,10,36,8,4,3,54,0.281,0.301,0.487,0.788,111,4,4,1,1,1,5,0.327,122,110,39
Defensive Positions,as CF,68,,230,213,35,54,6,2,3,24,9,4,12,60,0.254,0.297,0.343,0.64,73,2,2,1,2,0,3,0.336,85,85,43
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,2,,2,1,,0,0,0,0,0,,,1,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,,71,63,0
Leading Off Inning,Leadoff Inn.,82,,112,107,,33,4,0,2,3,,,2,28,0.308,0.333,0.402,0.735,43,0,2,1,0,0,1,0.403,112,111,27
Batting Order Positions,Batting 1st,2,2,9,8,1,1,0,0,0,0,0,0,1,4,0.125,0.222,0.125,0.347,1,0,0,0,0,0,0,0.25,6,-1,1
Batting Order Positions,Batting 2nd,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 6th,5,4,16,16,2,4,1,0,0,0,0,0,0,6,0.25,0.25,0.313,0.563,5,0,0,0,0,0,0,0.4,62,64,3
Batting Order Positions,Batting 7th,5,4,18,16,2,4,0,2,0,4,0,2,2,3,0.25,0.333,0.5,0.833,8,0,0,0,0,0,0,0.308,136,140,2
Batting Order Positions,Batting 8th,25,24,94,85,9,19,2,0,2,10,4,1,4,25,0.224,0.269,0.318,0.586,27,0,2,1,2,0,0,0.283,70,79,15
Batting Order Positions,Batting 9th,87,87,338,324,49,90,16,2,11,47,13,5,8,77,0.278,0.303,0.441,0.744,143,6,4,1,1,1,8,0.333,111,137,61
Swung or Took First Pitch of PA,Swung at 1st Pitch,115,,238,228,,59,7,2,5,30,,,3,54,0.259,0.283,0.373,0.656,85,4,5,1,1,0,6,0.318,88,88,45
Swung or Took First Pitch of PA,Took 1st Pitch,116,,238,222,,59,12,2,8,31,,,12,62,0.266,0.304,0.446,0.75,99,2,1,1,2,1,2,0.331,113,108,37
Count/Balls-Strikes,First Pitch,60,,74,72,12,21,2,0,4,12,5,5,0,0,0.292,0.301,0.486,0.788,35,3,1,1,0,0,3,0.25,122,75,15
Count/Balls-Strikes,1-0 Count,23,,25,23,9,9,3,0,2,8,0,0,0,0,0.391,0.375,0.783,1.158,18,2,0,1,1,0,0,0.318,219,146,4
Count/Balls-Strikes,2-0 Count,6,,6,5,1,1,0,0,0,2,1,0,0,0,0.2,0.167,0.2,0.367,1,0,0,0,1,0,0,0.167,6,-19,1
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,0,0,0,4,0,,1.0,,,0,0,0,0,0,1,0,,,,0
Count/Balls-Strikes,0-1 Count,38,,45,44,6,17,3,0,0,4,2,1,0,0,0.386,0.4,0.455,0.855,20,0,1,0,0,0,2,0.386,148,110,14
