Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,95,87,385,349,47,88,19,3,8,40,5,2,31,65,0.252,0.322,0.393,0.715,137,3,5,0,0,2,2,0.29,100,101,58
Season Totals,Last 7 days,4,4,17,16,1,4,0,0,1,2,0,0,1,2,0.25,0.294,0.438,0.732,7,0,0,0,0,0,0,0.231,103,109,3
Season Totals,Last 14 days,9,9,40,39,3,9,0,0,1,5,0,0,1,7,0.231,0.25,0.308,0.558,12,0,0,0,0,0,1,0.258,56,55,8
Season Totals,Last 28 days,16,16,67,64,5,15,0,0,1,6,0,1,3,12,0.234,0.269,0.281,0.55,18,0,0,0,0,0,2,0.275,55,53,14
Season Totals,Last 365 days,129,119,531,477,62,123,29,4,9,49,9,2,45,86,0.258,0.332,0.392,0.724,187,5,8,0,1,2,3,0.298,103,,81
Platoon Splits,vs RHP,92,,295,268,42,66,14,2,7,33,3,1,24,55,0.246,0.315,0.392,0.707,105,2,3,0,0,2,2,0.286,98,99,43
Platoon Splits,vs LHP,53,,90,81,5,22,5,1,1,7,2,1,7,10,0.272,0.344,0.395,0.74,32,1,2,0,0,0,0,0.3,107,107,15
Platoon Splits,vs RHP as LHB,92,,295,268,,66,14,2,7,33,0,0,24,55,0.246,0.315,0.392,0.707,105,2,3,0,0,2,2,0.286,98,93,43
Platoon Splits,vs LHP as LHB,53,,90,81,,22,5,1,1,7,0,0,7,10,0.272,0.344,0.395,0.74,32,1,2,0,0,0,0,0.3,107,121,15
Platoon Splits,vs RH Starter,73,71,307,275,41,69,15,3,6,30,4,2,27,51,0.251,0.329,0.393,0.722,108,3,5,0,0,2,2,0.289,102,104,45
Platoon Splits,vs LH Starter,22,16,78,74,6,19,4,0,2,10,1,0,4,14,0.257,0.295,0.392,0.687,29,0,0,0,0,0,0,0.293,91,92,13
Home or Away,Home,45,41,185,166,27,48,13,2,6,27,0,0,17,36,0.289,0.362,0.5,0.862,83,1,2,0,0,0,1,0.339,140,137,27
