Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,84,64,238,214,27,41,5,1,4,22,8,2,16,67,0.192,0.257,0.28,0.538,60,2,4,1,3,0,4,0.253,100,52,31
Season Totals,Last 7 days,7,4,12,10,1,1,0,0,0,1,1,0,1,2,0.1,0.167,0.1,0.267,1,0,0,0,1,0,1,0.111,1,-19,1
Season Totals,Last 14 days,13,9,32,28,2,3,0,0,0,1,1,0,2,9,0.107,0.188,0.107,0.295,3,0,1,0,1,0,1,0.15,11,-13,3
Season Totals,Last 28 days,23,15,50,44,5,6,0,0,0,1,1,0,2,13,0.136,0.204,0.136,0.341,6,0,2,1,1,0,1,0.188,28,-2,6
Season Totals,Last 365 days,114,91,356,321,39,67,9,1,7,37,13,5,23,90,0.209,0.273,0.308,0.582,99,3,7,1,4,0,4,0.263,116,,50
Platoon Splits,vs RHP,59,,158,141,20,27,4,0,3,15,5,2,10,49,0.192,0.255,0.284,0.539,40,2,3,1,3,0,2,0.261,101,53,20
Platoon Splits,vs LHP,40,,80,73,7,14,1,1,1,7,3,0,6,18,0.192,0.263,0.274,0.537,20,0,1,0,0,0,2,0.241,100,52,11
Platoon Splits,vs RHP as RHB,59,,158,141,,27,4,0,3,15,0,0,10,49,0.192,0.255,0.284,0.539,40,2,3,1,3,0,2,0.261,101,57,20
Platoon Splits,vs LHP as RHB,40,,80,73,,14,1,1,1,7,0,0,6,18,0.192,0.263,0.274,0.537,20,0,1,0,0,0,2,0.241,100,48,11
Platoon Splits,vs RH Starter,56,37,144,130,15,22,3,0,3,12,3,1,10,50,0.169,0.238,0.262,0.499,34,1,2,1,1,0,1,0.244,86,42,16
Platoon Splits,vs LH Starter,28,27,94,84,12,19,2,1,1,10,5,1,6,17,0.226,0.287,0.31,0.597,26,1,2,0,2,0,3,0.265,122,69,15
Home or Away,Home,39,30,109,97,16,21,3,0,3,14,7,1,8,29,0.217,0.287,0.34,0.627,33,1,2,1,1,0,3,0.273,133,74,15
Home or Away,Away,45,34,129,117,11,20,2,1,1,8,1,1,8,38,0.171,0.233,0.231,0.463,27,1,2,0,2,0,1,0.238,73,34,16
First or Second Half,1st Half,56,46,174,158,20,32,5,1,3,19,7,2,13,50,0.203,0.264,0.304,0.568,48,2,1,0,2,0,3,0.271,111,61,23
First or Second Half,2nd Half,28,18,64,56,7,9,0,0,1,3,1,0,3,17,0.161,0.238,0.214,0.452,12,0,3,1,1,0,1,0.205,69,28,8
Months,April/March,21,21,83,72,6,17,3,0,0,8,2,0,9,23,0.236,0.325,0.278,0.603,20,1,1,0,1,0,0,0.34,126,76,14
Months,May,6,5,16,16,0,1,0,0,0,0,0,0,0,5,0.063,0.063,0.063,0.125,1,1,0,0,0,0,0,0.091,-53,-63,1
Months,June,19,13,48,45,9,11,2,1,3,10,3,2,2,15,0.244,0.271,0.533,0.804,24,0,0,0,1,0,1,0.286,196,118,5
Months,July,19,13,51,45,9,9,0,0,1,3,2,0,3,14,0.2,0.28,0.267,0.547,12,0,2,1,0,0,2,0.267,104,53,8
Months,August,19,12,40,36,3,3,0,0,0,1,1,0,2,10,0.083,0.15,0.083,0.233,3,0,1,0,1,0,1,0.111,-12,-32,3
