Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,26,632,561,75.0,150,21,1,16,11,9,56,140,2.5,0.267,0.346,0.394,0.74,221.0,12.0,12.0,2,1,2,3,0.33,100,109,112
Season Totals,Last 7 days,2,45,40,7.0,9,3,1,1,2,1,4,11,2.75,0.225,0.311,0.425,0.736,17.0,0.0,1.0,0,0,0,0,0.286,98,114,4
Season Totals,Last 14 days,3,67,59,14.0,17,5,1,3,3,2,6,16,2.67,0.288,0.373,0.559,0.932,33.0,0.0,2.0,0,0,0,0,0.35,150,161,8
Season Totals,Last 28 days,5,112,101,21.0,29,6,1,5,4,4,9,28,3.11,0.287,0.357,0.515,0.872,52.0,1.0,2.0,0,0,0,0,0.353,134,138,17
Season Totals,Last 365 days,33,821,738,89.0,191,31,1,21,15,9,66,183,2.77,0.259,0.33,0.389,0.719,287.0,17.0,13.0,3,1,4,3,0.318,94,,138
Platoon Splits,vs RHB,26,308,278,22.0,69,10,0,4,8,5,20,75,3.75,0.248,0.319,0.327,0.647,91.0,6.0,9.0,1,0,1,1,0.327,75,86,55
Platoon Splits,vs LHB,26,324,283,47.0,81,11,1,12,3,4,36,65,1.81,0.286,0.372,0.459,0.831,130.0,6.0,3.0,1,1,1,2,0.333,124,130,57
Platoon Splits,vs RHB as RHP,26,308,278,22.0,69,10,0,4,8,5,20,75,3.75,0.248,0.319,0.327,0.647,91.0,6.0,9.0,1,0,1,1,0.327,75,90,55
Platoon Splits,vs LHB as RHP,26,324,283,47.0,81,11,1,12,3,4,36,65,1.81,0.286,0.372,0.459,0.831,130.0,6.0,3.0,1,1,1,2,0.333,124,127,57
Home or Away,Home,15,371,329,46.0,88,15,0,10,8,5,32,86,2.69,0.268,0.349,0.404,0.753,133.0,7.0,9.0,1,0,2,2,0.335,103,116,63
Home or Away,Away,11,261,232,29.0,62,6,1,6,3,4,24,54,2.25,0.267,0.342,0.379,0.722,88.0,5.0,3.0,1,1,0,1,0.324,95,101,49
First or Second Half,1st Half,19,469,414,46.0,109,12,0,8,6,5,45,100,2.22,0.263,0.345,0.35,0.695,145.0,11.0,7.0,2,1,2,3,0.329,89,99,89
First or Second Half,2nd Half,7,163,147,29.0,41,9,1,8,5,4,11,40,3.64,0.279,0.35,0.517,0.867,76.0,1.0,5.0,0,0,0,0,0.333,132,137,23
Months,April/March,6,140,122,22.0,39,1,0,6,5,2,17,30,1.76,0.32,0.407,0.475,0.883,58.0,5.0,1.0,0,0,0,0,0.384,138,153,32
Months,May,5,121,109,8.0,22,5,0,1,0,0,8,26,3.25,0.202,0.267,0.275,0.542,30.0,3.0,2.0,1,1,0,2,0.253,47,58,16
Months,June,6,157,140,9.0,35,5,0,1,1,3,12,35,2.92,0.25,0.327,0.307,0.634,43.0,3.0,4.0,1,0,1,1,0.327,72,80,29
Months,July,5,122,108,20.0,34,5,0,4,2,2,11,24,2.18,0.315,0.393,0.472,0.866,51.0,1.0,3.0,0,0,1,0,0.375,133,137,25
Months,August,4,92,82,16.0,20,5,1,4,3,2,8,25,3.13,0.244,0.326,0.476,0.802,39.0,0.0,2.0,0,0,0,0,0.302,115,121,10
Game Outcome for Pitcher,in Wins,9,224,200,13.0,44,6,0,2,1,3,19,60,3.16,0.22,0.299,0.28,0.579,56.0,5.0,4.0,0,1,1,3,0.302,58,123,36
Game Outcome for Pitcher,in Losses,12,279,246,53.0,81,11,1,13,7,5,26,54,2.08,0.329,0.407,0.541,0.947,133.0,4.0,6.0,1,0,1,0,0.38,155,97,56
Game Outcome for Pitcher,in No Dec.,5,129,115,9.0,25,4,0,1,3,1,11,26,2.36,0.217,0.297,0.278,0.575,32.0,3.0,2.0,1,0,0,0,0.273,56,67,20
Pitching Role,as Starter,26,632,561,75.0,150,21,1,16,11,9,56,140,2.5,0.267,0.346,0.394,0.74,221.0,12.0,12.0,2,1,2,3,0.33,100,107,112
