Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,73,66,248,230,23,54,9,0,7,27,3,1,9,50,0.235,0.262,0.365,0.628,84,9,1,4,4,0,4,0.266,100,75,38
Season Totals,Last 7 days,5,3,14,14,1,5,0,0,0,3,0,0,0,3,0.357,0.357,0.357,0.714,5,0,0,0,0,0,0,0.455,134,109,5
Season Totals,Last 14 days,8,6,25,23,4,10,2,0,1,5,0,0,1,3,0.435,0.44,0.652,1.092,15,0,0,0,1,0,0,0.45,247,200,7
Season Totals,Last 28 days,15,12,50,46,9,18,3,0,3,11,1,0,3,8,0.391,0.42,0.652,1.072,30,0,0,0,1,0,0,0.417,239,189,12
Season Totals,Last 365 days,96,85,329,306,30,69,11,0,10,35,4,1,14,73,0.226,0.259,0.36,0.618,110,11,1,4,4,0,4,0.26,97,,48
Platoon Splits,vs RHP,62,,174,159,13,38,7,0,4,16,1,1,7,35,0.239,0.271,0.359,0.629,57,7,1,4,3,0,3,0.276,102,77,27
Platoon Splits,vs LHP,39,,74,71,10,16,2,0,3,11,2,0,2,15,0.225,0.243,0.38,0.624,27,2,0,0,1,0,1,0.241,97,71,11
Platoon Splits,vs RHP as RHB,62,,174,159,,38,7,0,4,16,0,0,7,35,0.239,0.271,0.359,0.629,57,7,1,4,3,0,3,0.276,102,82,27
Platoon Splits,vs LHP as RHB,39,,74,71,,16,2,0,3,11,0,0,2,15,0.225,0.243,0.38,0.624,27,2,0,0,1,0,1,0.241,97,67,11
Platoon Splits,vs RH Starter,48,44,167,151,18,38,7,0,6,21,1,0,7,31,0.252,0.282,0.417,0.699,63,6,1,4,4,0,2,0.271,122,95,25
Platoon Splits,vs LH Starter,25,22,81,79,5,16,2,0,1,6,2,1,2,19,0.203,0.222,0.266,0.488,21,3,0,0,0,0,2,0.254,58,37,13
Home or Away,Home,31,31,115,104,11,28,8,0,3,16,0,1,5,21,0.269,0.301,0.433,0.734,45,2,1,2,3,0,2,0.301,134,102,17
