Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,121,119,499,430,49,82,8,1,20,53,8,6,55,128,0.191,0.295,0.354,0.648,152,14,10,0,4,3,4,0.217,100,82,53
Season Totals,Last 7 days,5,4,22,20,3,5,1,0,0,0,0,0,2,10,0.25,0.318,0.3,0.618,6,0,0,0,0,1,0,0.5,93,81,4
Season Totals,Last 14 days,12,11,51,47,3,8,1,0,0,0,1,0,4,18,0.17,0.235,0.192,0.427,9,1,0,0,0,1,0,0.276,34,22,7
Season Totals,Last 28 days,20,19,83,73,7,11,1,0,2,2,1,1,8,27,0.151,0.253,0.247,0.5,18,3,2,0,0,1,1,0.205,56,40,8
Season Totals,Last 365 days,148,143,603,526,61,105,12,3,27,63,10,6,63,153,0.2,0.295,0.388,0.683,204,15,10,0,4,3,5,0.223,110,,63
Platoon Splits,vs RHP,117,,396,345,38,70,8,1,16,44,7,5,42,104,0.203,0.301,0.371,0.672,128,9,7,0,2,0,4,0.238,107,89,45
Platoon Splits,vs LHP,58,,103,85,11,12,0,0,4,9,1,1,13,24,0.141,0.272,0.282,0.554,24,5,3,0,2,3,0,0.136,72,56,8
Platoon Splits,vs RHP as RHB,117,,396,345,,70,8,1,16,44,0,0,42,104,0.203,0.301,0.371,0.672,128,9,7,0,2,0,4,0.238,107,95,45
Platoon Splits,vs LHP as RHB,58,,103,85,,12,0,0,4,9,0,0,13,24,0.141,0.272,0.282,0.554,24,5,3,0,2,3,0,0.136,72,53,8
Platoon Splits,vs RH Starter,98,96,407,353,43,70,7,1,18,47,7,5,44,106,0.198,0.297,0.377,0.674,133,10,7,0,3,3,4,0.224,108,89,44
Platoon Splits,vs LH Starter,23,23,92,77,6,12,1,0,2,6,1,1,11,22,0.156,0.283,0.247,0.529,19,4,3,0,1,0,0,0.185,66,52,9
Home or Away,Home,60,58,241,205,27,40,5,0,9,25,4,0,28,60,0.195,0.303,0.351,0.654,72,8,5,0,3,2,1,0.223,102,82,26
Home or Away,Away,61,61,258,225,22,42,3,1,11,28,4,6,27,68,0.187,0.287,0.356,0.642,80,6,5,0,1,1,3,0.211,98,83,27
First or Second Half,1st Half,96,95,396,341,42,69,7,1,18,50,7,5,43,93,0.202,0.303,0.387,0.69,132,11,8,0,4,2,3,0.218,112,95,43
First or Second Half,2nd Half,25,24,103,89,7,13,1,0,2,3,1,1,12,35,0.146,0.262,0.225,0.487,20,3,2,0,0,1,1,0.212,53,38,10
Months,April/March,29,29,120,107,17,23,3,1,4,14,2,1,12,25,0.215,0.292,0.374,0.666,40,3,0,0,1,1,2,0.241,105,90,15
Months,May,28,28,116,93,8,17,1,0,6,21,3,1,17,26,0.183,0.319,0.387,0.706,36,3,3,0,3,1,1,0.172,118,104,10
Months,June,27,26,109,93,13,18,1,0,5,10,2,2,12,25,0.194,0.312,0.366,0.678,34,4,4,0,0,0,0,0.206,109,90,12
Months,July,21,21,85,77,8,16,2,0,5,8,0,1,6,29,0.208,0.282,0.429,0.711,33,2,2,0,0,0,0,0.256,117,92,9
Months,August,16,15,69,60,3,8,1,0,0,0,1,1,8,23,0.133,0.246,0.15,0.396,9,2,1,0,0,1,1,0.216,26,15,7
Game Outcome for Team,in Wins,58,56,241,204,34,46,3,0,12,32,4,3,33,52,0.226,0.34,0.417,0.757,85,5,3,0,1,3,1,0.241,133,83,31
Game Outcome for Team,in Losses,63,63,258,226,15,36,5,1,8,21,4,3,22,76,0.159,0.252,0.297,0.548,67,9,7,0,3,0,3,0.193,69,86,22
Starter or Substitute,as Starter,119,119,493,425,47,79,7,1,20,52,8,6,54,127,0.186,0.29,0.348,0.638,148,14,10,0,4,2,4,0.209,97,79,51
Starter or Substitute,as Sub,2,0,6,5,2,3,1,0,0,1,0,0,1,1,0.6,0.667,0.8,1.467,4,0,0,0,0,1,0,0.75,353,345,2
Defensive Positions,as 2B,10,,43,37,5,6,1,0,1,1,1,0,4,11,0.162,0.279,0.27,0.549,10,0,2,0,0,1,1,0.2,71,63,4
Defensive Positions,as 3B,74,,301,255,34,52,4,0,14,42,5,4,36,75,0.204,0.312,0.384,0.697,98,6,6,0,4,2,3,0.224,115,97,34
Defensive Positions,as DH,37,,154,137,10,23,3,1,5,9,2,2,15,42,0.168,0.26,0.314,0.574,43,8,2,0,0,0,0,0.2,77,54,14
Defensive Positions,as PH,1,,1,1,,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,522,526,1
Leading Off Inning,1st Batter G,1,,1,1,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,81,,124,110,,18,2,1,2,2,,,12,38,0.164,0.258,0.255,0.513,28,0,2,0,0,1,0,0.229,60,49,13
Batting Order Positions,Batting 1st,2,1,10,8,3,3,1,0,0,0,1,0,1,2,0.375,0.5,0.5,1.0,4,0,1,0,0,1,0,0.5,211,176,2
Batting Order Positions,Batting 2nd,6,6,25,24,0,1,0,0,0,0,0,0,1,7,0.042,0.08,0.042,0.122,1,1,0,0,0,0,0,0.059,-61,-66,1
Batting Order Positions,Batting 3rd,14,14,62,54,5,8,1,0,2,2,1,1,7,20,0.148,0.258,0.278,0.536,15,3,1,0,0,0,1,0.188,66,39,5
Batting Order Positions,Batting 4th,69,69,285,243,31,49,4,1,13,40,6,2,32,64,0.202,0.305,0.387,0.692,94,9,6,0,4,2,3,0.212,113,88,31
Batting Order Positions,Batting 5th,14,14,55,47,6,9,1,0,2,4,0,1,8,14,0.192,0.309,0.34,0.65,16,1,0,0,0,0,0,0.226,101,82,6
Batting Order Positions,Batting 6th,15,15,61,53,4,11,1,0,3,6,0,2,6,21,0.208,0.312,0.396,0.708,21,0,2,0,0,0,0,0.276,118,106,7
Batting Order Positions,Batting 9th,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,522,548,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,107,,193,179,,35,7,1,8,22,,,10,44,0.196,0.249,0.38,0.629,68,6,3,0,1,0,2,0.211,92,78,19
Swung or Took First Pitch of PA,Took 1st Pitch,119,,306,251,,47,1,0,12,31,,,45,84,0.187,0.324,0.335,0.658,84,8,7,0,3,3,2,0.222,105,85,34
Count/Balls-Strikes,First Pitch,53,,63,62,9,16,1,1,4,12,2,2,0,0,0.258,0.27,0.5,0.77,31,5,1,0,0,0,1,0.207,133,68,10
Count/Balls-Strikes,1-0 Count,35,,38,36,6,8,0,0,3,6,0,1,0,0,0.222,0.237,0.472,0.709,17,0,1,0,1,0,0,0.147,114,52,5
Count/Balls-Strikes,2-0 Count,13,,13,13,3,1,0,0,1,4,0,0,0,0,0.077,0.077,0.308,0.385,4,0,0,0,0,0,0,0.0,13,-28,0
Count/Balls-Strikes,3-0 Count,7,,7,1,,0,0,0,0,0,0,0,6,0,0.0,0.857,0.0,0.857,0,0,0,0,0,3,0,0.0,191,-9,0
Count/Balls-Strikes,0-1 Count,35,,38,35,4,9,2,0,3,6,3,0,0,0,0.257,0.263,0.571,0.835,20,3,1,0,2,0,0,0.177,151,91,4
Count/Balls-Strikes,1-1 Count,27,,31,31,4,8,1,0,1,4,0,2,0,0,0.258,0.258,0.387,0.645,12,1,0,0,0,0,0,0.233,97,53,6
Count/Balls-Strikes,2-1 Count,20,,23,22,3,7,0,0,1,1,1,0,0,0,0.318,0.348,0.455,0.802,10,2,1,0,0,0,0,0.286,147,79,6
Count/Balls-Strikes,3-1 Count,19,,21,9,2,4,0,0,2,3,0,0,12,0,0.444,0.762,1.111,1.873,10,0,0,0,0,0,0,0.286,473,184,2
Count/Balls-Strikes,0-2 Count,35,,39,36,3,5,2,0,1,3,0,1,0,17,0.139,0.205,0.278,0.483,10,1,3,0,0,0,2,0.222,48,153,2
Count/Balls-Strikes,1-2 Count,57,,70,69,6,14,0,0,2,5,0,0,0,38,0.203,0.214,0.29,0.504,20,0,1,0,0,0,0,0.414,55,144,12
Count/Balls-Strikes,2-2 Count,58,,66,65,7,5,1,0,1,5,1,0,0,39,0.077,0.091,0.139,0.229,9,1,1,0,0,0,0,0.16,-30,2,3
Count/Balls-Strikes,Full Count,68,,90,51,2,5,1,0,1,4,1,0,37,34,0.098,0.478,0.177,0.654,9,1,1,0,1,0,1,0.235,112,58,3
Count/Balls-Strikes,After 1-0,104,,189,155,,32,0,0,8,23,,,32,46,0.207,0.344,0.361,0.705,56,3,1,0,1,3,0,0.235,119,76,24
Count/Balls-Strikes,After 2-0,48,,54,36,,5,0,0,1,4,,,18,12,0.139,0.426,0.222,0.648,8,0,0,0,0,3,0,0.174,107,34,4
Count/Balls-Strikes,After 3-0,13,,13,4,,0,0,0,0,0,,,9,2,0.0,0.692,0.0,0.692,0,0,0,0,0,3,0,0.0,135,-6,0
Count/Balls-Strikes,After 0-1,114,,245,212,,34,7,0,8,18,,,22,82,0.16,0.261,0.307,0.568,65,6,8,0,3,0,3,0.208,75,89,19
Count/Balls-Strikes,After 1-1,106,,208,174,,33,3,0,7,21,,,30,72,0.19,0.317,0.328,0.645,57,4,3,0,1,0,1,0.271,100,96,23
Count/Balls-Strikes,After 2-1,76,,104,77,,15,1,0,3,5,,,25,29,0.195,0.404,0.325,0.729,25,3,2,0,0,0,1,0.267,129,86,11
Count/Balls-Strikes,After 3-1,31,,37,20,,4,0,0,2,3,,,17,9,0.2,0.568,0.5,1.068,10,0,0,0,0,0,0,0.222,234,110,2
