Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,99,99,430,391,50,107,19,1,13,51,7,2,32,68,0.274,0.33,0.427,0.757,167,7,3,0,4,5,3,0.299,100,112,74
Season Totals,Last 7 days,6,6,26,25,1,6,3,0,0,3,1,0,1,2,0.24,0.269,0.36,0.629,9,0,0,0,0,0,0,0.261,66,83,3
Season Totals,Last 14 days,11,11,48,43,3,10,3,0,1,6,2,0,4,3,0.233,0.292,0.372,0.664,16,0,0,0,1,1,0,0.225,76,88,6
Season Totals,Last 28 days,20,20,86,79,11,23,4,0,4,14,2,0,5,9,0.291,0.326,0.494,0.819,39,0,0,0,2,1,0,0.279,115,123,15
Season Totals,Last 365 days,134,134,586,531,73,145,27,1,19,81,10,5,43,93,0.273,0.329,0.435,0.764,231,11,5,0,7,6,3,0.296,102,,98
Platoon Splits,vs RHP,95,,307,273,33,70,15,0,10,32,6,1,30,48,0.256,0.332,0.421,0.753,115,6,2,0,2,5,3,0.277,99,112,45
Platoon Splits,vs LHP,69,,123,118,17,37,4,1,3,19,1,1,2,20,0.314,0.325,0.441,0.766,52,1,1,0,2,0,0,0.351,102,113,29
Platoon Splits,vs RHP as LHB,95,,307,273,,70,15,0,10,32,0,0,30,48,0.256,0.332,0.421,0.753,115,6,2,0,2,5,3,0.277,99,105,45
Platoon Splits,vs LHP as LHB,69,,123,118,,37,4,1,3,19,0,0,2,20,0.314,0.325,0.441,0.766,52,1,1,0,2,0,0,0.351,102,128,29
Platoon Splits,vs RH Starter,78,78,339,302,35,76,15,0,11,38,5,2,30,54,0.252,0.322,0.411,0.732,124,6,3,0,4,5,3,0.27,94,106,50
Platoon Splits,vs LH Starter,21,21,91,89,15,31,4,1,2,13,2,0,2,14,0.348,0.363,0.483,0.846,43,1,0,0,0,0,0,0.397,123,136,24
Home or Away,Home,51,51,211,193,26,47,10,0,7,26,3,1,15,37,0.244,0.299,0.404,0.703,78,4,1,0,2,1,1,0.265,85,94,30
Home or Away,Away,48,48,219,198,24,60,9,1,6,25,4,1,17,31,0.303,0.361,0.45,0.81,89,3,2,0,2,4,2,0.331,115,131,44
