Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,21,416.0,386,59.0,112,26,4,14,2,2,21,66,3.14,0.29,0.33,0.487,0.817,188.0,7.0,4.0,1,4,1,1,0.316,100,127,68
Season Totals,Last 28 days,3,29.0,27,5.0,9,0,1,2,0,0,1,5,5.0,0.333,0.345,0.63,0.974,17.0,0.0,0.0,0,1,1,1,0.333,134,160,6
Season Totals,Last 365 days,27,494.0,459,70.0,129,28,4,18,2,2,23,81,3.52,0.281,0.321,0.477,0.798,219.0,8.0,6.0,1,5,1,2,0.304,95,,79
Platoon Splits,vs RHB,21,321.0,295,48.0,93,23,4,13,1,2,19,52,2.74,0.315,0.359,0.553,0.912,163.0,3.0,3.0,1,3,1,0,0.343,122,156,53
Platoon Splits,vs LHB,18,95.0,91,11.0,19,3,0,1,1,0,2,14,7.0,0.209,0.232,0.275,0.506,25.0,4.0,1.0,0,1,0,1,0.234,27,41,15
Platoon Splits,vs RHB as LHP,21,321.0,295,48.0,93,23,4,13,1,2,19,52,2.74,0.315,0.359,0.553,0.912,163.0,3.0,3.0,1,3,1,0,0.343,122,145,53
Platoon Splits,vs LHB as LHP,18,95.0,91,11.0,19,3,0,1,1,0,2,14,7.0,0.209,0.232,0.275,0.506,25.0,4.0,1.0,0,1,0,1,0.234,27,51,15
Home or Away,Home,13,259.0,242,36.0,75,14,4,8,1,2,11,42,3.82,0.31,0.345,0.5,0.845,121.0,5.0,3.0,1,2,1,1,0.345,107,139,49
Home or Away,Away,8,157.0,144,23.0,37,12,0,6,1,0,10,24,2.4,0.257,0.306,0.465,0.771,67.0,2.0,1.0,0,2,0,0,0.267,88,111,19
First or Second Half,1st Half,18,387.0,359,54.0,103,26,3,12,2,2,20,61,3.05,0.287,0.329,0.476,0.805,171.0,7.0,4.0,1,3,0,0,0.315,97,125,62
First or Second Half,2nd Half,3,29.0,27,5.0,9,0,1,2,0,0,1,5,5.0,0.333,0.345,0.63,0.974,17.0,0.0,0.0,0,1,1,1,0.333,134,163,6
Months,April/March,5,116.0,108,11.0,28,4,1,2,0,0,7,18,2.57,0.259,0.31,0.37,0.681,40.0,5.0,1.0,0,0,0,0,0.296,70,95,21
Months,May,5,89.0,85,7.0,18,4,0,2,1,0,4,18,4.5,0.212,0.247,0.329,0.577,28.0,1.0,0.0,0,0,0,0,0.246,42,65,12
Months,June,6,143.0,132,27.0,45,13,1,6,1,2,6,20,3.33,0.341,0.373,0.591,0.964,78.0,0.0,2.0,1,2,0,0,0.361,134,164,25
Months,July,5,68.0,61,14.0,21,5,2,4,0,0,4,10,2.5,0.344,0.382,0.689,1.071,42.0,1.0,1.0,0,2,1,1,0.347,157,186,10
Game Outcome for Pitcher,in Wins,6,141.0,133,5.0,27,5,0,2,1,0,6,29,4.83,0.203,0.241,0.286,0.527,38.0,2.0,1.0,0,1,0,0,0.243,32,100,20
Game Outcome for Pitcher,in Losses,5,111.0,103,26.0,37,11,2,3,1,1,5,16,3.2,0.359,0.4,0.592,0.992,61.0,0.0,2.0,1,0,0,0,0.405,143,104,21
Game Outcome for Pitcher,in No Dec.,10,164.0,150,28.0,48,10,2,9,0,1,10,21,2.1,0.32,0.36,0.593,0.953,89.0,5.0,1.0,0,3,1,1,0.317,131,169,27
Game Outcome for Pitcher,in Sv Situ,1,6.0,6,0.0,1,0,0,0,0,0,0,0,,0.167,0.167,0.167,0.333,1.0,1.0,0.0,0,0,0,0,0.167,-15,2,1
Game Outcome for Pitcher,in non-Sv,6,85.0,78,19.0,27,8,2,5,0,0,4,12,3.0,0.346,0.377,0.692,1.069,54.0,1.0,1.0,0,2,1,1,0.349,156,194,12
Pitching Role,as Starter,14,325.0,302,40.0,84,18,2,9,2,2,17,54,3.18,0.278,0.321,0.44,0.761,133.0,5.0,3.0,1,2,0,0,0.311,88,110,55
Pitching Role,as Reliever,7,91.0,84,19.0,28,8,2,5,0,0,4,12,3.0,0.333,0.363,0.655,1.017,55.0,2.0,1.0,0,2,1,1,0.333,145,186,13
Run Support,0-2 Runs Scored,2,44.0,38,9.0,12,1,2,1,0,0,4,5,1.25,0.316,0.409,0.526,0.935,20.0,0.0,2.0,0,0,0,0,0.344,132,151,8
Run Support,3-5 Runs Scored,5,125.0,119,8.0,28,7,0,2,1,1,5,21,4.2,0.235,0.264,0.345,0.609,41.0,0.0,0.0,0,1,0,0,0.268,51,71,19
Run Support,6+ Runs Scored,7,156.0,145,23.0,44,10,0,6,1,1,8,28,3.5,0.303,0.342,0.497,0.839,72.0,5.0,1.0,1,1,0,0,0.339,106,134,28
Batting Order Positions,Batting 1st,21,54.0,51,7.0,15,4,1,2,0,0,2,6,3.0,0.294,0.315,0.529,0.844,27.0,1.0,0.0,0,1,0,0,0.296,104,126,8
Batting Order Positions,Batting 2nd,21,52.0,47,9.0,18,7,0,0,1,0,4,5,1.25,0.383,0.442,0.532,0.974,25.0,0.0,1.0,0,0,1,0,0.429,143,157,11
Batting Order Positions,Batting 3rd,21,50.0,45,12.0,15,3,1,3,0,0,3,10,3.33,0.333,0.36,0.644,1.004,29.0,0.0,0.0,0,2,0,0,0.353,141,151,8
Batting Order Positions,Batting 4th,20,48.0,45,7.0,11,3,0,2,1,0,2,11,5.5,0.244,0.292,0.444,0.736,20.0,2.0,1.0,0,0,0,0,0.281,80,98,6
Batting Order Positions,Batting 5th,20,46.0,44,3.0,16,1,2,2,0,0,1,2,2.0,0.364,0.391,0.614,1.005,27.0,0.0,1.0,0,0,0,0,0.35,145,175,11
Batting Order Positions,Batting 6th,20,45.0,41,5.0,8,0,0,2,0,1,2,6,3.0,0.195,0.244,0.342,0.586,14.0,1.0,1.0,0,1,0,0,0.177,44,70,6
Batting Order Positions,Batting 7th,19,42.0,39,7.0,13,4,0,2,0,1,3,6,2.0,0.333,0.381,0.59,0.971,23.0,2.0,0.0,0,0,0,0,0.355,137,179,7
Batting Order Positions,Batting 8th,19,41.0,40,6.0,11,3,0,1,0,0,1,9,9.0,0.275,0.293,0.425,0.718,17.0,0.0,0.0,0,0,0,1,0.333,76,116,7
Batting Order Positions,Batting 9th,19,38.0,34,3.0,5,1,0,0,0,0,3,11,3.67,0.147,0.216,0.177,0.393,6.0,1.0,0.0,1,0,0,0,0.217,2,28,4
