Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,122,104,439,390,61,97,19,2,19,57,8,3,39,130,0.249,0.326,0.454,0.78,177,8,7,0,3,2,0,0.32,100,118,57
Season Totals,Last 7 days,7,7,27,24,5,6,1,1,1,1,1,0,2,13,0.25,0.333,0.5,0.833,12,0,1,0,0,0,0,0.5,112,141,3
Season Totals,Last 14 days,13,13,57,53,9,13,3,1,1,3,1,0,3,18,0.245,0.298,0.396,0.694,21,1,1,0,0,0,0,0.353,79,96,8
Season Totals,Last 28 days,27,27,120,110,24,31,4,1,5,14,1,1,8,37,0.282,0.333,0.473,0.806,52,1,1,0,1,0,0,0.377,106,120,21
Season Totals,Last 365 days,122,104,439,390,61,97,19,2,19,57,8,3,39,130,0.249,0.326,0.454,0.78,177,8,7,0,3,2,0,0.32,100,,57
Platoon Splits,vs RHP,113,,324,285,48,71,16,1,15,50,3,2,32,88,0.249,0.333,0.47,0.804,134,8,5,0,2,2,0,0.304,106,125,39
Platoon Splits,vs LHP,60,,115,105,13,26,3,1,4,7,5,1,7,42,0.248,0.304,0.41,0.714,43,0,2,0,1,0,0,0.367,84,98,18
Platoon Splits,vs RHP as LHB,113,,324,285,,71,16,1,15,50,0,0,32,88,0.249,0.333,0.47,0.804,134,8,5,0,2,2,0,0.304,106,117,39
Platoon Splits,vs LHP as LHB,60,,115,105,,26,3,1,4,7,0,0,7,42,0.248,0.304,0.41,0.714,43,0,2,0,1,0,0,0.367,84,112,18
Platoon Splits,vs RH Starter,87,77,323,286,47,76,15,1,16,51,5,2,29,90,0.266,0.344,0.493,0.837,141,6,6,0,2,1,0,0.33,114,133,44
Platoon Splits,vs LH Starter,35,27,116,104,14,21,4,1,3,6,3,1,10,40,0.202,0.276,0.346,0.622,36,2,1,0,1,1,0,0.29,61,74,13
Home or Away,Home,64,54,227,203,33,51,8,0,10,24,3,1,19,61,0.251,0.326,0.438,0.764,89,4,4,0,1,2,0,0.308,97,111,33
Home or Away,Away,58,50,212,187,28,46,11,2,9,33,5,2,20,69,0.246,0.326,0.471,0.796,88,4,3,0,2,0,0,0.333,103,125,24
First or Second Half,1st Half,88,70,291,256,33,56,13,1,12,34,5,2,27,86,0.219,0.306,0.418,0.724,107,6,6,0,2,2,0,0.275,86,103,30
First or Second Half,2nd Half,34,34,148,134,28,41,6,1,7,23,3,1,12,44,0.306,0.365,0.522,0.887,70,2,1,0,1,0,0,0.405,127,143,27
Months,April/March,28,21,86,76,12,23,7,0,6,18,3,0,9,28,0.303,0.372,0.632,1.004,48,2,0,0,1,0,0,0.395,153,183,10
