Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,13,13,49,48,6,11,4,0,2,4,1,1,1,14,0.229,0.245,0.438,0.682,21,1,0,0,0,0,0,0.281,100,88,5
Season Totals,Last 7 days,4,4,17,16,3,5,3,0,0,1,1,1,1,2,0.313,0.353,0.5,0.853,8,0,0,0,0,0,0,0.357,158,148,2
Season Totals,Last 14 days,4,4,17,16,3,5,3,0,0,1,1,1,1,2,0.313,0.353,0.5,0.853,8,0,0,0,0,0,0,0.357,158,140,2
Season Totals,Last 28 days,7,7,28,27,3,6,4,0,0,1,1,1,1,9,0.222,0.25,0.37,0.62,10,0,0,0,0,0,0,0.333,87,69,2
Season Totals,Last 365 days,13,13,49,48,6,11,4,0,2,4,1,1,1,14,0.229,0.245,0.438,0.682,21,1,0,0,0,0,0,0.281,100,,5
Platoon Splits,vs RHP,12,,35,34,5,7,2,0,2,4,0,1,1,11,0.206,0.229,0.441,0.67,15,1,0,0,0,0,0,0.238,94,84,3
Platoon Splits,vs LHP,7,,14,14,1,4,2,0,0,0,1,0,0,3,0.286,0.286,0.429,0.714,6,0,0,0,0,0,0,0.364,115,98,2
Platoon Splits,vs RHP as RHB,12,,35,34,,7,2,0,2,4,0,0,1,11,0.206,0.229,0.441,0.67,15,1,0,0,0,0,0,0.238,94,89,3
Platoon Splits,vs LHP as RHB,7,,14,14,,4,2,0,0,0,0,0,0,3,0.286,0.286,0.429,0.714,6,0,0,0,0,0,0,0.364,115,93,2
Platoon Splits,vs RH Starter,10,10,37,36,5,7,2,0,2,4,1,1,1,12,0.194,0.216,0.417,0.633,15,1,0,0,0,0,0,0.227,83,73,3
Platoon Splits,vs LH Starter,3,3,12,12,1,4,2,0,0,0,0,0,0,2,0.333,0.333,0.5,0.833,6,0,0,0,0,0,0,0.4,150,131,2
Home or Away,Home,8,8,31,30,3,6,4,0,0,1,1,1,1,10,0.2,0.226,0.333,0.559,10,0,0,0,0,0,0,0.3,68,53,2
Home or Away,Away,5,5,18,18,3,5,0,0,2,3,0,0,0,4,0.278,0.278,0.611,0.889,11,1,0,0,0,0,0,0.25,153,145,3
First or Second Half,1st Half,4,4,14,14,2,3,0,0,1,2,0,0,0,3,0.214,0.214,0.429,0.643,6,0,0,0,0,0,0,0.2,85,77,2
First or Second Half,2nd Half,9,9,35,34,4,8,4,0,1,2,1,1,1,11,0.235,0.257,0.441,0.698,15,1,0,0,0,0,0,0.318,106,89,3
Months,June,4,4,14,14,2,3,0,0,1,2,0,0,0,3,0.214,0.214,0.429,0.643,6,0,0,0,0,0,0,0.2,85,74,2
Months,July,5,5,18,18,1,3,1,0,1,1,0,0,0,9,0.167,0.167,0.389,0.556,7,1,0,0,0,0,0,0.25,57,46,1
Months,August,4,4,17,16,3,5,3,0,0,1,1,1,1,2,0.313,0.353,0.5,0.853,8,0,0,0,0,0,0,0.357,158,135,2
Game Outcome for Team,in Wins,5,5,18,18,3,4,0,0,2,3,0,0,0,7,0.222,0.222,0.556,0.778,10,1,0,0,0,0,0,0.222,118,79,2
Game Outcome for Team,in Losses,8,8,31,30,3,7,4,0,0,1,1,1,1,7,0.233,0.258,0.367,0.625,11,0,0,0,0,0,0,0.304,89,111,3
Starter or Substitute,as Starter,13,13,49,48,6,11,4,0,2,4,1,1,1,14,0.229,0.245,0.438,0.682,21,1,0,0,0,0,0,0.281,100,87,5
Defensive Positions,as 2B,9,,32,32,3,6,1,0,2,3,0,0,0,12,0.188,0.188,0.406,0.594,13,1,0,0,0,0,0,0.222,69,70,3
Defensive Positions,as 3B,4,,17,16,3,5,3,0,0,1,1,1,1,2,0.313,0.353,0.5,0.853,8,0,0,0,0,0,0,0.357,158,139,2
Leading Off Inning,Leadoff Inn.,8,,12,12,,5,1,0,1,1,,,0,1,0.417,0.417,0.75,1.167,9,0,0,0,0,0,0,0.4,241,227,3
Batting Order Positions,Batting 4th,1,1,5,5,1,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.25,27,11,1
Batting Order Positions,Batting 5th,2,2,8,7,1,3,3,0,0,0,1,0,1,1,0.429,0.5,0.857,1.357,6,0,0,0,0,0,0,0.5,300,269,0
