Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,97,86,378,346,48,100,14,1,11,44,6,6,21,88,0.289,0.344,0.431,0.775,149,3,9,0,2,1,1,0.357,100,117,74
Season Totals,Last 7 days,6,5,17,17,3,3,1,0,0,1,0,0,0,4,0.177,0.177,0.235,0.412,4,1,0,0,0,0,0,0.231,6,18,2
Season Totals,Last 14 days,11,10,39,38,6,7,2,0,1,4,0,1,1,14,0.184,0.205,0.316,0.521,12,2,0,0,0,1,0,0.261,33,43,4
Season Totals,Last 28 days,22,20,86,83,16,22,6,0,2,11,1,2,2,26,0.265,0.291,0.41,0.7,34,3,1,0,0,1,0,0.364,80,90,14
Season Totals,Last 365 days,125,110,472,432,59,119,18,2,13,51,9,6,25,117,0.276,0.33,0.417,0.747,180,5,11,2,2,1,3,0.349,93,,86
Platoon Splits,vs RHP,87,,246,229,31,65,8,1,6,28,3,5,7,59,0.284,0.325,0.406,0.731,93,1,8,0,2,0,1,0.355,89,106,50
Platoon Splits,vs LHP,66,,132,117,17,35,6,0,5,16,3,1,14,29,0.299,0.379,0.479,0.857,56,2,1,0,0,1,0,0.361,121,139,24
Platoon Splits,vs RHP as RHB,87,,246,229,,65,8,1,6,28,0,0,7,59,0.284,0.325,0.406,0.731,93,1,8,0,2,0,1,0.355,89,112,50
Platoon Splits,vs LHP as RHB,66,,132,117,,35,6,0,5,16,0,0,14,29,0.299,0.379,0.479,0.857,56,2,1,0,0,1,0,0.361,121,134,24
Platoon Splits,vs RH Starter,60,49,223,207,30,66,8,1,7,34,3,5,6,52,0.319,0.359,0.469,0.827,97,2,8,0,2,1,1,0.393,113,132,50
Platoon Splits,vs LH Starter,37,37,155,139,18,34,6,0,4,10,3,1,15,36,0.245,0.323,0.374,0.697,52,1,1,0,0,0,0,0.303,81,96,24
Home or Away,Home,47,41,176,156,22,45,6,1,6,22,1,4,12,38,0.289,0.358,0.455,0.813,71,1,6,0,2,1,0,0.342,110,125,32
Home or Away,Away,50,45,202,190,26,55,8,0,5,22,5,2,9,50,0.29,0.332,0.411,0.742,78,2,3,0,0,0,1,0.37,92,112,42
First or Second Half,1st Half,70,62,270,244,30,75,7,1,8,32,4,4,16,55,0.307,0.367,0.443,0.809,108,0,8,0,2,0,1,0.366,110,129,59
First or Second Half,2nd Half,27,24,108,102,18,25,7,0,3,12,2,2,5,33,0.245,0.287,0.402,0.689,41,3,1,0,0,1,0,0.333,77,89,15
Months,April/March,20,17,71,67,8,23,1,0,5,13,0,1,1,15,0.343,0.366,0.582,0.948,39,0,2,0,1,0,0,0.375,141,168,17
Months,May,21,21,88,79,10,25,5,0,0,6,1,1,6,15,0.317,0.375,0.38,0.755,30,0,2,0,1,0,1,0.385,97,120,20
Months,June,18,16,72,62,8,20,1,1,2,11,2,1,7,14,0.323,0.417,0.468,0.884,29,0,3,0,0,0,0,0.391,130,148,16
Months,July,22,17,84,76,10,16,3,0,3,6,2,2,6,23,0.211,0.286,0.368,0.654,28,0,2,0,0,0,0,0.26,69,79,10
Months,August,16,15,63,62,12,16,4,0,1,8,1,1,1,21,0.258,0.27,0.371,0.641,23,3,0,0,0,1,0,0.375,65,77,11
Game Outcome for Team,in Wins,45,42,195,178,36,60,10,1,6,30,4,4,10,47,0.337,0.395,0.506,0.901,90,1,7,0,0,1,0,0.432,132,117,43
Game Outcome for Team,in Losses,52,44,183,168,12,40,4,0,5,14,2,2,11,41,0.238,0.29,0.351,0.641,59,2,2,0,2,0,1,0.282,66,118,31
Starter or Substitute,as Starter,86,86,365,333,46,98,14,1,10,42,5,6,21,82,0.294,0.351,0.432,0.783,144,3,9,0,2,1,1,0.362,102,120,73
Starter or Substitute,as Sub,11,0,13,13,2,2,0,0,1,2,1,0,0,6,0.154,0.154,0.385,0.538,5,0,0,0,0,0,0,0.167,34,61,1
Defensive Positions,as C,78,,326,296,46,93,14,1,10,41,3,6,21,69,0.314,0.371,0.47,0.841,139,2,7,0,2,1,1,0.379,117,144,68
Defensive Positions,as 1B,6,,14,14,0,1,0,0,0,1,1,0,0,7,0.071,0.071,0.071,0.143,1,0,0,0,0,0,0,0.143,-63,-61,1
Defensive Positions,as 2B,3,,5,5,0,2,0,0,0,0,1,0,0,1,0.4,0.4,0.4,0.8,2,0,0,0,0,0,0,0.5,109,137,2
Defensive Positions,as DH,9,,27,25,1,3,0,0,0,1,1,0,0,8,0.12,0.185,0.12,0.305,3,1,2,0,0,0,0,0.177,-18,-15,3
Defensive Positions,as PH,7,,7,7,1,1,0,0,1,2,0,0,0,3,0.143,0.143,0.571,0.714,4,0,0,0,0,0,0,0.0,74,115,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
