Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,19,321.0,289,44.0,81,18,2,7,2,0,21,57,2.71,0.28,0.331,0.429,0.76,124.0,12.0,4.0,1,6,0,4,0.32,100,113,54
Season Totals,Last 7 days,1,22.0,17,6.0,9,2,1,0,1,0,4,1,0.25,0.529,0.591,0.765,1.356,13.0,1.0,0.0,0,1,0,0,0.529,257,290,6
Season Totals,Last 14 days,1,22.0,17,6.0,9,2,1,0,1,0,4,1,0.25,0.529,0.591,0.765,1.356,13.0,1.0,0.0,0,1,0,0,0.529,257,276,6
Season Totals,Last 28 days,5,49.0,42,9.0,16,5,1,0,2,0,5,3,0.6,0.381,0.429,0.548,0.976,23.0,2.0,0.0,0,2,0,0,0.39,157,167,10
Season Totals,Last 365 days,20,337.0,303,48.0,85,18,2,8,2,0,23,60,2.61,0.281,0.333,0.432,0.766,131.0,12.0,4.0,1,6,0,4,0.32,101,,57
Platoon Splits,vs RHB,19,159.0,144,24.0,42,11,0,5,2,0,8,25,3.13,0.292,0.329,0.472,0.801,68.0,6.0,2.0,1,4,0,4,0.314,109,125,26
Platoon Splits,vs LHB,19,162.0,145,18.0,39,7,2,2,0,0,13,32,2.46,0.269,0.333,0.386,0.72,56.0,6.0,2.0,0,2,0,0,0.327,91,100,28
Platoon Splits,vs RHB as RHP,19,159.0,144,24.0,42,11,0,5,2,0,8,25,3.13,0.292,0.329,0.472,0.801,68.0,6.0,2.0,1,4,0,4,0.314,109,130,26
Platoon Splits,vs LHB as RHP,19,162.0,145,18.0,39,7,2,2,0,0,13,32,2.46,0.269,0.333,0.386,0.72,56.0,6.0,2.0,0,2,0,0,0.327,91,97,28
Home or Away,Home,10,163.0,146,22.0,35,6,0,5,1,0,11,33,3.0,0.24,0.296,0.384,0.68,56.0,4.0,2.0,1,3,0,4,0.27,79,93,24
Home or Away,Away,9,158.0,143,22.0,46,12,2,2,1,0,10,24,2.4,0.322,0.367,0.476,0.843,68.0,8.0,2.0,0,3,0,0,0.367,122,133,30
First or Second Half,1st Half,13,247.0,223,35.0,59,12,1,7,0,0,15,50,3.33,0.265,0.317,0.422,0.739,94.0,7.0,4.0,1,4,0,4,0.306,94,108,39
First or Second Half,2nd Half,6,74.0,66,9.0,22,6,1,0,2,0,6,7,1.17,0.333,0.378,0.455,0.833,30.0,5.0,0.0,0,2,0,0,0.361,120,131,15
Months,April/March,4,64.0,60,6.0,13,1,0,1,0,0,3,11,3.67,0.217,0.266,0.283,0.549,17.0,3.0,1.0,0,0,0,2,0.25,46,58,11
Months,May,5,98.0,89,17.0,25,7,1,4,0,0,6,25,4.17,0.281,0.327,0.517,0.843,46.0,3.0,1.0,0,2,0,2,0.339,119,140,13
Months,June,3,56.0,51,7.0,12,3,0,1,0,0,4,13,3.25,0.235,0.304,0.353,0.657,18.0,1.0,1.0,0,0,0,0,0.297,74,84,8
Months,July,4,68.0,60,6.0,17,2,0,1,1,0,3,6,2.0,0.283,0.313,0.367,0.68,22.0,3.0,1.0,1,3,0,0,0.286,80,87,14
Months,August,3,35.0,29,8.0,14,5,1,0,1,0,5,2,0.4,0.483,0.543,0.724,1.267,21.0,2.0,0.0,0,1,0,0,0.5,233,250,8
Game Outcome for Pitcher,in Wins,5,100.0,91,7.0,24,6,1,0,1,0,7,17,2.43,0.264,0.32,0.352,0.672,32.0,8.0,1.0,0,1,0,0,0.32,79,156,17
Game Outcome for Pitcher,in Losses,4,81.0,69,20.0,24,6,1,2,0,0,5,5,1.0,0.348,0.388,0.551,0.938,38.0,0.0,2.0,1,4,0,2,0.333,146,94,15
