Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,114,534,465,93,103,16,11,14,52,21,6,55,97,0.222,0.309,0.394,0.702,183,3,6,3,5,0,3,0.248,100,97,62
Season Totals,Last 7 days,6,5,27,23,8,6,0,0,2,4,0,0,2,5,0.261,0.308,0.522,0.829,12,0,0,1,1,0,0,0.235,132,139,4
Season Totals,Last 14 days,12,10,53,47,16,13,0,1,5,11,0,0,4,11,0.277,0.327,0.638,0.965,30,0,0,1,1,0,1,0.25,168,166,7
Season Totals,Last 28 days,25,20,103,89,29,24,0,4,8,17,1,1,12,18,0.27,0.353,0.629,0.982,56,0,0,1,1,0,1,0.25,174,164,12
Season Totals,Last 365 days,158,147,681,594,121,144,22,15,18,66,37,6,66,124,0.242,0.325,0.421,0.746,250,5,10,5,6,0,3,0.275,112,,89
Platoon Splits,vs RHP,110,,375,326,72,77,12,10,10,37,15,4,44,63,0.236,0.328,0.426,0.754,139,3,2,0,3,0,3,0.262,114,112,45
Platoon Splits,vs LHP,76,,159,139,21,26,4,1,4,15,6,2,11,34,0.187,0.263,0.317,0.579,44,0,4,3,2,0,0,0.214,66,62,17
Platoon Splits,vs RHP as LHB,110,,375,326,,77,12,10,10,37,0,0,44,63,0.236,0.328,0.426,0.754,139,3,2,0,3,0,3,0.262,114,105,45
Platoon Splits,vs LHP as LHB,76,,159,139,,26,4,1,4,15,0,0,11,34,0.187,0.263,0.317,0.579,44,0,4,3,2,0,0,0.214,66,73,17
Platoon Splits,vs RH Starter,84,84,391,343,70,76,11,8,11,40,16,5,39,72,0.222,0.304,0.397,0.701,136,3,3,3,3,0,3,0.247,99,96,46
Platoon Splits,vs LH Starter,41,30,143,122,23,27,5,3,3,12,5,1,16,25,0.221,0.322,0.385,0.707,47,0,3,0,2,0,0,0.25,102,99,16
Home or Away,Home,61,54,243,207,43,50,8,7,6,26,12,4,31,34,0.242,0.346,0.435,0.781,90,1,3,0,2,0,1,0.26,122,116,29
Home or Away,Away,64,60,291,258,50,53,8,4,8,26,9,2,24,63,0.205,0.278,0.361,0.638,93,2,3,3,3,0,2,0.237,81,81,33
First or Second Half,1st Half,94,88,404,353,60,75,16,6,5,32,18,5,42,71,0.213,0.301,0.334,0.635,118,3,4,2,3,0,2,0.25,82,81,48
First or Second Half,2nd Half,31,26,130,112,33,28,0,5,9,20,3,1,13,26,0.25,0.333,0.58,0.914,65,0,2,1,2,0,1,0.241,155,147,14
Months,April/March,29,29,130,114,13,22,3,0,1,5,8,2,15,22,0.193,0.292,0.246,0.538,28,0,1,0,0,0,1,0.231,57,57,18
Months,May,26,25,111,99,13,20,3,4,1,13,1,2,9,27,0.202,0.27,0.343,0.614,34,1,1,0,2,0,1,0.26,74,76,12
Months,June,27,23,107,92,21,23,7,2,0,5,5,1,13,12,0.25,0.355,0.37,0.725,34,0,2,0,0,0,0,0.288,109,104,14
Months,July,23,21,102,86,22,19,3,2,6,16,6,0,10,20,0.221,0.31,0.512,0.822,44,2,2,2,2,0,0,0.21,130,121,8
Months,August,20,16,84,74,24,19,0,3,6,13,1,1,8,16,0.257,0.325,0.581,0.906,43,0,0,1,1,0,1,0.245,153,146,10
Game Outcome for Team,in Wins,71,64,310,260,72,64,8,8,12,43,16,5,40,48,0.246,0.353,0.477,0.83,124,1,5,1,4,0,2,0.255,135,99,36
Game Outcome for Team,in Losses,54,50,224,205,21,39,8,3,2,9,5,1,15,49,0.19,0.248,0.288,0.536,59,2,1,2,1,0,1,0.239,53,82,26
Starter or Substitute,as Starter,114,114,522,454,89,101,16,11,12,48,21,6,54,96,0.223,0.31,0.386,0.696,175,3,6,3,5,0,3,0.254,98,95,62
Starter or Substitute,as Sub,11,0,12,11,4,2,0,0,2,4,0,0,1,1,0.182,0.25,0.727,0.977,8,0,0,0,0,0,0,0.0,165,187,0
Defensive Positions,as CF,75,,330,292,44,61,12,6,2,22,12,3,32,63,0.209,0.294,0.312,0.606,91,1,4,0,2,0,2,0.258,74,77,41
Defensive Positions,as RF,44,,198,168,47,41,4,5,11,28,9,3,22,34,0.244,0.333,0.524,0.857,88,2,2,3,3,0,1,0.238,141,132,21
Defensive Positions,as PH,6,,6,5,1,1,0,0,1,2,0,0,1,0,0.2,0.333,0.8,1.133,4,0,0,0,0,0,0,0.0,211,243,0
Defensive Positions,as PR,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,65,,65,59,,19,2,2,2,2,,,6,7,0.322,0.385,0.525,0.91,31,0,0,0,0,0,1,0.34,158,153,13
Leading Off Inning,Leadoff Inn.,96,,168,149,,39,6,5,3,3,,,17,32,0.262,0.345,0.43,0.775,64,0,2,0,0,0,3,0.316,121,122,25
Batting Order Positions,Batting 1st,65,65,310,271,64,64,10,8,10,33,13,5,31,54,0.236,0.318,0.443,0.761,120,3,3,2,3,0,2,0.257,115,106,36
Batting Order Positions,Batting 2nd,31,29,136,120,17,23,3,1,1,9,7,1,13,23,0.192,0.274,0.258,0.532,31,0,1,1,1,0,1,0.227,54,43,18
