Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,115,114,498,440,64,120,17,0,28,70,1,1,53,88,0.273,0.353,0.502,0.856,221,8,3,0,2,11,0,0.282,100,138,75
Season Totals,Last 7 days,6,6,26,24,3,7,2,0,2,7,0,0,2,6,0.292,0.346,0.625,0.971,15,1,0,0,0,1,0,0.313,123,178,3
Season Totals,Last 14 days,13,13,59,53,7,14,3,0,4,13,0,1,6,11,0.264,0.339,0.547,0.886,29,2,0,0,0,1,0,0.263,105,147,7
Season Totals,Last 28 days,24,24,107,98,14,27,4,0,9,21,0,1,8,19,0.276,0.327,0.592,0.919,58,2,0,0,1,1,0,0.254,111,147,14
Season Totals,Last 365 days,151,150,657,585,88,161,26,0,38,90,1,1,62,112,0.275,0.349,0.515,0.863,301,12,6,0,4,15,1,0.28,102,,97
Platoon Splits,vs RHP,107,,356,305,48,88,14,0,22,59,1,1,48,46,0.289,0.388,0.551,0.938,168,7,2,0,1,11,0,0.277,120,163,52
Platoon Splits,vs LHP,78,,142,135,16,32,3,0,6,11,0,0,5,42,0.237,0.268,0.393,0.66,53,1,1,0,1,0,0,0.296,54,83,23
Platoon Splits,vs RHP as LHB,107,,356,305,,88,14,0,22,59,0,0,48,46,0.289,0.388,0.551,0.938,168,7,2,0,1,11,0,0.277,120,154,52
Platoon Splits,vs LHP as LHB,78,,142,135,,32,3,0,6,11,0,0,5,42,0.237,0.268,0.393,0.66,53,1,1,0,1,0,0,0.296,54,96,23
Platoon Splits,vs RH Starter,88,88,385,336,53,94,14,0,23,59,1,1,46,54,0.28,0.369,0.527,0.896,177,8,2,0,1,9,0,0.273,110,150,57
Platoon Splits,vs LH Starter,27,26,113,104,11,26,3,0,5,11,0,0,7,34,0.25,0.301,0.423,0.724,44,0,1,0,1,2,0,0.318,70,102,18
Home or Away,Home,58,57,241,210,31,56,8,0,14,35,0,0,28,46,0.267,0.357,0.505,0.862,106,3,2,0,1,8,0,0.278,102,137,34
Home or Away,Away,57,57,257,230,33,64,9,0,14,35,1,1,25,42,0.278,0.35,0.5,0.85,115,5,1,0,1,3,0,0.286,99,140,41
First or Second Half,1st Half,83,83,358,315,45,85,12,0,18,48,1,0,40,62,0.27,0.355,0.479,0.834,151,5,2,0,1,9,0,0.284,96,134,55
First or Second Half,2nd Half,32,31,140,125,19,35,5,0,10,22,0,1,13,26,0.28,0.35,0.56,0.91,70,3,1,0,1,2,0,0.278,111,148,20
Months,April/March,27,27,119,106,12,25,2,0,2,8,0,0,12,20,0.236,0.319,0.311,0.631,33,1,1,0,0,2,0,0.274,52,82,21
Months,May,25,25,111,94,15,27,2,0,11,21,0,0,16,21,0.287,0.387,0.66,1.047,62,1,0,0,1,5,0,0.254,141,196,14
Months,June,20,20,80,73,8,19,3,0,2,8,1,0,6,15,0.26,0.325,0.384,0.709,28,1,1,0,0,0,0,0.304,69,98,14
Months,July,24,23,103,90,16,28,7,0,4,13,0,0,12,15,0.311,0.398,0.522,0.92,47,3,1,0,0,3,0,0.338,117,151,17
Months,August,19,19,85,77,13,21,3,0,9,20,0,1,7,17,0.273,0.329,0.662,0.992,51,2,0,0,1,1,0,0.231,125,167,9
Game Outcome for Team,in Wins,54,53,240,209,39,66,11,0,14,43,0,0,28,41,0.316,0.4,0.569,0.969,119,5,2,0,1,10,0,0.336,127,132,41
Game Outcome for Team,in Losses,61,61,258,231,25,54,6,0,14,27,1,1,25,47,0.234,0.31,0.442,0.752,102,3,1,0,1,1,0,0.234,76,154,34
Starter or Substitute,as Starter,114,114,497,439,64,120,17,0,28,70,1,1,53,87,0.273,0.354,0.503,0.858,221,8,3,0,2,11,0,0.282,101,138,75
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as SS,107,,467,413,62,115,17,0,26,65,1,1,50,78,0.279,0.36,0.509,0.868,210,8,3,0,1,11,0,0.287,103,134,72
Defensive Positions,as DH,8,,31,27,2,5,0,0,2,5,0,0,3,10,0.185,0.258,0.407,0.666,11,0,0,0,1,0,0,0.188,54,75,3
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,Leadoff Inn.,64,,85,78,,22,3,0,3,3,,,5,13,0.282,0.341,0.436,0.777,34,0,2,0,0,1,0,0.307,84,122,16
Batting Order Positions,Batting 2nd,114,114,497,439,64,120,17,0,28,70,1,1,53,87,0.273,0.354,0.503,0.858,221,8,3,0,2,11,0,0.282,101,125,75
Batting Order Positions,Batting 8th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,108,,248,233,,63,10,0,17,41,,,11,49,0.27,0.311,0.532,0.843,124,5,3,0,1,1,0,0.274,94,135,36
Swung or Took First Pitch of PA,Took 1st Pitch,108,,250,207,,57,7,0,11,29,,,42,39,0.275,0.396,0.469,0.865,97,3,0,0,1,10,0,0.291,106,142,39
Count/Balls-Strikes,First Pitch,68,,97,96,21,36,5,0,13,29,0,0,0,0,0.375,0.371,0.833,1.204,80,3,0,0,1,0,0,0.274,171,157,18
Count/Balls-Strikes,1-0 Count,26,,32,32,4,11,1,0,2,6,0,0,0,0,0.344,0.344,0.563,0.906,18,0,0,0,0,0,0,0.3,110,99,8
Count/Balls-Strikes,2-0 Count,12,,13,13,2,2,1,0,0,0,0,1,0,0,0.154,0.154,0.231,0.385,3,1,0,0,0,0,0,0.154,-10,-18,1
Count/Balls-Strikes,3-0 Count,18,,20,4,1,1,1,0,0,0,0,0,16,0,0.25,0.85,0.5,1.35,2,0,0,0,0,10,0,0.25,240,46,0
Count/Balls-Strikes,0-1 Count,26,,26,26,7,16,1,0,1,3,0,0,0,0,0.615,0.615,0.769,1.385,20,2,0,0,0,0,0,0.6,227,236,14
Count/Balls-Strikes,1-1 Count,31,,37,37,2,11,1,0,1,6,0,0,0,0,0.297,0.297,0.405,0.703,15,0,0,0,0,0,0,0.278,65,68,9
Count/Balls-Strikes,2-1 Count,25,,27,27,4,10,3,0,2,7,0,0,0,0,0.37,0.37,0.704,1.074,19,0,0,0,0,0,0,0.32,145,129,5
Count/Balls-Strikes,3-1 Count,23,,24,11,2,6,1,0,1,2,0,0,13,0,0.546,0.792,0.909,1.701,10,0,0,0,0,0,0,0.5,305,156,4
Count/Balls-Strikes,0-2 Count,30,,36,35,4,6,1,0,2,3,0,0,0,16,0.171,0.194,0.371,0.566,13,0,1,0,0,0,0,0.235,29,188,3
Count/Balls-Strikes,1-2 Count,46,,64,62,1,5,0,0,0,1,0,0,0,40,0.081,0.094,0.081,0.174,5,0,1,0,1,0,0,0.217,-57,-12,5
Count/Balls-Strikes,2-2 Count,49,,57,57,6,5,0,0,1,2,1,0,0,21,0.088,0.088,0.14,0.228,8,1,0,0,0,0,0,0.114,-47,1,4
Count/Balls-Strikes,Full Count,51,,65,40,10,11,2,0,5,11,0,0,24,11,0.275,0.554,0.7,1.254,28,1,1,0,0,1,0,0.25,196,233,4
Count/Balls-Strikes,After 1-0,99,,192,153,,46,6,0,10,27,,,39,19,0.301,0.443,0.536,0.979,82,2,0,0,0,10,0,0.29,132,143,30
Count/Balls-Strikes,After 2-0,49,,63,37,,8,4,0,2,6,,,26,3,0.216,0.54,0.487,1.026,18,1,0,0,0,10,0,0.188,150,114,2
Count/Balls-Strikes,After 3-0,25,,29,9,,3,2,0,0,1,,,20,0,0.333,0.793,0.556,1.349,5,0,0,0,0,10,0,0.333,235,117,1
Count/Balls-Strikes,After 0-1,104,,208,190,,38,6,0,5,14,,,14,69,0.2,0.264,0.311,0.575,59,3,3,0,1,1,0,0.282,37,91,27
Count/Balls-Strikes,After 1-1,102,,187,158,,38,4,0,8,23,,,26,40,0.241,0.353,0.418,0.771,66,2,2,0,1,1,0,0.27,83,133,26
Count/Balls-Strikes,After 2-1,73,,100,77,,24,4,0,9,20,,,22,11,0.312,0.47,0.714,1.184,55,1,1,0,0,0,0,0.263,175,200,11
