Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,64,34,140,124,11,25,6,1,0,10,1,0,15,52,0.202,0.286,0.266,0.552,33,1,0,0,1,0,0,0.343,100,58,18
Season Totals,Last 7 days,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,0.5,451,320,0
Season Totals,Last 14 days,8,2,11,11,1,2,1,0,0,0,0,0,0,6,0.182,0.182,0.273,0.455,3,0,0,0,0,0,0,0.4,66,25,1
Season Totals,Last 28 days,14,4,22,20,2,4,1,0,0,1,1,0,2,9,0.2,0.273,0.25,0.523,5,0,0,0,0,0,0,0.364,89,46,3
Season Totals,Last 365 days,80,43,182,159,15,29,6,2,0,13,2,3,22,67,0.182,0.28,0.245,0.526,39,1,0,0,1,0,1,0.312,90,,21
Platoon Splits,vs RHP,31,,45,41,3,7,0,0,0,4,0,0,3,19,0.171,0.222,0.171,0.393,7,1,0,0,1,0,0,0.304,42,14,7
Platoon Splits,vs LHP,45,,95,83,8,18,6,1,0,6,1,0,12,33,0.217,0.316,0.313,0.629,26,0,0,0,0,0,0,0.36,128,78,11
Platoon Splits,vs RHP as RHB,31,,45,41,,7,0,0,0,4,0,0,3,19,0.171,0.222,0.171,0.393,7,1,0,0,1,0,0,0.304,42,17,7
Platoon Splits,vs LHP as RHB,45,,95,83,,18,6,1,0,6,0,0,12,33,0.217,0.316,0.313,0.629,26,0,0,0,0,0,0,0.36,128,74,11
Platoon Splits,vs RH Starter,26,2,26,20,2,5,2,0,0,1,0,0,6,10,0.25,0.423,0.35,0.773,7,0,0,0,0,0,0,0.5,180,123,3
Platoon Splits,vs LH Starter,38,32,114,104,9,20,4,1,0,9,1,0,9,42,0.192,0.254,0.25,0.504,26,1,0,0,1,0,0,0.318,83,43,15
Home or Away,Home,34,16,63,53,4,10,2,1,0,6,0,0,9,21,0.189,0.302,0.264,0.566,14,0,0,0,1,0,0,0.303,105,60,7
Home or Away,Away,30,18,77,71,7,15,4,0,0,4,1,0,6,31,0.211,0.273,0.268,0.54,19,1,0,0,0,0,0,0.375,96,56,11
First or Second Half,1st Half,47,28,110,96,8,19,5,1,0,9,0,0,13,40,0.198,0.291,0.271,0.562,26,1,0,0,1,0,0,0.333,104,62,13
First or Second Half,2nd Half,17,6,30,28,3,6,1,0,0,1,1,0,2,12,0.214,0.267,0.25,0.517,7,0,0,0,0,0,0,0.375,87,46,5
Months,April/March,8,6,19,15,1,2,0,0,0,1,0,0,4,6,0.133,0.316,0.133,0.449,2,1,0,0,0,0,0,0.222,61,35,2
Months,May,15,11,39,35,4,9,1,1,0,7,0,0,3,14,0.257,0.308,0.343,0.651,12,0,0,0,1,0,0,0.409,137,89,7
Months,June,18,8,38,32,3,5,2,0,0,0,0,0,6,15,0.156,0.29,0.219,0.508,7,0,0,0,0,0,0,0.294,83,46,3
Months,July,12,5,23,23,1,6,2,0,0,1,0,0,0,8,0.261,0.261,0.348,0.609,8,0,0,0,0,0,0,0.4,122,66,4
Months,August,11,4,21,19,2,3,1,0,0,1,1,0,2,9,0.158,0.238,0.211,0.449,4,0,0,0,0,0,0,0.3,63,27,2
Game Outcome for Team,in Wins,39,20,89,76,8,18,2,1,0,9,1,0,12,29,0.237,0.337,0.29,0.627,22,0,0,0,1,0,0,0.375,127,56,15
Game Outcome for Team,in Losses,25,14,51,48,3,7,4,0,0,1,0,0,3,23,0.146,0.196,0.229,0.425,11,1,0,0,0,0,0,0.28,55,45,3
Starter or Substitute,as Starter,34,34,118,105,8,19,4,1,0,9,1,0,12,41,0.181,0.263,0.238,0.501,25,1,0,0,1,0,0,0.292,81,43,14
Starter or Substitute,as Sub,30,0,22,19,3,6,2,0,0,1,0,0,3,11,0.316,0.409,0.421,0.83,8,0,0,0,0,0,0,0.75,201,156,4
Defensive Positions,as LF,14,,45,39,3,7,1,0,0,4,0,0,5,18,0.18,0.267,0.205,0.472,8,1,0,0,1,0,0,0.318,70,37,6
Defensive Positions,as CF,27,,82,74,6,14,3,1,0,5,1,0,8,28,0.189,0.268,0.257,0.525,19,0,0,0,0,0,0,0.304,90,54,10
Defensive Positions,as RF,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,626,458,1
